1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FB000000337E7941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jun 23 09:58:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 23 10:33:01 CST 2014
Total Mission Samples:  2055
Total Device Samples:  14488
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/06/14 10:33:01,%RH,87.473
23/06/14 10:38:01,%RH,87.473
23/06/14 10:43:01,%RH,86.703
23/06/14 10:48:01,%RH,85.929
23/06/14 10:53:01,%RH,84.632
23/06/14 10:58:01,%RH,83.062
23/06/14 11:03:01,%RH,81.345
23/06/14 11:08:01,%RH,77.184
23/06/14 11:13:01,%RH,75.274
23/06/14 11:18:01,%RH,73.621
23/06/14 11:23:01,%RH,74.174
23/06/14 11:28:01,%RH,74.999
23/06/14 11:33:01,%RH,75.548
23/06/14 11:38:01,%RH,77.048
23/06/14 11:43:01,%RH,79.075
23/06/14 11:48:01,%RH,80.281
23/06/14 11:53:01,%RH,80.947
23/06/14 11:58:01,%RH,81.345
23/06/14 12:03:01,%RH,81.213
23/06/14 12:08:01,%RH,81.478
23/06/14 12:13:01,%RH,80.947
23/06/14 12:18:01,%RH,82.272
23/06/14 12:23:01,%RH,83.325
23/06/14 12:28:01,%RH,84.892
23/06/14 12:33:01,%RH,86.317
23/06/14 12:38:01,%RH,85.412
23/06/14 12:43:01,%RH,87.857
23/06/14 12:48:01,%RH,87.473
23/06/14 12:53:01,%RH,87.601
23/06/14 12:58:01,%RH,88.494
23/06/14 13:03:01,%RH,89.002
23/06/14 13:08:01,%RH,88.621
23/06/14 13:13:01,%RH,89.002
23/06/14 13:18:01,%RH,89.636
23/06/14 13:23:01,%RH,89.636
23/06/14 13:28:01,%RH,89.636
23/06/14 13:33:01,%RH,89.002
23/06/14 13:38:01,%RH,88.876
23/06/14 13:43:01,%RH,89.509
23/06/14 13:48:01,%RH,89.256
23/06/14 13:53:01,%RH,88.367
23/06/14 13:58:01,%RH,88.24
23/06/14 14:03:01,%RH,88.112
23/06/14 14:08:01,%RH,86.445
23/06/14 14:13:01,%RH,86.445
23/06/14 14:18:01,%RH,86.317
23/06/14 14:23:01,%RH,86.832
23/06/14 14:28:01,%RH,86.703
23/06/14 14:33:01,%RH,87.345
23/06/14 14:38:01,%RH,87.217
23/06/14 14:43:01,%RH,86.832
23/06/14 14:48:01,%RH,86.188
23/06/14 14:53:01,%RH,86.058
23/06/14 14:58:01,%RH,86.445
23/06/14 15:03:01,%RH,86.574
23/06/14 15:08:01,%RH,87.088
23/06/14 15:13:01,%RH,87.345
23/06/14 15:18:01,%RH,87.088
23/06/14 15:23:01,%RH,88.876
23/06/14 15:28:01,%RH,87.984
