1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 73000000337E9141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jun 23 09:40:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 23 10:20:01 CST 2014
Total Mission Samples:  2056
Total Device Samples:  11941
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/06/14 10:20:01,%RH,87.981
23/06/14 10:25:01,%RH,87.075
23/06/14 10:30:01,%RH,87.335
23/06/14 10:35:01,%RH,88.497
23/06/14 10:40:01,%RH,85.904
23/06/14 10:45:01,%RH,85.38
23/06/14 10:50:01,%RH,84.461
23/06/14 10:55:01,%RH,83.008
23/06/14 11:00:01,%RH,81.944
23/06/14 11:05:01,%RH,80.606
23/06/14 11:10:01,%RH,78.445
23/06/14 11:15:01,%RH,77.493
23/06/14 11:20:01,%RH,77.493
23/06/14 11:25:01,%RH,76.947
23/06/14 11:30:01,%RH,78.038
23/06/14 11:35:01,%RH,78.31
23/06/14 11:40:01,%RH,79.394
23/06/14 11:45:01,%RH,80.471
23/06/14 11:50:01,%RH,79.394
23/06/14 11:55:01,%RH,80.068
23/06/14 12:00:01,%RH,79.123
23/06/14 12:05:01,%RH,79.798
23/06/14 12:10:01,%RH,79.394
23/06/14 12:15:01,%RH,80.337
23/06/14 12:20:01,%RH,81.142
23/06/14 12:25:01,%RH,82.875
23/06/14 12:30:01,%RH,83.802
23/06/14 12:35:01,%RH,84.856
23/06/14 12:40:01,%RH,85.38
23/06/14 12:45:01,%RH,85.511
23/06/14 12:50:01,%RH,85.904
23/06/14 12:55:01,%RH,85.38
23/06/14 13:00:01,%RH,85.642
23/06/14 13:05:01,%RH,86.165
23/06/14 13:10:01,%RH,86.555
23/06/14 13:15:01,%RH,87.075
23/06/14 13:20:01,%RH,87.335
23/06/14 13:25:01,%RH,86.945
23/06/14 13:30:01,%RH,87.464
23/06/14 13:35:01,%RH,86.555
23/06/14 13:40:01,%RH,87.335
23/06/14 13:45:01,%RH,86.945
23/06/14 13:50:01,%RH,87.075
23/06/14 13:55:01,%RH,86.686
23/06/14 14:00:01,%RH,86.034
23/06/14 14:05:01,%RH,86.295
23/06/14 14:10:01,%RH,86.295
23/06/14 14:15:01,%RH,86.165
23/06/14 14:20:01,%RH,86.165
23/06/14 14:25:01,%RH,86.816
23/06/14 14:30:01,%RH,86.295
23/06/14 14:35:01,%RH,86.034
23/06/14 14:40:01,%RH,86.555
23/06/14 14:45:01,%RH,85.642
23/06/14 14:50:01,%RH,86.555
23/06/14 14:55:01,%RH,86.034
23/06/14 15:00:01,%RH,86.686
23/06/14 15:05:01,%RH,86.034
23/06/14 15:10:01,%RH,86.555
23/06/14 15:15:01,%RH,85.904
23/06/14 15:20:01,%RH,87.075
23/06/14 15:25:01,%RH,86.555
23/06/14 15:30:01,%RH,87.464
23/06/14 15:35:01,%RH,87.723
23/06/14 15:40:01,%RH,87.335
23/06/14 15:45:01,%RH,87.594
23/06/14 15:50:01,%RH,87.594
23/06/14 15:55:01,%RH,87.205
23/06/14 16:00:01,%RH,86.555
23/06/14 16:05:01,%RH,88.111
23/06/14 16:10:01,%RH,88.497
23/06/14 16:15:01,%RH,89.78
