1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: EF00000033798841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jun 23 09:41:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 23 10:21:01 CST 2014
Total Mission Samples:  2056
Total Device Samples:  12010
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/06/14 10:21:01,%RH,87.04
23/06/14 10:26:01,%RH,86.779
23/06/14 10:31:01,%RH,87.04
23/06/14 10:36:01,%RH,86.387
23/06/14 10:41:01,%RH,85.6
23/06/14 10:46:01,%RH,85.994
23/06/14 10:51:01,%RH,85.206
23/06/14 10:56:01,%RH,85.469
23/06/14 11:01:01,%RH,84.282
23/06/14 11:06:01,%RH,83.087
23/06/14 11:11:01,%RH,82.018
23/06/14 11:16:01,%RH,80.134
23/06/14 11:21:01,%RH,79.049
23/06/14 11:26:01,%RH,79.321
23/06/14 11:31:01,%RH,78.64
23/06/14 11:36:01,%RH,78.504
23/06/14 11:41:01,%RH,80.134
23/06/14 11:46:01,%RH,80.269
23/06/14 11:51:01,%RH,79.863
23/06/14 11:56:01,%RH,79.592
23/06/14 12:01:01,%RH,80.404
23/06/14 12:06:01,%RH,79.863
23/06/14 12:11:01,%RH,80.269
23/06/14 12:16:01,%RH,79.728
23/06/14 12:21:01,%RH,79.863
23/06/14 12:26:01,%RH,81.078
23/06/14 12:31:01,%RH,82.152
23/06/14 12:36:01,%RH,82.82
23/06/14 12:41:01,%RH,83.486
23/06/14 12:46:01,%RH,83.486
23/06/14 12:51:01,%RH,84.282
23/06/14 12:56:01,%RH,84.017
23/06/14 13:01:01,%RH,84.282
23/06/14 13:06:01,%RH,84.942
23/06/14 13:11:01,%RH,84.017
23/06/14 13:16:01,%RH,85.469
23/06/14 13:21:01,%RH,85.6
23/06/14 13:26:01,%RH,85.994
23/06/14 13:31:01,%RH,85.863
23/06/14 13:36:01,%RH,85.863
23/06/14 13:41:01,%RH,85.994
23/06/14 13:46:01,%RH,85.732
23/06/14 13:51:01,%RH,85.6
23/06/14 13:56:01,%RH,85.074
23/06/14 14:01:01,%RH,85.6
23/06/14 14:06:01,%RH,85.732
23/06/14 14:11:01,%RH,86.779
23/06/14 14:16:01,%RH,85.6
23/06/14 14:21:01,%RH,85.337
23/06/14 14:26:01,%RH,86.125
23/06/14 14:31:01,%RH,85.469
23/06/14 14:36:01,%RH,85.337
23/06/14 14:41:01,%RH,85.863
23/06/14 14:46:01,%RH,84.942
23/06/14 14:51:01,%RH,84.942
23/06/14 14:56:01,%RH,84.546
23/06/14 15:01:01,%RH,85.074
23/06/14 15:06:01,%RH,85.206
23/06/14 15:11:01,%RH,85.206
23/06/14 15:16:01,%RH,85.337
23/06/14 15:21:01,%RH,85.337
23/06/14 15:26:01,%RH,85.863
23/06/14 15:31:01,%RH,86.125
23/06/14 15:36:01,%RH,86.387
23/06/14 15:41:01,%RH,85.732
23/06/14 15:46:01,%RH,85.863
23/06/14 15:51:01,%RH,85.863
23/06/14 15:56:01,%RH,86.648
23/06/14 16:01:01,%RH,86.256
23/06/14 16:06:01,%RH,86.256
23/06/14 16:11:01,%RH,86.256
23/06/14 16:16:01,%RH,87.04
23/06/14 16:21:01,%RH,87.691
23/06/14 16:26:01,%RH,87.561
23/06/14 16:31:01,%RH,88.209
23/06/14 16:36:01,%RH,87.04
23/06/14 16:41:01,%RH,87.82
23/06/14 16:46:01,%RH,88.468
23/06/14 16:51:01,%RH,88.209
23/06/14 16:56:01,%RH,88.856
23/06/14 17:01:01,%RH,88.727
23/06/14 17:06:01,%RH,89.371
23/06/14 17:11:01,%RH,88.856
23/06/14 17:16:01,%RH,88.985
23/06/14 17:21:01,%RH,89.114
23/06/14 17:26:01,%RH,89.371
23/06/14 17:31:01,%RH,89.757
23/06/14 17:36:01,%RH,89.628
23/06/14 17:41:01,%RH,90.142
23/06/14 17:46:01,%RH,89.885
23/06/14 17:51:01,%RH,90.908
23/06/14 17:56:01,%RH,90.653
23/06/14 18:01:01,%RH,90.908
23/06/14 18:06:01,%RH,91.036
23/06/14 18:11:01,%RH,90.653
23/06/14 18:16:01,%RH,91.163
23/06/14 18:21:01,%RH,91.545
23/06/14 18:26:01,%RH,90.653
23/06/14 18:31:01,%RH,91.672
23/06/14 18:36:01,%RH,91.418
23/06/14 18:41:01,%RH,91.545
23/06/14 18:46:01,%RH,91.163
23/06/14 18:51:01,%RH,91.545
23/06/14 18:56:01,%RH,91.036
23/06/14 19:01:01,%RH,92.179
23/06/14 19:06:01,%RH,91.799
23/06/14 19:11:01,%RH,91.672
23/06/14 19:16:01,%RH,91.672
23/06/14 19:21:01,%RH,91.672
23/06/14 19:26:01,%RH,92.053
23/06/14 19:31:01,%RH,92.179
23/06/14 19:36:01,%RH,93.063
23/06/14 19:41:01,%RH,92.053
23/06/14 19:46:01,%RH,92.811
23/06/14 19:51:01,%RH,92.179
23/06/14 19:56:01,%RH,92.432
23/06/14 20:01:01,%RH,93.063
23/06/14 20:06:01,%RH,92.811
23/06/14 20:11:01,%RH,92.306
23/06/14 20:16:01,%RH,92.432
23/06/14 20:21:01,%RH,92.559
23/06/14 20:26:01,%RH,92.559
23/06/14 20:31:01,%RH,93.063
23/06/14 20:36:01,%RH,92.432
23/06/14 20:41:01,%RH,93.063
23/06/14 20:46:01,%RH,92.179
23/06/14 20:51:01,%RH,92.179
23/06/14 20:56:01,%RH,92.937
23/06/14 21:01:01,%RH,92.306
23/06/14 21:06:01,%RH,93.315
23/06/14 21:11:01,%RH,92.559
23/06/14 21:16:01,%RH,92.937
23/06/14 21:21:01,%RH,92.811
23/06/14 21:26:01,%RH,92.937
23/06/14 21:31:01,%RH,92.559
