1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 95000000337B0641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jun 23 09:43:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 23 10:23:01 CST 2014
Total Mission Samples:  2056
Total Device Samples:  12114
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/06/14 10:23:01,%RH,86.488
23/06/14 10:28:01,%RH,86.488
23/06/14 10:33:01,%RH,85.05
23/06/14 10:38:01,%RH,85.181
23/06/14 10:43:01,%RH,83.601
23/06/14 10:48:01,%RH,83.468
23/06/14 10:53:01,%RH,81.338
23/06/14 10:58:01,%RH,80.533
23/06/14 11:03:01,%RH,79.048
23/06/14 11:08:01,%RH,77.005
23/06/14 11:13:01,%RH,74.94
23/06/14 11:18:01,%RH,75.355
23/06/14 11:23:01,%RH,75.079
23/06/14 11:28:01,%RH,76.319
23/06/14 11:33:01,%RH,76.182
23/06/14 11:38:01,%RH,78.097
23/06/14 11:43:01,%RH,78.777
23/06/14 11:48:01,%RH,78.913
23/06/14 11:53:01,%RH,79.048
23/06/14 11:58:01,%RH,77.552
23/06/14 12:03:01,%RH,78.097
23/06/14 12:08:01,%RH,78.234
23/06/14 12:13:01,%RH,78.641
23/06/14 12:18:01,%RH,79.59
23/06/14 12:23:01,%RH,81.338
23/06/14 12:28:01,%RH,81.472
23/06/14 12:33:01,%RH,83.204
23/06/14 12:38:01,%RH,84.919
23/06/14 12:43:01,%RH,84.787
23/06/14 12:48:01,%RH,85.705
23/06/14 12:53:01,%RH,84.524
23/06/14 12:58:01,%RH,83.997
23/06/14 13:03:01,%RH,85.966
23/06/14 13:08:01,%RH,86.488
23/06/14 13:13:01,%RH,86.488
23/06/14 13:18:01,%RH,85.966
23/06/14 13:23:01,%RH,86.488
23/06/14 13:28:01,%RH,87.008
23/06/14 13:33:01,%RH,87.008
23/06/14 13:38:01,%RH,86.488
23/06/14 13:43:01,%RH,86.748
23/06/14 13:48:01,%RH,86.358
23/06/14 13:53:01,%RH,85.966
23/06/14 13:58:01,%RH,86.097
23/06/14 14:03:01,%RH,84.656
23/06/14 14:08:01,%RH,86.097
23/06/14 14:13:01,%RH,85.574
