1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 64000000337FA041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jun 23 09:49:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 23 10:24:01 CST 2014
Total Mission Samples:  2055
Total Device Samples:  8942
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/06/14 10:24:01,%RH,86.764
23/06/14 10:29:01,%RH,85.185
23/06/14 10:34:01,%RH,85.844
23/06/14 10:39:01,%RH,83.859
23/06/14 10:44:01,%RH,83.192
23/06/14 10:49:01,%RH,82.389
23/06/14 10:54:01,%RH,81.852
23/06/14 10:59:01,%RH,79.959
23/06/14 11:04:01,%RH,78.597
23/06/14 11:09:01,%RH,77.087
23/06/14 11:14:01,%RH,75.009
23/06/14 11:19:01,%RH,74.73
23/06/14 11:24:01,%RH,74.87
23/06/14 11:29:01,%RH,75.843
23/06/14 11:34:01,%RH,76.258
23/06/14 11:39:01,%RH,76.949
23/06/14 11:44:01,%RH,78.733
23/06/14 11:49:01,%RH,77.912
23/06/14 11:54:01,%RH,77.912
23/06/14 11:59:01,%RH,77.637
23/06/14 12:04:01,%RH,77.912
23/06/14 12:09:01,%RH,76.949
23/06/14 12:14:01,%RH,77.362
23/06/14 12:19:01,%RH,78.46
23/06/14 12:24:01,%RH,80.637
23/06/14 12:29:01,%RH,81.043
23/06/14 12:34:01,%RH,82.12
23/06/14 12:39:01,%RH,82.925
23/06/14 12:44:01,%RH,83.725
23/06/14 12:49:01,%RH,83.459
23/06/14 12:54:01,%RH,84.39
23/06/14 12:59:01,%RH,83.725
23/06/14 13:04:01,%RH,84.39
23/06/14 13:09:01,%RH,84.92
23/06/14 13:14:01,%RH,85.053
23/06/14 13:19:01,%RH,84.92
23/06/14 13:24:01,%RH,83.992
23/06/14 13:29:01,%RH,85.713
23/06/14 13:34:01,%RH,85.844
23/06/14 13:39:01,%RH,86.108
23/06/14 13:44:01,%RH,84.92
23/06/14 13:49:01,%RH,85.449
23/06/14 13:54:01,%RH,85.581
23/06/14 13:59:01,%RH,84.39
23/06/14 14:04:01,%RH,85.713
23/06/14 14:09:01,%RH,83.725
23/06/14 14:14:01,%RH,84.788
23/06/14 14:19:01,%RH,84.125
23/06/14 14:24:01,%RH,84.257
23/06/14 14:29:01,%RH,84.655
23/06/14 14:34:01,%RH,84.523
23/06/14 14:39:01,%RH,84.125
23/06/14 14:44:01,%RH,83.992
23/06/14 14:49:01,%RH,83.992
23/06/14 14:54:01,%RH,84.125
23/06/14 14:59:01,%RH,84.125
23/06/14 15:04:01,%RH,83.859
23/06/14 15:09:01,%RH,85.053
23/06/14 15:14:01,%RH,86.239
23/06/14 15:19:01,%RH,85.713
23/06/14 15:24:01,%RH,86.633
23/06/14 15:29:01,%RH,84.788
23/06/14 15:34:01,%RH,85.581
23/06/14 15:39:01,%RH,85.844
23/06/14 15:44:01,%RH,87.548
23/06/14 15:49:01,%RH,86.502
23/06/14 15:54:01,%RH,85.581
23/06/14 15:59:01,%RH,85.713
23/06/14 16:04:01,%RH,86.502
23/06/14 16:09:01,%RH,87.156
23/06/14 16:14:01,%RH,87.679
23/06/14 16:19:01,%RH,88.978
23/06/14 16:24:01,%RH,89.236
23/06/14 16:29:01,%RH,88.848
23/06/14 16:34:01,%RH,89.236
23/06/14 16:39:01,%RH,89.495
23/06/14 16:44:01,%RH,90.396
23/06/14 16:49:01,%RH,90.01
23/06/14 16:54:01,%RH,89.881
23/06/14 16:59:01,%RH,90.139
23/06/14 17:04:01,%RH,89.881
23/06/14 17:09:01,%RH,90.524
23/06/14 17:14:01,%RH,90.78
23/06/14 17:19:01,%RH,90.139
23/06/14 17:24:01,%RH,91.547
23/06/14 17:29:01,%RH,90.78
23/06/14 17:34:01,%RH,91.547
23/06/14 17:39:01,%RH,91.547
23/06/14 17:44:01,%RH,91.675
23/06/14 17:49:01,%RH,91.802
23/06/14 17:54:01,%RH,92.057
23/06/14 17:59:01,%RH,92.438
23/06/14 18:04:01,%RH,92.438
23/06/14 18:09:01,%RH,92.565
23/06/14 18:14:01,%RH,92.311
23/06/14 18:19:01,%RH,92.945
23/06/14 18:24:01,%RH,93.828
23/06/14 18:29:01,%RH,93.324
23/06/14 18:34:01,%RH,92.691
23/06/14 18:39:01,%RH,93.45
23/06/14 18:44:01,%RH,93.071
23/06/14 18:49:01,%RH,93.071
23/06/14 18:54:01,%RH,93.828
23/06/14 18:59:01,%RH,93.45
23/06/14 19:04:01,%RH,93.197
23/06/14 19:09:01,%RH,93.197
23/06/14 19:14:01,%RH,93.702
23/06/14 19:19:01,%RH,93.828
23/06/14 19:24:01,%RH,93.702
23/06/14 19:29:01,%RH,93.702
23/06/14 19:34:01,%RH,93.954
23/06/14 19:39:01,%RH,93.954
23/06/14 19:44:01,%RH,93.702
23/06/14 19:49:01,%RH,94.079
23/06/14 19:54:01,%RH,94.33
23/06/14 19:59:01,%RH,94.205
23/06/14 20:04:01,%RH,93.954
23/06/14 20:09:01,%RH,94.205
23/06/14 20:14:01,%RH,94.33
23/06/14 20:19:01,%RH,93.324
23/06/14 20:24:01,%RH,93.576
23/06/14 20:29:01,%RH,95.206
23/06/14 20:34:01,%RH,94.079
23/06/14 20:39:01,%RH,94.205
23/06/14 20:44:01,%RH,93.071
23/06/14 20:49:01,%RH,93.702
23/06/14 20:54:01,%RH,93.45
23/06/14 20:59:01,%RH,95.829
23/06/14 21:04:01,%RH,94.33
23/06/14 21:09:01,%RH,93.576
23/06/14 21:14:01,%RH,93.576
23/06/14 21:19:01,%RH,93.45
23/06/14 21:24:01,%RH,93.702
