1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4E00000033798041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:52:01 CST 2014
Mission Sample Count:  1458
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:52:01 CST 2014
Total Mission Samples:  1458
Total Device Samples:  8344
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:52:01,%RH,72.606
28/06/14 11:54:01,%RH,71.623
28/06/14 11:56:01,%RH,71.482
28/06/14 11:58:01,%RH,72.045
28/06/14 12:00:01,%RH,71.623
28/06/14 12:02:01,%RH,71.341
28/06/14 12:04:01,%RH,71.904
28/06/14 12:06:01,%RH,71.341
28/06/14 12:08:01,%RH,69.499
28/06/14 12:10:01,%RH,69.214
28/06/14 12:12:01,%RH,69.783
28/06/14 12:14:01,%RH,70.067
28/06/14 12:16:01,%RH,69.499
28/06/14 12:18:01,%RH,68.643
28/06/14 12:20:01,%RH,67.641
28/06/14 12:22:01,%RH,65.621
28/06/14 12:24:01,%RH,62.556
28/06/14 12:26:01,%RH,62.409
28/06/14 12:28:01,%RH,61.672
28/06/14 12:30:01,%RH,61.377
28/06/14 12:32:01,%RH,61.081
28/06/14 12:34:01,%RH,58.701
28/06/14 12:36:01,%RH,58.85
28/06/14 12:38:01,%RH,58.401
28/06/14 12:40:01,%RH,57.651
28/06/14 12:42:01,%RH,57.05
28/06/14 12:44:01,%RH,57.2
28/06/14 12:46:01,%RH,58.251
28/06/14 12:48:01,%RH,58.999
28/06/14 12:50:01,%RH,59.298
28/06/14 12:52:01,%RH,59.298
28/06/14 12:54:01,%RH,60.191
28/06/14 12:56:01,%RH,59.596
28/06/14 12:58:01,%RH,59.149
28/06/14 13:00:01,%RH,58.701
28/06/14 13:02:01,%RH,60.488
28/06/14 13:04:01,%RH,58.551
28/06/14 13:06:01,%RH,57.2
28/06/14 13:08:01,%RH,57.802
28/06/14 13:10:01,%RH,56.597
28/06/14 13:12:01,%RH,57.2
28/06/14 13:14:01,%RH,57.651
28/06/14 13:16:01,%RH,57.651
28/06/14 13:18:01,%RH,56.899
28/06/14 13:20:01,%RH,58.102
28/06/14 13:22:01,%RH,57.952
28/06/14 13:24:01,%RH,56.144
28/06/14 13:26:01,%RH,55.69
28/06/14 13:28:01,%RH,56.295
28/06/14 13:30:01,%RH,56.748
28/06/14 13:32:01,%RH,56.597
28/06/14 13:34:01,%RH,56.144
28/06/14 13:36:01,%RH,55.993
28/06/14 13:38:01,%RH,56.446
28/06/14 13:40:01,%RH,55.538
28/06/14 13:42:01,%RH,55.235
28/06/14 13:44:01,%RH,54.627
28/06/14 13:46:01,%RH,57.2
28/06/14 13:48:01,%RH,57.501
28/06/14 13:50:01,%RH,57.2
28/06/14 13:52:01,%RH,56.295
28/06/14 13:54:01,%RH,56.144
28/06/14 13:56:01,%RH,57.05
28/06/14 13:58:01,%RH,56.295
28/06/14 14:00:01,%RH,56.899
28/06/14 14:02:01,%RH,56.748
28/06/14 14:04:01,%RH,56.446
28/06/14 14:06:01,%RH,57.2
28/06/14 14:08:01,%RH,56.748
28/06/14 14:10:01,%RH,57.952
28/06/14 14:12:01,%RH,56.899
28/06/14 14:14:01,%RH,57.802
28/06/14 14:16:01,%RH,58.102
28/06/14 14:18:01,%RH,57.351
28/06/14 14:20:01,%RH,57.952
28/06/14 14:22:01,%RH,58.701
28/06/14 14:24:01,%RH,59.149
28/06/14 14:26:01,%RH,58.701
28/06/14 14:28:01,%RH,61.081
28/06/14 14:30:01,%RH,59.745
28/06/14 14:32:01,%RH,59.447
28/06/14 14:34:01,%RH,59.745
28/06/14 14:36:01,%RH,60.043
28/06/14 14:38:01,%RH,60.488
28/06/14 14:40:01,%RH,60.785
28/06/14 14:42:01,%RH,61.672
28/06/14 14:44:01,%RH,61.081
28/06/14 14:46:01,%RH,61.377
28/06/14 14:48:01,%RH,61.672
28/06/14 14:50:01,%RH,62.262
28/06/14 14:52:01,%RH,61.819
28/06/14 14:54:01,%RH,62.85
28/06/14 14:56:01,%RH,63.875
28/06/14 14:58:01,%RH,64.313
28/06/14 15:00:01,%RH,63.875
28/06/14 15:02:01,%RH,63.29
28/06/14 15:04:01,%RH,63.29
28/06/14 15:06:01,%RH,63.582
28/06/14 15:08:01,%RH,62.996
28/06/14 15:10:01,%RH,63.582
28/06/14 15:12:01,%RH,63.875
28/06/14 15:14:01,%RH,64.75
28/06/14 15:16:01,%RH,65.766
28/06/14 15:18:01,%RH,65.331
28/06/14 15:20:01,%RH,65.041
28/06/14 15:22:01,%RH,64.458
28/06/14 15:24:01,%RH,65.766
28/06/14 15:26:01,%RH,66.489
28/06/14 15:28:01,%RH,66.778
28/06/14 15:30:01,%RH,68.786
28/06/14 15:32:01,%RH,70.776
28/06/14 15:34:01,%RH,73.863
28/06/14 15:36:01,%RH,75.389
28/06/14 15:38:01,%RH,77.451
28/06/14 15:40:01,%RH,78.949
28/06/14 15:42:01,%RH,79.896
28/06/14 15:44:01,%RH,80.704
28/06/14 15:46:01,%RH,81.375
28/06/14 15:48:01,%RH,82.443
28/06/14 15:50:01,%RH,82.043
28/06/14 15:52:01,%RH,82.709
28/06/14 15:54:01,%RH,83.637
28/06/14 15:56:01,%RH,84.033
28/06/14 15:58:01,%RH,84.033
28/06/14 16:00:01,%RH,84.428
28/06/14 16:02:01,%RH,83.504
28/06/14 16:04:01,%RH,85.085
28/06/14 16:06:01,%RH,84.954
28/06/14 16:08:01,%RH,85.085
28/06/14 16:10:01,%RH,85.478
28/06/14 16:12:01,%RH,86.522
28/06/14 16:14:01,%RH,86.911
28/06/14 16:16:01,%RH,86.782
28/06/14 16:18:01,%RH,86.911
28/06/14 16:20:01,%RH,87.3
28/06/14 16:22:01,%RH,86.911
28/06/14 16:24:01,%RH,87.817
28/06/14 16:26:01,%RH,87.041
28/06/14 16:28:01,%RH,87.817
28/06/14 16:30:01,%RH,88.204
28/06/14 16:32:01,%RH,87.688
28/06/14 16:34:01,%RH,89.231
28/06/14 16:36:01,%RH,88.462
28/06/14 16:38:01,%RH,87.3
28/06/14 16:40:01,%RH,89.103
28/06/14 16:42:01,%RH,89.231
28/06/14 16:44:01,%RH,88.333
28/06/14 16:46:01,%RH,88.333
28/06/14 16:48:01,%RH,89.231
28/06/14 16:50:01,%RH,88.59
28/06/14 16:52:01,%RH,89.103
28/06/14 16:54:01,%RH,88.719
28/06/14 16:56:01,%RH,89.359
28/06/14 16:58:01,%RH,88.975
28/06/14 17:00:01,%RH,89.487
28/06/14 17:02:01,%RH,89.743
28/06/14 17:04:01,%RH,89.87
28/06/14 17:06:01,%RH,88.975
28/06/14 17:08:01,%RH,89.743
28/06/14 17:10:01,%RH,89.87
28/06/14 17:12:01,%RH,90.125
28/06/14 17:14:01,%RH,89.87
28/06/14 17:16:01,%RH,90.379
28/06/14 17:18:01,%RH,90.252
28/06/14 17:20:01,%RH,90.379
28/06/14 17:22:01,%RH,90.379
28/06/14 17:24:01,%RH,90.634
28/06/14 17:26:01,%RH,90.252
28/06/14 17:28:01,%RH,90.507
28/06/14 17:30:01,%RH,90.634
28/06/14 17:32:01,%RH,90.507
28/06/14 17:34:01,%RH,90.379
28/06/14 17:36:01,%RH,90.379
28/06/14 17:38:01,%RH,90.76
28/06/14 17:40:01,%RH,90.76
28/06/14 17:42:01,%RH,90.507
28/06/14 17:44:01,%RH,90.887
28/06/14 17:46:01,%RH,91.14
28/06/14 17:48:01,%RH,91.14
28/06/14 17:50:01,%RH,91.267
28/06/14 17:52:01,%RH,91.646
28/06/14 17:54:01,%RH,90.887
28/06/14 17:56:01,%RH,91.014
28/06/14 17:58:01,%RH,91.393
28/06/14 18:00:01,%RH,90.887
28/06/14 18:02:01,%RH,91.646
28/06/14 18:04:01,%RH,91.52
28/06/14 18:06:01,%RH,91.772
28/06/14 18:08:01,%RH,91.393
28/06/14 18:10:01,%RH,91.267
28/06/14 18:12:01,%RH,91.646
28/06/14 18:14:01,%RH,92.15
28/06/14 18:16:01,%RH,91.267
28/06/14 18:18:01,%RH,91.52
28/06/14 18:20:01,%RH,92.024
28/06/14 18:22:01,%RH,92.024
28/06/14 18:24:01,%RH,92.275
28/06/14 18:26:01,%RH,91.772
28/06/14 18:28:01,%RH,92.024
28/06/14 18:30:01,%RH,91.393
28/06/14 18:32:01,%RH,91.646
28/06/14 18:34:01,%RH,91.646
28/06/14 18:36:01,%RH,91.898
28/06/14 18:38:01,%RH,92.526
28/06/14 18:40:01,%RH,92.275
28/06/14 18:42:01,%RH,91.267
28/06/14 18:44:01,%RH,91.646
28/06/14 18:46:01,%RH,91.52
28/06/14 18:48:01,%RH,91.646
28/06/14 18:50:01,%RH,91.898
28/06/14 18:52:01,%RH,92.024
28/06/14 18:54:01,%RH,92.401
28/06/14 18:56:01,%RH,92.15
28/06/14 18:58:01,%RH,90.76
28/06/14 19:00:01,%RH,92.275
28/06/14 19:02:01,%RH,92.401
28/06/14 19:04:01,%RH,92.024
28/06/14 19:06:01,%RH,92.275
28/06/14 19:08:01,%RH,91.772
28/06/14 19:10:01,%RH,91.52
28/06/14 19:12:01,%RH,91.898
28/06/14 19:14:01,%RH,92.275
28/06/14 19:16:01,%RH,92.15
28/06/14 19:18:01,%RH,91.52
28/06/14 19:20:01,%RH,91.772
28/06/14 19:22:01,%RH,92.15
28/06/14 19:24:01,%RH,91.772
28/06/14 19:26:01,%RH,91.14
28/06/14 19:28:01,%RH,92.526
28/06/14 19:30:01,%RH,91.898
28/06/14 19:32:01,%RH,90.887
28/06/14 19:34:01,%RH,92.15
28/06/14 19:36:01,%RH,91.898
28/06/14 19:38:01,%RH,92.275
28/06/14 19:40:01,%RH,91.267
28/06/14 19:42:01,%RH,92.652
28/06/14 19:44:01,%RH,92.401
28/06/14 19:46:01,%RH,91.772
28/06/14 19:48:01,%RH,92.401
28/06/14 19:50:01,%RH,92.15
28/06/14 19:52:01,%RH,91.14
28/06/14 19:54:01,%RH,90.76
28/06/14 19:56:01,%RH,90.379
28/06/14 19:58:01,%RH,92.652
28/06/14 20:00:01,%RH,92.652
28/06/14 20:02:01,%RH,92.526
28/06/14 20:04:01,%RH,91.393
28/06/14 20:06:01,%RH,93.901
28/06/14 20:08:01,%RH,94.025
28/06/14 20:10:01,%RH,92.777
28/06/14 20:12:01,%RH,92.401
28/06/14 20:14:01,%RH,92.024
28/06/14 20:16:01,%RH,91.393
28/06/14 20:18:01,%RH,91.52
28/06/14 20:20:01,%RH,92.902
28/06/14 20:22:01,%RH,92.401
28/06/14 20:24:01,%RH,92.401
28/06/14 20:26:01,%RH,93.152
28/06/14 20:28:01,%RH,93.027
28/06/14 20:30:01,%RH,92.024
28/06/14 20:32:01,%RH,92.652
28/06/14 20:34:01,%RH,92.024
28/06/14 20:36:01,%RH,92.526
28/06/14 20:38:01,%RH,91.772
28/06/14 20:40:01,%RH,92.777
28/06/14 20:42:01,%RH,92.526
28/06/14 20:44:01,%RH,92.777
28/06/14 20:46:01,%RH,92.902
28/06/14 20:48:01,%RH,91.772
28/06/14 20:50:01,%RH,92.652
28/06/14 20:52:01,%RH,93.152
28/06/14 20:54:01,%RH,92.15
28/06/14 20:56:01,%RH,93.027
28/06/14 20:58:01,%RH,93.027
28/06/14 21:00:01,%RH,93.402
28/06/14 21:02:01,%RH,92.902
28/06/14 21:04:01,%RH,92.902
28/06/14 21:06:01,%RH,93.027
28/06/14 21:08:01,%RH,93.402
28/06/14 21:10:01,%RH,92.401
28/06/14 21:12:01,%RH,92.652
28/06/14 21:14:01,%RH,93.652
28/06/14 21:16:01,%RH,92.902
28/06/14 21:18:01,%RH,92.902
28/06/14 21:20:01,%RH,93.152
28/06/14 21:22:01,%RH,93.152
28/06/14 21:24:01,%RH,92.902
28/06/14 21:26:01,%RH,92.401
28/06/14 21:28:01,%RH,92.777
28/06/14 21:30:01,%RH,93.027
28/06/14 21:32:01,%RH,92.275
28/06/14 21:34:01,%RH,93.277
28/06/14 21:36:01,%RH,92.902
28/06/14 21:38:01,%RH,92.526
28/06/14 21:40:01,%RH,93.277
28/06/14 21:42:01,%RH,93.402
28/06/14 21:44:01,%RH,92.526
28/06/14 21:46:01,%RH,93.277
28/06/14 21:48:01,%RH,93.402
28/06/14 21:50:01,%RH,92.777
28/06/14 21:52:01,%RH,93.027
28/06/14 21:54:01,%RH,93.027
28/06/14 21:56:01,%RH,93.277
28/06/14 21:58:01,%RH,93.527
28/06/14 22:00:01,%RH,93.402
28/06/14 22:02:01,%RH,92.777
28/06/14 22:04:01,%RH,93.277
28/06/14 22:06:01,%RH,92.902
28/06/14 22:08:01,%RH,92.902
28/06/14 22:10:01,%RH,93.277
28/06/14 22:12:01,%RH,93.277
28/06/14 22:14:01,%RH,92.902
28/06/14 22:16:01,%RH,93.277
28/06/14 22:18:01,%RH,93.527
28/06/14 22:20:01,%RH,93.402
28/06/14 22:22:01,%RH,93.027
28/06/14 22:24:01,%RH,93.527
28/06/14 22:26:01,%RH,93.402
28/06/14 22:28:01,%RH,93.652
28/06/14 22:30:01,%RH,93.277
28/06/14 22:32:01,%RH,93.901
28/06/14 22:34:01,%RH,93.402
28/06/14 22:36:01,%RH,94.025
28/06/14 22:38:01,%RH,93.402
28/06/14 22:40:01,%RH,93.402
28/06/14 22:42:01,%RH,93.527
28/06/14 22:44:01,%RH,93.776
28/06/14 22:46:01,%RH,93.027
28/06/14 22:48:01,%RH,93.527
28/06/14 22:50:01,%RH,93.527
28/06/14 22:52:01,%RH,93.652
28/06/14 22:54:01,%RH,93.277
28/06/14 22:56:01,%RH,94.149
28/06/14 22:58:01,%RH,94.769
28/06/14 23:00:01,%RH,94.273
28/06/14 23:02:01,%RH,93.901
28/06/14 23:04:01,%RH,93.776
28/06/14 23:06:01,%RH,93.527
28/06/14 23:08:01,%RH,93.901
28/06/14 23:10:01,%RH,93.402
28/06/14 23:12:01,%RH,92.652
28/06/14 23:14:01,%RH,93.402
28/06/14 23:16:01,%RH,94.149
28/06/14 23:18:01,%RH,93.527
28/06/14 23:20:01,%RH,93.776
