1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C200000033830C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:45:01 CST 2014
Mission Sample Count:  1462
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:45:01 CST 2014
Total Mission Samples:  1462
Total Device Samples:  8335
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:45:01,%RH,75.447
28/06/14 11:47:01,%RH,73.912
28/06/14 11:49:01,%RH,74.611
28/06/14 11:51:01,%RH,74.472
28/06/14 11:53:01,%RH,74.89
28/06/14 11:55:01,%RH,76.002
28/06/14 11:57:01,%RH,74.611
28/06/14 11:59:01,%RH,73.772
28/06/14 12:01:01,%RH,72.225
28/06/14 12:03:01,%RH,73.772
28/06/14 12:05:01,%RH,73.632
28/06/14 12:07:01,%RH,71.801
28/06/14 12:09:01,%RH,71.234
28/06/14 12:11:01,%RH,70.524
28/06/14 12:13:01,%RH,71.659
28/06/14 12:15:01,%RH,71.092
28/06/14 12:17:01,%RH,70.239
28/06/14 12:19:01,%RH,68.953
28/06/14 12:21:01,%RH,68.235
28/06/14 12:23:01,%RH,64.464
28/06/14 12:25:01,%RH,64.902
28/06/14 12:27:01,%RH,65.486
28/06/14 12:29:01,%RH,65.631
28/06/14 12:31:01,%RH,63.585
28/06/14 12:33:01,%RH,62.997
28/06/14 12:35:01,%RH,61.816
28/06/14 12:37:01,%RH,63.291
28/06/14 12:39:01,%RH,61.816
28/06/14 12:41:01,%RH,61.964
28/06/14 12:43:01,%RH,62.555
28/06/14 12:45:01,%RH,61.964
28/06/14 12:47:01,%RH,62.702
28/06/14 12:49:01,%RH,65.34
28/06/14 12:51:01,%RH,65.194
28/06/14 12:53:01,%RH,64.318
28/06/14 12:55:01,%RH,63.878
28/06/14 12:57:01,%RH,63.291
28/06/14 12:59:01,%RH,63.291
28/06/14 13:01:01,%RH,64.318
28/06/14 13:03:01,%RH,64.902
28/06/14 13:05:01,%RH,62.555
28/06/14 13:07:01,%RH,62.997
28/06/14 13:09:01,%RH,62.85
28/06/14 13:11:01,%RH,62.702
28/06/14 13:13:01,%RH,63.291
28/06/14 13:15:01,%RH,62.997
28/06/14 13:17:01,%RH,63.144
28/06/14 13:19:01,%RH,61.816
28/06/14 13:21:01,%RH,62.407
28/06/14 13:23:01,%RH,62.112
28/06/14 13:25:01,%RH,60.63
28/06/14 13:27:01,%RH,60.63
28/06/14 13:29:01,%RH,60.63
28/06/14 13:31:01,%RH,61.816
28/06/14 13:33:01,%RH,61.075
28/06/14 13:35:01,%RH,61.075
28/06/14 13:37:01,%RH,61.964
28/06/14 13:39:01,%RH,59.885
28/06/14 13:41:01,%RH,60.481
28/06/14 13:43:01,%RH,60.332
28/06/14 13:45:01,%RH,60.481
28/06/14 13:47:01,%RH,62.407
28/06/14 13:49:01,%RH,62.85
28/06/14 13:51:01,%RH,60.927
28/06/14 13:53:01,%RH,61.52
28/06/14 13:55:01,%RH,62.702
28/06/14 13:57:01,%RH,61.964
28/06/14 13:59:01,%RH,61.52
28/06/14 14:01:01,%RH,62.407
28/06/14 14:03:01,%RH,62.997
28/06/14 14:05:01,%RH,63.732
28/06/14 14:07:01,%RH,63.585
28/06/14 14:09:01,%RH,64.756
28/06/14 14:11:01,%RH,63.585
28/06/14 14:13:01,%RH,64.318
28/06/14 14:15:01,%RH,62.702
28/06/14 14:17:01,%RH,64.318
28/06/14 14:19:01,%RH,64.025
28/06/14 14:21:01,%RH,64.318
28/06/14 14:23:01,%RH,64.464
28/06/14 14:25:01,%RH,65.34
28/06/14 14:27:01,%RH,64.902
28/06/14 14:29:01,%RH,65.194
28/06/14 14:31:01,%RH,65.486
28/06/14 14:33:01,%RH,65.922
28/06/14 14:35:01,%RH,65.922
28/06/14 14:37:01,%RH,65.631
28/06/14 14:39:01,%RH,65.922
28/06/14 14:41:01,%RH,66.212
28/06/14 14:43:01,%RH,67.37
28/06/14 14:45:01,%RH,67.37
28/06/14 14:47:01,%RH,67.659
28/06/14 14:49:01,%RH,67.226
28/06/14 14:51:01,%RH,67.803
28/06/14 14:53:01,%RH,68.522
28/06/14 14:55:01,%RH,70.239
28/06/14 14:57:01,%RH,67.659
28/06/14 14:59:01,%RH,68.091
28/06/14 15:01:01,%RH,68.666
28/06/14 15:03:01,%RH,67.947
28/06/14 15:05:01,%RH,68.809
28/06/14 15:07:01,%RH,68.379
28/06/14 15:09:01,%RH,67.515
28/06/14 15:11:01,%RH,68.522
28/06/14 15:13:01,%RH,69.668
28/06/14 15:15:01,%RH,70.382
28/06/14 15:17:01,%RH,70.097
28/06/14 15:19:01,%RH,69.811
28/06/14 15:21:01,%RH,69.668
28/06/14 15:23:01,%RH,69.239
