1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F2000000337C8241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:48:01 CST 2014
Mission Sample Count:  1462
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:48:01 CST 2014
Total Mission Samples:  1462
Total Device Samples:  8418
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:48:01,%RH,73.61
28/06/14 11:50:01,%RH,75.292
28/06/14 11:52:01,%RH,74.733
28/06/14 11:54:01,%RH,75.153
28/06/14 11:56:01,%RH,75.013
28/06/14 11:58:01,%RH,75.292
28/06/14 12:00:01,%RH,74.032
28/06/14 12:02:01,%RH,74.313
28/06/14 12:04:01,%RH,73.61
28/06/14 12:06:01,%RH,73.329
28/06/14 12:08:01,%RH,71.348
28/06/14 12:10:01,%RH,71.348
28/06/14 12:12:01,%RH,72.623
28/06/14 12:14:01,%RH,70.351
28/06/14 12:16:01,%RH,71.774
28/06/14 12:18:01,%RH,69.923
28/06/14 12:20:01,%RH,70.066
28/06/14 12:22:01,%RH,66.756
28/06/14 12:24:01,%RH,64.865
28/06/14 12:26:01,%RH,65.303
28/06/14 12:28:01,%RH,65.011
28/06/14 12:30:01,%RH,63.401
28/06/14 12:32:01,%RH,64.281
28/06/14 12:34:01,%RH,62.518
28/06/14 12:36:01,%RH,62.37
28/06/14 12:38:01,%RH,63.401
28/06/14 12:40:01,%RH,62.075
28/06/14 12:42:01,%RH,63.548
28/06/14 12:44:01,%RH,62.813
28/06/14 12:46:01,%RH,62.813
28/06/14 12:48:01,%RH,63.988
28/06/14 12:50:01,%RH,63.841
28/06/14 12:52:01,%RH,63.107
28/06/14 12:54:01,%RH,65.157
28/06/14 12:56:01,%RH,63.401
28/06/14 12:58:01,%RH,63.254
28/06/14 13:00:01,%RH,63.254
28/06/14 13:02:01,%RH,63.988
28/06/14 13:04:01,%RH,63.694
28/06/14 13:06:01,%RH,61.039
28/06/14 13:08:01,%RH,62.075
28/06/14 13:10:01,%RH,61.632
28/06/14 13:12:01,%RH,61.928
28/06/14 13:14:01,%RH,60.743
28/06/14 13:16:01,%RH,62.075
28/06/14 13:18:01,%RH,61.928
28/06/14 13:20:01,%RH,61.928
28/06/14 13:22:01,%RH,60.891
28/06/14 13:24:01,%RH,60.594
28/06/14 13:26:01,%RH,59.701
28/06/14 13:28:01,%RH,60.743
28/06/14 13:30:01,%RH,61.039
28/06/14 13:32:01,%RH,61.484
28/06/14 13:34:01,%RH,60.297
28/06/14 13:36:01,%RH,60.446
28/06/14 13:38:01,%RH,60.891
28/06/14 13:40:01,%RH,60.148
28/06/14 13:42:01,%RH,60.148
28/06/14 13:44:01,%RH,58.056
28/06/14 13:46:01,%RH,60.446
28/06/14 13:48:01,%RH,61.484
28/06/14 13:50:01,%RH,61.039
28/06/14 13:52:01,%RH,61.336
28/06/14 13:54:01,%RH,60.446
28/06/14 13:56:01,%RH,61.78
28/06/14 13:58:01,%RH,60.891
28/06/14 14:00:01,%RH,62.37
28/06/14 14:02:01,%RH,60.297
28/06/14 14:04:01,%RH,61.484
28/06/14 14:06:01,%RH,61.78
28/06/14 14:08:01,%RH,62.665
28/06/14 14:10:01,%RH,61.484
28/06/14 14:12:01,%RH,61.484
28/06/14 14:14:01,%RH,63.401
28/06/14 14:16:01,%RH,63.107
28/06/14 14:18:01,%RH,62.813
28/06/14 14:20:01,%RH,62.96
28/06/14 14:22:01,%RH,62.665
28/06/14 14:24:01,%RH,63.107
28/06/14 14:26:01,%RH,62.37
28/06/14 14:28:01,%RH,63.694
28/06/14 14:30:01,%RH,63.841
28/06/14 14:32:01,%RH,62.665
28/06/14 14:34:01,%RH,63.254
28/06/14 14:36:01,%RH,62.813
28/06/14 14:38:01,%RH,65.011
28/06/14 14:40:01,%RH,65.303
28/06/14 14:42:01,%RH,65.885
28/06/14 14:44:01,%RH,66.031
28/06/14 14:46:01,%RH,65.74
28/06/14 14:48:01,%RH,66.031
28/06/14 14:50:01,%RH,65.885
28/06/14 14:52:01,%RH,66.321
28/06/14 14:54:01,%RH,67.335
28/06/14 14:56:01,%RH,67.046
28/06/14 14:58:01,%RH,66.756
28/06/14 15:00:01,%RH,66.756
28/06/14 15:02:01,%RH,67.335
28/06/14 15:04:01,%RH,68.489
28/06/14 15:06:01,%RH,67.191
28/06/14 15:08:01,%RH,66.756
28/06/14 15:10:01,%RH,67.913
28/06/14 15:12:01,%RH,68.201
28/06/14 15:14:01,%RH,68.057
28/06/14 15:16:01,%RH,69.207
28/06/14 15:18:01,%RH,68.489
28/06/14 15:20:01,%RH,69.207
28/06/14 15:22:01,%RH,67.768
28/06/14 15:24:01,%RH,68.92
28/06/14 15:26:01,%RH,68.632
28/06/14 15:28:01,%RH,71.348
28/06/14 15:30:01,%RH,71.774
28/06/14 15:32:01,%RH,73.469
28/06/14 15:34:01,%RH,75.989
28/06/14 15:36:01,%RH,78.206
28/06/14 15:38:01,%RH,79.031
28/06/14 15:40:01,%RH,79.442
28/06/14 15:42:01,%RH,80.263
28/06/14 15:44:01,%RH,81.895
28/06/14 15:46:01,%RH,82.301
28/06/14 15:48:01,%RH,83.514
28/06/14 15:50:01,%RH,83.783
28/06/14 15:52:01,%RH,83.649
28/06/14 15:54:01,%RH,84.319
28/06/14 15:56:01,%RH,84.051
28/06/14 15:58:01,%RH,84.72
28/06/14 16:00:01,%RH,84.587
28/06/14 16:02:01,%RH,85.919
28/06/14 16:04:01,%RH,85.919
28/06/14 16:06:01,%RH,85.521
28/06/14 16:08:01,%RH,86.318
28/06/14 16:10:01,%RH,86.979
28/06/14 16:12:01,%RH,87.639
28/06/14 16:14:01,%RH,86.847
28/06/14 16:16:01,%RH,87.771
28/06/14 16:18:01,%RH,86.847
28/06/14 16:20:01,%RH,88.165
28/06/14 16:22:01,%RH,88.559
28/06/14 16:24:01,%RH,88.559
28/06/14 16:26:01,%RH,88.297
28/06/14 16:28:01,%RH,88.952
28/06/14 16:30:01,%RH,89.344
28/06/14 16:32:01,%RH,89.866
28/06/14 16:34:01,%RH,89.605
28/06/14 16:36:01,%RH,90.516
28/06/14 16:38:01,%RH,88.034
28/06/14 16:40:01,%RH,90.905
28/06/14 16:42:01,%RH,89.866
28/06/14 16:44:01,%RH,90.126
28/06/14 16:46:01,%RH,89.344
28/06/14 16:48:01,%RH,90.386
28/06/14 16:50:01,%RH,90.126
28/06/14 16:52:01,%RH,90.386
28/06/14 16:54:01,%RH,89.996
28/06/14 16:56:01,%RH,90.386
28/06/14 16:58:01,%RH,90.905
28/06/14 17:00:01,%RH,90.775
28/06/14 17:02:01,%RH,91.034
28/06/14 17:04:01,%RH,90.256
28/06/14 17:06:01,%RH,89.996
28/06/14 17:08:01,%RH,91.938
28/06/14 17:10:01,%RH,91.551
28/06/14 17:12:01,%RH,92.581
28/06/14 17:14:01,%RH,91.809
28/06/14 17:16:01,%RH,90.905
28/06/14 17:18:01,%RH,91.034
28/06/14 17:20:01,%RH,92.581
28/06/14 17:22:01,%RH,92.195
28/06/14 17:24:01,%RH,91.422
28/06/14 17:26:01,%RH,91.422
28/06/14 17:28:01,%RH,91.809
28/06/14 17:30:01,%RH,92.324
28/06/14 17:32:01,%RH,91.938
28/06/14 17:34:01,%RH,91.938
28/06/14 17:36:01,%RH,90.256
28/06/14 17:38:01,%RH,92.324
28/06/14 17:40:01,%RH,91.422
28/06/14 17:42:01,%RH,92.067
28/06/14 17:44:01,%RH,92.838
28/06/14 17:46:01,%RH,92.709
28/06/14 17:48:01,%RH,92.324
28/06/14 17:50:01,%RH,91.938
28/06/14 17:52:01,%RH,92.581
28/06/14 17:54:01,%RH,91.422
28/06/14 17:56:01,%RH,92.453
28/06/14 17:58:01,%RH,93.733
28/06/14 18:00:01,%RH,92.067
28/06/14 18:02:01,%RH,94.243
28/06/14 18:04:01,%RH,94.497
28/06/14 18:06:01,%RH,92.453
28/06/14 18:08:01,%RH,92.838
28/06/14 18:10:01,%RH,92.966
28/06/14 18:12:01,%RH,92.581
28/06/14 18:14:01,%RH,92.195
28/06/14 18:16:01,%RH,93.094
28/06/14 18:18:01,%RH,92.709
28/06/14 18:20:01,%RH,93.094
28/06/14 18:22:01,%RH,93.861
28/06/14 18:24:01,%RH,91.938
28/06/14 18:26:01,%RH,93.094
28/06/14 18:28:01,%RH,92.709
28/06/14 18:30:01,%RH,93.478
28/06/14 18:32:01,%RH,92.324
28/06/14 18:34:01,%RH,92.966
28/06/14 18:36:01,%RH,93.35
28/06/14 18:38:01,%RH,93.605
28/06/14 18:40:01,%RH,93.35
28/06/14 18:42:01,%RH,93.478
28/06/14 18:44:01,%RH,92.453
28/06/14 18:46:01,%RH,93.988
28/06/14 18:48:01,%RH,93.35
28/06/14 18:50:01,%RH,93.605
28/06/14 18:52:01,%RH,93.094
28/06/14 18:54:01,%RH,93.222
28/06/14 18:56:01,%RH,93.605
28/06/14 18:58:01,%RH,92.966
28/06/14 19:00:01,%RH,93.478
28/06/14 19:02:01,%RH,93.605
28/06/14 19:04:01,%RH,93.605
28/06/14 19:06:01,%RH,93.094
28/06/14 19:08:01,%RH,93.605
28/06/14 19:10:01,%RH,93.733
28/06/14 19:12:01,%RH,93.733
28/06/14 19:14:01,%RH,93.988
28/06/14 19:16:01,%RH,93.733
28/06/14 19:18:01,%RH,93.605
28/06/14 19:20:01,%RH,93.733
28/06/14 19:22:01,%RH,93.733
28/06/14 19:24:01,%RH,93.988
28/06/14 19:26:01,%RH,93.988
28/06/14 19:28:01,%RH,93.605
28/06/14 19:30:01,%RH,94.243
28/06/14 19:32:01,%RH,93.861
28/06/14 19:34:01,%RH,94.243
28/06/14 19:36:01,%RH,94.115
28/06/14 19:38:01,%RH,93.733
28/06/14 19:40:01,%RH,93.988
28/06/14 19:42:01,%RH,93.861
28/06/14 19:44:01,%RH,94.115
28/06/14 19:46:01,%RH,93.733
28/06/14 19:48:01,%RH,93.733
28/06/14 19:50:01,%RH,93.478
28/06/14 19:52:01,%RH,93.605
28/06/14 19:54:01,%RH,93.733
28/06/14 19:56:01,%RH,93.605
28/06/14 19:58:01,%RH,93.478
28/06/14 20:00:01,%RH,93.733
