1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B20000003381DD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:51:01 CST 2014
Mission Sample Count:  1461
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:51:01 CST 2014
Total Mission Samples:  1461
Total Device Samples:  8302
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:51:01,%RH,73.802
28/06/14 11:53:01,%RH,72.665
28/06/14 11:55:01,%RH,73.66
28/06/14 11:57:01,%RH,73.943
28/06/14 11:59:01,%RH,72.95
28/06/14 12:01:01,%RH,72.237
28/06/14 12:03:01,%RH,73.518
28/06/14 12:05:01,%RH,73.234
28/06/14 12:07:01,%RH,71.809
28/06/14 12:09:01,%RH,70.084
28/06/14 12:11:01,%RH,70.661
28/06/14 12:13:01,%RH,69.94
28/06/14 12:15:01,%RH,70.661
28/06/14 12:17:01,%RH,70.661
28/06/14 12:19:01,%RH,68.927
28/06/14 12:21:01,%RH,67.178
28/06/14 12:23:01,%RH,64.083
28/06/14 12:25:01,%RH,62.892
28/06/14 12:27:01,%RH,61.694
28/06/14 12:29:01,%RH,62.444
28/06/14 12:31:01,%RH,59.583
28/06/14 12:33:01,%RH,60.641
28/06/14 12:35:01,%RH,58.368
28/06/14 12:37:01,%RH,60.188
28/06/14 12:39:01,%RH,57.91
28/06/14 12:41:01,%RH,56.993
28/06/14 12:43:01,%RH,57.146
28/06/14 12:45:01,%RH,58.215
28/06/14 12:47:01,%RH,58.824
28/06/14 12:49:01,%RH,59.28
28/06/14 12:51:01,%RH,58.672
28/06/14 12:53:01,%RH,58.976
28/06/14 12:55:01,%RH,57.758
28/06/14 12:57:01,%RH,58.215
28/06/14 12:59:01,%RH,55.917
28/06/14 13:01:01,%RH,57.299
28/06/14 13:03:01,%RH,57.758
28/06/14 13:05:01,%RH,57.299
28/06/14 13:07:01,%RH,56.379
28/06/14 13:09:01,%RH,55.917
28/06/14 13:11:01,%RH,55.609
28/06/14 13:13:01,%RH,56.839
28/06/14 13:15:01,%RH,56.686
28/06/14 13:17:01,%RH,55.455
28/06/14 13:19:01,%RH,56.686
28/06/14 13:21:01,%RH,55.763
28/06/14 13:23:01,%RH,55.146
28/06/14 13:25:01,%RH,53.13
28/06/14 13:27:01,%RH,53.596
28/06/14 13:29:01,%RH,54.218
28/06/14 13:31:01,%RH,55.609
28/06/14 13:33:01,%RH,54.682
28/06/14 13:35:01,%RH,53.752
28/06/14 13:37:01,%RH,54.373
28/06/14 13:39:01,%RH,53.441
28/06/14 13:41:01,%RH,52.662
28/06/14 13:43:01,%RH,52.818
28/06/14 13:45:01,%RH,53.441
28/06/14 13:47:01,%RH,55.763
28/06/14 13:49:01,%RH,56.686
28/06/14 13:51:01,%RH,54.528
28/06/14 13:53:01,%RH,54.992
28/06/14 13:55:01,%RH,55.146
28/06/14 13:57:01,%RH,54.528
28/06/14 13:59:01,%RH,55.146
28/06/14 14:01:01,%RH,54.682
28/06/14 14:03:01,%RH,53.13
28/06/14 14:05:01,%RH,53.752
28/06/14 14:07:01,%RH,54.062
28/06/14 14:09:01,%RH,54.992
28/06/14 14:11:01,%RH,53.907
28/06/14 14:13:01,%RH,54.373
28/06/14 14:15:01,%RH,54.218
28/06/14 14:17:01,%RH,54.373
28/06/14 14:19:01,%RH,54.373
28/06/14 14:21:01,%RH,55.301
28/06/14 14:23:01,%RH,56.532
28/06/14 14:25:01,%RH,56.686
28/06/14 14:27:01,%RH,56.071
28/06/14 14:29:01,%RH,56.225
28/06/14 14:31:01,%RH,55.609
28/06/14 14:33:01,%RH,56.225
28/06/14 14:35:01,%RH,56.225
28/06/14 14:37:01,%RH,56.686
28/06/14 14:39:01,%RH,57.299
28/06/14 14:41:01,%RH,57.146
28/06/14 14:43:01,%RH,58.52
28/06/14 14:45:01,%RH,57.758
28/06/14 14:47:01,%RH,57.758
28/06/14 14:49:01,%RH,57.91
28/06/14 14:51:01,%RH,58.824
28/06/14 14:53:01,%RH,59.583
28/06/14 14:55:01,%RH,61.244
28/06/14 14:57:01,%RH,59.886
28/06/14 14:59:01,%RH,61.244
28/06/14 15:01:01,%RH,60.339
28/06/14 15:03:01,%RH,60.49
28/06/14 15:05:01,%RH,60.943
28/06/14 15:07:01,%RH,61.093
28/06/14 15:09:01,%RH,59.432
28/06/14 15:11:01,%RH,60.943
28/06/14 15:13:01,%RH,62.294
28/06/14 15:15:01,%RH,62.144
28/06/14 15:17:01,%RH,62.444
28/06/14 15:19:01,%RH,61.394
28/06/14 15:21:01,%RH,63.041
28/06/14 15:23:01,%RH,61.694
28/06/14 15:25:01,%RH,63.339
28/06/14 15:27:01,%RH,64.528
28/06/14 15:29:01,%RH,66.592
28/06/14 15:31:01,%RH,68.927
28/06/14 15:33:01,%RH,72.237
28/06/14 15:35:01,%RH,75.634
28/06/14 15:37:01,%RH,77.589
28/06/14 15:39:01,%RH,80.072
28/06/14 15:41:01,%RH,81.981
28/06/14 15:43:01,%RH,81.71
28/06/14 15:45:01,%RH,83.736
28/06/14 15:47:01,%RH,83.601
28/06/14 15:49:01,%RH,83.467
28/06/14 15:51:01,%RH,84.94
28/06/14 15:53:01,%RH,85.473
28/06/14 15:55:01,%RH,86.137
28/06/14 15:57:01,%RH,85.739
28/06/14 15:59:01,%RH,84.272
28/06/14 16:01:01,%RH,86.666
28/06/14 16:03:01,%RH,87.325
28/06/14 16:05:01,%RH,87.457
28/06/14 16:07:01,%RH,87.062
28/06/14 16:09:01,%RH,88.374
28/06/14 16:11:01,%RH,88.896
28/06/14 16:13:01,%RH,87.588
28/06/14 16:15:01,%RH,88.896
28/06/14 16:17:01,%RH,88.636
28/06/14 16:19:01,%RH,88.244
28/06/14 16:21:01,%RH,87.719
28/06/14 16:23:01,%RH,89.157
28/06/14 16:25:01,%RH,89.417
28/06/14 16:27:01,%RH,89.287
