1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1A000000337A4741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:49:01 CST 2014
Mission Sample Count:  1463
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:49:01 CST 2014
Total Mission Samples:  1463
Total Device Samples:  8470
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:49:01,%RH,76.043
28/06/14 11:51:01,%RH,75.624
28/06/14 11:53:01,%RH,74.785
28/06/14 11:55:01,%RH,75.485
28/06/14 11:57:01,%RH,75.624
28/06/14 11:59:01,%RH,74.364
28/06/14 12:01:01,%RH,73.378
28/06/14 12:03:01,%RH,73.942
28/06/14 12:05:01,%RH,75.205
28/06/14 12:07:01,%RH,72.813
28/06/14 12:09:01,%RH,71.252
28/06/14 12:11:01,%RH,71.679
28/06/14 12:13:01,%RH,71.963
28/06/14 12:15:01,%RH,71.109
28/06/14 12:17:01,%RH,70.824
28/06/14 12:19:01,%RH,71.109
28/06/14 12:21:01,%RH,69.392
28/06/14 12:23:01,%RH,66.21
28/06/14 12:25:01,%RH,65.189
28/06/14 12:27:01,%RH,64.457
28/06/14 12:29:01,%RH,64.896
28/06/14 12:31:01,%RH,63.133
28/06/14 12:33:01,%RH,64.75
28/06/14 12:35:01,%RH,60.165
28/06/14 12:37:01,%RH,62.69
28/06/14 12:39:01,%RH,59.117
28/06/14 12:41:01,%RH,58.366
28/06/14 12:43:01,%RH,59.417
28/06/14 12:45:01,%RH,58.817
28/06/14 12:47:01,%RH,59.567
28/06/14 12:49:01,%RH,61.059
28/06/14 12:51:01,%RH,61.356
28/06/14 12:53:01,%RH,59.117
28/06/14 12:55:01,%RH,60.314
28/06/14 12:57:01,%RH,58.366
