1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C200000033830C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:45:01 CST 2014
Mission Sample Count:  1462
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:45:01 CST 2014
Total Mission Samples:  1462
Total Device Samples:  8335
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:45:01,C,26.525
28/06/14 11:47:01,C,26.525
28/06/14 11:49:01,C,26.588
28/06/14 11:51:01,C,26.65
28/06/14 11:53:01,C,26.65
28/06/14 11:55:01,C,26.713
28/06/14 11:57:01,C,26.9
28/06/14 11:59:01,C,27.15
28/06/14 12:01:01,C,27.15
28/06/14 12:03:01,C,27.213
28/06/14 12:05:01,C,27.463
28/06/14 12:07:01,C,27.525
28/06/14 12:09:01,C,27.463
28/06/14 12:11:01,C,27.525
28/06/14 12:13:01,C,27.65
28/06/14 12:15:01,C,27.775
28/06/14 12:17:01,C,28.15
28/06/14 12:19:01,C,28.525
28/06/14 12:21:01,C,29.087
28/06/14 12:23:01,C,29.462
28/06/14 12:25:01,C,29.587
28/06/14 12:27:01,C,29.774
28/06/14 12:29:01,C,29.774
28/06/14 12:31:01,C,29.961
28/06/14 12:33:01,C,30.149
28/06/14 12:35:01,C,30.086
28/06/14 12:37:01,C,30.149
28/06/14 12:39:01,C,30.024
28/06/14 12:41:01,C,29.837
28/06/14 12:43:01,C,29.837
28/06/14 12:45:01,C,29.587
28/06/14 12:47:01,C,29.337
28/06/14 12:49:01,C,29.462
28/06/14 12:51:01,C,29.587
28/06/14 12:53:01,C,29.587
28/06/14 12:55:01,C,29.712
28/06/14 12:57:01,C,29.587
28/06/14 12:59:01,C,29.649
28/06/14 13:01:01,C,29.774
28/06/14 13:03:01,C,30.149
28/06/14 13:05:01,C,30.211
28/06/14 13:07:01,C,30.086
28/06/14 13:09:01,C,29.961
28/06/14 13:11:01,C,29.837
28/06/14 13:13:01,C,29.899
28/06/14 13:15:01,C,30.086
28/06/14 13:17:01,C,30.149
28/06/14 13:19:01,C,30.274
28/06/14 13:21:01,C,30.586
28/06/14 13:23:01,C,30.711
28/06/14 13:25:01,C,30.461
28/06/14 13:27:01,C,30.149
28/06/14 13:29:01,C,29.961
28/06/14 13:31:01,C,29.837
28/06/14 13:33:01,C,29.961
28/06/14 13:35:01,C,30.024
28/06/14 13:37:01,C,30.274
28/06/14 13:39:01,C,30.649
28/06/14 13:41:01,C,30.524
28/06/14 13:43:01,C,30.149
28/06/14 13:45:01,C,29.712
28/06/14 13:47:01,C,29.774
28/06/14 13:49:01,C,30.086
28/06/14 13:51:01,C,30.274
28/06/14 13:53:01,C,30.336
28/06/14 13:55:01,C,30.274
28/06/14 13:57:01,C,30.399
28/06/14 13:59:01,C,30.461
28/06/14 14:01:01,C,30.461
28/06/14 14:03:01,C,30.274
28/06/14 14:05:01,C,30.086
28/06/14 14:07:01,C,29.961
28/06/14 14:09:01,C,30.149
28/06/14 14:11:01,C,30.149
28/06/14 14:13:01,C,30.086
28/06/14 14:15:01,C,29.899
28/06/14 14:17:01,C,29.961
28/06/14 14:19:01,C,29.961
28/06/14 14:21:01,C,29.899
28/06/14 14:23:01,C,29.837
28/06/14 14:25:01,C,29.837
28/06/14 14:27:01,C,29.774
28/06/14 14:29:01,C,29.837
28/06/14 14:31:01,C,29.712
28/06/14 14:33:01,C,29.524
28/06/14 14:35:01,C,29.337
28/06/14 14:37:01,C,29.149
28/06/14 14:39:01,C,28.962
28/06/14 14:41:01,C,28.9
28/06/14 14:43:01,C,28.962
28/06/14 14:45:01,C,28.962
28/06/14 14:47:01,C,29.024
28/06/14 14:49:01,C,29.087
28/06/14 14:51:01,C,29.024
28/06/14 14:53:01,C,28.837
28/06/14 14:55:01,C,28.837
28/06/14 14:57:01,C,28.837
28/06/14 14:59:01,C,28.962
28/06/14 15:01:01,C,28.9
28/06/14 15:03:01,C,28.712
28/06/14 15:05:01,C,28.587
28/06/14 15:07:01,C,28.65
28/06/14 15:09:01,C,28.4
28/06/14 15:11:01,C,28.212
28/06/14 15:13:01,C,28.025
28/06/14 15:15:01,C,28.15
28/06/14 15:17:01,C,28.4
28/06/14 15:19:01,C,28.525
28/06/14 15:21:01,C,28.4
28/06/14 15:23:01,C,28.15
28/06/14 15:25:01,C,28.025
28/06/14 15:27:01,C,27.837
28/06/14 15:29:01,C,27.4
28/06/14 15:31:01,C,26.775
28/06/14 15:33:01,C,26.15
28/06/14 15:35:01,C,25.65
