1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 00000000337B9941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:53:01 CST 2014
Mission Sample Count:  1454
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:53:01 CST 2014
Total Mission Samples:  1454
Total Device Samples:  8295
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:53:01,%RH,81.336
28/06/14 11:55:01,%RH,81.041
28/06/14 11:57:01,%RH,81.63
28/06/14 11:59:01,%RH,81.336
28/06/14 12:01:01,%RH,81.336
28/06/14 12:03:01,%RH,80.747
28/06/14 12:05:01,%RH,81.041
28/06/14 12:07:01,%RH,81.483
28/06/14 12:09:01,%RH,81.189
28/06/14 12:11:01,%RH,80.747
28/06/14 12:13:01,%RH,81.041
28/06/14 12:15:01,%RH,80.599
28/06/14 12:17:01,%RH,81.041
28/06/14 12:19:01,%RH,80.894
28/06/14 12:21:01,%RH,80.452
28/06/14 12:23:01,%RH,80.747
28/06/14 12:25:01,%RH,80.599
28/06/14 12:27:01,%RH,79.712
28/06/14 12:29:01,%RH,79.268
28/06/14 12:31:01,%RH,79.86
28/06/14 12:33:01,%RH,77.929
28/06/14 12:35:01,%RH,78.078
28/06/14 12:37:01,%RH,78.078
28/06/14 12:39:01,%RH,77.481
28/06/14 12:41:01,%RH,77.63
28/06/14 12:43:01,%RH,76.882
28/06/14 12:45:01,%RH,78.971
28/06/14 12:47:01,%RH,77.481
28/06/14 12:49:01,%RH,77.331
28/06/14 12:51:01,%RH,78.078
28/06/14 12:53:01,%RH,78.673
28/06/14 12:55:01,%RH,76.582
28/06/14 12:57:01,%RH,76.582
28/06/14 12:59:01,%RH,77.63
28/06/14 13:01:01,%RH,76.882
28/06/14 13:03:01,%RH,78.078
28/06/14 13:05:01,%RH,77.181
28/06/14 13:07:01,%RH,76.282
28/06/14 13:09:01,%RH,76.882
28/06/14 13:11:01,%RH,77.331
28/06/14 13:13:01,%RH,76.282
28/06/14 13:15:01,%RH,76.582
28/06/14 13:17:01,%RH,77.032
28/06/14 13:19:01,%RH,75.68
28/06/14 13:21:01,%RH,76.432
28/06/14 13:23:01,%RH,76.882
28/06/14 13:25:01,%RH,76.882
28/06/14 13:27:01,%RH,76.582
28/06/14 13:29:01,%RH,76.282
28/06/14 13:31:01,%RH,77.331
28/06/14 13:33:01,%RH,75.68
28/06/14 13:35:01,%RH,74.624
28/06/14 13:37:01,%RH,75.228
28/06/14 13:39:01,%RH,75.077
28/06/14 13:41:01,%RH,75.68
28/06/14 13:43:01,%RH,75.831
28/06/14 13:45:01,%RH,76.582
28/06/14 13:47:01,%RH,75.379
28/06/14 13:49:01,%RH,74.473
28/06/14 13:51:01,%RH,75.53
28/06/14 13:53:01,%RH,75.981
28/06/14 13:55:01,%RH,75.077
28/06/14 13:57:01,%RH,74.624
28/06/14 13:59:01,%RH,75.831
28/06/14 14:01:01,%RH,77.481
28/06/14 14:03:01,%RH,75.981
28/06/14 14:05:01,%RH,75.981
28/06/14 14:07:01,%RH,76.432
28/06/14 14:09:01,%RH,75.379
28/06/14 14:11:01,%RH,75.68
28/06/14 14:13:01,%RH,76.432
28/06/14 14:15:01,%RH,74.775
28/06/14 14:17:01,%RH,75.228
28/06/14 14:19:01,%RH,75.68
28/06/14 14:21:01,%RH,75.981
28/06/14 14:23:01,%RH,75.831
28/06/14 14:25:01,%RH,75.981
28/06/14 14:27:01,%RH,76.432
28/06/14 14:29:01,%RH,76.132
28/06/14 14:31:01,%RH,75.53
28/06/14 14:33:01,%RH,76.882
28/06/14 14:35:01,%RH,76.132
28/06/14 14:37:01,%RH,77.032
28/06/14 14:39:01,%RH,77.181
