1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A70000003381E641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:48:01 CST 2014
Mission Sample Count:  1458
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:48:01 CST 2014
Total Mission Samples:  1458
Total Device Samples:  8389
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:48:01,%RH,79.883
28/06/14 11:50:01,%RH,80.155
28/06/14 11:52:01,%RH,80.019
28/06/14 11:54:01,%RH,79.883
28/06/14 11:56:01,%RH,80.155
28/06/14 11:58:01,%RH,79.883
28/06/14 12:00:01,%RH,80.426
28/06/14 12:02:01,%RH,80.291
28/06/14 12:04:01,%RH,79.747
28/06/14 12:06:01,%RH,79.611
28/06/14 12:08:01,%RH,79.747
28/06/14 12:10:01,%RH,79.474
28/06/14 12:12:01,%RH,79.338
28/06/14 12:14:01,%RH,78.792
28/06/14 12:16:01,%RH,79.202
28/06/14 12:18:01,%RH,78.928
28/06/14 12:20:01,%RH,78.518
28/06/14 12:22:01,%RH,77.832
28/06/14 12:24:01,%RH,77.419
28/06/14 12:26:01,%RH,77.143
28/06/14 12:28:01,%RH,76.175
28/06/14 12:30:01,%RH,75.063
28/06/14 12:32:01,%RH,74.784
28/06/14 12:34:01,%RH,74.364
28/06/14 12:36:01,%RH,74.084
28/06/14 12:38:01,%RH,73.101
28/06/14 12:40:01,%RH,72.678
28/06/14 12:42:01,%RH,73.383
28/06/14 12:44:01,%RH,70.694
28/06/14 12:46:01,%RH,72.819
28/06/14 12:48:01,%RH,72.537
28/06/14 12:50:01,%RH,72.678
28/06/14 12:52:01,%RH,73.242
28/06/14 12:54:01,%RH,72.96
28/06/14 12:56:01,%RH,72.537
28/06/14 12:58:01,%RH,72.396
28/06/14 13:00:01,%RH,71.547
28/06/14 13:02:01,%RH,71.972
28/06/14 13:04:01,%RH,71.972
28/06/14 13:06:01,%RH,71.405
28/06/14 13:08:01,%RH,71.263
28/06/14 13:10:01,%RH,70.552
28/06/14 13:12:01,%RH,70.694
28/06/14 13:14:01,%RH,70.694
28/06/14 13:16:01,%RH,70.409
28/06/14 13:18:01,%RH,69.551
28/06/14 13:20:01,%RH,70.409
28/06/14 13:22:01,%RH,70.409
28/06/14 13:24:01,%RH,69.551
28/06/14 13:26:01,%RH,69.265
28/06/14 13:28:01,%RH,68.547
28/06/14 13:30:01,%RH,68.403
28/06/14 13:32:01,%RH,68.259
28/06/14 13:34:01,%RH,68.691
28/06/14 13:36:01,%RH,68.115
28/06/14 13:38:01,%RH,68.115
28/06/14 13:40:01,%RH,67.826
28/06/14 13:42:01,%RH,67.682
28/06/14 13:44:01,%RH,67.682
28/06/14 13:46:01,%RH,68.259
28/06/14 13:48:01,%RH,67.826
28/06/14 13:50:01,%RH,67.826
28/06/14 13:52:01,%RH,68.691
28/06/14 13:54:01,%RH,68.403
28/06/14 13:56:01,%RH,68.115
28/06/14 13:58:01,%RH,68.547
28/06/14 14:00:01,%RH,68.978
28/06/14 14:02:01,%RH,68.834
28/06/14 14:04:01,%RH,69.121
28/06/14 14:06:01,%RH,68.691
28/06/14 14:08:01,%RH,69.121
28/06/14 14:10:01,%RH,69.265
28/06/14 14:12:01,%RH,69.551
28/06/14 14:14:01,%RH,69.265
28/06/14 14:16:01,%RH,69.408
28/06/14 14:18:01,%RH,69.551
28/06/14 14:20:01,%RH,69.265
28/06/14 14:22:01,%RH,70.124
28/06/14 14:24:01,%RH,69.695
28/06/14 14:26:01,%RH,70.266
28/06/14 14:28:01,%RH,70.409
28/06/14 14:30:01,%RH,70.979
28/06/14 14:32:01,%RH,70.266
28/06/14 14:34:01,%RH,70.979
28/06/14 14:36:01,%RH,70.694
28/06/14 14:38:01,%RH,70.836
28/06/14 14:40:01,%RH,71.972
28/06/14 14:42:01,%RH,71.972
28/06/14 14:44:01,%RH,71.83
28/06/14 14:46:01,%RH,71.689
28/06/14 14:48:01,%RH,72.255
28/06/14 14:50:01,%RH,72.537
28/06/14 14:52:01,%RH,73.101
28/06/14 14:54:01,%RH,72.96
28/06/14 14:56:01,%RH,73.242
28/06/14 14:58:01,%RH,73.101
28/06/14 15:00:01,%RH,73.242
28/06/14 15:02:01,%RH,73.383
28/06/14 15:04:01,%RH,72.819
28/06/14 15:06:01,%RH,72.819
