1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7F0000003382EF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 60 second(s)
Mission Start Time:  Fri Jul 04 23:34:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Jul 05 21:51:01 CST 2014
Total Mission Samples:  3385
Total Device Samples:  13571
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
05/07/14 21:51:01,%RH,91.761
05/07/14 21:52:01,%RH,91.886
05/07/14 21:53:01,%RH,92.012
05/07/14 21:54:01,%RH,92.137
05/07/14 21:55:01,%RH,92.137
05/07/14 21:56:01,%RH,91.761
05/07/14 21:57:01,%RH,92.262
05/07/14 21:58:01,%RH,91.384
05/07/14 21:59:01,%RH,92.512
05/07/14 22:00:01,%RH,91.761
05/07/14 22:01:01,%RH,92.637
05/07/14 22:02:01,%RH,91.635
05/07/14 22:03:01,%RH,92.637
05/07/14 22:04:01,%RH,92.512
05/07/14 22:05:01,%RH,92.137
05/07/14 22:06:01,%RH,92.761
05/07/14 22:07:01,%RH,93.508
05/07/14 22:08:01,%RH,90.881
05/07/14 22:09:01,%RH,92.512
05/07/14 22:10:01,%RH,92.512
05/07/14 22:11:01,%RH,92.761
05/07/14 22:12:01,%RH,92.761
05/07/14 22:13:01,%RH,92.137
05/07/14 22:14:01,%RH,92.761
05/07/14 22:15:01,%RH,92.387
05/07/14 22:16:01,%RH,92.637
05/07/14 22:17:01,%RH,92.512
05/07/14 22:18:01,%RH,92.761
05/07/14 22:19:01,%RH,93.011
05/07/14 22:20:01,%RH,93.135
05/07/14 22:21:01,%RH,93.011
05/07/14 22:22:01,%RH,92.262
05/07/14 22:23:01,%RH,92.761
05/07/14 22:24:01,%RH,93.259
05/07/14 22:25:01,%RH,92.886
05/07/14 22:26:01,%RH,92.637
05/07/14 22:27:01,%RH,92.886
05/07/14 22:28:01,%RH,93.011
05/07/14 22:29:01,%RH,92.387
05/07/14 22:30:01,%RH,94.744
05/07/14 22:31:01,%RH,93.756
05/07/14 22:32:01,%RH,94.127
05/07/14 22:33:01,%RH,92.886
05/07/14 22:34:01,%RH,93.135
05/07/14 22:35:01,%RH,93.011
05/07/14 22:36:01,%RH,93.756
05/07/14 22:37:01,%RH,93.632
05/07/14 22:38:01,%RH,93.259
05/07/14 22:39:01,%RH,92.387
05/07/14 22:40:01,%RH,93.632
05/07/14 22:41:01,%RH,93.011
05/07/14 22:42:01,%RH,93.384
05/07/14 22:43:01,%RH,93.135
05/07/14 22:44:01,%RH,93.135
05/07/14 22:45:01,%RH,93.011
05/07/14 22:46:01,%RH,93.135
05/07/14 22:47:01,%RH,94.004
05/07/14 22:48:01,%RH,92.512
05/07/14 22:49:01,%RH,93.011
05/07/14 22:50:01,%RH,93.508
05/07/14 22:51:01,%RH,92.886
05/07/14 22:52:01,%RH,93.508
05/07/14 22:53:01,%RH,93.384
05/07/14 22:54:01,%RH,93.88
05/07/14 22:55:01,%RH,94.004
05/07/14 22:56:01,%RH,93.259
05/07/14 22:57:01,%RH,92.387
05/07/14 22:58:01,%RH,93.384
05/07/14 22:59:01,%RH,93.011
05/07/14 23:00:01,%RH,92.761
05/07/14 23:01:01,%RH,93.632
05/07/14 23:02:01,%RH,93.88
05/07/14 23:03:01,%RH,93.135
05/07/14 23:04:01,%RH,93.259
05/07/14 23:05:01,%RH,93.632
05/07/14 23:06:01,%RH,93.632
05/07/14 23:07:01,%RH,93.756
05/07/14 23:08:01,%RH,92.637
05/07/14 23:09:01,%RH,93.508
05/07/14 23:10:01,%RH,93.756
05/07/14 23:11:01,%RH,93.384
05/07/14 23:12:01,%RH,92.886
05/07/14 23:13:01,%RH,93.384
05/07/14 23:14:01,%RH,93.259
05/07/14 23:15:01,%RH,94.374
05/07/14 23:16:01,%RH,93.756
05/07/14 23:17:01,%RH,94.127
05/07/14 23:18:01,%RH,93.88
05/07/14 23:19:01,%RH,93.508
05/07/14 23:20:01,%RH,93.135
05/07/14 23:21:01,%RH,93.135
05/07/14 23:22:01,%RH,93.756
05/07/14 23:23:01,%RH,94.127
05/07/14 23:24:01,%RH,94.374
05/07/14 23:25:01,%RH,93.88
05/07/14 23:26:01,%RH,93.384
05/07/14 23:27:01,%RH,94.251
05/07/14 23:28:01,%RH,93.88
05/07/14 23:29:01,%RH,93.632
05/07/14 23:30:01,%RH,94.004
05/07/14 23:31:01,%RH,93.632
05/07/14 23:32:01,%RH,93.756
05/07/14 23:33:01,%RH,93.135
05/07/14 23:34:01,%RH,93.756
05/07/14 23:35:01,%RH,93.508
05/07/14 23:36:01,%RH,93.88
05/07/14 23:37:01,%RH,93.88
05/07/14 23:38:01,%RH,93.88
05/07/14 23:39:01,%RH,93.508
05/07/14 23:40:01,%RH,92.012
05/07/14 23:41:01,%RH,92.886
05/07/14 23:42:01,%RH,93.756
05/07/14 23:43:01,%RH,95.359
05/07/14 23:44:01,%RH,93.632
05/07/14 23:45:01,%RH,93.135
05/07/14 23:46:01,%RH,95.359
05/07/14 23:47:01,%RH,94.127
05/07/14 23:48:01,%RH,93.135
05/07/14 23:49:01,%RH,93.632
05/07/14 23:50:01,%RH,93.259
05/07/14 23:51:01,%RH,93.259
05/07/14 23:52:01,%RH,93.756
05/07/14 23:53:01,%RH,93.756
05/07/14 23:54:01,%RH,93.756
05/07/14 23:55:01,%RH,93.508
05/07/14 23:56:01,%RH,93.384
05/07/14 23:57:01,%RH,94.498
05/07/14 23:58:01,%RH,93.756
05/07/14 23:59:01,%RH,93.508
06/07/14 00:00:01,%RH,94.004
06/07/14 00:01:01,%RH,93.384
06/07/14 00:02:01,%RH,93.632
06/07/14 00:03:01,%RH,93.259
06/07/14 00:04:01,%RH,93.384
06/07/14 00:05:01,%RH,93.756
06/07/14 00:06:01,%RH,93.508
06/07/14 00:07:01,%RH,93.384
06/07/14 00:08:01,%RH,93.259
06/07/14 00:09:01,%RH,93.384
06/07/14 00:10:01,%RH,94.127
06/07/14 00:11:01,%RH,93.259
06/07/14 00:12:01,%RH,94.251
06/07/14 00:13:01,%RH,92.886
06/07/14 00:14:01,%RH,93.384
06/07/14 00:15:01,%RH,93.011
06/07/14 00:16:01,%RH,93.88
06/07/14 00:17:01,%RH,92.886
06/07/14 00:18:01,%RH,93.508
06/07/14 00:19:01,%RH,93.632
06/07/14 00:20:01,%RH,93.756
06/07/14 00:21:01,%RH,93.508
06/07/14 00:22:01,%RH,94.251
06/07/14 00:23:01,%RH,94.004
06/07/14 00:24:01,%RH,93.135
06/07/14 00:25:01,%RH,93.756
06/07/14 00:26:01,%RH,93.384
06/07/14 00:27:01,%RH,93.384
06/07/14 00:28:01,%RH,94.004
06/07/14 00:29:01,%RH,93.384
06/07/14 00:30:01,%RH,93.384
06/07/14 00:31:01,%RH,93.135
06/07/14 00:32:01,%RH,93.756
06/07/14 00:33:01,%RH,93.259
06/07/14 00:34:01,%RH,93.011
06/07/14 00:35:01,%RH,94.004
06/07/14 00:36:01,%RH,93.384
06/07/14 00:37:01,%RH,93.259
06/07/14 00:38:01,%RH,93.508
06/07/14 00:39:01,%RH,93.508
06/07/14 00:40:01,%RH,93.508
06/07/14 00:41:01,%RH,93.384
06/07/14 00:42:01,%RH,93.88
06/07/14 00:43:01,%RH,93.259
06/07/14 00:44:01,%RH,93.508
06/07/14 00:45:01,%RH,93.384
06/07/14 00:46:01,%RH,94.127
06/07/14 00:47:01,%RH,93.384
06/07/14 00:48:01,%RH,92.387
06/07/14 00:49:01,%RH,93.508
06/07/14 00:50:01,%RH,93.135
06/07/14 00:51:01,%RH,93.632
06/07/14 00:52:01,%RH,93.011
06/07/14 00:53:01,%RH,94.004
06/07/14 00:54:01,%RH,93.632
06/07/14 00:55:01,%RH,93.135
06/07/14 00:56:01,%RH,93.632
06/07/14 00:57:01,%RH,93.384
06/07/14 00:58:01,%RH,93.756
06/07/14 00:59:01,%RH,92.886
06/07/14 01:00:01,%RH,93.88
06/07/14 01:01:01,%RH,93.88
06/07/14 01:02:01,%RH,93.88
06/07/14 01:03:01,%RH,94.004
06/07/14 01:04:01,%RH,93.88
06/07/14 01:05:01,%RH,93.135
06/07/14 01:06:01,%RH,93.632
06/07/14 01:07:01,%RH,93.259
06/07/14 01:08:01,%RH,93.011
06/07/14 01:09:01,%RH,93.508
06/07/14 01:10:01,%RH,93.756
06/07/14 01:11:01,%RH,93.756
06/07/14 01:12:01,%RH,93.508
06/07/14 01:13:01,%RH,94.127
06/07/14 01:14:01,%RH,93.508
06/07/14 01:15:01,%RH,93.135
06/07/14 01:16:01,%RH,93.508
06/07/14 01:17:01,%RH,93.632
06/07/14 01:18:01,%RH,94.99
06/07/14 01:19:01,%RH,93.384
06/07/14 01:20:01,%RH,92.387
06/07/14 01:21:01,%RH,93.756
06/07/14 01:22:01,%RH,93.135
06/07/14 01:23:01,%RH,92.886
06/07/14 01:24:01,%RH,93.135
06/07/14 01:25:01,%RH,93.508
06/07/14 01:26:01,%RH,93.508
06/07/14 01:27:01,%RH,93.88
06/07/14 01:28:01,%RH,94.004
06/07/14 01:29:01,%RH,93.011
06/07/14 01:30:01,%RH,93.011
06/07/14 01:31:01,%RH,92.761
06/07/14 01:32:01,%RH,93.88
06/07/14 01:33:01,%RH,93.88
06/07/14 01:34:01,%RH,94.127
06/07/14 01:35:01,%RH,93.384
06/07/14 01:36:01,%RH,93.135
06/07/14 01:37:01,%RH,93.508
06/07/14 01:38:01,%RH,94.744
06/07/14 01:39:01,%RH,93.135
06/07/14 01:40:01,%RH,93.384
06/07/14 01:41:01,%RH,93.384
06/07/14 01:42:01,%RH,92.387
06/07/14 01:43:01,%RH,94.004
06/07/14 01:44:01,%RH,94.251
06/07/14 01:45:01,%RH,92.637
06/07/14 01:46:01,%RH,92.637
06/07/14 01:47:01,%RH,93.88
06/07/14 01:48:01,%RH,93.632
06/07/14 01:49:01,%RH,93.135
06/07/14 01:50:01,%RH,94.127
06/07/14 01:51:01,%RH,92.387
06/07/14 01:52:01,%RH,94.621
06/07/14 01:53:01,%RH,93.632
06/07/14 01:54:01,%RH,92.637
06/07/14 01:55:01,%RH,93.508
06/07/14 01:56:01,%RH,93.384
06/07/14 01:57:01,%RH,93.135
06/07/14 01:58:01,%RH,93.508
06/07/14 01:59:01,%RH,93.756
06/07/14 02:00:01,%RH,93.384
06/07/14 02:01:01,%RH,93.632
06/07/14 02:02:01,%RH,94.374
06/07/14 02:03:01,%RH,93.508
06/07/14 02:04:01,%RH,93.88
06/07/14 02:05:01,%RH,93.632
06/07/14 02:06:01,%RH,94.004
06/07/14 02:07:01,%RH,92.886
06/07/14 02:08:01,%RH,93.632
06/07/14 02:09:01,%RH,94.004
06/07/14 02:10:01,%RH,93.88
06/07/14 02:11:01,%RH,93.632
06/07/14 02:12:01,%RH,93.632
06/07/14 02:13:01,%RH,94.498
06/07/14 02:14:01,%RH,94.99
06/07/14 02:15:01,%RH,93.135
06/07/14 02:16:01,%RH,93.88
06/07/14 02:17:01,%RH,94.374
06/07/14 02:18:01,%RH,93.88
06/07/14 02:19:01,%RH,94.374
06/07/14 02:20:01,%RH,93.384
06/07/14 02:21:01,%RH,94.004
06/07/14 02:22:01,%RH,94.498
06/07/14 02:23:01,%RH,94.374
06/07/14 02:24:01,%RH,94.004
06/07/14 02:25:01,%RH,93.756
06/07/14 02:26:01,%RH,94.127
06/07/14 02:27:01,%RH,93.011
06/07/14 02:28:01,%RH,94.744
06/07/14 02:29:01,%RH,92.387
06/07/14 02:30:01,%RH,93.756
06/07/14 02:31:01,%RH,93.259
06/07/14 02:32:01,%RH,95.236
06/07/14 02:33:01,%RH,92.387
06/07/14 02:34:01,%RH,93.88
