1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1D0000002BDBC641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Oct 04 11:35:01 CST 2013
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jan 20 19:55:01 CST 2014
Total Mission Samples:  18162
Total Device Samples:  27805
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-20-14 07:55:01 PM,%RH,100.232
01-20-14 08:05:01 PM,%RH,99.648
01-20-14 08:15:01 PM,%RH,99.765
01-20-14 08:25:01 PM,%RH,99.999
01-20-14 08:35:01 PM,%RH,101.046
01-20-14 08:45:01 PM,%RH,100.232
01-20-14 08:55:01 PM,%RH,99.765
01-20-14 09:05:01 PM,%RH,100.116
01-20-14 09:15:01 PM,%RH,98.944
01-20-14 09:25:01 PM,%RH,99.062
01-20-14 09:35:01 PM,%RH,99.062
01-20-14 09:45:01 PM,%RH,99.999
01-20-14 09:55:01 PM,%RH,99.179
01-20-14 10:05:01 PM,%RH,98.827
01-20-14 10:15:01 PM,%RH,96.93
01-20-14 10:25:01 PM,%RH,95.852
01-20-14 10:35:01 PM,%RH,95.732
01-20-14 10:45:01 PM,%RH,94.645
01-20-14 10:55:01 PM,%RH,93.305
01-20-14 11:05:01 PM,%RH,91.83
01-20-14 11:15:01 PM,%RH,93.305
01-20-14 11:25:01 PM,%RH,92.201
01-20-14 11:35:01 PM,%RH,93.183
01-20-14 11:45:01 PM,%RH,93.794
01-20-14 11:55:01 PM,%RH,94.524
01-21-14 12:05:01 AM,%RH,93.916
01-21-14 12:15:01 AM,%RH,95.371
01-21-14 12:25:01 AM,%RH,96.092
01-21-14 12:35:01 AM,%RH,97.288
01-21-14 12:45:01 AM,%RH,97.407
01-21-14 12:55:01 AM,%RH,98.237
01-21-14 01:05:01 AM,%RH,97.288
01-21-14 01:15:01 AM,%RH,98.944
01-21-14 01:25:01 AM,%RH,98.827
01-21-14 01:35:01 AM,%RH,98.709
01-21-14 01:45:01 AM,%RH,98.591
01-21-14 01:55:01 AM,%RH,98.944
01-21-14 02:05:01 AM,%RH,98.709
01-21-14 02:15:01 AM,%RH,99.062
01-21-14 02:25:01 AM,%RH,98.944
01-21-14 02:35:01 AM,%RH,100.232
01-21-14 02:45:01 AM,%RH,98.827
01-21-14 02:55:01 AM,%RH,99.882
01-21-14 03:05:01 AM,%RH,99.882
01-21-14 03:15:01 AM,%RH,100.116
01-21-14 03:25:01 AM,%RH,100.116
01-21-14 03:35:01 AM,%RH,99.531
01-21-14 03:45:01 AM,%RH,99.531
01-21-14 03:55:01 AM,%RH,99.648
01-21-14 04:05:01 AM,%RH,99.648
01-21-14 04:15:01 AM,%RH,99.765
01-21-14 04:25:01 AM,%RH,98.709
01-21-14 04:35:01 AM,%RH,100.814
01-21-14 04:45:01 AM,%RH,101.161
01-21-14 04:55:01 AM,%RH,100.465
01-21-14 05:05:01 AM,%RH,99.999
01-21-14 05:15:01 AM,%RH,100.465
01-21-14 05:25:01 AM,%RH,100.349
01-21-14 05:35:01 AM,%RH,99.179
01-21-14 05:45:01 AM,%RH,100.232
01-21-14 05:55:01 AM,%RH,100.349
01-21-14 06:05:01 AM,%RH,101.046
01-21-14 06:15:01 AM,%RH,100.93
01-21-14 06:25:01 AM,%RH,100.349
01-21-14 06:35:01 AM,%RH,100.698
01-21-14 06:45:01 AM,%RH,101.046
01-21-14 06:55:01 AM,%RH,101.161
01-21-14 07:05:01 AM,%RH,101.393
01-21-14 07:15:01 AM,%RH,101.277
01-21-14 07:25:01 AM,%RH,99.765
01-21-14 07:35:01 AM,%RH,100.93
01-21-14 07:45:01 AM,%RH,100.93
01-21-14 07:55:01 AM,%RH,99.882
01-21-14 08:05:01 AM,%RH,98.591
01-21-14 08:15:01 AM,%RH,92.57
01-21-14 08:25:01 AM,%RH,90.341
01-21-14 08:35:01 AM,%RH,89.716
01-21-14 08:45:01 AM,%RH,90.59
01-21-14 08:55:01 AM,%RH,89.465
01-21-14 09:05:01 AM,%RH,80.177
01-21-14 09:15:01 AM,%RH,68.826
01-21-14 09:25:01 AM,%RH,65.416
01-21-14 09:35:01 AM,%RH,74.519
01-21-14 09:45:01 AM,%RH,72.179
01-21-14 09:55:01 AM,%RH,75.474
01-21-14 10:05:01 AM,%RH,74.245
01-21-14 10:15:01 AM,%RH,71.624
01-21-14 10:25:01 AM,%RH,68.544
01-21-14 10:35:01 AM,%RH,70.37
01-21-14 10:45:01 AM,%RH,70.789
01-21-14 10:55:01 AM,%RH,73.146
01-21-14 11:05:01 AM,%RH,74.108
01-21-14 11:15:01 AM,%RH,72.594
01-21-14 11:25:01 AM,%RH,68.826
01-21-14 11:35:01 AM,%RH,67.696
01-21-14 11:45:01 AM,%RH,59.899
01-21-14 11:55:01 AM,%RH,64.41
01-21-14 12:05:01 PM,%RH,65.129
01-21-14 12:15:01 PM,%RH,65.559
01-21-14 12:25:01 PM,%RH,62.385
01-21-14 12:35:01 PM,%RH,63.978
01-21-14 12:45:01 PM,%RH,56.937
01-21-14 12:55:01 PM,%RH,56.19
01-21-14 01:05:01 PM,%RH,54.84
01-21-14 01:15:01 PM,%RH,60.633
01-21-14 01:25:01 PM,%RH,64.842
01-21-14 01:35:01 PM,%RH,54.991
01-21-14 01:45:01 PM,%RH,52.42
01-21-14 01:55:01 PM,%RH,62.821
01-21-14 02:05:01 PM,%RH,65.416
01-21-14 02:15:01 PM,%RH,58.127
01-21-14 02:25:01 PM,%RH,51.811
01-21-14 02:35:01 PM,%RH,55.441
01-21-14 02:45:01 PM,%RH,46.257
01-21-14 02:55:01 PM,%RH,53.784
01-21-14 03:05:01 PM,%RH,52.724
01-21-14 03:15:01 PM,%RH,52.572
01-21-14 03:25:01 PM,%RH,57.384
01-21-14 03:35:01 PM,%RH,64.842
01-21-14 03:45:01 PM,%RH,65.559
01-21-14 03:55:01 PM,%RH,59.752
01-21-14 04:05:01 PM,%RH,65.702
01-21-14 04:15:01 PM,%RH,67.979
01-21-14 04:25:01 PM,%RH,64.266
01-21-14 04:35:01 PM,%RH,67.27
01-21-14 04:45:01 PM,%RH,68.544
01-21-14 04:55:01 PM,%RH,62.675
01-21-14 05:05:01 PM,%RH,61.948
01-21-14 05:15:01 PM,%RH,70.928
01-21-14 05:25:01 PM,%RH,78.979
01-21-14 05:35:01 PM,%RH,81.366
01-21-14 05:45:01 PM,%RH,82.416
01-21-14 05:55:01 PM,%RH,84.369
01-21-14 06:05:01 PM,%RH,85.015
01-21-14 06:15:01 PM,%RH,85.401
01-21-14 06:25:01 PM,%RH,87.065
01-21-14 06:35:01 PM,%RH,88.585
01-21-14 06:45:01 PM,%RH,88.963
01-21-14 06:55:01 PM,%RH,89.214
01-21-14 07:05:01 PM,%RH,89.716
01-21-14 07:15:01 PM,%RH,89.591
01-21-14 07:25:01 PM,%RH,89.841
01-21-14 07:35:01 PM,%RH,91.336
01-21-14 07:45:01 PM,%RH,94.766
01-21-14 07:55:01 PM,%RH,95.612
01-21-14 08:05:01 PM,%RH,96.212
