1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3F0000002BB46641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Nov 06 15:42:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Feb 17 05:42:01 CST 2014
Total Mission Samples:  16820
Total Device Samples:  26426
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
02-17-14 05:42:01 AM,%RH,81.66
02-17-14 05:52:01 AM,%RH,82.145
02-17-14 06:02:01 AM,%RH,80.929
02-17-14 06:12:01 AM,%RH,81.417
02-17-14 06:22:01 AM,%RH,81.781
02-17-14 06:32:01 AM,%RH,81.173
02-17-14 06:42:01 AM,%RH,81.417
02-17-14 06:52:01 AM,%RH,81.66
02-17-14 07:02:01 AM,%RH,81.173
02-17-14 07:12:01 AM,%RH,81.051
02-17-14 07:22:01 AM,%RH,81.781
02-17-14 07:32:01 AM,%RH,82.145
02-17-14 07:42:01 AM,%RH,82.145
02-17-14 07:52:01 AM,%RH,82.507
02-17-14 08:02:01 AM,%RH,80.44
02-17-14 08:12:01 AM,%RH,80.44
02-17-14 08:22:01 AM,%RH,79.083
02-17-14 08:32:01 AM,%RH,75.946
02-17-14 08:42:01 AM,%RH,75.437
02-17-14 08:52:01 AM,%RH,76.073
02-17-14 09:02:01 AM,%RH,77.336
02-17-14 09:12:01 AM,%RH,78.213
02-17-14 09:22:01 AM,%RH,80.44
02-17-14 09:32:01 AM,%RH,81.66
02-17-14 09:42:01 AM,%RH,82.024
02-17-14 09:52:01 AM,%RH,78.835
02-17-14 10:02:01 AM,%RH,78.835
02-17-14 10:12:01 AM,%RH,80.194
02-17-14 10:22:01 AM,%RH,79.825
02-17-14 10:32:01 AM,%RH,80.562
02-17-14 10:42:01 AM,%RH,80.317
02-17-14 10:52:01 AM,%RH,80.194
02-17-14 11:02:01 AM,%RH,80.807
02-17-14 11:12:01 AM,%RH,80.071
02-17-14 11:22:01 AM,%RH,80.562
02-17-14 11:32:01 AM,%RH,80.685
02-17-14 11:42:01 AM,%RH,81.903
02-17-14 11:52:01 AM,%RH,80.071
02-17-14 12:02:01 PM,%RH,77.963
02-17-14 12:12:01 PM,%RH,76.706
02-17-14 12:22:01 PM,%RH,77.587
02-17-14 12:32:01 PM,%RH,77.21
02-17-14 12:42:01 PM,%RH,76.706
02-17-14 12:52:01 PM,%RH,76.326
02-17-14 01:02:01 PM,%RH,76.832
02-17-14 01:12:01 PM,%RH,76.832
02-17-14 01:22:01 PM,%RH,76.706
02-17-14 01:32:01 PM,%RH,77.21
02-17-14 01:42:01 PM,%RH,77.587
02-17-14 01:52:01 PM,%RH,77.587
02-17-14 02:02:01 PM,%RH,77.712
02-17-14 02:12:01 PM,%RH,78.088
02-17-14 02:22:01 PM,%RH,76.958
02-17-14 02:32:01 PM,%RH,77.084
02-17-14 02:42:01 PM,%RH,77.712
02-17-14 02:52:01 PM,%RH,75.054
02-17-14 03:02:01 PM,%RH,76.326
02-17-14 03:12:01 PM,%RH,75.564
02-17-14 03:22:01 PM,%RH,77.587
02-17-14 03:32:01 PM,%RH,79.331
02-17-14 03:42:01 PM,%RH,80.562
02-17-14 03:52:01 PM,%RH,81.539
02-17-14 04:02:01 PM,%RH,81.173
02-17-14 04:12:01 PM,%RH,82.145
02-17-14 04:22:01 PM,%RH,81.66
02-17-14 04:32:01 PM,%RH,82.024
02-17-14 04:42:01 PM,%RH,82.145
02-17-14 04:52:01 PM,%RH,81.539
02-17-14 05:02:01 PM,%RH,81.781
02-17-14 05:12:01 PM,%RH,81.781
02-17-14 05:22:01 PM,%RH,81.903
02-17-14 05:32:01 PM,%RH,81.781
02-17-14 05:42:01 PM,%RH,82.024
02-17-14 05:52:01 PM,%RH,81.295
02-17-14 06:02:01 PM,%RH,82.024
02-17-14 06:12:01 PM,%RH,81.539
02-17-14 06:22:01 PM,%RH,81.66
02-17-14 06:32:01 PM,%RH,81.295
02-17-14 06:42:01 PM,%RH,82.024
02-17-14 06:52:01 PM,%RH,81.417
02-17-14 07:02:01 PM,%RH,82.266
02-17-14 07:12:01 PM,%RH,80.685
02-17-14 07:22:01 PM,%RH,81.173
02-17-14 07:32:01 PM,%RH,82.145
02-17-14 07:42:01 PM,%RH,80.929
02-17-14 07:52:01 PM,%RH,81.295
02-17-14 08:02:01 PM,%RH,81.903
02-17-14 08:12:01 PM,%RH,81.781
02-17-14 08:22:01 PM,%RH,82.266
02-17-14 08:32:01 PM,%RH,81.173
02-17-14 08:42:01 PM,%RH,81.781
02-17-14 08:52:01 PM,%RH,81.417
02-17-14 09:02:01 PM,%RH,81.781
02-17-14 09:12:01 PM,%RH,81.539
02-17-14 09:22:01 PM,%RH,81.539
02-17-14 09:32:01 PM,%RH,81.66
02-17-14 09:42:01 PM,%RH,81.173
02-17-14 09:52:01 PM,%RH,81.903
02-17-14 10:02:01 PM,%RH,81.295
02-17-14 10:12:01 PM,%RH,81.66
02-17-14 10:22:01 PM,%RH,81.66
02-17-14 10:32:01 PM,%RH,81.295
02-17-14 10:42:01 PM,%RH,81.295
02-17-14 10:52:01 PM,%RH,81.66
02-17-14 11:02:01 PM,%RH,81.417
02-17-14 11:12:01 PM,%RH,81.173
02-17-14 11:22:01 PM,%RH,81.66
02-17-14 11:32:01 PM,%RH,81.781
02-17-14 11:42:01 PM,%RH,81.417
02-17-14 11:52:01 PM,%RH,81.903
02-18-14 12:02:01 AM,%RH,81.539
02-18-14 12:12:01 AM,%RH,81.903
02-18-14 12:22:01 AM,%RH,81.295
02-18-14 12:32:01 AM,%RH,81.781
02-18-14 12:42:01 AM,%RH,81.295
02-18-14 12:52:01 AM,%RH,81.539
02-18-14 01:02:01 AM,%RH,81.417
02-18-14 01:12:01 AM,%RH,81.539
02-18-14 01:22:01 AM,%RH,81.417
02-18-14 01:32:01 AM,%RH,81.051
02-18-14 01:42:01 AM,%RH,81.539
02-18-14 01:52:01 AM,%RH,81.295
02-18-14 02:02:01 AM,%RH,81.539
02-18-14 02:12:01 AM,%RH,82.507
02-18-14 02:22:01 AM,%RH,81.173
02-18-14 02:32:01 AM,%RH,81.417
02-18-14 02:42:01 AM,%RH,81.173
02-18-14 02:52:01 AM,%RH,81.417
02-18-14 03:02:01 AM,%RH,81.417
02-18-14 03:12:01 AM,%RH,81.903
02-18-14 03:22:01 AM,%RH,81.66
02-18-14 03:32:01 AM,%RH,81.417
02-18-14 03:42:01 AM,%RH,81.417
02-18-14 03:52:01 AM,%RH,81.903
02-18-14 04:02:01 AM,%RH,81.539
02-18-14 04:12:01 AM,%RH,81.903
02-18-14 04:22:01 AM,%RH,81.417
02-18-14 04:32:01 AM,%RH,81.539
02-18-14 04:42:01 AM,%RH,81.781
02-18-14 04:52:01 AM,%RH,81.295
02-18-14 05:02:01 AM,%RH,81.295
02-18-14 05:12:01 AM,%RH,81.417
02-18-14 05:22:01 AM,%RH,81.539
02-18-14 05:32:01 AM,%RH,81.539
02-18-14 05:42:01 AM,%RH,81.781
02-18-14 05:52:01 AM,%RH,81.539
02-18-14 06:02:01 AM,%RH,81.417
02-18-14 06:12:01 AM,%RH,81.66
02-18-14 06:22:01 AM,%RH,81.539
02-18-14 06:32:01 AM,%RH,82.024
02-18-14 06:42:01 AM,%RH,82.024
02-18-14 06:52:01 AM,%RH,81.295
02-18-14 07:02:01 AM,%RH,81.417
02-18-14 07:12:01 AM,%RH,81.417
02-18-14 07:22:01 AM,%RH,81.173
02-18-14 07:32:01 AM,%RH,81.295
02-18-14 07:42:01 AM,%RH,81.417
02-18-14 07:52:01 AM,%RH,82.748
02-18-14 08:02:01 AM,%RH,84.302
02-18-14 08:12:01 AM,%RH,82.386
02-18-14 08:22:01 AM,%RH,81.66
02-18-14 08:32:01 AM,%RH,81.903
02-18-14 08:42:01 AM,%RH,83.945
02-18-14 08:52:01 AM,%RH,84.657
02-18-14 09:02:01 AM,%RH,83.826
02-18-14 09:12:01 AM,%RH,84.894
02-18-14 09:22:01 AM,%RH,84.657
02-18-14 09:32:01 AM,%RH,83.468
02-18-14 09:42:01 AM,%RH,83.826
02-18-14 09:52:01 AM,%RH,84.42
02-18-14 10:02:01 AM,%RH,84.302
02-18-14 10:12:01 AM,%RH,84.657
02-18-14 10:22:01 AM,%RH,84.302
02-18-14 10:32:01 AM,%RH,84.302
02-18-14 10:42:01 AM,%RH,82.627
02-18-14 10:52:01 AM,%RH,82.988
02-18-14 11:02:01 AM,%RH,83.108
02-18-14 11:12:01 AM,%RH,84.302
02-18-14 11:22:01 AM,%RH,83.587
02-18-14 11:32:01 AM,%RH,82.748
02-18-14 11:42:01 AM,%RH,83.945
02-18-14 11:52:01 AM,%RH,83.945
02-18-14 12:02:01 PM,%RH,84.302
02-18-14 12:12:01 PM,%RH,82.868
02-18-14 12:22:01 PM,%RH,82.507
02-18-14 12:32:01 PM,%RH,85.012
02-18-14 12:42:01 PM,%RH,83.228
02-18-14 12:52:01 PM,%RH,81.417
02-18-14 01:02:01 PM,%RH,79.948
02-18-14 01:12:01 PM,%RH,79.331
02-18-14 01:22:01 PM,%RH,79.702
02-18-14 01:32:01 PM,%RH,79.331
02-18-14 01:42:01 PM,%RH,80.685
02-18-14 01:52:01 PM,%RH,81.66
02-18-14 02:02:01 PM,%RH,80.071
02-18-14 02:12:01 PM,%RH,80.194
02-18-14 02:22:01 PM,%RH,81.051
02-18-14 02:32:01 PM,%RH,81.295
02-18-14 02:42:01 PM,%RH,82.507
02-18-14 02:52:01 PM,%RH,82.024
02-18-14 03:02:01 PM,%RH,81.781
02-18-14 03:12:01 PM,%RH,82.266
02-18-14 03:22:01 PM,%RH,82.748
02-18-14 03:32:01 PM,%RH,82.386
02-18-14 03:42:01 PM,%RH,82.507
02-18-14 03:52:01 PM,%RH,83.826
02-18-14 04:02:01 PM,%RH,81.417
02-18-14 04:12:01 PM,%RH,82.145
02-18-14 04:22:01 PM,%RH,82.024
02-18-14 04:32:01 PM,%RH,82.266
02-18-14 04:42:01 PM,%RH,81.903
02-18-14 04:52:01 PM,%RH,81.781
02-18-14 05:02:01 PM,%RH,81.539
02-18-14 05:12:01 PM,%RH,81.903
02-18-14 05:22:01 PM,%RH,81.781
02-18-14 05:32:01 PM,%RH,81.66
02-18-14 05:42:01 PM,%RH,81.051
02-18-14 05:52:01 PM,%RH,82.145
02-18-14 06:02:01 PM,%RH,82.386
02-18-14 06:12:01 PM,%RH,81.66
02-18-14 06:22:01 PM,%RH,81.903
02-18-14 06:32:01 PM,%RH,81.173
02-18-14 06:42:01 PM,%RH,81.903
02-18-14 06:52:01 PM,%RH,81.903
02-18-14 07:02:01 PM,%RH,81.781
02-18-14 07:12:01 PM,%RH,81.539
02-18-14 07:22:01 PM,%RH,82.145
02-18-14 07:32:01 PM,%RH,82.024
02-18-14 07:42:01 PM,%RH,81.66
02-18-14 07:52:01 PM,%RH,81.781
02-18-14 08:02:01 PM,%RH,81.781
02-18-14 08:12:01 PM,%RH,81.539
02-18-14 08:22:01 PM,%RH,81.781
02-18-14 08:32:01 PM,%RH,81.295
