1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0D0000002BB86841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 15:31:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 11:31:01 CST 2014
Total Mission Samples:  4228
Total Device Samples:  11363
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 11:31:01 AM,%RH,89.138
01-08-14 12:31:01 PM,%RH,88.646
01-08-14 01:31:01 PM,%RH,88.892
01-08-14 02:31:01 PM,%RH,89.506
01-08-14 03:31:01 PM,%RH,89.015
01-08-14 04:31:01 PM,%RH,88.523
01-08-14 05:31:01 PM,%RH,88.769
01-08-14 06:31:01 PM,%RH,88.276
01-08-14 07:31:01 PM,%RH,88.646
01-08-14 08:31:01 PM,%RH,88.276
01-08-14 09:31:01 PM,%RH,88.276
01-08-14 10:31:01 PM,%RH,89.138
01-08-14 11:31:01 PM,%RH,88.028
01-09-14 12:31:01 AM,%RH,89.261
01-09-14 01:31:01 AM,%RH,87.904
01-09-14 02:31:01 AM,%RH,88.523
01-09-14 03:31:01 AM,%RH,88.646
01-09-14 04:31:01 AM,%RH,89.138
01-09-14 05:31:01 AM,%RH,89.384
01-09-14 06:31:01 AM,%RH,89.261
01-09-14 07:31:01 AM,%RH,90.118
01-09-14 08:31:01 AM,%RH,90.605
01-09-14 09:31:01 AM,%RH,90.24
01-09-14 10:31:01 AM,%RH,90.605
01-09-14 11:31:01 AM,%RH,89.629
01-09-14 12:31:01 PM,%RH,90.483
01-09-14 01:31:01 PM,%RH,90.605
01-09-14 02:31:01 PM,%RH,90.118
01-09-14 03:31:01 PM,%RH,89.996
01-09-14 04:31:01 PM,%RH,90.605
01-09-14 05:31:01 PM,%RH,89.874
01-09-14 06:31:01 PM,%RH,90.118
01-09-14 07:31:01 PM,%RH,90.361
01-09-14 08:31:01 PM,%RH,89.996
01-09-14 09:31:01 PM,%RH,90.361
01-09-14 10:31:01 PM,%RH,90.483
01-09-14 11:31:01 PM,%RH,90.24
01-10-14 12:31:01 AM,%RH,91.09
01-10-14 01:31:01 AM,%RH,90.605
01-10-14 02:31:01 AM,%RH,89.996
01-10-14 03:31:01 AM,%RH,89.874
01-10-14 04:31:01 AM,%RH,90.726
01-10-14 05:31:01 AM,%RH,90.969
01-10-14 06:31:01 AM,%RH,92.294
01-10-14 07:31:01 AM,%RH,92.773
01-10-14 08:31:01 AM,%RH,91.814
01-10-14 09:31:01 AM,%RH,91.934
01-10-14 10:31:01 AM,%RH,92.294
01-10-14 11:31:01 AM,%RH,91.814
01-10-14 12:31:01 PM,%RH,90.969
01-10-14 01:31:01 PM,%RH,90.605
01-10-14 02:31:01 PM,%RH,89.015
01-10-14 03:31:01 PM,%RH,85.654
01-10-14 04:31:01 PM,%RH,81.303
01-10-14 05:31:01 PM,%RH,80.129
01-10-14 06:31:01 PM,%RH,80.652
01-10-14 07:31:01 PM,%RH,82.854
01-10-14 08:31:01 PM,%RH,83.878
01-10-14 09:31:01 PM,%RH,83.878
01-10-14 10:31:01 PM,%RH,84.642
01-10-14 11:31:01 PM,%RH,85.022
01-11-14 12:31:01 AM,%RH,86.157
01-11-14 01:31:01 AM,%RH,86.659
01-11-14 02:31:01 AM,%RH,86.784
01-11-14 03:31:01 AM,%RH,87.033
01-11-14 04:31:01 AM,%RH,87.407
01-11-14 05:31:01 AM,%RH,87.407
01-11-14 06:31:01 AM,%RH,88.276
01-11-14 07:31:01 AM,%RH,88.152
01-11-14 08:31:01 AM,%RH,88.028
01-11-14 09:31:01 AM,%RH,88.769
01-11-14 10:31:01 AM,%RH,88.769
01-11-14 11:31:01 AM,%RH,88.276
01-11-14 12:31:01 PM,%RH,87.532
01-11-14 01:31:01 PM,%RH,86.283
01-11-14 02:31:01 PM,%RH,84.261
01-11-14 03:31:01 PM,%RH,82.468
01-11-14 04:31:01 PM,%RH,82.21
01-11-14 05:31:01 PM,%RH,80.913
01-11-14 06:31:01 PM,%RH,81.433
01-11-14 07:31:01 PM,%RH,82.21
01-11-14 08:31:01 PM,%RH,82.21
01-11-14 09:31:01 PM,%RH,83.239
01-11-14 10:31:01 PM,%RH,83.623
01-11-14 11:31:01 PM,%RH,84.133
01-12-14 12:31:01 AM,%RH,85.149
01-12-14 01:31:01 AM,%RH,85.275
01-12-14 02:31:01 AM,%RH,86.283
01-12-14 03:31:01 AM,%RH,87.033
01-12-14 04:31:01 AM,%RH,86.784
01-12-14 05:31:01 AM,%RH,87.904
01-12-14 06:31:01 AM,%RH,89.138
01-12-14 07:31:01 AM,%RH,90.24
01-12-14 08:31:01 AM,%RH,89.506
01-12-14 09:31:01 AM,%RH,89.506
01-12-14 10:31:01 AM,%RH,88.892
01-12-14 11:31:01 AM,%RH,86.784
01-12-14 12:31:01 PM,%RH,85.022
01-12-14 01:31:01 PM,%RH,84.515
01-12-14 02:31:01 PM,%RH,82.854
01-12-14 03:31:01 PM,%RH,81.822
01-12-14 04:31:01 PM,%RH,80.652
01-12-14 05:31:01 PM,%RH,80.913
01-12-14 06:31:01 PM,%RH,80.26
01-12-14 07:31:01 PM,%RH,80.391
01-12-14 08:31:01 PM,%RH,81.173
01-12-14 09:31:01 PM,%RH,80.391
01-12-14 10:31:01 PM,%RH,81.563
01-12-14 11:31:01 PM,%RH,81.692
01-13-14 12:31:01 AM,%RH,81.951
01-13-14 01:31:01 AM,%RH,81.951
01-13-14 02:31:01 AM,%RH,83.11
01-13-14 03:31:01 AM,%RH,84.006
01-13-14 04:31:01 AM,%RH,84.769
01-13-14 05:31:01 AM,%RH,84.006
01-13-14 06:31:01 AM,%RH,84.769
01-13-14 07:31:01 AM,%RH,85.402
01-13-14 08:31:01 AM,%RH,86.909
01-13-14 09:31:01 AM,%RH,86.031
01-13-14 10:31:01 AM,%RH,86.031
01-13-14 11:31:01 AM,%RH,87.283
01-13-14 12:31:01 PM,%RH,86.784
01-13-14 01:31:01 PM,%RH,85.906
01-13-14 02:31:01 PM,%RH,85.275
01-13-14 03:31:01 PM,%RH,84.388
01-13-14 04:31:01 PM,%RH,81.822
01-13-14 05:31:01 PM,%RH,80.26
01-13-14 06:31:01 PM,%RH,79.867
01-13-14 07:31:01 PM,%RH,79.342
01-13-14 08:31:01 PM,%RH,79.078
01-13-14 09:31:01 PM,%RH,79.605
01-13-14 10:31:01 PM,%RH,80.26
01-13-14 11:31:01 PM,%RH,79.998
01-14-14 12:31:01 AM,%RH,80.783
01-14-14 01:31:01 AM,%RH,81.951
01-14-14 02:31:01 AM,%RH,82.468
01-14-14 03:31:01 AM,%RH,83.367
01-14-14 04:31:01 AM,%RH,84.133
01-14-14 05:31:01 AM,%RH,85.149
01-14-14 06:31:01 AM,%RH,84.515
01-14-14 07:31:01 AM,%RH,85.275
01-14-14 08:31:01 AM,%RH,86.283
01-14-14 09:31:01 AM,%RH,85.402
01-14-14 10:31:01 AM,%RH,85.528
01-14-14 11:31:01 AM,%RH,86.031
01-14-14 12:31:01 PM,%RH,84.896
01-14-14 01:31:01 PM,%RH,84.769
01-14-14 02:31:01 PM,%RH,84.133
01-14-14 03:31:01 PM,%RH,83.751
01-14-14 04:31:01 PM,%RH,82.854
01-14-14 05:31:01 PM,%RH,82.725
01-14-14 06:31:01 PM,%RH,82.08
01-14-14 07:31:01 PM,%RH,81.043
01-14-14 08:31:01 PM,%RH,82.339
01-14-14 09:31:01 PM,%RH,81.822
01-14-14 10:31:01 PM,%RH,81.563
01-14-14 11:31:01 PM,%RH,81.822
01-15-14 12:31:01 AM,%RH,81.303
01-15-14 01:31:01 AM,%RH,82.21
01-15-14 02:31:01 AM,%RH,83.11
01-15-14 03:31:01 AM,%RH,82.339
01-15-14 04:31:01 AM,%RH,82.339
01-15-14 05:31:01 AM,%RH,83.495
01-15-14 06:31:01 AM,%RH,83.751
01-15-14 07:31:01 AM,%RH,84.261
01-15-14 08:31:01 AM,%RH,84.261
01-15-14 09:31:01 AM,%RH,85.149
01-15-14 10:31:01 AM,%RH,85.528
01-15-14 11:31:01 AM,%RH,85.149
01-15-14 12:31:01 PM,%RH,84.769
01-15-14 01:31:01 PM,%RH,85.149
01-15-14 02:31:01 PM,%RH,83.495
01-15-14 03:31:01 PM,%RH,84.133
01-15-14 04:31:01 PM,%RH,82.596
01-15-14 05:31:01 PM,%RH,80.522
01-15-14 06:31:01 PM,%RH,79.342
