1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: BE0000002BB55E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 15:33:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 11:33:01 CST 2014
Total Mission Samples:  4228
Total Device Samples:  11341
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 11:33:01 AM,%RH,84.281
01-08-14 12:33:01 PM,%RH,78.723
01-08-14 01:33:01 PM,%RH,75.87
01-08-14 02:33:01 PM,%RH,82.713
01-08-14 03:33:01 PM,%RH,93.595
01-08-14 04:33:01 PM,%RH,98.844
01-08-14 05:33:01 PM,%RH,101.616
01-08-14 06:33:01 PM,%RH,102.185
01-08-14 07:33:01 PM,%RH,100.814
01-08-14 08:33:01 PM,%RH,101.043
01-08-14 09:33:01 PM,%RH,101.958
01-08-14 10:33:01 PM,%RH,102.639
01-08-14 11:33:01 PM,%RH,100.814
01-09-14 12:33:01 AM,%RH,99.543
01-09-14 01:33:01 AM,%RH,100.814
01-09-14 02:33:01 AM,%RH,100.353
01-09-14 03:33:01 AM,%RH,101.158
01-09-14 04:33:01 AM,%RH,102.185
01-09-14 05:33:01 AM,%RH,101.844
01-09-14 06:33:01 AM,%RH,102.865
01-09-14 07:33:01 AM,%RH,100.353
01-09-14 08:33:01 AM,%RH,84.541
01-09-14 09:33:01 AM,%RH,81.262
01-09-14 10:33:01 AM,%RH,87.241
01-09-14 11:33:01 AM,%RH,84.671
01-09-14 12:33:01 PM,%RH,93.107
01-09-14 01:33:01 PM,%RH,97.316
01-09-14 02:33:01 PM,%RH,88.384
01-09-14 03:33:01 PM,%RH,99.543
01-09-14 04:33:01 PM,%RH,100.007
01-09-14 05:33:01 PM,%RH,101.273
01-09-14 06:33:01 PM,%RH,101.501
01-09-14 07:33:01 PM,%RH,102.978
01-09-14 08:33:01 PM,%RH,101.844
01-09-14 09:33:01 PM,%RH,102.639
01-09-14 10:33:01 PM,%RH,102.752
01-09-14 11:33:01 PM,%RH,102.865
01-10-14 12:33:01 AM,%RH,103.765
01-10-14 01:33:01 AM,%RH,103.203
01-10-14 02:33:01 AM,%RH,103.203
01-10-14 03:33:01 AM,%RH,103.54
01-10-14 04:33:01 AM,%RH,103.203
01-10-14 05:33:01 AM,%RH,102.978
01-10-14 06:33:01 AM,%RH,103.876
01-10-14 07:33:01 AM,%RH,97.079
01-10-14 08:33:01 AM,%RH,85.188
01-10-14 09:33:01 AM,%RH,86.347
01-10-14 10:33:01 AM,%RH,69.307
01-10-14 11:33:01 AM,%RH,75.184
01-10-14 12:33:01 PM,%RH,80.331
01-10-14 01:33:01 PM,%RH,73.247
01-10-14 02:33:01 PM,%RH,80.464
01-10-14 03:33:01 PM,%RH,84.411
01-10-14 04:33:01 PM,%RH,77.778
01-10-14 05:33:01 PM,%RH,94.807
01-10-14 06:33:01 PM,%RH,97.434
01-10-14 07:33:01 PM,%RH,97.906
01-10-14 08:33:01 PM,%RH,98.376
01-10-14 09:33:01 PM,%RH,100.584
01-10-14 10:33:01 PM,%RH,101.273
01-10-14 11:33:01 PM,%RH,102.185
01-11-14 12:33:01 AM,%RH,101.616
01-11-14 01:33:01 AM,%RH,102.071
01-11-14 02:33:01 AM,%RH,102.299
01-11-14 03:33:01 AM,%RH,102.185
01-11-14 04:33:01 AM,%RH,102.299
01-11-14 05:33:01 AM,%RH,99.427
01-11-14 06:33:01 AM,%RH,101.501
01-11-14 07:33:01 AM,%RH,90.018
01-11-14 08:33:01 AM,%RH,87.75
01-11-14 09:33:01 AM,%RH,87.241
01-11-14 10:33:01 AM,%RH,91.138
01-11-14 11:33:01 AM,%RH,77.913
01-11-14 12:33:01 PM,%RH,73.525
01-11-14 01:33:01 PM,%RH,75.596
01-11-14 02:33:01 PM,%RH,73.108
01-11-14 03:33:01 PM,%RH,76.554
01-11-14 04:33:01 PM,%RH,72.55
01-11-14 05:33:01 PM,%RH,93.351
01-11-14 06:33:01 PM,%RH,96.96
01-11-14 07:33:01 PM,%RH,96.008
01-11-14 08:33:01 PM,%RH,100.238
