1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 310000002BB62D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 14:51:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 11:51:01 CST 2014
Total Mission Samples:  4229
Total Device Samples:  11347
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 11:51:01 AM,%RH,83.571
01-08-14 12:51:01 PM,%RH,83.571
01-08-14 01:51:01 PM,%RH,83.834
01-08-14 02:51:01 PM,%RH,83.177
01-08-14 03:51:01 PM,%RH,82.385
01-08-14 04:51:01 PM,%RH,83.045
01-08-14 05:51:01 PM,%RH,83.308
01-08-14 06:51:01 PM,%RH,82.517
01-08-14 07:51:01 PM,%RH,83.177
01-08-14 08:51:01 PM,%RH,83.308
01-08-14 09:51:01 PM,%RH,82.121
01-08-14 10:51:01 PM,%RH,82.649
01-08-14 11:51:01 PM,%RH,83.834
01-09-14 12:51:01 AM,%RH,83.44
01-09-14 01:51:01 AM,%RH,84.227
01-09-14 02:51:01 AM,%RH,83.571
01-09-14 03:51:01 AM,%RH,82.781
01-09-14 04:51:01 AM,%RH,83.702
01-09-14 05:51:01 AM,%RH,83.44
01-09-14 06:51:01 AM,%RH,83.44
01-09-14 07:51:01 AM,%RH,83.44
01-09-14 08:51:01 AM,%RH,83.965
01-09-14 09:51:01 AM,%RH,85.531
01-09-14 10:51:01 AM,%RH,82.385
01-09-14 11:51:01 AM,%RH,81.059
01-09-14 12:51:01 PM,%RH,78.647
01-09-14 01:51:01 PM,%RH,79.051
01-09-14 02:51:01 PM,%RH,80.258
01-09-14 03:51:01 PM,%RH,77.972
01-09-14 04:51:01 PM,%RH,82.253
01-09-14 05:51:01 PM,%RH,86.826
01-09-14 06:51:01 PM,%RH,87.47
01-09-14 07:51:01 PM,%RH,88.367
01-09-14 08:51:01 PM,%RH,88.495
01-09-14 09:51:01 PM,%RH,89.261
01-09-14 10:51:01 PM,%RH,89.896
01-09-14 11:51:01 PM,%RH,90.149
01-10-14 12:51:01 AM,%RH,90.529
01-10-14 01:51:01 AM,%RH,90.907
01-10-14 02:51:01 AM,%RH,91.536
01-10-14 03:51:01 AM,%RH,91.033
01-10-14 04:51:01 AM,%RH,90.907
01-10-14 05:51:01 AM,%RH,91.159
01-10-14 06:51:01 AM,%RH,90.529
01-10-14 07:51:01 AM,%RH,89.769
01-10-14 08:51:01 AM,%RH,89.515
01-10-14 09:51:01 AM,%RH,82.121
01-10-14 10:51:01 AM,%RH,70.953
01-10-14 11:51:01 AM,%RH,71.372
01-10-14 12:51:01 PM,%RH,73.319
01-10-14 01:51:01 PM,%RH,68.559
01-10-14 02:51:01 PM,%RH,68.559
01-10-14 03:51:01 PM,%RH,68.559
01-10-14 04:51:01 PM,%RH,68.559
01-10-14 05:51:01 PM,%RH,69.97
01-10-14 06:51:01 PM,%RH,72.765
01-10-14 07:51:01 PM,%RH,74.286
01-10-14 08:51:01 PM,%RH,77.159
01-10-14 09:51:01 PM,%RH,78.917
01-10-14 10:51:01 PM,%RH,79.589
01-10-14 11:51:01 PM,%RH,80.392
01-11-14 12:51:01 AM,%RH,80.124
01-11-14 01:51:01 AM,%RH,83.045
01-11-14 02:51:01 AM,%RH,83.834
01-11-14 03:51:01 AM,%RH,83.834
01-11-14 04:51:01 AM,%RH,84.357
01-11-14 05:51:01 AM,%RH,84.88
01-11-14 06:51:01 AM,%RH,85.661
01-11-14 07:51:01 AM,%RH,86.05
01-11-14 08:51:01 AM,%RH,86.955
01-11-14 09:51:01 AM,%RH,87.084
01-11-14 10:51:01 AM,%RH,86.05
01-11-14 11:51:01 AM,%RH,86.18
01-11-14 12:51:01 PM,%RH,85.271
01-11-14 01:51:01 PM,%RH,84.488
01-11-14 02:51:01 PM,%RH,83.177
01-11-14 03:51:01 PM,%RH,81.988
01-11-14 04:51:01 PM,%RH,80.258
01-11-14 05:51:01 PM,%RH,80.925
01-11-14 06:51:01 PM,%RH,81.457
01-11-14 07:51:01 PM,%RH,80.392
01-11-14 08:51:01 PM,%RH,80.792
01-11-14 09:51:01 PM,%RH,80.925
01-11-14 10:51:01 PM,%RH,82.385
01-11-14 11:51:01 PM,%RH,82.253
01-12-14 12:51:01 AM,%RH,82.781
01-12-14 01:51:01 AM,%RH,83.045
01-12-14 02:51:01 AM,%RH,82.913
01-12-14 03:51:01 AM,%RH,83.44
01-12-14 04:51:01 AM,%RH,83.571
01-12-14 05:51:01 AM,%RH,83.571
01-12-14 06:51:01 AM,%RH,83.702
01-12-14 07:51:01 AM,%RH,85.791
01-12-14 08:51:01 AM,%RH,84.749
01-12-14 09:51:01 AM,%RH,85.01
01-12-14 10:51:01 AM,%RH,85.401
01-12-14 11:51:01 AM,%RH,84.488
01-12-14 12:51:01 PM,%RH,82.649
01-12-14 01:51:01 PM,%RH,81.723
01-12-14 02:51:01 PM,%RH,81.988
01-12-14 03:51:01 PM,%RH,81.325
01-12-14 04:51:01 PM,%RH,80.258
01-12-14 05:51:01 PM,%RH,80.525
01-12-14 06:51:01 PM,%RH,80.258
01-12-14 07:51:01 PM,%RH,79.991
01-12-14 08:51:01 PM,%RH,81.457
01-12-14 09:51:01 PM,%RH,82.253
01-12-14 10:51:01 PM,%RH,82.781
01-12-14 11:51:01 PM,%RH,82.913
01-13-14 12:51:01 AM,%RH,82.781
01-13-14 01:51:01 AM,%RH,82.913
01-13-14 02:51:01 AM,%RH,82.913
01-13-14 03:51:01 AM,%RH,82.781
01-13-14 04:51:01 AM,%RH,82.649
01-13-14 05:51:01 AM,%RH,81.457
01-13-14 06:51:01 AM,%RH,83.177
01-13-14 07:51:01 AM,%RH,83.834
01-13-14 08:51:01 AM,%RH,83.44
01-13-14 09:51:01 AM,%RH,77.295
01-13-14 10:51:01 AM,%RH,79.186
01-13-14 11:51:01 AM,%RH,69.83
01-13-14 12:51:01 PM,%RH,30.748
01-13-14 01:51:01 PM,%RH,36.128
01-13-14 02:51:01 PM,%RH,41.565
01-13-14 03:51:01 PM,%RH,50.439
01-13-14 04:51:01 PM,%RH,52.117
01-13-14 05:51:01 PM,%RH,56.337
01-13-14 06:51:01 PM,%RH,69.407
01-13-14 07:51:01 PM,%RH,70.672
01-13-14 08:51:01 PM,%RH,72.348
01-13-14 09:51:01 PM,%RH,73.458
01-13-14 10:51:01 PM,%RH,74.286
01-13-14 11:51:01 PM,%RH,75.659
01-14-14 12:51:01 AM,%RH,76.342
01-14-14 01:51:01 AM,%RH,77.566
01-14-14 02:51:01 AM,%RH,77.701
01-14-14 03:51:01 AM,%RH,77.701
01-14-14 04:51:01 AM,%RH,78.647
01-14-14 05:51:01 AM,%RH,78.512
01-14-14 06:51:01 AM,%RH,79.723
01-14-14 07:51:01 AM,%RH,80.525
01-14-14 08:51:01 AM,%RH,81.457
01-14-14 09:51:01 AM,%RH,81.856
01-14-14 10:51:01 AM,%RH,80.124
01-14-14 11:51:01 AM,%RH,75.522
01-14-14 12:51:01 PM,%RH,72.487
01-14-14 01:51:01 PM,%RH,71.652
01-14-14 02:51:01 PM,%RH,70.111
01-14-14 03:51:01 PM,%RH,62.093
01-14-14 04:51:01 PM,%RH,57.975
