1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 010000002BB3E141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 15:01:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 11:01:01 CST 2014
Total Mission Samples:  4228
Total Device Samples:  11181
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 11:01:01 AM,%RH,74.498
01-08-14 12:01:01 PM,%RH,72.582
01-08-14 01:01:01 PM,%RH,73.406
01-08-14 02:01:01 PM,%RH,73.406
01-08-14 03:01:01 PM,%RH,73.543
01-08-14 04:01:01 PM,%RH,73.679
01-08-14 05:01:01 PM,%RH,74.089
01-08-14 06:01:01 PM,%RH,73.816
01-08-14 07:01:01 PM,%RH,74.226
01-08-14 08:01:01 PM,%RH,73.953
01-08-14 09:01:01 PM,%RH,74.906
01-08-14 10:01:01 PM,%RH,74.906
01-08-14 11:01:01 PM,%RH,74.906
01-09-14 12:01:01 AM,%RH,75.313
01-09-14 01:01:01 AM,%RH,75.72
01-09-14 02:01:01 AM,%RH,75.313
01-09-14 03:01:01 AM,%RH,75.99
01-09-14 04:01:01 AM,%RH,76.395
01-09-14 05:01:01 AM,%RH,76.26
01-09-14 06:01:01 AM,%RH,76.395
01-09-14 07:01:01 AM,%RH,76.933
01-09-14 08:01:01 AM,%RH,76.664
01-09-14 09:01:01 AM,%RH,78.405
01-09-14 10:01:01 AM,%RH,80.392
01-09-14 11:01:01 AM,%RH,80.918
01-09-14 12:01:01 PM,%RH,79.335
01-09-14 01:01:01 PM,%RH,79.335
01-09-14 02:01:01 PM,%RH,80.392
01-09-14 03:01:01 PM,%RH,78.937
01-09-14 04:01:01 PM,%RH,79.335
01-09-14 05:01:01 PM,%RH,79.069
01-09-14 06:01:01 PM,%RH,78.405
01-09-14 07:01:01 PM,%RH,78.804
01-09-14 08:01:01 PM,%RH,78.937
01-09-14 09:01:01 PM,%RH,79.202
01-09-14 10:01:01 PM,%RH,79.335
01-09-14 11:01:01 PM,%RH,79.467
01-10-14 12:01:01 AM,%RH,78.138
01-10-14 01:01:01 AM,%RH,78.538
01-10-14 02:01:01 AM,%RH,78.405
01-10-14 03:01:01 AM,%RH,78.004
01-10-14 04:01:01 AM,%RH,78.405
01-10-14 05:01:01 AM,%RH,78.405
01-10-14 06:01:01 AM,%RH,78.405
01-10-14 07:01:01 AM,%RH,78.538
01-10-14 08:01:01 AM,%RH,78.671
01-10-14 09:01:01 AM,%RH,78.937
01-10-14 10:01:01 AM,%RH,78.271
01-10-14 11:01:01 AM,%RH,77.067
