1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D20000002BDD9A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 14:56:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 10:56:01 CST 2014
Total Mission Samples:  4228
Total Device Samples:  11345
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 10:56:01 AM,C,19.499
01-08-14 11:56:01 AM,C,19.749
01-08-14 12:56:01 PM,C,19.937
01-08-14 01:56:01 PM,C,20.124
01-08-14 02:56:01 PM,C,20.437
01-08-14 03:56:01 PM,C,20.5
01-08-14 04:56:01 PM,C,20.437
01-08-14 05:56:01 PM,C,20.375
01-08-14 06:56:01 PM,C,20.249
01-08-14 07:56:01 PM,C,20.124
01-08-14 08:56:01 PM,C,19.999
01-08-14 09:56:01 PM,C,19.874
01-08-14 10:56:01 PM,C,19.811
01-08-14 11:56:01 PM,C,19.749
01-09-14 12:56:01 AM,C,19.624
01-09-14 01:56:01 AM,C,19.561
01-09-14 02:56:01 AM,C,19.499
01-09-14 03:56:01 AM,C,19.436
01-09-14 04:56:01 AM,C,19.373
01-09-14 05:56:01 AM,C,19.311
01-09-14 06:56:01 AM,C,19.373
01-09-14 07:56:01 AM,C,19.311
01-09-14 08:56:01 AM,C,19.373
01-09-14 09:56:01 AM,C,19.561
01-09-14 10:56:01 AM,C,19.874
01-09-14 11:56:01 AM,C,20.375
01-09-14 12:56:01 PM,C,20.75
01-09-14 01:56:01 PM,C,21
01-09-14 02:56:01 PM,C,21.438
01-09-14 03:56:01 PM,C,21.876
01-09-14 04:56:01 PM,C,21.751
01-09-14 05:56:01 PM,C,21.501
01-09-14 06:56:01 PM,C,21.313
01-09-14 07:56:01 PM,C,21.188
01-09-14 08:56:01 PM,C,21.125
01-09-14 09:56:01 PM,C,21
01-09-14 10:56:01 PM,C,20.875
01-09-14 11:56:01 PM,C,20.812
01-10-14 12:56:01 AM,C,20.75
01-10-14 01:56:01 AM,C,20.687
01-10-14 02:56:01 AM,C,20.5
01-10-14 03:56:01 AM,C,20.249
01-10-14 04:56:01 AM,C,19.999
01-10-14 05:56:01 AM,C,19.624
01-10-14 06:56:01 AM,C,19.373
01-10-14 07:56:01 AM,C,19.311
01-10-14 08:56:01 AM,C,19.561
01-10-14 09:56:01 AM,C,19.999
01-10-14 10:56:01 AM,C,20.562
01-10-14 11:56:01 AM,C,21.375
01-10-14 12:56:01 PM,C,22.251
01-10-14 01:56:01 PM,C,23.001
01-10-14 02:56:01 PM,C,23.252
01-10-14 03:56:01 PM,C,23.377
01-10-14 04:56:01 PM,C,23.502
01-10-14 05:56:01 PM,C,23.377
01-10-14 06:56:01 PM,C,23.001
01-10-14 07:56:01 PM,C,22.689
01-10-14 08:56:01 PM,C,22.501
01-10-14 09:56:01 PM,C,22.376
01-10-14 10:56:01 PM,C,22.251
01-10-14 11:56:01 PM,C,22.063
01-11-14 12:56:01 AM,C,21.813
01-11-14 01:56:01 AM,C,21.563
01-11-14 02:56:01 AM,C,21.438
01-11-14 03:56:01 AM,C,21.25
01-11-14 04:56:01 AM,C,20.938
01-11-14 05:56:01 AM,C,20.562
01-11-14 06:56:01 AM,C,20.187
01-11-14 07:56:01 AM,C,20.062
01-11-14 08:56:01 AM,C,20.187
01-11-14 09:56:01 AM,C,20.5
01-11-14 10:56:01 AM,C,21.188
01-11-14 11:56:01 AM,C,21.688
01-11-14 12:56:01 PM,C,22.251
01-11-14 01:56:01 PM,C,23.001
01-11-14 02:56:01 PM,C,23.814
01-11-14 03:56:01 PM,C,23.939
01-11-14 04:56:01 PM,C,24.064
01-11-14 05:56:01 PM,C,23.877
01-11-14 06:56:01 PM,C,23.502
01-11-14 07:56:01 PM,C,23.126
01-11-14 08:56:01 PM,C,22.876
01-11-14 09:56:01 PM,C,22.751
01-11-14 10:56:01 PM,C,22.501
01-11-14 11:56:01 PM,C,22.188
01-12-14 12:56:01 AM,C,21.938
01-12-14 01:56:01 AM,C,21.563
01-12-14 02:56:01 AM,C,21.188
01-12-14 03:56:01 AM,C,20.875
01-12-14 04:56:01 AM,C,20.625
01-12-14 05:56:01 AM,C,20.312
01-12-14 06:56:01 AM,C,20.124
01-12-14 07:56:01 AM,C,20.062
01-12-14 08:56:01 AM,C,20.249
01-12-14 09:56:01 AM,C,20.687
01-12-14 10:56:01 AM,C,21.438
01-12-14 11:56:01 AM,C,22.063
01-12-14 12:56:01 PM,C,22.751
01-12-14 01:56:01 PM,C,23.252
01-12-14 02:56:01 PM,C,23.627
01-12-14 03:56:01 PM,C,23.689
01-12-14 04:56:01 PM,C,23.814
01-12-14 05:56:01 PM,C,23.752
01-12-14 06:56:01 PM,C,23.439
01-12-14 07:56:01 PM,C,23.126
01-12-14 08:56:01 PM,C,22.939
01-12-14 09:56:01 PM,C,22.689
01-12-14 10:56:01 PM,C,22.439
01-12-14 11:56:01 PM,C,22.063
01-13-14 12:56:01 AM,C,21.688
01-13-14 01:56:01 AM,C,21.313
01-13-14 02:56:01 AM,C,20.938
01-13-14 03:56:01 AM,C,20.562
01-13-14 04:56:01 AM,C,20.312
01-13-14 05:56:01 AM,C,19.999
01-13-14 06:56:01 AM,C,19.749
01-13-14 07:56:01 AM,C,19.749
01-13-14 08:56:01 AM,C,19.811
01-13-14 09:56:01 AM,C,20.124
01-13-14 10:56:01 AM,C,20.938
01-13-14 11:56:01 AM,C,21.938
01-13-14 12:56:01 PM,C,22.689
01-13-14 01:56:01 PM,C,23.377
01-13-14 02:56:01 PM,C,24.002
01-13-14 03:56:01 PM,C,24.439
01-13-14 04:56:01 PM,C,24.627
01-13-14 05:56:01 PM,C,24.439
01-13-14 06:56:01 PM,C,24.127
01-13-14 07:56:01 PM,C,23.814
01-13-14 08:56:01 PM,C,23.564
01-13-14 09:56:01 PM,C,23.314
01-13-14 10:56:01 PM,C,23.189
01-13-14 11:56:01 PM,C,22.939
01-14-14 12:56:01 AM,C,22.814
01-14-14 01:56:01 AM,C,22.439
01-14-14 02:56:01 AM,C,22.063
01-14-14 03:56:01 AM,C,21.688
01-14-14 04:56:01 AM,C,21.375
01-14-14 05:56:01 AM,C,21.188
01-14-14 06:56:01 AM,C,20.437
01-14-14 07:56:01 AM,C,21.375
01-14-14 08:56:01 AM,C,24.064
01-14-14 09:56:01 AM,C,22.814
01-14-14 10:56:01 AM,C,22.564
01-14-14 11:56:01 AM,C,22.501
01-14-14 12:56:01 PM,C,22.564
01-14-14 01:56:01 PM,C,22.814
01-14-14 02:56:01 PM,C,23.252
01-14-14 03:56:01 PM,C,26.377
01-14-14 04:56:01 PM,C,26.314
01-14-14 05:56:01 PM,C,25.252
01-14-14 06:56:01 PM,C,24.814
01-14-14 07:56:01 PM,C,24.564
01-14-14 08:56:01 PM,C,24.439
01-14-14 09:56:01 PM,C,24.252
01-14-14 10:56:01 PM,C,24.189
01-14-14 11:56:01 PM,C,24.064
01-15-14 12:56:01 AM,C,23.877
01-15-14 01:56:01 AM,C,23.627
01-15-14 02:56:01 AM,C,23.627
01-15-14 03:56:01 AM,C,23.564
01-15-14 04:56:01 AM,C,23.502
01-15-14 05:56:01 AM,C,23.314
01-15-14 06:56:01 AM,C,23.314
01-15-14 07:56:01 AM,C,23.314
01-15-14 08:56:01 AM,C,23.564
01-15-14 09:56:01 AM,C,24.002
01-15-14 10:56:01 AM,C,24.627
01-15-14 11:56:01 AM,C,24.814
01-15-14 12:56:01 PM,C,25.439
01-15-14 01:56:01 PM,C,25.752
01-15-14 02:56:01 PM,C,26.127
01-15-14 03:56:01 PM,C,26.002
01-15-14 04:56:01 PM,C,25.127
01-15-14 05:56:01 PM,C,25.314
01-15-14 06:56:01 PM,C,25.064
01-15-14 07:56:01 PM,C,24.939
01-15-14 08:56:01 PM,C,24.814
01-15-14 09:56:01 PM,C,24.627
01-15-14 10:56:01 PM,C,24.064
01-15-14 11:56:01 PM,C,23.689
01-16-14 12:56:01 AM,C,23.377
01-16-14 01:56:01 AM,C,23.126
01-16-14 02:56:01 AM,C,22.939
01-16-14 03:56:01 AM,C,22.689
01-16-14 04:56:01 AM,C,22.314
01-16-14 05:56:01 AM,C,22.001
01-16-14 06:56:01 AM,C,21.751
01-16-14 07:56:01 AM,C,21.688
01-16-14 08:56:01 AM,C,21.626
01-16-14 09:56:01 AM,C,21.501
01-16-14 10:56:01 AM,C,20.5
01-16-14 11:56:01 AM,C,20.938
01-16-14 12:56:01 PM,C,21.125
01-16-14 01:56:01 PM,C,20.187
01-16-14 02:56:01 PM,C,20.875
01-16-14 03:56:01 PM,C,20.75
01-16-14 04:56:01 PM,C,20.375
01-16-14 05:56:01 PM,C,20.562
01-16-14 06:56:01 PM,C,20.5
01-16-14 07:56:01 PM,C,20.437
01-16-14 08:56:01 PM,C,20.312
