1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: BE0000002BB55E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 15:33:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 11:33:01 CST 2014
Total Mission Samples:  4228
Total Device Samples:  11341
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 11:33:01 AM,C,18.308
01-08-14 12:33:01 PM,C,20.185
01-08-14 01:33:01 PM,C,22.312
01-08-14 02:33:01 PM,C,19.184
01-08-14 03:33:01 PM,C,16.117
01-08-14 04:33:01 PM,C,14.302
01-08-14 05:33:01 PM,C,13.676
01-08-14 06:33:01 PM,C,13.801
01-08-14 07:33:01 PM,C,13.989
01-08-14 08:33:01 PM,C,14.051
01-08-14 09:33:01 PM,C,13.738
01-08-14 10:33:01 PM,C,13.676
01-08-14 11:33:01 PM,C,13.926
01-09-14 12:33:01 AM,C,14.364
01-09-14 01:33:01 AM,C,14.239
01-09-14 02:33:01 AM,C,14.302
01-09-14 03:33:01 AM,C,13.676
01-09-14 04:33:01 AM,C,13.362
01-09-14 05:33:01 AM,C,13.425
01-09-14 06:33:01 AM,C,13.174
01-09-14 07:33:01 AM,C,13.926
01-09-14 08:33:01 AM,C,20.685
01-09-14 09:33:01 AM,C,21.186
01-09-14 10:33:01 AM,C,18.871
01-09-14 11:33:01 AM,C,19.309
01-09-14 12:33:01 PM,C,18.183
01-09-14 01:33:01 PM,C,18.12
01-09-14 02:33:01 PM,C,19.121
01-09-14 03:33:01 PM,C,16.806
01-09-14 04:33:01 PM,C,15.93
01-09-14 05:33:01 PM,C,15.241
01-09-14 06:33:01 PM,C,14.928
01-09-14 07:33:01 PM,C,14.803
01-09-14 08:33:01 PM,C,14.427
01-09-14 09:33:01 PM,C,13.362
01-09-14 10:33:01 PM,C,13.362
01-09-14 11:33:01 PM,C,11.984
01-10-14 12:33:01 AM,C,11.608
01-10-14 01:33:01 AM,C,11.796
01-10-14 02:33:01 AM,C,11.107
01-10-14 03:33:01 AM,C,10.731
01-10-14 04:33:01 AM,C,10.669
01-10-14 05:33:01 AM,C,10.543
01-10-14 06:33:01 AM,C,10.418
01-10-14 07:33:01 AM,C,14.803
01-10-14 08:33:01 AM,C,18.308
01-10-14 09:33:01 AM,C,20.56
01-10-14 10:33:01 AM,C,22.999
01-10-14 11:33:01 AM,C,23.187
01-10-14 12:33:01 PM,C,20.185
01-10-14 01:33:01 PM,C,22.437
01-10-14 02:33:01 PM,C,19.434
01-10-14 03:33:01 PM,C,19.935
01-10-14 04:33:01 PM,C,21.749
01-10-14 05:33:01 PM,C,16.681
01-10-14 06:33:01 PM,C,14.803
01-10-14 07:33:01 PM,C,15.742
01-10-14 08:33:01 PM,C,15.554
01-10-14 09:33:01 PM,C,15.241
01-10-14 10:33:01 PM,C,15.304
01-10-14 11:33:01 PM,C,14.615
01-11-14 12:33:01 AM,C,14.427
01-11-14 01:33:01 AM,C,14.302
01-11-14 02:33:01 AM,C,14.302
01-11-14 03:33:01 AM,C,13.425
01-11-14 04:33:01 AM,C,11.546
01-11-14 05:33:01 AM,C,11.984
01-11-14 06:33:01 AM,C,11.734
01-11-14 07:33:01 AM,C,16.618
01-11-14 08:33:01 AM,C,16.055
01-11-14 09:33:01 AM,C,17.307
01-11-14 10:33:01 AM,C,16.305
01-11-14 11:33:01 AM,C,22.687
01-11-14 12:33:01 PM,C,23.5
01-11-14 01:33:01 PM,C,19.997
01-11-14 02:33:01 PM,C,22.812
01-11-14 03:33:01 PM,C,20.873
01-11-14 04:33:01 PM,C,20.623
01-11-14 05:33:01 PM,C,15.554
01-11-14 06:33:01 PM,C,14.615
01-11-14 07:33:01 PM,C,15.554
01-11-14 08:33:01 PM,C,15.366
01-11-14 09:33:01 PM,C,14.552
01-11-14 10:33:01 PM,C,13.989
01-11-14 11:33:01 PM,C,12.987
01-12-14 12:33:01 AM,C,13.738
01-12-14 01:33:01 AM,C,12.298
01-12-14 02:33:01 AM,C,12.485
01-12-14 03:33:01 AM,C,12.611
01-12-14 04:33:01 AM,C,12.11
01-12-14 05:33:01 AM,C,11.922
01-12-14 06:33:01 AM,C,12.11
01-12-14 07:33:01 AM,C,16.931
01-12-14 08:33:01 AM,C,17.432
01-12-14 09:33:01 AM,C,20.873
01-12-14 10:33:01 AM,C,21.311
01-12-14 11:33:01 AM,C,24.125
01-12-14 12:33:01 PM,C,20.873
01-12-14 01:33:01 PM,C,21.061
01-12-14 02:33:01 PM,C,20.373
01-12-14 03:33:01 PM,C,17.745
01-12-14 04:33:01 PM,C,18.934
01-12-14 05:33:01 PM,C,15.742
01-12-14 06:33:01 PM,C,14.615
01-12-14 07:33:01 PM,C,15.178
01-12-14 08:33:01 PM,C,14.427
01-12-14 09:33:01 PM,C,14.364
01-12-14 10:33:01 PM,C,13.926
01-12-14 11:33:01 PM,C,13.3
01-13-14 12:33:01 AM,C,13.738
01-13-14 01:33:01 AM,C,11.922
01-13-14 02:33:01 AM,C,11.17
01-13-14 03:33:01 AM,C,10.669
01-13-14 04:33:01 AM,C,10.543
01-13-14 05:33:01 AM,C,10.167
01-13-14 06:33:01 AM,C,11.671
01-13-14 07:33:01 AM,C,14.99
01-13-14 08:33:01 AM,C,17.369
01-13-14 09:33:01 AM,C,17.244
01-13-14 10:33:01 AM,C,21.248
01-13-14 11:33:01 AM,C,22.312
01-13-14 12:33:01 PM,C,24.062
01-13-14 01:33:01 PM,C,25.125
01-13-14 02:33:01 PM,C,23.687
01-13-14 03:33:01 PM,C,21.936
01-13-14 04:33:01 PM,C,19.685
01-13-14 05:33:01 PM,C,15.617
01-13-14 06:33:01 PM,C,16.368
01-13-14 07:33:01 PM,C,14.74
01-13-14 08:33:01 PM,C,15.554
01-13-14 09:33:01 PM,C,15.742
01-13-14 10:33:01 PM,C,14.239
01-13-14 11:33:01 PM,C,13.237
01-14-14 12:33:01 AM,C,14.677
01-14-14 01:33:01 AM,C,13.174
01-14-14 02:33:01 AM,C,13.112
01-14-14 03:33:01 AM,C,12.924
01-14-14 04:33:01 AM,C,13.55
01-14-14 05:33:01 AM,C,13.55
01-14-14 06:33:01 AM,C,14.74
01-14-14 07:33:01 AM,C,15.867
01-14-14 08:33:01 AM,C,17.119
01-14-14 09:33:01 AM,C,17.182
01-14-14 10:33:01 AM,C,19.121
01-14-14 11:33:01 AM,C,19.121
01-14-14 12:33:01 PM,C,25.5
01-14-14 01:33:01 PM,C,25
01-14-14 02:33:01 PM,C,23.687
01-14-14 03:33:01 PM,C,23.312
01-14-14 04:33:01 PM,C,17.87
01-14-14 05:33:01 PM,C,16.994
01-14-14 06:33:01 PM,C,15.804
01-14-14 07:33:01 PM,C,15.304
01-14-14 08:33:01 PM,C,14.615
01-14-14 09:33:01 PM,C,13.989
01-14-14 10:33:01 PM,C,15.116
01-14-14 11:33:01 PM,C,14.114
01-15-14 12:33:01 AM,C,13.676
01-15-14 01:33:01 AM,C,13.362
01-15-14 02:33:01 AM,C,13.112
01-15-14 03:33:01 AM,C,13.362
01-15-14 04:33:01 AM,C,13.738
01-15-14 05:33:01 AM,C,12.736
01-15-14 06:33:01 AM,C,12.36
01-15-14 07:33:01 AM,C,17.995
01-15-14 08:33:01 AM,C,17.056
01-15-14 09:33:01 AM,C,18.308
01-15-14 10:33:01 AM,C,20.811
01-15-14 11:33:01 AM,C,23.5
01-15-14 12:33:01 PM,C,21.999
01-15-14 01:33:01 PM,C,19.935
01-15-14 02:33:01 PM,C,19.559
01-15-14 03:33:01 PM,C,20.498
01-15-14 04:33:01 PM,C,16.055
01-15-14 05:33:01 PM,C,14.99
01-15-14 06:33:01 PM,C,14.427
01-15-14 07:33:01 PM,C,14.427
01-15-14 08:33:01 PM,C,14.49
01-15-14 09:33:01 PM,C,13.738
01-15-14 10:33:01 PM,C,10.919
01-15-14 11:33:01 PM,C,9.917
01-16-14 12:33:01 AM,C,8.726
01-16-14 01:33:01 AM,C,8.287
01-16-14 02:33:01 AM,C,8.099
01-16-14 03:33:01 AM,C,8.162
01-16-14 04:33:01 AM,C,8.099
01-16-14 05:33:01 AM,C,7.911
01-16-14 06:33:01 AM,C,8.287
01-16-14 07:33:01 AM,C,9.979
01-16-14 08:33:01 AM,C,12.11
01-16-14 09:33:01 AM,C,10.418
01-16-14 10:33:01 AM,C,10.481
01-16-14 11:33:01 AM,C,12.36
01-16-14 12:33:01 PM,C,10.731
01-16-14 01:33:01 PM,C,10.919
