1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 710000002BB55441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 15:26:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 12:26:01 CST 2014
Total Mission Samples:  4229
Total Device Samples:  11358
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 12:26:01 PM,C,14.929
01-08-14 01:26:01 PM,C,13.801
01-08-14 02:26:01 PM,C,14.177
01-08-14 03:26:01 PM,C,13.613
01-08-14 04:26:01 PM,C,12.987
01-08-14 05:26:01 PM,C,12.423
01-08-14 06:26:01 PM,C,12.298
01-08-14 07:26:01 PM,C,12.172
01-08-14 08:26:01 PM,C,12.235
01-08-14 09:26:01 PM,C,12.172
01-08-14 10:26:01 PM,C,12.298
01-08-14 11:26:01 PM,C,12.486
01-09-14 12:26:01 AM,C,12.486
01-09-14 01:26:01 AM,C,12.486
01-09-14 02:26:01 AM,C,12.423
01-09-14 03:26:01 AM,C,12.36
01-09-14 04:26:01 AM,C,12.548
01-09-14 05:26:01 AM,C,12.611
01-09-14 06:26:01 AM,C,12.423
01-09-14 07:26:01 AM,C,13.238
01-09-14 08:26:01 AM,C,14.365
01-09-14 09:26:01 AM,C,16.056
01-09-14 10:26:01 AM,C,19.436
01-09-14 11:26:01 AM,C,19.499
01-09-14 12:26:01 PM,C,18.435
01-09-14 01:26:01 PM,C,20.812
01-09-14 02:26:01 PM,C,21.688
01-09-14 03:26:01 PM,C,22.126
01-09-14 04:26:01 PM,C,17.058
01-09-14 05:26:01 PM,C,15.931
01-09-14 06:26:01 PM,C,15.367
01-09-14 07:26:01 PM,C,14.741
01-09-14 08:26:01 PM,C,15.305
01-09-14 09:26:01 PM,C,15.242
01-09-14 10:26:01 PM,C,14.991
01-09-14 11:26:01 PM,C,14.929
01-10-14 12:26:01 AM,C,14.553
01-10-14 01:26:01 AM,C,14.24
01-10-14 02:26:01 AM,C,13.488
01-10-14 03:26:01 AM,C,12.047
01-10-14 04:26:01 AM,C,10.355
01-10-14 05:26:01 AM,C,12.11
01-10-14 06:26:01 AM,C,11.922
01-10-14 07:26:01 AM,C,12.298
01-10-14 08:26:01 AM,C,16.494
01-10-14 09:26:01 AM,C,20.687
01-10-14 10:26:01 AM,C,20.312
01-10-14 11:26:01 AM,C,24.189
01-10-14 12:26:01 PM,C,24.002
01-10-14 01:26:01 PM,C,26.002
01-10-14 02:26:01 PM,C,26.439
01-10-14 03:26:01 PM,C,24.689
01-10-14 04:26:01 PM,C,19.373
01-10-14 05:26:01 PM,C,16.87
01-10-14 06:26:01 PM,C,13.363
01-10-14 07:26:01 PM,C,12.047
01-10-14 08:26:01 PM,C,11.546
01-10-14 09:26:01 PM,C,10.794
01-10-14 10:26:01 PM,C,12.987
01-10-14 11:26:01 PM,C,13.801
01-11-14 12:26:01 AM,C,13.739
01-11-14 01:26:01 AM,C,13.613
01-11-14 02:26:01 AM,C,12.987
01-11-14 03:26:01 AM,C,13.112
01-11-14 04:26:01 AM,C,13.426
01-11-14 05:26:01 AM,C,12.987
01-11-14 06:26:01 AM,C,12.674
01-11-14 07:26:01 AM,C,12.987
01-11-14 08:26:01 AM,C,19.686
01-11-14 09:26:01 AM,C,22.126
01-11-14 10:26:01 AM,C,23.939
01-11-14 11:26:01 AM,C,24.564
01-11-14 12:26:01 PM,C,25.564
01-11-14 01:26:01 PM,C,25.939
01-11-14 02:26:01 PM,C,22.376
01-11-14 03:26:01 PM,C,20.75
01-11-14 04:26:01 PM,C,19.061
01-11-14 05:26:01 PM,C,17.496
01-11-14 06:26:01 PM,C,13.739
01-11-14 07:26:01 PM,C,12.172
01-11-14 08:26:01 PM,C,12.799
01-11-14 09:26:01 PM,C,14.428
01-11-14 10:26:01 PM,C,14.929
01-11-14 11:26:01 PM,C,15.242
01-12-14 12:26:01 AM,C,15.054
01-12-14 01:26:01 AM,C,14.365
01-12-14 02:26:01 AM,C,12.423
01-12-14 03:26:01 AM,C,13.864
01-12-14 04:26:01 AM,C,14.804
01-12-14 05:26:01 AM,C,14.929
01-12-14 06:26:01 AM,C,14.616
01-12-14 07:26:01 AM,C,15.242
01-12-14 08:26:01 AM,C,18.122
01-12-14 09:26:01 AM,C,18.435
01-12-14 10:26:01 AM,C,19.999
01-12-14 11:26:01 AM,C,21
01-12-14 12:26:01 PM,C,21.563
01-12-14 01:26:01 PM,C,23.689
01-12-14 02:26:01 PM,C,22.251
01-12-14 03:26:01 PM,C,23.126
01-12-14 04:26:01 PM,C,19.186
01-12-14 05:26:01 PM,C,18.685
01-12-14 06:26:01 PM,C,13.426
01-12-14 07:26:01 PM,C,13.801
01-12-14 08:26:01 PM,C,12.862
01-12-14 09:26:01 PM,C,14.365
01-12-14 10:26:01 PM,C,15.492
01-12-14 11:26:01 PM,C,15.68
01-13-14 12:26:01 AM,C,14.49
01-13-14 01:26:01 AM,C,12.548
01-13-14 02:26:01 AM,C,13.551
01-13-14 03:26:01 AM,C,10.982
01-13-14 04:26:01 AM,C,8.286
01-13-14 05:26:01 AM,C,7.157
01-13-14 06:26:01 AM,C,8.788
01-13-14 07:26:01 AM,C,8.725
01-13-14 08:26:01 AM,C,17.809
01-13-14 09:26:01 AM,C,21.313
01-13-14 10:26:01 AM,C,22.751
01-13-14 11:26:01 AM,C,23.189
01-13-14 12:26:01 PM,C,25.189
01-13-14 01:26:01 PM,C,26.127
01-13-14 02:26:01 PM,C,25.689
01-13-14 03:26:01 PM,C,21.626
01-13-14 04:26:01 PM,C,23.252
01-13-14 05:26:01 PM,C,18.935
01-13-14 06:26:01 PM,C,17.058
01-13-14 07:26:01 PM,C,15.179
01-13-14 08:26:01 PM,C,12.611
01-13-14 09:26:01 PM,C,11.232
01-13-14 10:26:01 PM,C,9.979
01-13-14 11:26:01 PM,C,9.226
01-14-14 12:26:01 AM,C,8.725
01-14-14 01:26:01 AM,C,8.223
01-14-14 02:26:01 AM,C,7.972
01-14-14 03:26:01 AM,C,7.721
01-14-14 04:26:01 AM,C,7.596
01-14-14 05:26:01 AM,C,7.471
01-14-14 06:26:01 AM,C,7.22
01-14-14 07:26:01 AM,C,8.976
01-14-14 08:26:01 AM,C,19.436
01-14-14 09:26:01 AM,C,23.126
01-14-14 10:26:01 AM,C,21.938
01-14-14 11:26:01 AM,C,24.564
01-14-14 12:26:01 PM,C,26.439
01-14-14 01:26:01 PM,C,22.376
01-14-14 02:26:01 PM,C,23.877
01-14-14 03:26:01 PM,C,23.126
01-14-14 04:26:01 PM,C,24.877
01-14-14 05:26:01 PM,C,19.999
01-14-14 06:26:01 PM,C,14.866
01-14-14 07:26:01 PM,C,12.987
01-14-14 08:26:01 PM,C,14.115
01-14-14 09:26:01 PM,C,14.616
01-14-14 10:26:01 PM,C,14.616
01-14-14 11:26:01 PM,C,13.801
01-15-14 12:26:01 AM,C,14.24
01-15-14 01:26:01 AM,C,14.553
01-15-14 02:26:01 AM,C,14.678
01-15-14 03:26:01 AM,C,14.804
01-15-14 04:26:01 AM,C,14.553
01-15-14 05:26:01 AM,C,14.49
01-15-14 06:26:01 AM,C,14.553
01-15-14 07:26:01 AM,C,15.117
01-15-14 08:26:01 AM,C,16.933
01-15-14 09:26:01 AM,C,19.874
01-15-14 10:26:01 AM,C,17.684
01-15-14 11:26:01 AM,C,17.433
01-15-14 12:26:01 PM,C,18.685
01-15-14 01:26:01 PM,C,19.686
01-15-14 02:26:01 PM,C,18.623
01-15-14 03:26:01 PM,C,16.557
01-15-14 04:26:01 PM,C,16.244
01-15-14 05:26:01 PM,C,15.492
01-15-14 06:26:01 PM,C,14.24
01-15-14 07:26:01 PM,C,14.365
01-15-14 08:26:01 PM,C,13.112
01-15-14 09:26:01 PM,C,11.922
01-15-14 10:26:01 PM,C,10.982
01-15-14 11:26:01 PM,C,10.292
01-16-14 12:26:01 AM,C,10.23
01-16-14 01:26:01 AM,C,9.853
01-16-14 02:26:01 AM,C,8.411
01-16-14 03:26:01 AM,C,8.035
01-16-14 04:26:01 AM,C,5.965
01-16-14 05:26:01 AM,C,4.71
01-16-14 06:26:01 AM,C,3.643
01-16-14 07:26:01 AM,C,5.526
01-16-14 08:26:01 AM,C,9.289
01-16-14 09:26:01 AM,C,10.982
01-16-14 10:26:01 AM,C,12.047
01-16-14 11:26:01 AM,C,13.989
01-16-14 12:26:01 PM,C,13.488
01-16-14 01:26:01 PM,C,12.548
01-16-14 02:26:01 PM,C,12.298
01-16-14 03:26:01 PM,C,11.42
01-16-14 04:26:01 PM,C,10.794
01-16-14 05:26:01 PM,C,10.668
01-16-14 06:26:01 PM,C,9.853
01-16-14 07:26:01 PM,C,9.728
01-16-14 08:26:01 PM,C,8.976
01-16-14 09:26:01 PM,C,6.404
01-16-14 10:26:01 PM,C,4.522
01-16-14 11:26:01 PM,C,2.953
01-17-14 12:26:01 AM,C,4.02
01-17-14 01:26:01 AM,C,6.53
01-17-14 02:26:01 AM,C,7.596
01-17-14 03:26:01 AM,C,7.972
01-17-14 04:26:01 AM,C,8.223
01-17-14 05:26:01 AM,C,6.718
01-17-14 06:26:01 AM,C,7.659
01-17-14 07:26:01 AM,C,9.164
01-17-14 08:26:01 AM,C,12.298
01-17-14 09:26:01 AM,C,15.868
01-17-14 10:26:01 AM,C,18.435
01-17-14 11:26:01 AM,C,21
01-17-14 12:26:01 PM,C,19.248
01-17-14 01:26:01 PM,C,19.686
01-17-14 02:26:01 PM,C,19.561
01-17-14 03:26:01 PM,C,18.935
01-17-14 04:26:01 PM,C,17.371
01-17-14 05:26:01 PM,C,15.743
01-17-14 06:26:01 PM,C,14.428
01-17-14 07:26:01 PM,C,13.551
01-17-14 08:26:01 PM,C,13.238
01-17-14 09:26:01 PM,C,12.987
01-17-14 10:26:01 PM,C,12.674
01-17-14 11:26:01 PM,C,12.486
01-18-14 12:26:01 AM,C,12.36
01-18-14 01:26:01 AM,C,12.172
01-18-14 02:26:01 AM,C,12.047
01-18-14 03:26:01 AM,C,11.859
01-18-14 04:26:01 AM,C,11.734
01-18-14 05:26:01 AM,C,11.796
01-18-14 06:26:01 AM,C,11.734
01-18-14 07:26:01 AM,C,11.922
01-18-14 08:26:01 AM,C,12.486
01-18-14 09:26:01 AM,C,13.676
01-18-14 10:26:01 AM,C,13.613
01-18-14 11:26:01 AM,C,14.553
01-18-14 12:26:01 PM,C,14.616
01-18-14 01:26:01 PM,C,14.553
01-18-14 02:26:01 PM,C,14.678
01-18-14 03:26:01 PM,C,13.927
01-18-14 04:26:01 PM,C,13.363
01-18-14 05:26:01 PM,C,12.862
01-18-14 06:26:01 PM,C,12.423
01-18-14 07:26:01 PM,C,12.36
01-18-14 08:26:01 PM,C,12.423
01-18-14 09:26:01 PM,C,12.548
01-18-14 10:26:01 PM,C,12.611
01-18-14 11:26:01 PM,C,12.611
01-19-14 12:26:01 AM,C,12.611
01-19-14 01:26:01 AM,C,12.548
01-19-14 02:26:01 AM,C,12.486
01-19-14 03:26:01 AM,C,12.548
