1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 310000002BB62D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 14:51:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 11:51:01 CST 2014
Total Mission Samples:  4229
Total Device Samples:  11347
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 11:51:01 AM,C,19.841
01-08-14 12:51:01 PM,C,20.091
01-08-14 01:51:01 PM,C,20.404
01-08-14 02:51:01 PM,C,20.404
01-08-14 03:51:01 PM,C,20.404
01-08-14 04:51:01 PM,C,20.216
01-08-14 05:51:01 PM,C,20.154
01-08-14 06:51:01 PM,C,19.966
01-08-14 07:51:01 PM,C,19.778
01-08-14 08:51:01 PM,C,19.716
01-08-14 09:51:01 PM,C,19.716
01-08-14 10:51:01 PM,C,19.716
01-08-14 11:51:01 PM,C,19.716
01-09-14 12:51:01 AM,C,19.653
01-09-14 01:51:01 AM,C,19.59
01-09-14 02:51:01 AM,C,19.59
01-09-14 03:51:01 AM,C,19.528
01-09-14 04:51:01 AM,C,19.528
01-09-14 05:51:01 AM,C,19.528
01-09-14 06:51:01 AM,C,19.465
01-09-14 07:51:01 AM,C,19.465
01-09-14 08:51:01 AM,C,19.528
01-09-14 09:51:01 AM,C,19.716
01-09-14 10:51:01 AM,C,22.155
01-09-14 11:51:01 AM,C,22.343
01-09-14 12:51:01 PM,C,23.031
01-09-14 01:51:01 PM,C,22.656
01-09-14 02:51:01 PM,C,23.281
01-09-14 03:51:01 PM,C,22.218
01-09-14 04:51:01 PM,C,20.967
01-09-14 05:51:01 PM,C,21.905
01-09-14 06:51:01 PM,C,21.28
01-09-14 07:51:01 PM,C,21.092
01-09-14 08:51:01 PM,C,20.779
01-09-14 09:51:01 PM,C,20.591
01-09-14 10:51:01 PM,C,20.216
01-09-14 11:51:01 PM,C,19.653
01-10-14 12:51:01 AM,C,19.403
01-10-14 01:51:01 AM,C,18.777
01-10-14 02:51:01 AM,C,18.464
01-10-14 03:51:01 AM,C,18.151
01-10-14 04:51:01 AM,C,18.088
01-10-14 05:51:01 AM,C,17.713
01-10-14 06:51:01 AM,C,17.713
01-10-14 07:51:01 AM,C,21.154
01-10-14 08:51:01 AM,C,22.03
01-10-14 09:51:01 AM,C,28.343
01-10-14 10:51:01 AM,C,25.719
01-10-14 11:51:01 AM,C,26.844
01-10-14 12:51:01 PM,C,25.344
01-10-14 01:51:01 PM,C,26.844
01-10-14 02:51:01 PM,C,27.093
01-10-14 03:51:01 PM,C,26.969
01-10-14 04:51:01 PM,C,26.219
01-10-14 05:51:01 PM,C,25.469
01-10-14 06:51:01 PM,C,23.718
01-10-14 07:51:01 PM,C,22.781
01-10-14 08:51:01 PM,C,22.906
01-10-14 09:51:01 PM,C,22.468
01-10-14 10:51:01 PM,C,22.218
01-10-14 11:51:01 PM,C,21.405
01-11-14 12:51:01 AM,C,20.717
01-11-14 01:51:01 AM,C,20.466
01-11-14 02:51:01 AM,C,20.341
01-11-14 03:51:01 AM,C,20.028
01-11-14 04:51:01 AM,C,19.278
01-11-14 05:51:01 AM,C,18.464
01-11-14 06:51:01 AM,C,17.838
01-11-14 07:51:01 AM,C,17.963
01-11-14 08:51:01 AM,C,19.152
01-11-14 09:51:01 AM,C,20.654
01-11-14 10:51:01 AM,C,21.154
01-11-14 11:51:01 AM,C,21.717
01-11-14 12:51:01 PM,C,22.593
01-11-14 01:51:01 PM,C,22.781
01-11-14 02:51:01 PM,C,23.343
01-11-14 03:51:01 PM,C,23.656
01-11-14 04:51:01 PM,C,23.593
01-11-14 05:51:01 PM,C,22.968
01-11-14 06:51:01 PM,C,22.468
01-11-14 07:51:01 PM,C,22.343
01-11-14 08:51:01 PM,C,22.155
01-11-14 09:51:01 PM,C,22.03
01-11-14 10:51:01 PM,C,21.592
01-11-14 11:51:01 PM,C,21.092
01-12-14 12:51:01 AM,C,20.591
01-12-14 01:51:01 AM,C,20.154
01-12-14 02:51:01 AM,C,19.778
01-12-14 03:51:01 AM,C,19.778
01-12-14 04:51:01 AM,C,19.716
01-12-14 05:51:01 AM,C,19.528
01-12-14 06:51:01 AM,C,19.403
01-12-14 07:51:01 AM,C,19.653
01-12-14 08:51:01 AM,C,20.028
01-12-14 09:51:01 AM,C,20.654
01-12-14 10:51:01 AM,C,21.28
01-12-14 11:51:01 AM,C,22.218
01-12-14 12:51:01 PM,C,22.718
01-12-14 01:51:01 PM,C,23.343
01-12-14 02:51:01 PM,C,23.593
01-12-14 03:51:01 PM,C,23.844
01-12-14 04:51:01 PM,C,23.718
01-12-14 05:51:01 PM,C,23.593
01-12-14 06:51:01 PM,C,23.281
01-12-14 07:51:01 PM,C,23.031
01-12-14 08:51:01 PM,C,22.468
01-12-14 09:51:01 PM,C,21.843
01-12-14 10:51:01 PM,C,21.342
01-12-14 11:51:01 PM,C,20.842
01-13-14 12:51:01 AM,C,20.529
01-13-14 01:51:01 AM,C,20.216
01-13-14 02:51:01 AM,C,19.841
01-13-14 03:51:01 AM,C,19.403
01-13-14 04:51:01 AM,C,19.09
01-13-14 05:51:01 AM,C,18.589
01-13-14 06:51:01 AM,C,18.527
01-13-14 07:51:01 AM,C,19.09
01-13-14 08:51:01 AM,C,21.217
01-13-14 09:51:01 AM,C,22.968
01-13-14 10:51:01 AM,C,26.406
01-13-14 11:51:01 AM,C,26.719
01-13-14 12:51:01 PM,C,40.384
01-13-14 01:51:01 PM,C,39.698
01-13-14 02:51:01 PM,C,30.154
01-13-14 03:51:01 PM,C,28.405
01-13-14 04:51:01 PM,C,27.031
01-13-14 05:51:01 PM,C,24.844
01-13-14 06:51:01 PM,C,23.343
01-13-14 07:51:01 PM,C,22.656
01-13-14 08:51:01 PM,C,22.468
01-13-14 09:51:01 PM,C,22.468
01-13-14 10:51:01 PM,C,21.968
01-13-14 11:51:01 PM,C,21.53
01-14-14 12:51:01 AM,C,21.28
01-14-14 01:51:01 AM,C,20.717
01-14-14 02:51:01 AM,C,20.279
01-14-14 03:51:01 AM,C,19.841
01-14-14 04:51:01 AM,C,19.653
01-14-14 05:51:01 AM,C,19.653
01-14-14 06:51:01 AM,C,19.778
01-14-14 07:51:01 AM,C,20.154
01-14-14 08:51:01 AM,C,20.967
01-14-14 09:51:01 AM,C,22.218
01-14-14 10:51:01 AM,C,23.281
01-14-14 11:51:01 AM,C,23.781
01-14-14 12:51:01 PM,C,24.156
01-14-14 01:51:01 PM,C,24.906
01-14-14 02:51:01 PM,C,24.969
01-14-14 03:51:01 PM,C,26.406
01-14-14 04:51:01 PM,C,28.28
01-14-14 05:51:01 PM,C,25.594
01-14-14 06:51:01 PM,C,25.469
01-14-14 07:51:01 PM,C,24.844
01-14-14 08:51:01 PM,C,24.656
01-14-14 09:51:01 PM,C,24.469
01-14-14 10:51:01 PM,C,24.344
01-14-14 11:51:01 PM,C,24.219
01-15-14 12:51:01 AM,C,24.094
