1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 710000002BB67F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 15:25:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 12:25:01 CST 2014
Total Mission Samples:  4229
Total Device Samples:  11178
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 12:25:01 PM,C,19.244
01-08-14 01:25:01 PM,C,19.432
01-08-14 02:25:01 PM,C,19.495
01-08-14 03:25:01 PM,C,19.62
01-08-14 04:25:01 PM,C,19.557
01-08-14 05:25:01 PM,C,19.432
01-08-14 06:25:01 PM,C,19.307
01-08-14 07:25:01 PM,C,19.182
01-08-14 08:25:01 PM,C,19.119
01-08-14 09:25:01 PM,C,19.057
01-08-14 10:25:01 PM,C,19.119
01-08-14 11:25:01 PM,C,19.119
01-09-14 12:25:01 AM,C,18.994
01-09-14 01:25:01 AM,C,18.869
01-09-14 02:25:01 AM,C,18.744
01-09-14 03:25:01 AM,C,18.681
01-09-14 04:25:01 AM,C,18.618
01-09-14 05:25:01 AM,C,18.556
01-09-14 06:25:01 AM,C,18.493
01-09-14 07:25:01 AM,C,18.493
01-09-14 08:25:01 AM,C,18.556
01-09-14 09:25:01 AM,C,18.681
01-09-14 10:25:01 AM,C,18.931
01-09-14 11:25:01 AM,C,19.307
01-09-14 12:25:01 PM,C,19.557
01-09-14 01:25:01 PM,C,19.62
01-09-14 02:25:01 PM,C,19.745
01-09-14 03:25:01 PM,C,19.995
01-09-14 04:25:01 PM,C,20.058
01-09-14 05:25:01 PM,C,20.12
01-09-14 06:25:01 PM,C,19.995
01-09-14 07:25:01 PM,C,19.933
01-09-14 08:25:01 PM,C,19.87
01-09-14 09:25:01 PM,C,19.87
01-09-14 10:25:01 PM,C,19.808
01-09-14 11:25:01 PM,C,19.745
01-10-14 12:25:01 AM,C,19.62
01-10-14 01:25:01 AM,C,19.557
01-10-14 02:25:01 AM,C,19.495
01-10-14 03:25:01 AM,C,19.432
01-10-14 04:25:01 AM,C,19.307
01-10-14 05:25:01 AM,C,19.307
01-10-14 06:25:01 AM,C,19.307
01-10-14 07:25:01 AM,C,19.244
01-10-14 08:25:01 AM,C,19.244
01-10-14 09:25:01 AM,C,19.37
01-10-14 10:25:01 AM,C,19.682
01-10-14 11:25:01 AM,C,20.308
01-10-14 12:25:01 PM,C,20.871
01-10-14 01:25:01 PM,C,21.372
01-10-14 02:25:01 PM,C,21.81
