1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 950000002BB79F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 15:09:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 11:09:01 CST 2014
Total Mission Samples:  4228
Total Device Samples:  11176
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 11:09:01 AM,C,15.974
01-08-14 12:09:01 PM,C,16.725
01-08-14 01:09:01 PM,C,16.6
01-08-14 02:09:01 PM,C,16.662
01-08-14 03:09:01 PM,C,15.974
01-08-14 04:09:01 PM,C,15.097
01-08-14 05:09:01 PM,C,14.408
01-08-14 06:09:01 PM,C,14.471
01-08-14 07:09:01 PM,C,14.534
01-08-14 08:09:01 PM,C,14.596
01-08-14 09:09:01 PM,C,14.721
01-08-14 10:09:01 PM,C,14.471
01-08-14 11:09:01 PM,C,14.408
01-09-14 12:09:01 AM,C,14.283
01-09-14 01:09:01 AM,C,14.346
01-09-14 02:09:01 AM,C,14.095
01-09-14 03:09:01 AM,C,13.845
01-09-14 04:09:01 AM,C,13.719
01-09-14 05:09:01 AM,C,14.033
01-09-14 06:09:01 AM,C,13.845
01-09-14 07:09:01 AM,C,14.408
01-09-14 08:09:01 AM,C,16.349
01-09-14 09:09:01 AM,C,16.537
01-09-14 10:09:01 AM,C,18.352
01-09-14 11:09:01 AM,C,18.352
01-09-14 12:09:01 PM,C,19.228
01-09-14 01:09:01 PM,C,17.976
01-09-14 02:09:01 PM,C,18.978
01-09-14 03:09:01 PM,C,18.852
01-09-14 04:09:01 PM,C,17.225
01-09-14 05:09:01 PM,C,16.662
01-09-14 06:09:01 PM,C,16.474
01-09-14 07:09:01 PM,C,16.161
01-09-14 08:09:01 PM,C,16.099
01-09-14 09:09:01 PM,C,14.909
01-09-14 10:09:01 PM,C,15.035
01-09-14 11:09:01 PM,C,14.033
01-10-14 12:09:01 AM,C,13.281
01-10-14 01:09:01 AM,C,12.843
01-10-14 02:09:01 AM,C,12.529
01-10-14 03:09:01 AM,C,12.467
01-10-14 04:09:01 AM,C,12.154
01-10-14 05:09:01 AM,C,11.339
01-10-14 06:09:01 AM,C,11.84
01-10-14 07:09:01 AM,C,12.905
01-10-14 08:09:01 AM,C,15.097
01-10-14 09:09:01 AM,C,18.852
01-10-14 10:09:01 AM,C,20.917
01-10-14 11:09:01 AM,C,22.543
