1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0C0000002BB55841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Jun 01 08:38:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 23 03:38:01 CST 2013
Total Mission Samples:  2571
Total Device Samples:  9582
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-23-13 03:38:01 AM,C,20.118
06-23-13 04:38:01 AM,C,19.868
06-23-13 05:38:01 AM,C,20.243
06-23-13 06:38:01 AM,C,21.806
06-23-13 07:38:01 AM,C,24.119
06-23-13 08:38:01 AM,C,27.806
06-23-13 09:38:01 AM,C,29.243
06-23-13 10:38:01 AM,C,30.554
06-23-13 11:38:01 AM,C,33.364
06-23-13 12:38:01 PM,C,32.927
06-23-13 01:38:01 PM,C,32.303
06-23-13 02:38:01 PM,C,34.238
06-23-13 03:38:01 PM,C,34.55
06-23-13 04:38:01 PM,C,28.618
06-23-13 05:38:01 PM,C,27.681
06-23-13 06:38:01 PM,C,25.182
06-23-13 07:38:01 PM,C,24.182
06-23-13 08:38:01 PM,C,22.932
06-23-13 09:38:01 PM,C,21.056
06-23-13 10:38:01 PM,C,20.493
06-23-13 11:38:01 PM,C,20.493
06-24-13 12:38:01 AM,C,19.68
06-24-13 01:38:01 AM,C,20.055
06-24-13 02:38:01 AM,C,19.305
06-24-13 03:38:01 AM,C,18.929
06-24-13 04:38:01 AM,C,19.242
06-24-13 05:38:01 AM,C,18.992
06-24-13 06:38:01 AM,C,20.993
06-24-13 07:38:01 AM,C,24.244
06-24-13 08:38:01 AM,C,28.243
06-24-13 09:38:01 AM,C,30.554
06-24-13 10:38:01 AM,C,27.931
06-24-13 11:38:01 AM,C,30.492
06-24-13 12:38:01 PM,C,31.553
06-24-13 01:38:01 PM,C,30.804
06-24-13 02:38:01 PM,C,30.367
06-24-13 03:38:01 PM,C,27.744
06-24-13 04:38:01 PM,C,28.556
06-24-13 05:38:01 PM,C,25.619
06-24-13 06:38:01 PM,C,23.994
06-24-13 07:38:01 PM,C,19.993
06-24-13 08:38:01 PM,C,19.617
06-24-13 09:38:01 PM,C,19.555
06-24-13 10:38:01 PM,C,19.743
06-24-13 11:38:01 PM,C,19.743
06-25-13 12:38:01 AM,C,19.305
06-25-13 01:38:01 AM,C,19.367
06-25-13 02:38:01 AM,C,19.555
06-25-13 03:38:01 AM,C,19.43
06-25-13 04:38:01 AM,C,19.367
06-25-13 05:38:01 AM,C,19.18
06-25-13 06:38:01 AM,C,19.868
06-25-13 07:38:01 AM,C,21.056
06-25-13 08:38:01 AM,C,23.682
