1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F50000002BB97A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Jun 01 08:32:01 CST 2013
Mission Sample Count:  1944
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 01 08:32:01 CST 2013
Total Mission Samples:  1944
Total Device Samples:  9116
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-01-13 08:32:01 AM,C,27.531
06-01-13 09:32:01 AM,C,31.84
06-01-13 10:32:01 AM,C,34.024
06-01-13 11:32:01 AM,C,34.211
06-01-13 12:32:01 PM,C,33.587
06-01-13 01:32:01 PM,C,28.031
06-01-13 02:32:01 PM,C,24.219
06-01-13 03:32:01 PM,C,25.594
06-01-13 04:32:01 PM,C,26.031
06-01-13 05:32:01 PM,C,24.781
06-01-13 06:32:01 PM,C,23.781
06-01-13 07:32:01 PM,C,23.281
06-01-13 08:32:01 PM,C,22.718
06-01-13 09:32:01 PM,C,22.405
06-01-13 10:32:01 PM,C,23.156
06-01-13 11:32:01 PM,C,22.03
06-02-13 12:32:01 AM,C,21.717
06-02-13 01:32:01 AM,C,21.53
06-02-13 02:32:01 AM,C,20.591
06-02-13 03:32:01 AM,C,20.279
06-02-13 04:32:01 AM,C,20.154
06-02-13 05:32:01 AM,C,20.216
06-02-13 06:32:01 AM,C,21.905
06-02-13 07:32:01 AM,C,27.781
06-02-13 08:32:01 AM,C,28.343
06-02-13 09:32:01 AM,C,30.279
06-02-13 10:32:01 AM,C,32.901
06-02-13 11:32:01 AM,C,32.901
06-02-13 12:32:01 PM,C,33.088
06-02-13 01:32:01 PM,C,33.587
06-02-13 02:32:01 PM,C,28.156
06-02-13 03:32:01 PM,C,29.28
06-02-13 04:32:01 PM,C,28.78
06-02-13 05:32:01 PM,C,26.531
06-02-13 06:32:01 PM,C,24.969
06-02-13 07:32:01 PM,C,24.219
06-02-13 08:32:01 PM,C,23.281
06-02-13 09:32:01 PM,C,23.281
06-02-13 10:32:01 PM,C,22.968
06-02-13 11:32:01 PM,C,22.968
06-03-13 12:32:01 AM,C,22.405
06-03-13 01:32:01 AM,C,22.155
06-03-13 02:32:01 AM,C,22.093
06-03-13 03:32:01 AM,C,22.03
06-03-13 04:32:01 AM,C,21.592
06-03-13 05:32:01 AM,C,21.029
06-03-13 06:32:01 AM,C,21.968
06-03-13 07:32:01 AM,C,23.969
06-03-13 08:32:01 AM,C,28.718
06-03-13 09:32:01 AM,C,32.713
06-03-13 10:32:01 AM,C,33.275
06-03-13 11:32:01 AM,C,28.593
06-03-13 12:32:01 PM,C,28.031
06-03-13 01:32:01 PM,C,25.094
06-03-13 02:32:01 PM,C,21.154
06-03-13 03:32:01 PM,C,21.467
06-03-13 04:32:01 PM,C,21.717
06-03-13 05:32:01 PM,C,21.342
06-03-13 06:32:01 PM,C,21.092
06-03-13 07:32:01 PM,C,21.029
06-03-13 08:32:01 PM,C,20.654
06-03-13 09:32:01 PM,C,20.591
06-03-13 10:32:01 PM,C,20.466
06-03-13 11:32:01 PM,C,20.341
06-04-13 12:32:01 AM,C,20.216
06-04-13 01:32:01 AM,C,20.216
06-04-13 02:32:01 AM,C,19.903
06-04-13 03:32:01 AM,C,19.778
06-04-13 04:32:01 AM,C,19.653
06-04-13 05:32:01 AM,C,19.903
06-04-13 06:32:01 AM,C,20.341
06-04-13 07:32:01 AM,C,25.469
06-04-13 08:32:01 AM,C,25.969
06-04-13 09:32:01 AM,C,29.217
06-04-13 10:32:01 AM,C,32.339
06-04-13 11:32:01 AM,C,32.526
06-04-13 12:32:01 PM,C,31.652
06-04-13 01:32:01 PM,C,23.093
06-04-13 02:32:01 PM,C,23.718
06-04-13 03:32:01 PM,C,24.406
06-04-13 04:32:01 PM,C,24.469
06-04-13 05:32:01 PM,C,23.468
06-04-13 06:32:01 PM,C,22.656
06-04-13 07:32:01 PM,C,22.155
06-04-13 08:32:01 PM,C,21.905
06-04-13 09:32:01 PM,C,21.78
06-04-13 10:32:01 PM,C,21.405
06-04-13 11:32:01 PM,C,21.092
06-05-13 12:32:01 AM,C,21.217
06-05-13 01:32:01 AM,C,21.217
06-05-13 02:32:01 AM,C,21.092
06-05-13 03:32:01 AM,C,20.591
06-05-13 04:32:01 AM,C,20.341
06-05-13 05:32:01 AM,C,19.966
06-05-13 06:32:01 AM,C,21.217
06-05-13 07:32:01 AM,C,27.593
06-05-13 08:32:01 AM,C,26.969
06-05-13 09:32:01 AM,C,30.341
06-05-13 10:32:01 AM,C,32.401
06-05-13 11:32:01 AM,C,34.024
06-05-13 12:32:01 PM,C,35.958
06-05-13 01:32:01 PM,C,34.273
06-05-13 02:32:01 PM,C,27.406
06-05-13 03:32:01 PM,C,24.531
06-05-13 04:32:01 PM,C,24.156
06-05-13 05:32:01 PM,C,23.218
06-05-13 06:32:01 PM,C,22.656
06-05-13 07:32:01 PM,C,22.218
06-05-13 08:32:01 PM,C,21.905
06-05-13 09:32:01 PM,C,21.592
06-05-13 10:32:01 PM,C,21.905
06-05-13 11:32:01 PM,C,21.655
06-06-13 12:32:01 AM,C,21.217
06-06-13 01:32:01 AM,C,21.217
06-06-13 02:32:01 AM,C,21.154
06-06-13 03:32:01 AM,C,21.154
06-06-13 04:32:01 AM,C,20.967
06-06-13 05:32:01 AM,C,20.842
06-06-13 06:32:01 AM,C,22.093
06-06-13 07:32:01 AM,C,23.906
06-06-13 08:32:01 AM,C,29.28
06-06-13 09:32:01 AM,C,33.275
06-06-13 10:32:01 AM,C,33.4
06-06-13 11:32:01 AM,C,34.96
06-06-13 12:32:01 PM,C,34.96
06-06-13 01:32:01 PM,C,30.279
06-06-13 02:32:01 PM,C,31.278
06-06-13 03:32:01 PM,C,28.405
06-06-13 04:32:01 PM,C,27.281
06-06-13 05:32:01 PM,C,26.594
06-06-13 06:32:01 PM,C,23.156
06-06-13 07:32:01 PM,C,23.156
06-06-13 08:32:01 PM,C,22.843
06-06-13 09:32:01 PM,C,22.343
06-06-13 10:32:01 PM,C,21.968
06-06-13 11:32:01 PM,C,21.592
06-07-13 12:32:01 AM,C,21.342
06-07-13 01:32:01 AM,C,21.53
06-07-13 02:32:01 AM,C,21.217
06-07-13 03:32:01 AM,C,21.592
06-07-13 04:32:01 AM,C,21.092
06-07-13 05:32:01 AM,C,21.092
06-07-13 06:32:01 AM,C,21.968
06-07-13 07:32:01 AM,C,24.781
06-07-13 08:32:01 AM,C,26.656
06-07-13 09:32:01 AM,C,30.092
06-07-13 10:32:01 AM,C,31.215
06-07-13 11:32:01 AM,C,33.525
06-07-13 12:32:01 PM,C,30.029
06-07-13 01:32:01 PM,C,35.771
06-07-13 02:32:01 PM,C,32.776
