1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6B0000002BB7A141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Jun 01 08:46:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 02 02:46:01 CST 2013
Total Mission Samples:  2066
Total Device Samples:  9300
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-02-13 02:46:01 AM,C,23.13
06-02-13 03:46:01 AM,C,22.067
06-02-13 04:46:01 AM,C,21.692
06-02-13 05:46:01 AM,C,21.692
06-02-13 06:46:01 AM,C,25.256
06-02-13 07:46:01 AM,C,28.005
06-02-13 08:46:01 AM,C,31.628
06-02-13 09:46:01 AM,C,32.69
06-02-13 10:46:01 AM,C,33.252
06-02-13 11:46:01 AM,C,33.564
06-02-13 12:46:01 PM,C,34.75
06-02-13 01:46:01 PM,C,35.873
06-02-13 02:46:01 PM,C,33.876
06-02-13 03:46:01 PM,C,31.503
06-02-13 04:46:01 PM,C,29.692
06-02-13 05:46:01 PM,C,26.818
06-02-13 06:46:01 PM,C,24.818
06-02-13 07:46:01 PM,C,24.756
06-02-13 08:46:01 PM,C,24.881
06-02-13 09:46:01 PM,C,23.631
06-02-13 10:46:01 PM,C,23.631
06-02-13 11:46:01 PM,C,23.693
06-03-13 12:46:01 AM,C,23.318
06-03-13 01:46:01 AM,C,22.818
06-03-13 02:46:01 AM,C,22.943
06-03-13 03:46:01 AM,C,22.88
06-03-13 04:46:01 AM,C,22.505
06-03-13 05:46:01 AM,C,22.067
06-03-13 06:46:01 AM,C,23.505
06-03-13 07:46:01 AM,C,28.568
06-03-13 08:46:01 AM,C,31.878
06-03-13 09:46:01 AM,C,31.254
06-03-13 10:46:01 AM,C,34.001
06-03-13 11:46:01 AM,C,34.188
06-03-13 12:46:01 PM,C,33.252
06-03-13 01:46:01 PM,C,26.631
06-03-13 02:46:01 PM,C,20.191
06-03-13 03:46:01 PM,C,21.442
06-03-13 04:46:01 PM,C,21.192
06-03-13 05:46:01 PM,C,21.254
06-03-13 06:46:01 PM,C,21.067
06-03-13 07:46:01 PM,C,21.129
06-03-13 08:46:01 PM,C,21.067
06-03-13 09:46:01 PM,C,21.317
06-03-13 10:46:01 PM,C,21.379
06-03-13 11:46:01 PM,C,21.317
06-04-13 12:46:01 AM,C,21.254
06-04-13 01:46:01 AM,C,21.192
06-04-13 02:46:01 AM,C,21.192
06-04-13 03:46:01 AM,C,21.004
06-04-13 04:46:01 AM,C,21.067
06-04-13 05:46:01 AM,C,21.004
06-04-13 06:46:01 AM,C,21.442
06-04-13 07:46:01 AM,C,22.255
06-04-13 08:46:01 AM,C,25.131
06-04-13 09:46:01 AM,C,29.13
06-04-13 10:46:01 AM,C,32.065
06-04-13 11:46:01 AM,C,32.94
06-04-13 12:46:01 PM,C,31.566
06-04-13 01:46:01 PM,C,32.69
06-04-13 02:46:01 PM,C,26.318
06-04-13 03:46:01 PM,C,25.381
06-04-13 04:46:01 PM,C,24.131
