1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 330000002BB72741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Tue Jun 04 12:01:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 23 04:01:01 CST 2013
Total Mission Samples:  2496
Total Device Samples:  9621
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-23-13 04:01:01 AM,C,16.368
06-23-13 05:01:01 AM,C,16.43
06-23-13 06:01:01 AM,C,16.43
06-23-13 07:01:01 AM,C,17.494
06-23-13 08:01:01 AM,C,19.81
06-23-13 09:01:01 AM,C,22.186
06-23-13 10:01:01 AM,C,23.562
06-23-13 11:01:01 AM,C,24.375
06-23-13 12:01:01 PM,C,26.625
06-23-13 01:01:01 PM,C,26.125
06-23-13 02:01:01 PM,C,25.062
06-23-13 03:01:01 PM,C,24.937
06-23-13 04:01:01 PM,C,24.437
06-23-13 05:01:01 PM,C,21.936
06-23-13 06:01:01 PM,C,19.747
06-23-13 07:01:01 PM,C,18.37
06-23-13 08:01:01 PM,C,18.12
06-23-13 09:01:01 PM,C,17.432
06-23-13 10:01:01 PM,C,17.62
06-23-13 11:01:01 PM,C,17.244
06-24-13 12:01:01 AM,C,16.868
06-24-13 01:01:01 AM,C,16.555
06-24-13 02:01:01 AM,C,15.929
06-24-13 03:01:01 AM,C,16.18
06-24-13 04:01:01 AM,C,15.679
06-24-13 05:01:01 AM,C,15.178
06-24-13 06:01:01 AM,C,15.992
06-24-13 07:01:01 AM,C,18.37
06-24-13 08:01:01 AM,C,22.249
06-24-13 09:01:01 AM,C,24.187
06-24-13 10:01:01 AM,C,23.875
06-24-13 11:01:01 AM,C,24.562
06-24-13 12:01:01 PM,C,26.125
06-24-13 01:01:01 PM,C,25.125
06-24-13 02:01:01 PM,C,26.125
06-24-13 03:01:01 PM,C,24.312
06-24-13 04:01:01 PM,C,22.562
06-24-13 05:01:01 PM,C,22.124
06-24-13 06:01:01 PM,C,18.12
06-24-13 07:01:01 PM,C,15.742
06-24-13 08:01:01 PM,C,16.305
06-24-13 09:01:01 PM,C,16.18
06-24-13 10:01:01 PM,C,16.117
06-24-13 11:01:01 PM,C,15.992
06-25-13 12:01:01 AM,C,15.742
06-25-13 01:01:01 AM,C,15.116
06-25-13 02:01:01 AM,C,14.677
06-25-13 03:01:01 AM,C,14.489
06-25-13 04:01:01 AM,C,15.303
06-25-13 05:01:01 AM,C,15.116
06-25-13 06:01:01 AM,C,15.303
06-25-13 07:01:01 AM,C,16.994
06-25-13 08:01:01 AM,C,20.81
06-25-13 09:01:01 AM,C,21.436
06-25-13 10:01:01 AM,C,24.625
06-25-13 11:01:01 AM,C,26.437
06-25-13 12:01:01 PM,C,26.75
06-25-13 01:01:01 PM,C,25.688
06-25-13 02:01:01 PM,C,25.062
06-25-13 03:01:01 PM,C,24.25
06-25-13 04:01:01 PM,C,24.937
06-25-13 05:01:01 PM,C,20.873
06-25-13 06:01:01 PM,C,19.872
06-25-13 07:01:01 PM,C,19.184
06-25-13 08:01:01 PM,C,16.806
06-25-13 09:01:01 PM,C,16.493
06-25-13 10:01:01 PM,C,16.43
06-25-13 11:01:01 PM,C,15.867
06-26-13 12:01:01 AM,C,15.116
06-26-13 01:01:01 AM,C,15.679
06-26-13 02:01:01 AM,C,15.366
06-26-13 03:01:01 AM,C,14.865
06-26-13 04:01:01 AM,C,14.114
06-26-13 05:01:01 AM,C,14.489
06-26-13 06:01:01 AM,C,13.926
06-26-13 07:01:01 AM,C,19.121
06-26-13 08:01:01 AM,C,23.812
06-26-13 09:01:01 AM,C,21.186
06-26-13 10:01:01 AM,C,25.437
06-26-13 11:01:01 AM,C,27.375
06-26-13 12:01:01 PM,C,27.562
06-26-13 01:01:01 PM,C,28
06-26-13 02:01:01 PM,C,25.25
06-26-13 03:01:01 PM,C,24.125
06-26-13 04:01:01 PM,C,22.937
06-26-13 05:01:01 PM,C,21.499
06-26-13 06:01:01 PM,C,18.746
06-26-13 07:01:01 PM,C,16.994
06-26-13 08:01:01 PM,C,17.745
06-26-13 09:01:01 PM,C,17.119
06-26-13 10:01:01 PM,C,15.116
06-26-13 11:01:01 PM,C,15.491
06-27-13 12:01:01 AM,C,15.554
06-27-13 01:01:01 AM,C,14.99
06-27-13 02:01:01 AM,C,15.053
06-27-13 03:01:01 AM,C,15.303
06-27-13 04:01:01 AM,C,16.18
06-27-13 05:01:01 AM,C,14.928
06-27-13 06:01:01 AM,C,14.865
06-27-13 07:01:01 AM,C,20.998
06-27-13 08:01:01 AM,C,19.372
06-27-13 09:01:01 AM,C,21.874
06-27-13 10:01:01 AM,C,23.312
06-27-13 11:01:01 AM,C,27.625
06-27-13 12:01:01 PM,C,26.437
06-27-13 01:01:01 PM,C,28.187
06-27-13 02:01:01 PM,C,27.062
06-27-13 03:01:01 PM,C,25.187
06-27-13 04:01:01 PM,C,22.437
06-27-13 05:01:01 PM,C,20.936
06-27-13 06:01:01 PM,C,19.622
06-27-13 07:01:01 PM,C,18.37
