1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3D0000002BDBEF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Jun 05 12:01:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 23 04:01:01 CST 2013
Total Mission Samples:  2472
Total Device Samples:  9602
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-23-13 04:01:01 AM,%RH,100.768
06-23-13 05:01:01 AM,%RH,100.768
06-23-13 06:01:01 AM,%RH,101.003
06-23-13 07:01:01 AM,%RH,95.016
06-23-13 08:01:01 AM,%RH,89.289
06-23-13 09:01:01 AM,%RH,84.922
06-23-13 10:01:01 AM,%RH,67.17
06-23-13 11:01:01 AM,%RH,70.432
06-23-13 12:01:01 PM,%RH,65.303
06-23-13 01:01:01 PM,%RH,62.69
06-23-13 02:01:01 PM,%RH,61.958
06-23-13 03:01:01 PM,%RH,60.783
06-23-13 04:01:01 PM,%RH,62.398
06-23-13 05:01:01 PM,%RH,67.313
06-23-13 06:01:01 PM,%RH,83.353
06-23-13 07:01:01 PM,%RH,76.255
06-23-13 08:01:01 PM,%RH,81.77
06-23-13 09:01:01 PM,%RH,91.555
06-23-13 10:01:01 PM,%RH,94.403
06-23-13 11:01:01 PM,%RH,97.56
06-24-13 12:01:01 AM,%RH,96.717
06-24-13 01:01:01 AM,%RH,97.32
06-24-13 02:01:01 AM,%RH,98.995
06-24-13 03:01:01 AM,%RH,99.943
06-24-13 04:01:01 AM,%RH,99.707
06-24-13 05:01:01 AM,%RH,101.237
06-24-13 06:01:01 AM,%RH,101.821
06-24-13 07:01:01 AM,%RH,96.838
06-24-13 08:01:01 AM,%RH,83.747
06-24-13 09:01:01 AM,%RH,69.586
06-24-13 10:01:01 AM,%RH,70.291
06-24-13 11:01:01 AM,%RH,64.435
06-24-13 12:01:01 PM,%RH,66.884
06-24-13 01:01:01 PM,%RH,73.504
06-24-13 02:01:01 PM,%RH,73.781
06-24-13 03:01:01 PM,%RH,74.333
06-24-13 04:01:01 PM,%RH,87.248
06-24-13 05:01:01 PM,%RH,85.571
06-24-13 06:01:01 PM,%RH,95.016
06-24-13 07:01:01 PM,%RH,101.12
06-24-13 08:01:01 PM,%RH,101.237
06-24-13 09:01:01 PM,%RH,101.12
06-24-13 10:01:01 PM,%RH,100.768
06-24-13 11:01:01 PM,%RH,101.938
06-25-13 12:01:01 AM,%RH,100.885
06-25-13 01:01:01 AM,%RH,100.885
06-25-13 02:01:01 AM,%RH,100.885
06-25-13 03:01:01 AM,%RH,101.003
06-25-13 04:01:01 AM,%RH,100.061
06-25-13 05:01:01 AM,%RH,99.825
06-25-13 06:01:01 AM,%RH,99.47
06-25-13 07:01:01 AM,%RH,96.111
06-25-13 08:01:01 AM,%RH,85.182
06-25-13 09:01:01 AM,%RH,70.994
06-25-13 10:01:01 AM,%RH,73.642
06-25-13 11:01:01 AM,%RH,70.854
06-25-13 12:01:01 PM,%RH,60.93
06-25-13 01:01:01 PM,%RH,66.884
06-25-13 02:01:01 PM,%RH,60.193
06-25-13 03:01:01 PM,%RH,64.58
06-25-13 04:01:01 PM,%RH,73.227
06-25-13 05:01:01 PM,%RH,90.174
06-25-13 06:01:01 PM,%RH,95.747
06-25-13 07:01:01 PM,%RH,93.171
06-25-13 08:01:01 PM,%RH,101.12
06-25-13 09:01:01 PM,%RH,101.354
06-25-13 10:01:01 PM,%RH,101.938
06-25-13 11:01:01 PM,%RH,101.003
06-26-13 12:01:01 AM,%RH,100.768
06-26-13 01:01:01 AM,%RH,101.821
06-26-13 02:01:01 AM,%RH,101.588
06-26-13 03:01:01 AM,%RH,101.237
06-26-13 04:01:01 AM,%RH,101.938
06-26-13 05:01:01 AM,%RH,101.821
06-26-13 06:01:01 AM,%RH,96.596
06-26-13 07:01:01 AM,%RH,82.035
06-26-13 08:01:01 AM,%RH,67.313
06-26-13 09:01:01 AM,%RH,78.697
06-26-13 10:01:01 AM,%RH,60.635
06-26-13 11:01:01 AM,%RH,58.711
06-26-13 12:01:01 PM,%RH,53.293
06-26-13 01:01:01 PM,%RH,53.445
06-26-13 02:01:01 PM,%RH,61.077
06-26-13 03:01:01 PM,%RH,64.869
06-26-13 04:01:01 PM,%RH,72.949
06-26-13 05:01:01 PM,%RH,80.039
06-26-13 06:01:01 PM,%RH,94.158
06-26-13 07:01:01 PM,%RH,99.707
06-26-13 08:01:01 PM,%RH,100.297
06-26-13 09:01:01 PM,%RH,98.399
06-26-13 10:01:01 PM,%RH,100.415
06-26-13 11:01:01 PM,%RH,100.061
06-27-13 12:01:01 AM,%RH,99.825
06-27-13 01:01:01 AM,%RH,100.65
06-27-13 02:01:01 AM,%RH,100.885
06-27-13 03:01:01 AM,%RH,101.237
06-27-13 04:01:01 AM,%RH,100.533
06-27-13 05:01:01 AM,%RH,101.588
06-27-13 06:01:01 AM,%RH,101.705
06-27-13 07:01:01 AM,%RH,82.695
06-27-13 08:01:01 AM,%RH,86.605
06-27-13 09:01:01 AM,%RH,87.761
06-27-13 10:01:01 AM,%RH,73.504
06-27-13 11:01:01 AM,%RH,67.456
06-27-13 12:01:01 PM,%RH,58.859
06-27-13 01:01:01 PM,%RH,54.962
06-27-13 02:01:01 PM,%RH,52.835
06-27-13 03:01:01 PM,%RH,60.635
06-27-13 04:01:01 PM,%RH,76.8
06-27-13 05:01:01 PM,%RH,85.96
06-27-13 06:01:01 PM,%RH,93.542
06-27-13 07:01:01 PM,%RH,97.079
06-27-13 08:01:01 PM,%RH,97.8
06-27-13 09:01:01 PM,%RH,98.04
06-27-13 10:01:01 PM,%RH,98.399
06-27-13 11:01:01 PM,%RH,98.399
06-28-13 12:01:01 AM,%RH,98.995
06-28-13 01:01:01 AM,%RH,98.637
06-28-13 02:01:01 AM,%RH,99.707
06-28-13 03:01:01 AM,%RH,100.061
06-28-13 04:01:01 AM,%RH,100.533
06-28-13 05:01:01 AM,%RH,100.533
06-28-13 06:01:01 AM,%RH,99.351
06-28-13 07:01:01 AM,%RH,99.825
06-28-13 08:01:01 AM,%RH,98.876
06-28-13 09:01:01 AM,%RH,90.677
06-28-13 10:01:01 AM,%RH,80.039
06-28-13 11:01:01 AM,%RH,67.17
06-28-13 12:01:01 PM,%RH,65.591
06-28-13 01:01:01 PM,%RH,63.273
06-28-13 02:01:01 PM,%RH,56.168
06-28-13 03:01:01 PM,%RH,67.456
06-28-13 04:01:01 PM,%RH,67.313
06-28-13 05:01:01 PM,%RH,85.442
06-28-13 06:01:01 PM,%RH,93.171
06-28-13 07:01:01 PM,%RH,96.717
06-28-13 08:01:01 PM,%RH,96.838
06-28-13 09:01:01 PM,%RH,99.232
06-28-13 10:01:01 PM,%RH,100.768
06-28-13 11:01:01 PM,%RH,101.471
06-29-13 12:01:01 AM,%RH,101.471
06-29-13 01:01:01 AM,%RH,101.354
06-29-13 02:01:01 AM,%RH,100.533
06-29-13 03:01:01 AM,%RH,101.237
06-29-13 04:01:01 AM,%RH,101.821
06-29-13 05:01:01 AM,%RH,101.821
06-29-13 06:01:01 AM,%RH,101.938
06-29-13 07:01:01 AM,%RH,100.885
06-29-13 08:01:01 AM,%RH,95.138
06-29-13 09:01:01 AM,%RH,89.922
06-29-13 10:01:01 AM,%RH,80.307
06-29-13 11:01:01 AM,%RH,70.432
06-29-13 12:01:01 PM,%RH,66.454
06-29-13 01:01:01 PM,%RH,69.162
06-29-13 02:01:01 PM,%RH,58.859
06-29-13 03:01:01 PM,%RH,68.31
06-29-13 04:01:01 PM,%RH,80.039
06-29-13 05:01:01 PM,%RH,97.44
06-29-13 06:01:01 PM,%RH,98.995
06-29-13 07:01:01 PM,%RH,99.232
06-29-13 08:01:01 PM,%RH,100.415
06-29-13 09:01:01 PM,%RH,101.003
06-29-13 10:01:01 PM,%RH,100.885
06-29-13 11:01:01 PM,%RH,100.65
06-30-13 12:01:01 AM,%RH,100.768
06-30-13 01:01:01 AM,%RH,100.885
06-30-13 02:01:01 AM,%RH,101.354
06-30-13 03:01:01 AM,%RH,100.885
06-30-13 04:01:01 AM,%RH,101.821
06-30-13 05:01:01 AM,%RH,102.054
06-30-13 06:01:01 AM,%RH,101.12
06-30-13 07:01:01 AM,%RH,98.279
06-30-13 08:01:01 AM,%RH,91.305
06-30-13 09:01:01 AM,%RH,79.101
06-30-13 10:01:01 AM,%RH,61.958
06-30-13 11:01:01 AM,%RH,74.884
06-30-13 12:01:01 PM,%RH,86.863
06-30-13 01:01:01 PM,%RH,81.107
06-30-13 02:01:01 PM,%RH,82.432
06-30-13 03:01:01 PM,%RH,86.605
06-30-13 04:01:01 PM,%RH,89.669
06-30-13 05:01:01 PM,%RH,95.016
06-30-13 06:01:01 PM,%RH,93.047
06-30-13 07:01:01 PM,%RH,99.47
06-30-13 08:01:01 PM,%RH,99.114
06-30-13 09:01:01 PM,%RH,100.297
06-30-13 10:01:01 PM,%RH,101.237
06-30-13 11:01:01 PM,%RH,101.237
07-01-13 12:01:01 AM,%RH,102.054
07-01-13 01:01:01 AM,%RH,101.938
07-01-13 02:01:01 AM,%RH,101.588
07-01-13 03:01:01 AM,%RH,102.17
07-01-13 04:01:01 AM,%RH,102.751
07-01-13 05:01:01 AM,%RH,102.287
07-01-13 06:01:01 AM,%RH,102.635
07-01-13 07:01:01 AM,%RH,98.16
07-01-13 08:01:01 AM,%RH,92.551
07-01-13 09:01:01 AM,%RH,84.531
07-01-13 10:01:01 AM,%RH,84.27
07-01-13 11:01:01 AM,%RH,84.27
07-01-13 12:01:01 PM,%RH,83.353
07-01-13 01:01:01 PM,%RH,68.737
07-01-13 02:01:01 PM,%RH,69.303
