1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 330000002BB72741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Tue Jun 04 12:01:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 23 04:01:01 CST 2013
Total Mission Samples:  2496
Total Device Samples:  9621
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-23-13 04:01:01 AM,%RH,97.332
06-23-13 05:01:01 AM,%RH,98.169
06-23-13 06:01:01 AM,%RH,97.332
06-23-13 07:01:01 AM,%RH,92.453
06-23-13 08:01:01 AM,%RH,83.652
06-23-13 09:01:01 AM,%RH,75.88
06-23-13 10:01:01 AM,%RH,66.619
06-23-13 11:01:01 AM,%RH,65.178
06-23-13 12:01:01 PM,%RH,56.915
06-23-13 01:01:01 PM,%RH,52.817
06-23-13 02:01:01 PM,%RH,56.915
06-23-13 03:01:01 PM,%RH,54.952
06-23-13 04:01:01 PM,%RH,59.16
06-23-13 05:01:01 PM,%RH,65.9
06-23-13 06:01:01 PM,%RH,75.057
06-23-13 07:01:01 PM,%RH,72.564
06-23-13 08:01:01 PM,%RH,77.788
06-23-13 09:01:01 PM,%RH,87.282
06-23-13 10:01:01 PM,%RH,92.577
06-23-13 11:01:01 PM,%RH,92.204
06-24-13 12:01:01 AM,%RH,94.302
06-24-13 01:01:01 AM,%RH,94.546
06-24-13 02:01:01 AM,%RH,98.05
06-24-13 03:01:01 AM,%RH,98.646
06-24-13 04:01:01 AM,%RH,99.829
06-24-13 05:01:01 AM,%RH,100.768
06-24-13 06:01:01 AM,%RH,99.475
06-24-13 07:01:01 AM,%RH,88.94
06-24-13 08:01:01 AM,%RH,76.427
06-24-13 09:01:01 AM,%RH,65.467
06-24-13 10:01:01 AM,%RH,69.897
06-24-13 11:01:01 AM,%RH,65.322
06-24-13 12:01:01 PM,%RH,63.142
06-24-13 01:01:01 PM,%RH,66.188
06-24-13 02:01:01 PM,%RH,61.97
06-24-13 03:01:01 PM,%RH,72.145
06-24-13 04:01:01 PM,%RH,83.39
06-24-13 05:01:01 PM,%RH,84.567
06-24-13 06:01:01 PM,%RH,90.832
06-24-13 07:01:01 PM,%RH,100.417
06-24-13 08:01:01 PM,%RH,101.002
06-24-13 09:01:01 PM,%RH,100.885
06-24-13 10:01:01 PM,%RH,100.768
