1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F50000002BB97A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Jun 01 08:32:01 CST 2013
Mission Sample Count:  1944
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 01 08:32:01 CST 2013
Total Mission Samples:  1944
Total Device Samples:  9116
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-01-13 08:32:01 AM,%RH,70.347
06-01-13 09:32:01 AM,%RH,53.082
06-01-13 10:32:01 AM,%RH,42.734
06-01-13 11:32:01 AM,%RH,42.734
06-01-13 12:32:01 PM,%RH,50.5
06-01-13 01:32:01 PM,%RH,73.793
06-01-13 02:32:01 PM,%RH,88.956
06-01-13 03:32:01 PM,%RH,86.692
06-01-13 04:32:01 PM,%RH,86.946
06-01-13 05:32:01 PM,%RH,88.831
06-01-13 06:32:01 PM,%RH,92.657
06-01-13 07:32:01 PM,%RH,90.448
06-01-13 08:32:01 PM,%RH,89.828
06-01-13 09:32:01 PM,%RH,90.695
06-01-13 10:32:01 PM,%RH,84.139
06-01-13 11:32:01 PM,%RH,90.2
06-02-13 12:32:01 AM,%RH,90.076
06-02-13 01:32:01 AM,%RH,90.818
06-02-13 02:32:01 AM,%RH,92.535
06-02-13 03:32:01 AM,%RH,95.313
06-02-13 04:32:01 AM,%RH,96.148
06-02-13 05:32:01 AM,%RH,94.834
06-02-13 06:32:01 AM,%RH,90.695
06-02-13 07:32:01 AM,%RH,70.347
06-02-13 08:32:01 AM,%RH,67.404
06-02-13 09:32:01 AM,%RH,59.779
06-02-13 10:32:01 AM,%RH,49.888
06-02-13 11:32:01 AM,%RH,56.382
06-02-13 12:32:01 PM,%RH,53.686
06-02-13 01:32:01 PM,%RH,53.384
06-02-13 02:32:01 PM,%RH,62.401
06-02-13 03:32:01 PM,%RH,57.865
06-02-13 04:32:01 PM,%RH,66.98
06-02-13 05:32:01 PM,%RH,72.147
06-02-13 06:32:01 PM,%RH,78.777
06-02-13 07:32:01 PM,%RH,82.457
06-02-13 08:32:01 PM,%RH,86.312
06-02-13 09:32:01 PM,%RH,87.828
06-02-13 10:32:01 PM,%RH,91.924
06-02-13 11:32:01 PM,%RH,92.901
06-03-13 12:32:01 AM,%RH,94.954
06-03-13 01:32:01 AM,%RH,96.267
06-03-13 02:32:01 AM,%RH,96.623
06-03-13 03:32:01 AM,%RH,96.267
