1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 920000002BB51D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Jun 07 16:00:01 CST 2013
Mission Sample Count:  1915
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Jun 07 16:00:01 CST 2013
Total Mission Samples:  1915
Total Device Samples:  9031
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-07-13 04:00:01 PM,%RH,72.501
06-07-13 05:00:01 PM,%RH,84.413
06-07-13 06:00:01 PM,%RH,95.727
06-07-13 07:00:01 PM,%RH,96.68
06-07-13 08:00:01 PM,%RH,97.508
06-07-13 09:00:01 PM,%RH,96.323
06-07-13 10:00:01 PM,%RH,96.085
06-07-13 11:00:01 PM,%RH,97.744
06-08-13 12:00:01 AM,%RH,98.331
06-08-13 01:00:01 AM,%RH,97.154
06-08-13 02:00:01 AM,%RH,97.154
06-08-13 03:00:01 AM,%RH,96.798
06-08-13 04:00:01 AM,%RH,96.917
06-08-13 05:00:01 AM,%RH,97.272
06-08-13 06:00:01 AM,%RH,98.214
06-08-13 07:00:01 AM,%RH,90.985
06-08-13 08:00:01 AM,%RH,89.119
06-08-13 09:00:01 AM,%RH,74.841
06-08-13 10:00:01 AM,%RH,62.836
06-08-13 11:00:01 AM,%RH,65.873
06-08-13 12:00:01 PM,%RH,56.471
06-08-13 01:00:01 PM,%RH,59.159
06-08-13 02:00:01 PM,%RH,54.054
06-08-13 03:00:01 PM,%RH,63.998
06-08-13 04:00:01 PM,%RH,57.222
06-08-13 05:00:01 PM,%RH,67.303
06-08-13 06:00:01 PM,%RH,81.151
06-08-13 07:00:01 PM,%RH,90.117
06-08-13 08:00:01 PM,%RH,93.437
06-08-13 09:00:01 PM,%RH,94.043
06-08-13 10:00:01 PM,%RH,96.204
06-08-13 11:00:01 PM,%RH,97.39
06-09-13 12:00:01 AM,%RH,96.561
06-09-13 01:00:01 AM,%RH,98.565
06-09-13 02:00:01 AM,%RH,99.498
06-09-13 03:00:01 AM,%RH,99.498
06-09-13 04:00:01 AM,%RH,99.149
06-09-13 05:00:01 AM,%RH,98.565
06-09-13 06:00:01 AM,%RH,99.961
06-09-13 07:00:01 AM,%RH,96.204
06-09-13 08:00:01 AM,%RH,78.361
06-09-13 09:00:01 AM,%RH,64.866
06-09-13 10:00:01 AM,%RH,52.987
06-09-13 11:00:01 AM,%RH,44.904
06-09-13 12:00:01 PM,%RH,48.203
06-09-13 01:00:01 PM,%RH,44.587
06-09-13 02:00:01 PM,%RH,44.111
06-09-13 03:00:01 PM,%RH,40.271
