1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F50000002BBC0741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Jun 07 11:44:01 CST 2013
Mission Sample Count:  1995
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Jun 07 11:44:01 CST 2013
Total Mission Samples:  1995
Total Device Samples:  9113
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-07-13 11:44:01 AM,%RH,58.138
06-07-13 12:44:01 PM,%RH,47.701
06-07-13 01:44:01 PM,%RH,35.771
06-07-13 02:44:01 PM,%RH,51.905
06-07-13 03:44:01 PM,%RH,94.627
06-07-13 04:44:01 PM,%RH,95.707
06-07-13 05:44:01 PM,%RH,97.133
06-07-13 06:44:01 PM,%RH,96.541
06-07-13 07:44:01 PM,%RH,98.192
06-07-13 08:44:01 PM,%RH,97.605
06-07-13 09:44:01 PM,%RH,98.31
06-07-13 10:44:01 PM,%RH,98.544
06-07-13 11:44:01 PM,%RH,98.427
06-08-13 12:44:01 AM,%RH,97.84
06-08-13 01:44:01 AM,%RH,97.487
06-08-13 02:44:01 AM,%RH,99.359
06-08-13 03:44:01 AM,%RH,98.777
06-08-13 04:44:01 AM,%RH,99.823
06-08-13 05:44:01 AM,%RH,98.66
06-08-13 06:44:01 AM,%RH,98.192
06-08-13 07:44:01 AM,%RH,95.707
06-08-13 08:44:01 AM,%RH,61.85
06-08-13 09:44:01 AM,%RH,76.151
06-08-13 10:44:01 AM,%RH,63.607
06-08-13 11:44:01 AM,%RH,54.969
06-08-13 12:44:01 PM,%RH,58.886
06-08-13 01:44:01 PM,%RH,74.922
06-08-13 02:44:01 PM,%RH,72.298
06-08-13 03:44:01 PM,%RH,69.493
06-08-13 04:44:01 PM,%RH,78.316
06-08-13 05:44:01 PM,%RH,84.77
06-08-13 06:44:01 PM,%RH,89.095
06-08-13 07:44:01 PM,%RH,92.929
06-08-13 08:44:01 PM,%RH,91.581
06-08-13 09:44:01 PM,%RH,94.265
06-08-13 10:44:01 PM,%RH,96.541
06-08-13 11:44:01 PM,%RH,96.896
06-09-13 12:44:01 AM,%RH,96.896
06-09-13 01:44:01 AM,%RH,97.015
06-09-13 02:44:01 AM,%RH,97.369
06-09-13 03:44:01 AM,%RH,97.958
06-09-13 04:44:01 AM,%RH,97.84
06-09-13 05:44:01 AM,%RH,98.777
06-09-13 06:44:01 AM,%RH,97.251
06-09-13 07:44:01 AM,%RH,83.213
06-09-13 08:44:01 AM,%RH,56.182
06-09-13 09:44:01 AM,%RH,46.44
06-09-13 10:44:01 AM,%RH,40.031
06-09-13 11:44:01 AM,%RH,40.193
06-09-13 12:44:01 PM,%RH,36.596
06-09-13 01:44:01 PM,%RH,41.326
06-09-13 02:44:01 PM,%RH,45.013
06-09-13 03:44:01 PM,%RH,58.737
06-09-13 04:44:01 PM,%RH,66.213
06-09-13 05:44:01 PM,%RH,72.853
06-09-13 06:44:01 PM,%RH,85.542
06-09-13 07:44:01 PM,%RH,86.821
06-09-13 08:44:01 PM,%RH,87.202
06-09-13 09:44:01 PM,%RH,88.97
06-09-13 10:44:01 PM,%RH,92.441
06-09-13 11:44:01 PM,%RH,92.441
06-10-13 12:44:01 AM,%RH,94.023
06-10-13 01:44:01 AM,%RH,96.659
06-10-13 02:44:01 AM,%RH,97.015
06-10-13 03:44:01 AM,%RH,97.723
06-10-13 04:44:01 AM,%RH,97.369
06-10-13 05:44:01 AM,%RH,98.075
06-10-13 06:44:01 AM,%RH,93.173
06-10-13 07:44:01 AM,%RH,70.057
06-10-13 08:44:01 AM,%RH,56.635
06-10-13 09:44:01 AM,%RH,53.748
06-10-13 10:44:01 AM,%RH,58.288
06-10-13 11:44:01 AM,%RH,47.701
06-10-13 12:44:01 PM,%RH,47.858
06-10-13 01:44:01 PM,%RH,46.598
06-10-13 02:44:01 PM,%RH,48.485
06-10-13 03:44:01 PM,%RH,81.641
06-10-13 04:44:01 PM,%RH,88.089
06-10-13 05:44:01 PM,%RH,90.343
06-10-13 06:44:01 PM,%RH,82.952
06-10-13 07:44:01 PM,%RH,91.827
06-10-13 08:44:01 PM,%RH,95.108
06-10-13 09:44:01 PM,%RH,94.988
06-10-13 10:44:01 PM,%RH,97.133
06-10-13 11:44:01 PM,%RH,97.015
06-11-13 12:44:01 AM,%RH,97.251
