,1-Wire/iButton Part Number: DS1923,
1-Wire/iButton Registration Number: C20000002BB97B41,,
Mission in Progress?  true,,
SUTA Mission?  false,,
Waiting for Temperature Alarm?  false,,
Sample Rate:  Every 3600 second(s),,
Mission Start Time:  Thu May 30 11:08:01 CST 2013,,
Mission Sample Count:  503,,
Roll Over Enabled?  true(no rollover occurred),,
First Sample Timestamp:  Thu May 30 11:08:01 CST 2013,,
Total Mission Samples:  503,,
Total Device Samples:  7742,,
Temperature Logging:  0.0625 C,,
Temperature High Alarm:  disabled,,
Temperature Low Alarm:  disabled,,
Data Logging:  0.04 %RH,,
Data High Alarm:  disabled,,
Data Low Alarm:  disabled,,
,,
Date/Time,Unit,Value
05-30-13 11:08:01 AM,%RH,52.14
05-30-13 12:08:01 PM,%RH,55.61
05-30-13 01:08:01 PM,%RH,49.54
05-30-13 02:08:01 PM,%RH,45.035
05-30-13 03:08:01 PM,%RH,50.154
05-30-13 04:08:01 PM,%RH,79.952
05-30-13 05:08:01 PM,%RH,81.656
05-30-13 06:08:01 PM,%RH,83.342
05-30-13 07:08:01 PM,%RH,89.664
05-30-13 08:08:01 PM,%RH,90.159
05-30-13 09:08:01 PM,%RH,93.454
05-30-13 10:08:01 PM,%RH,93.212
05-30-13 11:08:01 PM,%RH,94.655
05-31-13 12:08:01 AM,%RH,95.132
05-31-13 01:08:01 AM,%RH,95.846
05-31-13 02:08:01 AM,%RH,95.608
05-31-13 03:08:01 AM,%RH,94.655
05-31-13 04:08:01 AM,%RH,93.333
05-31-13 05:08:01 AM,%RH,95.727
05-31-13 06:08:01 AM,%RH,97.261
05-31-13 07:08:01 AM,%RH,87.795
05-31-13 08:08:01 AM,%RH,59.907
05-31-13 09:08:01 AM,%RH,52.747
05-31-13 10:08:01 AM,%RH,49.386
05-31-13 11:08:01 AM,%RH,47.531
05-31-13 12:08:01 PM,%RH,46.286
05-31-13 01:08:01 PM,%RH,46.286
05-31-13 02:08:01 PM,%RH,39.963
05-31-13 03:08:01 PM,%RH,43.777
05-31-13 04:08:01 PM,%RH,90.035
05-31-13 05:08:01 PM,%RH,95.013
05-31-13 06:08:01 PM,%RH,96.083
05-31-13 07:08:01 PM,%RH,96.437
05-31-13 08:08:01 PM,%RH,97.495
05-31-13 09:08:01 PM,%RH,96.909
05-31-13 10:08:01 PM,%RH,99.24
05-31-13 11:08:01 PM,%RH,97.963
06/01/2013 00:08,%RH,97.612
06/01/2013 01:08,%RH,98.313
06/01/2013 02:08,%RH,98.429
06/01/2013 03:08,%RH,99.009
06/01/2013 04:08,%RH,97.612
06/01/2013 05:08,%RH,99.24
06/01/2013 06:08,%RH,100.161
06/01/2013 07:08,%RH,96.319
06/01/2013 08:08,%RH,78.231
06/01/2013 09:08,%RH,68.801
06/01/2013 10:08,%RH,56.655
06/01/2013 11:08,%RH,50.001
06/01/2013 12:08,%RH,50.154
