1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A7000000337BA441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:52:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:12:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10692
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:12:01 PM,%RH,101.766
04/08/14 08:32:01 PM,%RH,102.719
04/08/14 08:52:01 PM,%RH,101.287
04/08/14 09:12:01 PM,%RH,102.719
04/08/14 09:32:01 PM,%RH,102.243
04/08/14 09:52:01 PM,%RH,101.766
04/08/14 10:12:01 PM,%RH,102.719
04/08/14 10:32:01 PM,%RH,103.666
04/08/14 10:52:01 PM,%RH,102.719
04/08/14 11:12:01 PM,%RH,102.719
04/08/14 11:32:01 PM,%RH,102.719
04/08/14 11:52:01 PM,%RH,102.719
05/08/14 12:12:01 AM,%RH,103.666
05/08/14 12:32:01 AM,%RH,103.194
05/08/14 12:52:01 AM,%RH,102.719
05/08/14 01:12:01 AM,%RH,103.194
05/08/14 01:32:01 AM,%RH,102.719
05/08/14 01:52:01 AM,%RH,102.243
05/08/14 02:12:01 AM,%RH,102.719
05/08/14 02:32:01 AM,%RH,103.194
05/08/14 02:52:01 AM,%RH,102.719
05/08/14 03:12:01 AM,%RH,103.194
05/08/14 03:32:01 AM,%RH,103.194
05/08/14 03:52:01 AM,%RH,102.719
05/08/14 04:12:01 AM,%RH,102.719
05/08/14 04:32:01 AM,%RH,102.719
05/08/14 04:52:01 AM,%RH,102.719
05/08/14 05:12:01 AM,%RH,103.194
05/08/14 05:32:01 AM,%RH,103.194
05/08/14 05:52:01 AM,%RH,103.194
05/08/14 06:12:01 AM,%RH,102.719
05/08/14 06:32:01 AM,%RH,102.719
05/08/14 06:52:01 AM,%RH,102.719
05/08/14 07:12:01 AM,%RH,102.243
05/08/14 07:32:01 AM,%RH,101.766
05/08/14 07:52:01 AM,%RH,101.766
05/08/14 08:12:01 AM,%RH,100.807
05/08/14 08:32:01 AM,%RH,101.287
05/08/14 08:52:01 AM,%RH,97.4
05/08/14 09:12:01 AM,%RH,92.401
05/08/14 09:32:01 AM,%RH,93.413
05/08/14 09:52:01 AM,%RH,90.871
05/08/14 10:12:01 AM,%RH,89.327
05/08/14 10:32:01 AM,%RH,86.723
05/08/14 10:52:01 AM,%RH,87.247
05/08/14 11:12:01 AM,%RH,84.611
05/08/14 11:32:01 AM,%RH,86.197
05/08/14 11:52:01 AM,%RH,80.314
05/08/14 12:12:01 PM,%RH,85.142
05/08/14 12:32:01 PM,%RH,84.611
05/08/14 12:52:01 PM,%RH,78.677
05/08/14 01:12:01 PM,%RH,77.027
05/08/14 01:32:01 PM,%RH,81.398
05/08/14 01:52:01 PM,%RH,86.723
05/08/14 02:12:01 PM,%RH,85.142
05/08/14 02:32:01 PM,%RH,83.547
05/08/14 02:52:01 PM,%RH,77.027
05/08/14 03:12:01 PM,%RH,79.225
05/08/14 03:32:01 PM,%RH,80.314
05/08/14 03:52:01 PM,%RH,83.012
05/08/14 04:12:01 PM,%RH,86.197
05/08/14 04:32:01 PM,%RH,89.327
05/08/14 04:52:01 PM,%RH,91.382
05/08/14 05:12:01 PM,%RH,92.908
05/08/14 05:32:01 PM,%RH,95.419
05/08/14 05:52:01 PM,%RH,97.891
05/08/14 06:12:01 PM,%RH,98.381
05/08/14 06:32:01 PM,%RH,98.869
05/08/14 06:52:01 PM,%RH,100.325
05/08/14 07:12:01 PM,%RH,100.325
05/08/14 07:32:01 PM,%RH,99.841
05/08/14 07:52:01 PM,%RH,100.325
05/08/14 08:12:01 PM,%RH,100.807
05/08/14 08:32:01 PM,%RH,100.325
05/08/14 08:52:01 PM,%RH,100.325
05/08/14 09:12:01 PM,%RH,100.807
05/08/14 09:32:01 PM,%RH,101.287
05/08/14 09:52:01 PM,%RH,101.766
