1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 59000000337FFE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:41:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:21:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10790
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:21:01 AM,%RH,104.096
04/08/14 04:41:01 AM,%RH,103.603
04/08/14 05:01:01 AM,%RH,104.096
04/08/14 05:21:01 AM,%RH,103.603
04/08/14 05:41:01 AM,%RH,104.096
04/08/14 06:01:01 AM,%RH,103.603
04/08/14 06:21:01 AM,%RH,103.603
04/08/14 06:41:01 AM,%RH,102.119
04/08/14 07:01:01 AM,%RH,101.122
04/08/14 07:21:01 AM,%RH,98.101
04/08/14 07:41:01 AM,%RH,98.101
04/08/14 08:01:01 AM,%RH,99.113
04/08/14 08:21:01 AM,%RH,95.031
04/08/14 08:41:01 AM,%RH,86.611
04/08/14 09:01:01 AM,%RH,77.291
04/08/14 09:21:01 AM,%RH,68.167
04/08/14 09:41:01 AM,%RH,59.303
04/08/14 10:01:01 AM,%RH,58.098
04/08/14 10:21:01 AM,%RH,54.452
04/08/14 10:41:01 AM,%RH,54.452
04/08/14 11:01:01 AM,%RH,50.759
04/08/14 11:21:01 AM,%RH,62.291
04/08/14 11:41:01 AM,%RH,60.502
04/08/14 12:01:01 PM,%RH,60.502
04/08/14 12:21:01 PM,%RH,61.099
04/08/14 12:41:01 PM,%RH,58.098
04/08/14 01:01:01 PM,%RH,53.84
04/08/14 01:21:01 PM,%RH,48.269
04/08/14 01:41:01 PM,%RH,51.377
04/08/14 02:01:01 PM,%RH,64.657
04/08/14 02:21:01 PM,%RH,73.341
04/08/14 02:41:01 PM,%RH,75.042
04/08/14 03:01:01 PM,%RH,72.772
04/08/14 03:21:01 PM,%RH,79.519
04/08/14 03:41:01 PM,%RH,89.279
04/08/14 04:01:01 PM,%RH,97.083
04/08/14 04:21:01 PM,%RH,98.101
04/08/14 04:41:01 PM,%RH,99.113
04/08/14 05:01:01 PM,%RH,99.618
04/08/14 05:21:01 PM,%RH,100.12
04/08/14 05:41:01 PM,%RH,100.12
04/08/14 06:01:01 PM,%RH,101.122
04/08/14 06:21:01 PM,%RH,101.122
04/08/14 06:41:01 PM,%RH,101.621
04/08/14 07:01:01 PM,%RH,101.122
04/08/14 07:21:01 PM,%RH,101.621
04/08/14 07:41:01 PM,%RH,101.122
04/08/14 08:01:01 PM,%RH,101.621
04/08/14 08:21:01 PM,%RH,102.119
04/08/14 08:41:01 PM,%RH,102.615
04/08/14 09:01:01 PM,%RH,102.615
04/08/14 09:21:01 PM,%RH,102.615
04/08/14 09:41:01 PM,%RH,102.119
04/08/14 10:01:01 PM,%RH,101.621
04/08/14 10:21:01 PM,%RH,102.615
04/08/14 10:41:01 PM,%RH,102.615
04/08/14 11:01:01 PM,%RH,103.603
04/08/14 11:21:01 PM,%RH,103.11
04/08/14 11:41:01 PM,%RH,103.11
05/08/14 12:01:01 AM,%RH,103.603
05/08/14 12:21:01 AM,%RH,103.11
05/08/14 12:41:01 AM,%RH,103.11
05/08/14 01:01:01 AM,%RH,102.615
05/08/14 01:21:01 AM,%RH,103.603
05/08/14 01:41:01 AM,%RH,104.096
05/08/14 02:01:01 AM,%RH,103.603
05/08/14 02:21:01 AM,%RH,103.11
05/08/14 02:41:01 AM,%RH,103.11
05/08/14 03:01:01 AM,%RH,103.11
05/08/14 03:21:01 AM,%RH,103.603
05/08/14 03:41:01 AM,%RH,103.603
05/08/14 04:01:01 AM,%RH,103.603
05/08/14 04:21:01 AM,%RH,103.603
05/08/14 04:41:01 AM,%RH,103.11
05/08/14 05:01:01 AM,%RH,103.603
05/08/14 05:21:01 AM,%RH,103.603
05/08/14 05:41:01 AM,%RH,103.603
05/08/14 06:01:01 AM,%RH,102.119
05/08/14 06:21:01 AM,%RH,102.615
05/08/14 06:41:01 AM,%RH,101.122
05/08/14 07:01:01 AM,%RH,100.12
05/08/14 07:21:01 AM,%RH,99.618
05/08/14 07:41:01 AM,%RH,97.083
05/08/14 08:01:01 AM,%RH,96.06
05/08/14 08:21:01 AM,%RH,91.39
05/08/14 08:41:01 AM,%RH,75.042
05/08/14 09:01:01 AM,%RH,72.201
05/08/14 09:21:01 AM,%RH,73.909
05/08/14 09:41:01 AM,%RH,69.326
05/08/14 10:01:01 AM,%RH,55.673
05/08/14 10:21:01 AM,%RH,59.903
05/08/14 10:41:01 AM,%RH,60.502
05/08/14 11:01:01 AM,%RH,70.48
05/08/14 11:21:01 AM,%RH,72.772
05/08/14 11:41:01 AM,%RH,66.418
05/08/14 12:01:01 PM,%RH,64.067
05/08/14 12:21:01 PM,%RH,72.772
05/08/14 12:41:01 PM,%RH,61.696
05/08/14 01:01:01 PM,%RH,51.995
05/08/14 01:21:01 PM,%RH,59.303
05/08/14 01:41:01 PM,%RH,75.042
05/08/14 02:01:01 PM,%RH,73.341
05/08/14 02:21:01 PM,%RH,75.042
05/08/14 02:41:01 PM,%RH,79.519
05/08/14 03:01:01 PM,%RH,77.85
05/08/14 03:21:01 PM,%RH,76.169
05/08/14 03:41:01 PM,%RH,75.042
05/08/14 04:01:01 PM,%RH,81.176
05/08/14 04:21:01 PM,%RH,84.453
05/08/14 04:41:01 PM,%RH,86.074
05/08/14 05:01:01 PM,%RH,89.809
05/08/14 05:21:01 PM,%RH,92.437
05/08/14 05:41:01 PM,%RH,95.031
05/08/14 06:01:01 PM,%RH,98.101
05/08/14 06:21:01 PM,%RH,98.608
05/08/14 06:41:01 PM,%RH,99.113
05/08/14 07:01:01 PM,%RH,99.618
05/08/14 07:21:01 PM,%RH,100.12
05/08/14 07:41:01 PM,%RH,99.618
05/08/14 08:01:01 PM,%RH,100.12
05/08/14 08:21:01 PM,%RH,98.608
05/08/14 08:41:01 PM,%RH,99.618
05/08/14 09:01:01 PM,%RH,100.12
05/08/14 09:21:01 PM,%RH,100.622
05/08/14 09:41:01 PM,%RH,100.12
05/08/14 10:01:01 PM,%RH,99.113
05/08/14 10:21:01 PM,%RH,98.608
05/08/14 10:41:01 PM,%RH,97.593
05/08/14 11:01:01 PM,%RH,96.572
05/08/14 11:21:01 PM,%RH,97.083
05/08/14 11:41:01 PM,%RH,98.608
06/08/14 12:01:01 AM,%RH,98.608
06/08/14 12:21:01 AM,%RH,99.618
06/08/14 12:41:01 AM,%RH,99.618
06/08/14 01:01:01 AM,%RH,100.622
06/08/14 01:21:01 AM,%RH,99.618
06/08/14 01:41:01 AM,%RH,99.618
06/08/14 02:01:01 AM,%RH,101.122
06/08/14 02:21:01 AM,%RH,101.621
06/08/14 02:41:01 AM,%RH,101.122
06/08/14 03:01:01 AM,%RH,102.615
06/08/14 03:21:01 AM,%RH,102.119
06/08/14 03:41:01 AM,%RH,102.119
06/08/14 04:01:01 AM,%RH,102.119
06/08/14 04:21:01 AM,%RH,101.122
06/08/14 04:41:01 AM,%RH,102.119
06/08/14 05:01:01 AM,%RH,103.11
06/08/14 05:21:01 AM,%RH,102.119
06/08/14 05:41:01 AM,%RH,102.119
06/08/14 06:01:01 AM,%RH,101.621
06/08/14 06:21:01 AM,%RH,101.621
06/08/14 06:41:01 AM,%RH,101.122
06/08/14 07:01:01 AM,%RH,101.122
06/08/14 07:21:01 AM,%RH,101.122
06/08/14 07:41:01 AM,%RH,100.622
06/08/14 08:01:01 AM,%RH,101.621
06/08/14 08:21:01 AM,%RH,100.622
06/08/14 08:41:01 AM,%RH,100.12
06/08/14 09:01:01 AM,%RH,99.618
06/08/14 09:21:01 AM,%RH,92.958
06/08/14 09:41:01 AM,%RH,84.453
06/08/14 10:01:01 AM,%RH,80.625
06/08/14 10:21:01 AM,%RH,64.657
06/08/14 10:41:01 AM,%RH,70.48
06/08/14 11:01:01 AM,%RH,70.48
06/08/14 11:21:01 AM,%RH,62.884
06/08/14 11:41:01 AM,%RH,64.657
06/08/14 12:01:01 PM,%RH,68.747
06/08/14 12:21:01 PM,%RH,79.519
06/08/14 12:41:01 PM,%RH,81.725
06/08/14 01:01:01 PM,%RH,83.91
06/08/14 01:21:01 PM,%RH,82.82
06/08/14 01:41:01 PM,%RH,66.418
