1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7600000033786441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:05:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:45:01 CST 2014
Total Mission Samples:  3873
Total Device Samples:  10761
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:45:01 PM,%RH,101.926
04/08/14 09:05:01 PM,%RH,102.403
04/08/14 09:25:01 PM,%RH,101.926
04/08/14 09:45:01 PM,%RH,101.926
04/08/14 10:05:01 PM,%RH,102.403
04/08/14 10:25:01 PM,%RH,102.403
04/08/14 10:45:01 PM,%RH,102.403
04/08/14 11:05:01 PM,%RH,102.403
04/08/14 11:25:01 PM,%RH,102.879
04/08/14 11:45:01 PM,%RH,102.879
05/08/14 12:05:01 AM,%RH,102.879
05/08/14 12:25:01 AM,%RH,102.403
05/08/14 12:45:01 AM,%RH,102.403
05/08/14 01:05:01 AM,%RH,102.879
05/08/14 01:25:01 AM,%RH,102.403
05/08/14 01:45:01 AM,%RH,102.403
05/08/14 02:05:01 AM,%RH,102.879
05/08/14 02:25:01 AM,%RH,102.879
05/08/14 02:45:01 AM,%RH,102.403
05/08/14 03:05:01 AM,%RH,102.879
05/08/14 03:25:01 AM,%RH,102.879
05/08/14 03:45:01 AM,%RH,102.879
05/08/14 04:05:01 AM,%RH,102.879
05/08/14 04:25:01 AM,%RH,102.879
05/08/14 04:45:01 AM,%RH,102.879
05/08/14 05:05:01 AM,%RH,102.879
05/08/14 05:25:01 AM,%RH,102.879
05/08/14 05:45:01 AM,%RH,102.879
05/08/14 06:05:01 AM,%RH,102.879
05/08/14 06:25:01 AM,%RH,102.879
05/08/14 06:45:01 AM,%RH,102.879
05/08/14 07:05:01 AM,%RH,102.403
05/08/14 07:25:01 AM,%RH,102.403
05/08/14 07:45:01 AM,%RH,101.926
05/08/14 08:05:01 AM,%RH,99.515
05/08/14 08:25:01 AM,%RH,99.029
05/08/14 08:45:01 AM,%RH,90.003
05/08/14 09:05:01 AM,%RH,84.239
05/08/14 09:25:01 AM,%RH,81.558
05/08/14 09:45:01 AM,%RH,77.186
05/08/14 10:05:01 AM,%RH,56.286
05/08/14 10:25:01 AM,%RH,59.909
05/08/14 10:45:01 AM,%RH,57.5
05/08/14 11:05:01 AM,%RH,64.653
05/08/14 11:25:01 AM,%RH,65.823
05/08/14 11:45:01 AM,%RH,53.84
05/08/14 12:05:01 PM,%RH,56.894
05/08/14 12:25:01 PM,%RH,67.567
05/08/14 12:45:01 PM,%RH,55.677
05/08/14 01:05:01 PM,%RH,51.368
05/08/14 01:25:01 PM,%RH,58.104
05/08/14 01:45:01 PM,%RH,69.297
05/08/14 02:05:01 PM,%RH,68.722
05/08/14 02:25:01 PM,%RH,64.653
05/08/14 02:45:01 PM,%RH,55.066
05/08/14 03:05:01 PM,%RH,54.453
05/08/14 03:25:01 PM,%RH,59.309
05/08/14 03:45:01 PM,%RH,65.239
05/08/14 04:05:01 PM,%RH,74.404
05/08/14 04:25:01 PM,%RH,82.097
05/08/14 04:45:01 PM,%RH,85.301
05/08/14 05:05:01 PM,%RH,87.406
05/08/14 05:25:01 PM,%RH,92.052
05/08/14 05:45:01 PM,%RH,94.579
05/08/14 06:05:01 PM,%RH,97.066
05/08/14 06:25:01 PM,%RH,98.541
05/08/14 06:45:01 PM,%RH,99.515
05/08/14 07:05:01 PM,%RH,99.515
05/08/14 07:25:01 PM,%RH,100.484
05/08/14 07:45:01 PM,%RH,97.559
05/08/14 08:05:01 PM,%RH,95.578
05/08/14 08:25:01 PM,%RH,93.573
05/08/14 08:45:01 PM,%RH,94.076
