1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3B0000003378D941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:23:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:43:01 CST 2014
Total Mission Samples:  3824
Total Device Samples:  10780
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:43:01 AM,%RH,103.407
04/08/14 05:03:01 AM,%RH,103.407
04/08/14 05:23:01 AM,%RH,103.896
04/08/14 05:43:01 AM,%RH,103.407
04/08/14 06:03:01 AM,%RH,103.407
04/08/14 06:23:01 AM,%RH,103.896
04/08/14 06:43:01 AM,%RH,102.426
04/08/14 07:03:01 AM,%RH,102.426
04/08/14 07:23:01 AM,%RH,102.426
04/08/14 07:43:01 AM,%RH,100.944
04/08/14 08:03:01 AM,%RH,101.934
04/08/14 08:23:01 AM,%RH,101.934
04/08/14 08:43:01 AM,%RH,102.426
04/08/14 09:03:01 AM,%RH,102.426
04/08/14 09:23:01 AM,%RH,102.426
04/08/14 09:43:01 AM,%RH,99.949
04/08/14 10:03:01 AM,%RH,87.58
04/08/14 10:23:01 AM,%RH,85.441
04/08/14 10:43:01 AM,%RH,84.364
04/08/14 11:03:01 AM,%RH,84.903
04/08/14 11:23:01 AM,%RH,85.978
04/08/14 11:43:01 AM,%RH,83.823
04/08/14 12:03:01 PM,%RH,83.281
04/08/14 12:23:01 PM,%RH,81.645
04/08/14 12:43:01 PM,%RH,82.192
04/08/14 01:03:01 PM,%RH,81.645
04/08/14 01:23:01 PM,%RH,79.446
04/08/14 01:43:01 PM,%RH,77.782
04/08/14 02:03:01 PM,%RH,76.105
04/08/14 02:23:01 PM,%RH,76.105
04/08/14 02:43:01 PM,%RH,75.543
04/08/14 03:03:01 PM,%RH,76.105
04/08/14 03:23:01 PM,%RH,84.364
04/08/14 03:43:01 PM,%RH,95.404
04/08/14 04:03:01 PM,%RH,99.949
04/08/14 04:23:01 PM,%RH,100.448
04/08/14 04:43:01 PM,%RH,100.944
04/08/14 05:03:01 PM,%RH,100.448
04/08/14 05:23:01 PM,%RH,100.944
04/08/14 05:43:01 PM,%RH,101.934
04/08/14 06:03:01 PM,%RH,101.44
04/08/14 06:23:01 PM,%RH,101.934
04/08/14 06:43:01 PM,%RH,101.934
04/08/14 07:03:01 PM,%RH,102.426
04/08/14 07:23:01 PM,%RH,100.448
04/08/14 07:43:01 PM,%RH,101.934
04/08/14 08:03:01 PM,%RH,102.426
04/08/14 08:23:01 PM,%RH,102.426
04/08/14 08:43:01 PM,%RH,101.934
04/08/14 09:03:01 PM,%RH,102.426
04/08/14 09:23:01 PM,%RH,102.426
04/08/14 09:43:01 PM,%RH,101.934
04/08/14 10:03:01 PM,%RH,101.934
04/08/14 10:23:01 PM,%RH,102.426
04/08/14 10:43:01 PM,%RH,102.918
04/08/14 11:03:01 PM,%RH,102.918
04/08/14 11:23:01 PM,%RH,102.918
04/08/14 11:43:01 PM,%RH,102.918
05/08/14 12:03:01 AM,%RH,102.426
05/08/14 12:23:01 AM,%RH,103.407
05/08/14 12:43:01 AM,%RH,102.918
05/08/14 01:03:01 AM,%RH,103.407
05/08/14 01:23:01 AM,%RH,103.407
05/08/14 01:43:01 AM,%RH,102.918
05/08/14 02:03:01 AM,%RH,102.918
05/08/14 02:23:01 AM,%RH,102.918
05/08/14 02:43:01 AM,%RH,103.407
05/08/14 03:03:01 AM,%RH,103.407
05/08/14 03:23:01 AM,%RH,103.896
05/08/14 03:43:01 AM,%RH,103.407
05/08/14 04:03:01 AM,%RH,103.407
05/08/14 04:23:01 AM,%RH,102.918
05/08/14 04:43:01 AM,%RH,102.918
05/08/14 05:03:01 AM,%RH,102.918
05/08/14 05:23:01 AM,%RH,103.407
05/08/14 05:43:01 AM,%RH,103.407
05/08/14 06:03:01 AM,%RH,103.896
05/08/14 06:23:01 AM,%RH,102.918
05/08/14 06:43:01 AM,%RH,102.918
05/08/14 07:03:01 AM,%RH,102.426
05/08/14 07:23:01 AM,%RH,102.426
05/08/14 07:43:01 AM,%RH,102.426
05/08/14 08:03:01 AM,%RH,100.944
05/08/14 08:23:01 AM,%RH,101.934
05/08/14 08:43:01 AM,%RH,101.934
05/08/14 09:03:01 AM,%RH,96.932
05/08/14 09:23:01 AM,%RH,86.514
05/08/14 09:43:01 AM,%RH,88.112
05/08/14 10:03:01 AM,%RH,83.281
05/08/14 10:23:01 AM,%RH,83.281
05/08/14 10:43:01 AM,%RH,80.548
05/08/14 11:03:01 AM,%RH,77.782
05/08/14 11:23:01 AM,%RH,84.364
05/08/14 11:43:01 AM,%RH,82.192
05/08/14 12:03:01 PM,%RH,83.281
05/08/14 12:23:01 PM,%RH,86.514
05/08/14 12:43:01 PM,%RH,84.364
05/08/14 01:03:01 PM,%RH,81.097
05/08/14 01:23:01 PM,%RH,80.548
05/08/14 01:43:01 PM,%RH,83.281
05/08/14 02:03:01 PM,%RH,84.364
05/08/14 02:23:01 PM,%RH,83.281
05/08/14 02:43:01 PM,%RH,76.105
05/08/14 03:03:01 PM,%RH,77.224
05/08/14 03:23:01 PM,%RH,73.85
05/08/14 03:43:01 PM,%RH,76.105
05/08/14 04:03:01 PM,%RH,81.645
05/08/14 04:23:01 PM,%RH,85.978
05/08/14 04:43:01 PM,%RH,88.641
05/08/14 05:03:01 PM,%RH,91.27
05/08/14 05:23:01 PM,%RH,92.831
05/08/14 05:43:01 PM,%RH,94.892
05/08/14 06:03:01 PM,%RH,98.447
05/08/14 06:23:01 PM,%RH,98.447
05/08/14 06:43:01 PM,%RH,100.448
05/08/14 07:03:01 PM,%RH,99.949
05/08/14 07:23:01 PM,%RH,100.944
05/08/14 07:43:01 PM,%RH,101.44
05/08/14 08:03:01 PM,%RH,100.944
05/08/14 08:23:01 PM,%RH,100.944
05/08/14 08:43:01 PM,%RH,101.44
05/08/14 09:03:01 PM,%RH,101.44
05/08/14 09:23:01 PM,%RH,101.44
05/08/14 09:43:01 PM,%RH,100.944
05/08/14 10:03:01 PM,%RH,101.934
05/08/14 10:23:01 PM,%RH,100.944
05/08/14 10:43:01 PM,%RH,101.44
05/08/14 11:03:01 PM,%RH,101.44
05/08/14 11:23:01 PM,%RH,101.934
05/08/14 11:43:01 PM,%RH,101.44
06/08/14 12:03:01 AM,%RH,101.934
06/08/14 12:23:01 AM,%RH,101.44
06/08/14 12:43:01 AM,%RH,102.426
06/08/14 01:03:01 AM,%RH,102.426
06/08/14 01:23:01 AM,%RH,102.426
06/08/14 01:43:01 AM,%RH,102.426
06/08/14 02:03:01 AM,%RH,102.426
06/08/14 02:23:01 AM,%RH,102.918
06/08/14 02:43:01 AM,%RH,102.918
06/08/14 03:03:01 AM,%RH,102.918
06/08/14 03:23:01 AM,%RH,101.934
06/08/14 03:43:01 AM,%RH,102.426
06/08/14 04:03:01 AM,%RH,103.407
06/08/14 04:23:01 AM,%RH,102.918
06/08/14 04:43:01 AM,%RH,102.918
06/08/14 05:03:01 AM,%RH,101.44
06/08/14 05:23:01 AM,%RH,102.426
06/08/14 05:43:01 AM,%RH,102.918
06/08/14 06:03:01 AM,%RH,102.918
06/08/14 06:23:01 AM,%RH,102.426
06/08/14 06:43:01 AM,%RH,102.426
06/08/14 07:03:01 AM,%RH,102.918
06/08/14 07:23:01 AM,%RH,102.426
06/08/14 07:43:01 AM,%RH,102.426
06/08/14 08:03:01 AM,%RH,102.918
06/08/14 08:23:01 AM,%RH,101.934
06/08/14 08:43:01 AM,%RH,102.426
06/08/14 09:03:01 AM,%RH,102.426
06/08/14 09:23:01 AM,%RH,101.44
06/08/14 09:43:01 AM,%RH,101.934
06/08/14 10:03:01 AM,%RH,100.448
06/08/14 10:23:01 AM,%RH,99.949
06/08/14 10:43:01 AM,%RH,98.949
06/08/14 11:03:01 AM,%RH,91.792
06/08/14 11:23:01 AM,%RH,88.641
06/08/14 11:43:01 AM,%RH,84.364
06/08/14 12:03:01 PM,%RH,83.823
06/08/14 12:23:01 PM,%RH,88.112
06/08/14 12:43:01 PM,%RH,89.697
06/08/14 01:03:01 PM,%RH,92.312
06/08/14 01:23:01 PM,%RH,91.792
06/08/14 01:43:01 PM,%RH,87.048
06/08/14 02:03:01 PM,%RH,85.978
06/08/14 02:23:01 PM,%RH,90.223
06/08/14 02:43:01 PM,%RH,85.978
06/08/14 03:03:01 PM,%RH,85.978
06/08/14 03:23:01 PM,%RH,89.697
06/08/14 03:43:01 PM,%RH,87.58
06/08/14 04:03:01 PM,%RH,88.641
06/08/14 04:23:01 PM,%RH,90.747
06/08/14 04:43:01 PM,%RH,94.379
06/08/14 05:03:01 PM,%RH,95.404
06/08/14 05:23:01 PM,%RH,97.438
06/08/14 05:43:01 PM,%RH,98.447
06/08/14 06:03:01 PM,%RH,99.45
06/08/14 06:23:01 PM,%RH,99.949
06/08/14 06:43:01 PM,%RH,100.448
06/08/14 07:03:01 PM,%RH,99.949
06/08/14 07:23:01 PM,%RH,102.426
06/08/14 07:43:01 PM,%RH,101.44
06/08/14 08:03:01 PM,%RH,101.44
06/08/14 08:23:01 PM,%RH,101.934
06/08/14 08:43:01 PM,%RH,101.44
06/08/14 09:03:01 PM,%RH,101.44
06/08/14 09:23:01 PM,%RH,101.44
06/08/14 09:43:01 PM,%RH,100.944
06/08/14 10:03:01 PM,%RH,101.44
06/08/14 10:23:01 PM,%RH,102.426
06/08/14 10:43:01 PM,%RH,102.426
06/08/14 11:03:01 PM,%RH,101.934
06/08/14 11:23:01 PM,%RH,102.918
06/08/14 11:43:01 PM,%RH,101.934
07/08/14 12:03:01 AM,%RH,101.934
07/08/14 12:23:01 AM,%RH,101.934
07/08/14 12:43:01 AM,%RH,102.426
07/08/14 01:03:01 AM,%RH,101.44
07/08/14 01:23:01 AM,%RH,102.426
07/08/14 01:43:01 AM,%RH,102.426
07/08/14 02:03:01 AM,%RH,101.934
07/08/14 02:23:01 AM,%RH,102.426
07/08/14 02:43:01 AM,%RH,101.934
07/08/14 03:03:01 AM,%RH,102.918
