1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8E00000033797641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:38:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:38:01 CST 2014
Total Mission Samples:  3871
Total Device Samples:  10722
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:38:01 PM,%RH,101.296
04/08/14 07:58:01 PM,%RH,100.825
04/08/14 08:18:01 PM,%RH,101.296
04/08/14 08:38:01 PM,%RH,100.825
04/08/14 08:58:01 PM,%RH,100.825
04/08/14 09:18:01 PM,%RH,100.353
04/08/14 09:38:01 PM,%RH,100.825
04/08/14 09:58:01 PM,%RH,100.825
04/08/14 10:18:01 PM,%RH,100.825
04/08/14 10:38:01 PM,%RH,100.825
04/08/14 10:58:01 PM,%RH,101.296
04/08/14 11:18:01 PM,%RH,101.765
04/08/14 11:38:01 PM,%RH,101.296
04/08/14 11:58:01 PM,%RH,101.296
05/08/14 12:18:01 AM,%RH,101.296
05/08/14 12:38:01 AM,%RH,101.296
05/08/14 12:58:01 AM,%RH,102.233
05/08/14 01:18:01 AM,%RH,101.765
05/08/14 01:38:01 AM,%RH,102.233
05/08/14 01:58:01 AM,%RH,102.233
05/08/14 02:18:01 AM,%RH,101.765
05/08/14 02:38:01 AM,%RH,101.765
05/08/14 02:58:01 AM,%RH,101.765
05/08/14 03:18:01 AM,%RH,101.765
05/08/14 03:38:01 AM,%RH,101.296
05/08/14 03:58:01 AM,%RH,101.765
05/08/14 04:18:01 AM,%RH,101.296
05/08/14 04:38:01 AM,%RH,101.296
05/08/14 04:58:01 AM,%RH,102.233
05/08/14 05:18:01 AM,%RH,101.765
05/08/14 05:38:01 AM,%RH,102.233
05/08/14 05:58:01 AM,%RH,101.765
05/08/14 06:18:01 AM,%RH,96.514
05/08/14 06:38:01 AM,%RH,94.063
05/08/14 06:58:01 AM,%RH,91.571
05/08/14 07:18:01 AM,%RH,91.068
05/08/14 07:38:01 AM,%RH,91.068
05/08/14 07:58:01 AM,%RH,92.072
05/08/14 08:18:01 AM,%RH,88.527
05/08/14 08:38:01 AM,%RH,85.947
05/08/14 08:58:01 AM,%RH,77.418
05/08/14 09:18:01 AM,%RH,72.439
05/08/14 09:38:01 AM,%RH,77.963
05/08/14 09:58:01 AM,%RH,67.903
05/08/14 10:18:01 AM,%RH,65.016
05/08/14 10:38:01 AM,%RH,67.903
05/08/14 10:58:01 AM,%RH,69.047
05/08/14 11:18:01 AM,%RH,70.75
05/08/14 11:38:01 AM,%RH,69.616
05/08/14 11:58:01 AM,%RH,57.321
05/08/14 12:18:01 PM,%RH,67.903
05/08/14 12:38:01 PM,%RH,76.323
05/08/14 12:58:01 PM,%RH,57.922
05/08/14 01:18:01 PM,%RH,60.313
05/08/14 01:38:01 PM,%RH,76.323
05/08/14 01:58:01 PM,%RH,70.184
05/08/14 02:18:01 PM,%RH,71.877
05/08/14 02:38:01 PM,%RH,67.903
05/08/14 02:58:01 PM,%RH,59.717
05/08/14 03:18:01 PM,%RH,65.597
