1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B3000000337D4C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:13:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:53:01 CST 2014
Total Mission Samples:  3873
Total Device Samples:  10890
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:53:01 PM,%RH,101.86
04/08/14 09:13:01 PM,%RH,101.86
04/08/14 09:33:01 PM,%RH,102.332
04/08/14 09:53:01 PM,%RH,101.86
04/08/14 10:13:01 PM,%RH,102.332
04/08/14 10:33:01 PM,%RH,101.86
04/08/14 10:53:01 PM,%RH,101.86
04/08/14 11:13:01 PM,%RH,102.332
04/08/14 11:33:01 PM,%RH,102.332
04/08/14 11:53:01 PM,%RH,102.803
05/08/14 12:13:01 AM,%RH,102.332
05/08/14 12:33:01 AM,%RH,102.332
05/08/14 12:53:01 AM,%RH,102.803
05/08/14 01:13:01 AM,%RH,101.86
05/08/14 01:33:01 AM,%RH,102.332
05/08/14 01:53:01 AM,%RH,101.386
05/08/14 02:13:01 AM,%RH,102.332
05/08/14 02:33:01 AM,%RH,101.86
05/08/14 02:53:01 AM,%RH,102.803
05/08/14 03:13:01 AM,%RH,102.332
05/08/14 03:33:01 AM,%RH,102.332
05/08/14 03:53:01 AM,%RH,102.803
05/08/14 04:13:01 AM,%RH,101.86
05/08/14 04:33:01 AM,%RH,102.803
05/08/14 04:53:01 AM,%RH,102.332
05/08/14 05:13:01 AM,%RH,101.86
05/08/14 05:33:01 AM,%RH,102.332
05/08/14 05:53:01 AM,%RH,102.332
05/08/14 06:13:01 AM,%RH,100.91
05/08/14 06:33:01 AM,%RH,100.91
05/08/14 06:53:01 AM,%RH,98.993
05/08/14 07:13:01 AM,%RH,93.595
05/08/14 07:33:01 AM,%RH,77.392
05/08/14 07:53:01 AM,%RH,66.74
05/08/14 08:13:01 AM,%RH,65.007
05/08/14 08:33:01 AM,%RH,60.913
05/08/14 08:53:01 AM,%RH,60.321
05/08/14 09:13:01 AM,%RH,58.539
05/08/14 09:33:01 AM,%RH,64.427
05/08/14 09:53:01 AM,%RH,57.343
05/08/14 10:13:01 AM,%RH,55.538
05/08/14 10:33:01 AM,%RH,62.677
05/08/14 10:53:01 AM,%RH,62.09
05/08/14 11:13:01 AM,%RH,66.74
05/08/14 11:33:01 AM,%RH,64.427
05/08/14 11:53:01 AM,%RH,66.74
05/08/14 12:13:01 PM,%RH,67.887
05/08/14 12:33:01 PM,%RH,72.974
05/08/14 12:53:01 PM,%RH,55.538
05/08/14 01:13:01 PM,%RH,62.09
05/08/14 01:33:01 PM,%RH,76.297
05/08/14 01:53:01 PM,%RH,74.642
05/08/14 02:13:01 PM,%RH,73.531
05/08/14 02:33:01 PM,%RH,69.596
05/08/14 02:53:01 PM,%RH,66.164
05/08/14 03:13:01 PM,%RH,66.74
05/08/14 03:33:01 PM,%RH,69.596
05/08/14 03:53:01 PM,%RH,76.845
05/08/14 04:13:01 PM,%RH,79.565
05/08/14 04:33:01 PM,%RH,82.247
05/08/14 04:53:01 PM,%RH,86.458
05/08/14 05:13:01 PM,%RH,89.041
05/08/14 05:33:01 PM,%RH,89.041
05/08/14 05:53:01 PM,%RH,92.594
05/08/14 06:13:01 PM,%RH,95.579
05/08/14 06:33:01 PM,%RH,97.539
05/08/14 06:53:01 PM,%RH,98.51
05/08/14 07:13:01 PM,%RH,97.539
05/08/14 07:33:01 PM,%RH,96.071
05/08/14 07:53:01 PM,%RH,97.051
05/08/14 08:13:01 PM,%RH,97.051
05/08/14 08:33:01 PM,%RH,98.025
05/08/14 08:53:01 PM,%RH,96.071
05/08/14 09:13:01 PM,%RH,96.562
05/08/14 09:33:01 PM,%RH,96.562
05/08/14 09:53:01 PM,%RH,94.59
05/08/14 10:13:01 PM,%RH,92.091
05/08/14 10:33:01 PM,%RH,94.093
05/08/14 10:53:01 PM,%RH,90.064
05/08/14 11:13:01 PM,%RH,88.013
05/08/14 11:33:01 PM,%RH,89.553
05/08/14 11:53:01 PM,%RH,93.095
06/08/14 12:13:01 AM,%RH,93.095
06/08/14 12:33:01 AM,%RH,94.093
06/08/14 12:53:01 AM,%RH,94.093
06/08/14 01:13:01 AM,%RH,95.085
06/08/14 01:33:01 AM,%RH,96.071
06/08/14 01:53:01 AM,%RH,95.085
06/08/14 02:13:01 AM,%RH,97.539
06/08/14 02:33:01 AM,%RH,97.539
06/08/14 02:53:01 AM,%RH,99.475
06/08/14 03:13:01 AM,%RH,98.993
06/08/14 03:33:01 AM,%RH,98.993
06/08/14 03:53:01 AM,%RH,98.51
06/08/14 04:13:01 AM,%RH,96.071
06/08/14 04:33:01 AM,%RH,96.071
06/08/14 04:53:01 AM,%RH,95.579
06/08/14 05:13:01 AM,%RH,96.071
06/08/14 05:33:01 AM,%RH,98.51
06/08/14 05:53:01 AM,%RH,97.051
06/08/14 06:13:01 AM,%RH,97.539
06/08/14 06:33:01 AM,%RH,98.025
06/08/14 06:53:01 AM,%RH,98.993
06/08/14 07:13:01 AM,%RH,99.955
06/08/14 07:33:01 AM,%RH,99.475
06/08/14 07:53:01 AM,%RH,99.955
06/08/14 08:13:01 AM,%RH,100.91
06/08/14 08:33:01 AM,%RH,101.86
06/08/14 08:53:01 AM,%RH,100.91
06/08/14 09:13:01 AM,%RH,99.955
06/08/14 09:33:01 AM,%RH,98.51
06/08/14 09:53:01 AM,%RH,98.51
06/08/14 10:13:01 AM,%RH,93.095
06/08/14 10:33:01 AM,%RH,73.531
06/08/14 10:53:01 AM,%RH,62.09
06/08/14 11:13:01 AM,%RH,60.913
06/08/14 11:33:01 AM,%RH,54.933
06/08/14 11:53:01 AM,%RH,66.164
06/08/14 12:13:01 PM,%RH,68.458
06/08/14 12:33:01 PM,%RH,70.728
06/08/14 12:53:01 PM,%RH,82.779
06/08/14 01:13:01 PM,%RH,82.779
06/08/14 01:33:01 PM,%RH,75.195
06/08/14 01:53:01 PM,%RH,74.088
06/08/14 02:13:01 PM,%RH,78.482
