1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F900000033827E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:16:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:56:01 CST 2014
Total Mission Samples:  3870
Total Device Samples:  10788
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:56:01 PM,%RH,102.797
04/08/14 08:16:01 PM,%RH,101.774
04/08/14 08:36:01 PM,%RH,102.286
04/08/14 08:56:01 PM,%RH,103.307
04/08/14 09:16:01 PM,%RH,102.797
04/08/14 09:36:01 PM,%RH,102.797
04/08/14 09:56:01 PM,%RH,102.797
04/08/14 10:16:01 PM,%RH,103.307
04/08/14 10:36:01 PM,%RH,102.797
04/08/14 10:56:01 PM,%RH,103.307
04/08/14 11:16:01 PM,%RH,102.286
04/08/14 11:36:01 PM,%RH,103.307
04/08/14 11:56:01 PM,%RH,102.797
05/08/14 12:16:01 AM,%RH,103.815
05/08/14 12:36:01 AM,%RH,103.307
05/08/14 12:56:01 AM,%RH,103.815
05/08/14 01:16:01 AM,%RH,103.307
05/08/14 01:36:01 AM,%RH,102.286
05/08/14 01:56:01 AM,%RH,103.307
05/08/14 02:16:01 AM,%RH,102.797
05/08/14 02:36:01 AM,%RH,103.307
05/08/14 02:56:01 AM,%RH,103.307
05/08/14 03:16:01 AM,%RH,104.323
05/08/14 03:36:01 AM,%RH,104.323
05/08/14 03:56:01 AM,%RH,103.815
05/08/14 04:16:01 AM,%RH,104.323
05/08/14 04:36:01 AM,%RH,103.815
05/08/14 04:56:01 AM,%RH,103.815
05/08/14 05:16:01 AM,%RH,103.307
05/08/14 05:36:01 AM,%RH,103.307
05/08/14 05:56:01 AM,%RH,103.307
05/08/14 06:16:01 AM,%RH,103.815
05/08/14 06:36:01 AM,%RH,98.675
05/08/14 06:56:01 AM,%RH,99.195
05/08/14 07:16:01 AM,%RH,98.155
05/08/14 07:36:01 AM,%RH,99.195
05/08/14 07:56:01 AM,%RH,98.155
05/08/14 08:16:01 AM,%RH,88.023
05/08/14 08:36:01 AM,%RH,81.952
05/08/14 08:56:01 AM,%RH,73.432
05/08/14 09:16:01 AM,%RH,68.774
05/08/14 09:36:01 AM,%RH,65.228
05/08/14 09:56:01 AM,%RH,70.53
05/08/14 10:16:01 AM,%RH,75.159
05/08/14 10:36:01 AM,%RH,68.186
05/08/14 10:56:01 AM,%RH,71.695
