1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E50000003381A741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:00:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:40:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10689
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:40:01 AM,%RH,104.288
04/08/14 05:00:01 AM,%RH,104.288
04/08/14 05:20:01 AM,%RH,103.347
04/08/14 05:40:01 AM,%RH,103.347
04/08/14 06:00:01 AM,%RH,105.222
04/08/14 06:20:01 AM,%RH,103.818
04/08/14 06:40:01 AM,%RH,103.347
04/08/14 07:00:01 AM,%RH,102.874
04/08/14 07:20:01 AM,%RH,102.4
04/08/14 07:40:01 AM,%RH,100.005
04/08/14 08:00:01 AM,%RH,100.968
04/08/14 08:20:01 AM,%RH,99.036
04/08/14 08:40:01 AM,%RH,96.093
04/08/14 09:00:01 AM,%RH,92.081
04/08/14 09:20:01 AM,%RH,84.292
04/08/14 09:40:01 AM,%RH,75.599
04/08/14 10:00:01 AM,%RH,71.671
04/08/14 10:20:01 AM,%RH,74.484
04/08/14 10:40:01 AM,%RH,73.363
04/08/14 11:00:01 AM,%RH,76.707
04/08/14 11:20:01 AM,%RH,79.451
04/08/14 11:40:01 AM,%RH,79.451
04/08/14 12:00:01 PM,%RH,79.451
04/08/14 12:20:01 PM,%RH,81.618
04/08/14 12:40:01 PM,%RH,80.538
04/08/14 01:00:01 PM,%RH,77.809
04/08/14 01:20:01 PM,%RH,73.363
04/08/14 01:40:01 PM,%RH,69.964
04/08/14 02:00:01 PM,%RH,74.484
04/08/14 02:20:01 PM,%RH,76.707
04/08/14 02:40:01 PM,%RH,68.818
04/08/14 03:00:01 PM,%RH,71.671
04/08/14 03:20:01 PM,%RH,82.156
04/08/14 03:40:01 PM,%RH,91.573
04/08/14 04:00:01 PM,%RH,98.55
04/08/14 04:20:01 PM,%RH,100.005
04/08/14 04:40:01 PM,%RH,100.968
04/08/14 05:00:01 PM,%RH,100.968
04/08/14 05:20:01 PM,%RH,101.447
04/08/14 05:40:01 PM,%RH,101.924
04/08/14 06:00:01 PM,%RH,101.447
04/08/14 06:20:01 PM,%RH,102.4
04/08/14 06:40:01 PM,%RH,102.4
04/08/14 07:00:01 PM,%RH,102.4
04/08/14 07:20:01 PM,%RH,102.4
04/08/14 07:40:01 PM,%RH,101.924
04/08/14 08:00:01 PM,%RH,102.874
04/08/14 08:20:01 PM,%RH,102.874
04/08/14 08:40:01 PM,%RH,101.924
04/08/14 09:00:01 PM,%RH,102.874
04/08/14 09:20:01 PM,%RH,102.874
04/08/14 09:40:01 PM,%RH,102.874
04/08/14 10:00:01 PM,%RH,103.347
04/08/14 10:20:01 PM,%RH,102.874
04/08/14 10:40:01 PM,%RH,103.347
04/08/14 11:00:01 PM,%RH,103.347
04/08/14 11:20:01 PM,%RH,102.874
04/08/14 11:40:01 PM,%RH,102.874
05/08/14 12:00:01 AM,%RH,102.4
05/08/14 12:20:01 AM,%RH,102.874
05/08/14 12:40:01 AM,%RH,102.874
05/08/14 01:00:01 AM,%RH,103.347
05/08/14 01:20:01 AM,%RH,103.347
05/08/14 01:40:01 AM,%RH,102.874
05/08/14 02:00:01 AM,%RH,103.347
05/08/14 02:20:01 AM,%RH,103.818
05/08/14 02:40:01 AM,%RH,103.818
05/08/14 03:00:01 AM,%RH,105.222
05/08/14 03:20:01 AM,%RH,102.874
05/08/14 03:40:01 AM,%RH,104.756
05/08/14 04:00:01 AM,%RH,103.347
05/08/14 04:20:01 AM,%RH,103.347
05/08/14 04:40:01 AM,%RH,103.818
05/08/14 05:00:01 AM,%RH,103.347
05/08/14 05:20:01 AM,%RH,103.818
