1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 43000000337B5D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:55:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:15:01 CST 2014
Total Mission Samples:  3824
Total Device Samples:  10697
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:15:01 AM,%RH,103.803
04/08/14 04:35:01 AM,%RH,103.803
04/08/14 04:55:01 AM,%RH,103.803
04/08/14 05:15:01 AM,%RH,103.338
04/08/14 05:35:01 AM,%RH,103.338
04/08/14 05:55:01 AM,%RH,103.803
04/08/14 06:15:01 AM,%RH,104.265
04/08/14 06:35:01 AM,%RH,101.935
04/08/14 06:55:01 AM,%RH,102.404
04/08/14 07:15:01 AM,%RH,100.517
04/08/14 07:35:01 AM,%RH,98.604
04/08/14 07:55:01 AM,%RH,78.056
04/08/14 08:15:01 AM,%RH,63.903
04/08/14 08:35:01 AM,%RH,62.137
04/08/14 08:55:01 AM,%RH,62.727
04/08/14 09:15:01 AM,%RH,57.959
04/08/14 09:35:01 AM,%RH,66.235
04/08/14 09:55:01 AM,%RH,64.489
04/08/14 10:15:01 AM,%RH,65.655
04/08/14 10:35:01 AM,%RH,69.114
04/08/14 10:55:01 AM,%RH,70.823
04/08/14 11:15:01 AM,%RH,71.389
04/08/14 11:35:01 AM,%RH,75.306
04/08/14 11:55:01 AM,%RH,65.655
04/08/14 12:15:01 PM,%RH,66.235
04/08/14 12:35:01 PM,%RH,69.685
04/08/14 12:55:01 PM,%RH,61.545
04/08/14 01:15:01 PM,%RH,57.356
04/08/14 01:35:01 PM,%RH,62.727
04/08/14 01:55:01 PM,%RH,63.316
04/08/14 02:15:01 PM,%RH,66.235
04/08/14 02:35:01 PM,%RH,69.685
04/08/14 02:55:01 PM,%RH,74.195
04/08/14 03:15:01 PM,%RH,80.227
04/08/14 03:35:01 PM,%RH,87.622
04/08/14 03:55:01 PM,%RH,96.666
04/08/14 04:15:01 PM,%RH,98.604
04/08/14 04:35:01 PM,%RH,99.564
04/08/14 04:55:01 PM,%RH,100.041
04/08/14 05:15:01 PM,%RH,100.517
04/08/14 05:35:01 PM,%RH,100.517
04/08/14 05:55:01 PM,%RH,101.464
04/08/14 06:15:01 PM,%RH,101.464
04/08/14 06:35:01 PM,%RH,101.464
04/08/14 06:55:01 PM,%RH,101.935
04/08/14 07:15:01 PM,%RH,101.464
04/08/14 07:35:01 PM,%RH,101.935
04/08/14 07:55:01 PM,%RH,101.935
04/08/14 08:15:01 PM,%RH,101.935
04/08/14 08:35:01 PM,%RH,102.404
04/08/14 08:55:01 PM,%RH,102.404
04/08/14 09:15:01 PM,%RH,101.935
04/08/14 09:35:01 PM,%RH,101.464
04/08/14 09:55:01 PM,%RH,102.404
04/08/14 10:15:01 PM,%RH,102.404
04/08/14 10:35:01 PM,%RH,102.872
04/08/14 10:55:01 PM,%RH,102.404
04/08/14 11:15:01 PM,%RH,102.872
04/08/14 11:35:01 PM,%RH,102.872
04/08/14 11:55:01 PM,%RH,102.872
05/08/14 12:15:01 AM,%RH,103.338
05/08/14 12:35:01 AM,%RH,102.872
05/08/14 12:55:01 AM,%RH,102.872
05/08/14 01:15:01 AM,%RH,102.872
05/08/14 01:35:01 AM,%RH,102.872
05/08/14 01:55:01 AM,%RH,102.872
05/08/14 02:15:01 AM,%RH,102.872
05/08/14 02:35:01 AM,%RH,102.872
05/08/14 02:55:01 AM,%RH,102.872
05/08/14 03:15:01 AM,%RH,103.338
05/08/14 03:35:01 AM,%RH,102.872
05/08/14 03:55:01 AM,%RH,102.872
