1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9B000000337B7F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:11:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:11:01 CST 2014
Total Mission Samples:  3871
Total Device Samples:  10822
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:11:01 PM,%RH,101.027
04/08/14 08:31:01 PM,%RH,101.501
04/08/14 08:51:01 PM,%RH,101.501
04/08/14 09:11:01 PM,%RH,101.027
04/08/14 09:31:01 PM,%RH,101.501
04/08/14 09:51:01 PM,%RH,102.442
04/08/14 10:11:01 PM,%RH,101.972
04/08/14 10:31:01 PM,%RH,102.911
04/08/14 10:51:01 PM,%RH,101.972
04/08/14 11:11:01 PM,%RH,102.442
04/08/14 11:31:01 PM,%RH,101.972
04/08/14 11:51:01 PM,%RH,101.972
05/08/14 12:11:01 AM,%RH,101.501
05/08/14 12:31:01 AM,%RH,102.911
05/08/14 12:51:01 AM,%RH,102.911
05/08/14 01:11:01 AM,%RH,102.442
05/08/14 01:31:01 AM,%RH,102.442
05/08/14 01:51:01 AM,%RH,102.442
05/08/14 02:11:01 AM,%RH,102.911
05/08/14 02:31:01 AM,%RH,101.972
05/08/14 02:51:01 AM,%RH,102.911
05/08/14 03:11:01 AM,%RH,102.911
05/08/14 03:31:01 AM,%RH,102.442
05/08/14 03:51:01 AM,%RH,102.911
05/08/14 04:11:01 AM,%RH,102.442
05/08/14 04:31:01 AM,%RH,102.911
05/08/14 04:51:01 AM,%RH,102.911
05/08/14 05:11:01 AM,%RH,101.972
05/08/14 05:31:01 AM,%RH,102.911
05/08/14 05:51:01 AM,%RH,103.843
05/08/14 06:11:01 AM,%RH,102.911
05/08/14 06:31:01 AM,%RH,102.911
05/08/14 06:51:01 AM,%RH,103.378
05/08/14 07:11:01 AM,%RH,101.501
05/08/14 07:31:01 AM,%RH,100.076
05/08/14 07:51:01 AM,%RH,100.553
05/08/14 08:11:01 AM,%RH,99.598
05/08/14 08:31:01 AM,%RH,87.658
05/08/14 08:51:01 AM,%RH,75.919
05/08/14 09:11:01 AM,%RH,63.423
05/08/14 09:31:01 AM,%RH,66.906
05/08/14 09:51:01 AM,%RH,63.423
05/08/14 10:11:01 AM,%RH,62.837
05/08/14 10:31:01 AM,%RH,61.66
05/08/14 10:51:01 AM,%RH,65.751
05/08/14 11:11:01 AM,%RH,64.59
05/08/14 11:31:01 AM,%RH,59.883
05/08/14 11:51:01 AM,%RH,62.249
05/08/14 12:11:01 PM,%RH,65.171
