1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5B000000337B8941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:58:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:38:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10655
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:38:01 AM,%RH,102.751
04/08/14 04:58:01 AM,%RH,103.218
04/08/14 05:18:01 AM,%RH,104.148
04/08/14 05:38:01 AM,%RH,102.283
04/08/14 05:58:01 AM,%RH,102.751
04/08/14 06:18:01 AM,%RH,102.283
04/08/14 06:38:01 AM,%RH,102.283
04/08/14 06:58:01 AM,%RH,102.283
04/08/14 07:18:01 AM,%RH,101.813
04/08/14 07:38:01 AM,%RH,100.868
04/08/14 07:58:01 AM,%RH,101.341
04/08/14 08:18:01 AM,%RH,101.341
04/08/14 08:38:01 AM,%RH,101.341
04/08/14 08:58:01 AM,%RH,100.868
04/08/14 09:18:01 AM,%RH,97.511
04/08/14 09:38:01 AM,%RH,86.981
04/08/14 09:58:01 AM,%RH,82.256
04/08/14 10:18:01 AM,%RH,74.655
04/08/14 10:38:01 AM,%RH,65.591
04/08/14 10:58:01 AM,%RH,67.321
04/08/14 11:18:01 AM,%RH,69.606
04/08/14 11:38:01 AM,%RH,67.321
04/08/14 11:58:01 AM,%RH,67.895
04/08/14 12:18:01 PM,%RH,66.17
04/08/14 12:38:01 PM,%RH,67.321
04/08/14 12:58:01 PM,%RH,71.303
04/08/14 01:18:01 PM,%RH,70.739
04/08/14 01:38:01 PM,%RH,70.173
04/08/14 01:58:01 PM,%RH,72.427
04/08/14 02:18:01 PM,%RH,75.208
04/08/14 02:38:01 PM,%RH,76.31
04/08/14 02:58:01 PM,%RH,72.427
04/08/14 03:18:01 PM,%RH,80.653
04/08/14 03:38:01 PM,%RH,90.06
04/08/14 03:58:01 PM,%RH,97.511
04/08/14 04:18:01 PM,%RH,98.959
04/08/14 04:38:01 PM,%RH,99.439
04/08/14 04:58:01 PM,%RH,99.917
04/08/14 05:18:01 PM,%RH,100.393
04/08/14 05:38:01 PM,%RH,100.393
04/08/14 05:58:01 PM,%RH,100.868
04/08/14 06:18:01 PM,%RH,100.393
04/08/14 06:38:01 PM,%RH,101.813
04/08/14 06:58:01 PM,%RH,101.813
04/08/14 07:18:01 PM,%RH,100.868
04/08/14 07:38:01 PM,%RH,101.341
04/08/14 07:58:01 PM,%RH,101.341
04/08/14 08:18:01 PM,%RH,101.341
04/08/14 08:38:01 PM,%RH,100.868
04/08/14 08:58:01 PM,%RH,99.917
04/08/14 09:18:01 PM,%RH,101.341
04/08/14 09:38:01 PM,%RH,100.868
04/08/14 09:58:01 PM,%RH,100.868
04/08/14 10:18:01 PM,%RH,101.813
04/08/14 10:38:01 PM,%RH,101.813
04/08/14 10:58:01 PM,%RH,100.868
04/08/14 11:18:01 PM,%RH,101.813
04/08/14 11:38:01 PM,%RH,101.341
04/08/14 11:58:01 PM,%RH,101.813
05/08/14 12:18:01 AM,%RH,101.813
05/08/14 12:38:01 AM,%RH,101.813
05/08/14 12:58:01 AM,%RH,102.283
05/08/14 01:18:01 AM,%RH,102.283
05/08/14 01:38:01 AM,%RH,101.341
05/08/14 01:58:01 AM,%RH,103.218
05/08/14 02:18:01 AM,%RH,100.868
05/08/14 02:38:01 AM,%RH,102.751
05/08/14 02:58:01 AM,%RH,101.813
05/08/14 03:18:01 AM,%RH,101.813
05/08/14 03:38:01 AM,%RH,101.341
05/08/14 03:58:01 AM,%RH,102.283
05/08/14 04:18:01 AM,%RH,101.813
05/08/14 04:38:01 AM,%RH,102.283
05/08/14 04:58:01 AM,%RH,101.813
05/08/14 05:18:01 AM,%RH,101.341
05/08/14 05:38:01 AM,%RH,101.341
05/08/14 05:58:01 AM,%RH,101.813
05/08/14 06:18:01 AM,%RH,102.283
05/08/14 06:38:01 AM,%RH,101.813
05/08/14 06:58:01 AM,%RH,101.341
05/08/14 07:18:01 AM,%RH,100.868
05/08/14 07:38:01 AM,%RH,100.868
05/08/14 07:58:01 AM,%RH,100.393
05/08/14 08:18:01 AM,%RH,100.393
05/08/14 08:38:01 AM,%RH,99.917
05/08/14 08:58:01 AM,%RH,98.478
05/08/14 09:18:01 AM,%RH,91.579
05/08/14 09:38:01 AM,%RH,78.494
05/08/14 09:58:01 AM,%RH,74.655
05/08/14 10:18:01 AM,%RH,70.173
05/08/14 10:38:01 AM,%RH,70.173
05/08/14 10:58:01 AM,%RH,72.427
05/08/14 11:18:01 AM,%RH,72.986
05/08/14 11:38:01 AM,%RH,71.303
05/08/14 11:58:01 AM,%RH,72.986
05/08/14 12:18:01 PM,%RH,74.1
05/08/14 12:38:01 PM,%RH,72.986
05/08/14 12:58:01 PM,%RH,70.739
05/08/14 01:18:01 PM,%RH,70.173
05/08/14 01:38:01 PM,%RH,79.036
05/08/14 01:58:01 PM,%RH,79.577
05/08/14 02:18:01 PM,%RH,79.036
05/08/14 02:38:01 PM,%RH,80.116
05/08/14 02:58:01 PM,%RH,79.577
05/08/14 03:18:01 PM,%RH,77.405
05/08/14 03:38:01 PM,%RH,77.95
05/08/14 03:58:01 PM,%RH,82.256
05/08/14 04:18:01 PM,%RH,83.845
05/08/14 04:38:01 PM,%RH,88.014
05/08/14 04:58:01 PM,%RH,89.551
05/08/14 05:18:01 PM,%RH,92.082
05/08/14 05:38:01 PM,%RH,93.581
05/08/14 05:58:01 PM,%RH,94.573
05/08/14 06:18:01 PM,%RH,97.995
05/08/14 06:38:01 PM,%RH,99.439
05/08/14 06:58:01 PM,%RH,98.959
05/08/14 07:18:01 PM,%RH,99.439
05/08/14 07:38:01 PM,%RH,99.439
05/08/14 07:58:01 PM,%RH,99.439
05/08/14 08:18:01 PM,%RH,99.917
05/08/14 08:38:01 PM,%RH,99.917
05/08/14 08:58:01 PM,%RH,100.868
05/08/14 09:18:01 PM,%RH,100.868
05/08/14 09:38:01 PM,%RH,99.917
05/08/14 09:58:01 PM,%RH,99.917
05/08/14 10:18:01 PM,%RH,99.917
05/08/14 10:38:01 PM,%RH,99.917
05/08/14 10:58:01 PM,%RH,99.917
05/08/14 11:18:01 PM,%RH,101.341
05/08/14 11:38:01 PM,%RH,99.917
05/08/14 11:58:01 PM,%RH,100.393
06/08/14 12:18:01 AM,%RH,100.868
06/08/14 12:38:01 AM,%RH,100.868
06/08/14 12:58:01 AM,%RH,101.341
06/08/14 01:18:01 AM,%RH,100.868
06/08/14 01:38:01 AM,%RH,101.341
06/08/14 01:58:01 AM,%RH,102.283
06/08/14 02:18:01 AM,%RH,101.341
06/08/14 02:38:01 AM,%RH,101.813
06/08/14 02:58:01 AM,%RH,101.341
06/08/14 03:18:01 AM,%RH,101.341
06/08/14 03:38:01 AM,%RH,101.341
06/08/14 03:58:01 AM,%RH,101.813
06/08/14 04:18:01 AM,%RH,101.341
06/08/14 04:38:01 AM,%RH,101.813
06/08/14 04:58:01 AM,%RH,101.813
06/08/14 05:18:01 AM,%RH,101.813
06/08/14 05:38:01 AM,%RH,102.283
06/08/14 05:58:01 AM,%RH,101.341
06/08/14 06:18:01 AM,%RH,101.341
06/08/14 06:38:01 AM,%RH,101.813
06/08/14 06:58:01 AM,%RH,101.813
06/08/14 07:18:01 AM,%RH,102.283
06/08/14 07:38:01 AM,%RH,102.283
06/08/14 07:58:01 AM,%RH,100.868
06/08/14 08:18:01 AM,%RH,100.868
06/08/14 08:38:01 AM,%RH,101.341
06/08/14 08:58:01 AM,%RH,101.341
06/08/14 09:18:01 AM,%RH,100.868
06/08/14 09:38:01 AM,%RH,100.393
06/08/14 09:58:01 AM,%RH,99.917
06/08/14 10:18:01 AM,%RH,87.498
06/08/14 10:38:01 AM,%RH,88.014
06/08/14 10:58:01 AM,%RH,77.95
06/08/14 11:18:01 AM,%RH,75.76
06/08/14 11:38:01 AM,%RH,63.263
06/08/14 11:58:01 AM,%RH,73.544
06/08/14 12:18:01 PM,%RH,77.95
06/08/14 12:38:01 PM,%RH,83.317
06/08/14 12:58:01 PM,%RH,86.981
06/08/14 01:18:01 PM,%RH,85.942
06/08/14 01:38:01 PM,%RH,80.116
06/08/14 01:58:01 PM,%RH,79.036
06/08/14 02:18:01 PM,%RH,84.372
06/08/14 02:38:01 PM,%RH,83.317
06/08/14 02:58:01 PM,%RH,83.317
06/08/14 03:18:01 PM,%RH,86.462
06/08/14 03:38:01 PM,%RH,82.788
06/08/14 03:58:01 PM,%RH,87.498
06/08/14 04:18:01 PM,%RH,87.498
06/08/14 04:38:01 PM,%RH,90.06
06/08/14 04:58:01 PM,%RH,93.581
06/08/14 05:18:01 PM,%RH,95.559
06/08/14 05:38:01 PM,%RH,96.049
06/08/14 05:58:01 PM,%RH,97.511
06/08/14 06:18:01 PM,%RH,98.959
06/08/14 06:38:01 PM,%RH,98.959
06/08/14 06:58:01 PM,%RH,99.439
06/08/14 07:18:01 PM,%RH,100.393
06/08/14 07:38:01 PM,%RH,100.393
06/08/14 07:58:01 PM,%RH,100.393
06/08/14 08:18:01 PM,%RH,100.868
06/08/14 08:38:01 PM,%RH,99.917
06/08/14 08:58:01 PM,%RH,100.393
06/08/14 09:18:01 PM,%RH,99.917
06/08/14 09:38:01 PM,%RH,100.393
06/08/14 09:58:01 PM,%RH,100.393
06/08/14 10:18:01 PM,%RH,99.439
06/08/14 10:38:01 PM,%RH,100.868
06/08/14 10:58:01 PM,%RH,101.341
06/08/14 11:18:01 PM,%RH,100.393
06/08/14 11:38:01 PM,%RH,100.393
06/08/14 11:58:01 PM,%RH,99.917
07/08/14 12:18:01 AM,%RH,100.868
07/08/14 12:38:01 AM,%RH,100.393
07/08/14 12:58:01 AM,%RH,100.868
07/08/14 01:18:01 AM,%RH,100.868
07/08/14 01:38:01 AM,%RH,100.393
07/08/14 01:58:01 AM,%RH,101.341
07/08/14 02:18:01 AM,%RH,99.917
07/08/14 02:38:01 AM,%RH,100.868
07/08/14 02:58:01 AM,%RH,100.868
07/08/14 03:18:01 AM,%RH,101.341
07/08/14 03:38:01 AM,%RH,100.393
07/08/14 03:58:01 AM,%RH,100.868
07/08/14 04:18:01 AM,%RH,101.341
07/08/14 04:38:01 AM,%RH,101.341
07/08/14 04:58:01 AM,%RH,101.341
07/08/14 05:18:01 AM,%RH,101.813
07/08/14 05:38:01 AM,%RH,102.283
07/08/14 05:58:01 AM,%RH,102.283
07/08/14 06:18:01 AM,%RH,102.283
07/08/14 06:38:01 AM,%RH,103.218
07/08/14 06:58:01 AM,%RH,102.283
07/08/14 07:18:01 AM,%RH,101.341
07/08/14 07:38:01 AM,%RH,100.393
07/08/14 07:58:01 AM,%RH,102.283
07/08/14 08:18:01 AM,%RH,97.511
07/08/14 08:38:01 AM,%RH,92.082
07/08/14 08:58:01 AM,%RH,83.317
07/08/14 09:18:01 AM,%RH,94.573
07/08/14 09:38:01 AM,%RH,80.653
07/08/14 09:58:01 AM,%RH,74.655
07/08/14 10:18:01 AM,%RH,69.037
07/08/14 10:38:01 AM,%RH,67.321
07/08/14 10:58:01 AM,%RH,69.606
07/08/14 11:18:01 AM,%RH,71.303
07/08/14 11:38:01 AM,%RH,97.995
07/08/14 11:58:01 AM,%RH,99.439
07/08/14 12:18:01 PM,%RH,100.393
07/08/14 12:38:01 PM,%RH,100.393
07/08/14 12:58:01 PM,%RH,100.868
07/08/14 01:18:01 PM,%RH,100.393
07/08/14 01:38:01 PM,%RH,100.868
07/08/14 01:58:01 PM,%RH,100.868
07/08/14 02:18:01 PM,%RH,101.341
07/08/14 02:38:01 PM,%RH,100.868
07/08/14 02:58:01 PM,%RH,100.868
07/08/14 03:18:01 PM,%RH,101.813
07/08/14 03:38:01 PM,%RH,99.439
07/08/14 03:58:01 PM,%RH,99.439
07/08/14 04:18:01 PM,%RH,100.393
07/08/14 04:38:01 PM,%RH,102.283
07/08/14 04:58:01 PM,%RH,101.813
07/08/14 05:18:01 PM,%RH,100.393
07/08/14 05:38:01 PM,%RH,99.917
07/08/14 05:58:01 PM,%RH,100.393
07/08/14 06:18:01 PM,%RH,100.868
07/08/14 06:38:01 PM,%RH,101.813
07/08/14 06:58:01 PM,%RH,100.868
07/08/14 07:18:01 PM,%RH,100.868
07/08/14 07:38:01 PM,%RH,101.341
07/08/14 07:58:01 PM,%RH,100.868
07/08/14 08:18:01 PM,%RH,101.341
07/08/14 08:38:01 PM,%RH,101.341
07/08/14 08:58:01 PM,%RH,100.868
07/08/14 09:18:01 PM,%RH,100.868
07/08/14 09:38:01 PM,%RH,100.868
07/08/14 09:58:01 PM,%RH,101.813
07/08/14 10:18:01 PM,%RH,101.341
07/08/14 10:38:01 PM,%RH,100.393
07/08/14 10:58:01 PM,%RH,101.341
07/08/14 11:18:01 PM,%RH,100.868
07/08/14 11:38:01 PM,%RH,100.868
07/08/14 11:58:01 PM,%RH,103.218
08/08/14 12:18:01 AM,%RH,101.341
08/08/14 12:38:01 AM,%RH,101.341
08/08/14 12:58:01 AM,%RH,99.917
08/08/14 01:18:01 AM,%RH,100.868
08/08/14 01:38:01 AM,%RH,99.439
08/08/14 01:58:01 AM,%RH,99.439
08/08/14 02:18:01 AM,%RH,99.439
08/08/14 02:38:01 AM,%RH,99.917
08/08/14 02:58:01 AM,%RH,99.439
08/08/14 03:18:01 AM,%RH,98.959
08/08/14 03:38:01 AM,%RH,98.959
08/08/14 03:58:01 AM,%RH,98.959
08/08/14 04:18:01 AM,%RH,98.959
08/08/14 04:38:01 AM,%RH,99.439
08/08/14 04:58:01 AM,%RH,99.439
08/08/14 05:18:01 AM,%RH,99.917
08/08/14 05:38:01 AM,%RH,99.917
08/08/14 05:58:01 AM,%RH,99.439
08/08/14 06:18:01 AM,%RH,100.393
08/08/14 06:38:01 AM,%RH,100.393
08/08/14 06:58:01 AM,%RH,100.393
08/08/14 07:18:01 AM,%RH,100.868
08/08/14 07:38:01 AM,%RH,100.393
08/08/14 07:58:01 AM,%RH,100.868
08/08/14 08:18:01 AM,%RH,100.393
08/08/14 08:38:01 AM,%RH,100.393
08/08/14 08:58:01 AM,%RH,100.868
08/08/14 09:18:01 AM,%RH,101.341
08/08/14 09:38:01 AM,%RH,100.868
08/08/14 09:58:01 AM,%RH,101.341
08/08/14 10:18:01 AM,%RH,101.341
08/08/14 10:38:01 AM,%RH,100.868
08/08/14 10:58:01 AM,%RH,101.813
08/08/14 11:18:01 AM,%RH,101.813
08/08/14 11:38:01 AM,%RH,101.341
08/08/14 11:58:01 AM,%RH,101.813
08/08/14 12:18:01 PM,%RH,101.813
08/08/14 12:38:01 PM,%RH,101.813
08/08/14 12:58:01 PM,%RH,101.813
08/08/14 01:18:01 PM,%RH,101.341
08/08/14 01:38:01 PM,%RH,101.813
08/08/14 01:58:01 PM,%RH,101.341
08/08/14 02:18:01 PM,%RH,101.813
08/08/14 02:38:01 PM,%RH,100.868
08/08/14 02:58:01 PM,%RH,100.393
08/08/14 03:18:01 PM,%RH,102.283
08/08/14 03:38:01 PM,%RH,101.813
08/08/14 03:58:01 PM,%RH,100.868
08/08/14 04:18:01 PM,%RH,101.341
08/08/14 04:38:01 PM,%RH,101.341
08/08/14 04:58:01 PM,%RH,102.283
08/08/14 05:18:01 PM,%RH,102.283
08/08/14 05:38:01 PM,%RH,101.813
08/08/14 05:58:01 PM,%RH,102.283
08/08/14 06:18:01 PM,%RH,101.341
08/08/14 06:38:01 PM,%RH,101.341
08/08/14 06:58:01 PM,%RH,100.868
08/08/14 07:18:01 PM,%RH,100.868
08/08/14 07:38:01 PM,%RH,101.341
08/08/14 07:58:01 PM,%RH,101.341
08/08/14 08:18:01 PM,%RH,101.341
08/08/14 08:38:01 PM,%RH,101.813
08/08/14 08:58:01 PM,%RH,102.283
08/08/14 09:18:01 PM,%RH,101.341
08/08/14 09:38:01 PM,%RH,101.341
08/08/14 09:58:01 PM,%RH,100.868
08/08/14 10:18:01 PM,%RH,99.917
08/08/14 10:38:01 PM,%RH,99.439
08/08/14 10:58:01 PM,%RH,99.439
08/08/14 11:18:01 PM,%RH,98.959
08/08/14 11:38:01 PM,%RH,99.439
08/08/14 11:58:01 PM,%RH,98.478
09/08/14 12:18:01 AM,%RH,97.995
09/08/14 12:38:01 AM,%RH,98.959
09/08/14 12:58:01 AM,%RH,98.478
09/08/14 01:18:01 AM,%RH,98.478
09/08/14 01:38:01 AM,%RH,98.478
09/08/14 01:58:01 AM,%RH,97.025
09/08/14 02:18:01 AM,%RH,97.995
09/08/14 02:38:01 AM,%RH,97.995
09/08/14 02:58:01 AM,%RH,97.995
09/08/14 03:18:01 AM,%RH,97.995
09/08/14 03:38:01 AM,%RH,97.511
09/08/14 03:58:01 AM,%RH,96.538
09/08/14 04:18:01 AM,%RH,97.025
09/08/14 04:38:01 AM,%RH,97.995
09/08/14 04:58:01 AM,%RH,97.025
09/08/14 05:18:01 AM,%RH,97.511
09/08/14 05:38:01 AM,%RH,97.025
09/08/14 05:58:01 AM,%RH,97.995
09/08/14 06:18:01 AM,%RH,98.478
09/08/14 06:38:01 AM,%RH,99.917
09/08/14 06:58:01 AM,%RH,99.917
09/08/14 07:18:01 AM,%RH,100.393
09/08/14 07:38:01 AM,%RH,100.868
09/08/14 07:58:01 AM,%RH,101.341
09/08/14 08:18:01 AM,%RH,101.341
09/08/14 08:38:01 AM,%RH,101.341
09/08/14 08:58:01 AM,%RH,101.341
09/08/14 09:18:01 AM,%RH,101.341
09/08/14 09:38:01 AM,%RH,100.868
09/08/14 09:58:01 AM,%RH,102.283
09/08/14 10:18:01 AM,%RH,100.868
09/08/14 10:38:01 AM,%RH,101.813
09/08/14 10:58:01 AM,%RH,101.341
09/08/14 11:18:01 AM,%RH,101.341
09/08/14 11:38:01 AM,%RH,100.868
09/08/14 11:58:01 AM,%RH,100.868
09/08/14 12:18:01 PM,%RH,100.868
09/08/14 12:38:01 PM,%RH,101.813
09/08/14 12:58:01 PM,%RH,101.813
09/08/14 01:18:01 PM,%RH,101.341
09/08/14 01:38:01 PM,%RH,101.813
09/08/14 01:58:01 PM,%RH,101.813
09/08/14 02:18:01 PM,%RH,101.341
09/08/14 02:38:01 PM,%RH,101.341
09/08/14 02:58:01 PM,%RH,100.868
09/08/14 03:18:01 PM,%RH,101.341
09/08/14 03:38:01 PM,%RH,102.751
09/08/14 03:58:01 PM,%RH,100.868
09/08/14 04:18:01 PM,%RH,101.813
09/08/14 04:38:01 PM,%RH,99.917
09/08/14 04:58:01 PM,%RH,100.868
09/08/14 05:18:01 PM,%RH,101.341
09/08/14 05:38:01 PM,%RH,100.868
09/08/14 05:58:01 PM,%RH,100.393
