1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: EF000000337BBA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:15:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:15:01 CST 2014
Total Mission Samples:  3871
Total Device Samples:  10769
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:15:01 PM,%RH,102.095
04/08/14 08:35:01 PM,%RH,102.095
04/08/14 08:55:01 PM,%RH,102.564
04/08/14 09:15:01 PM,%RH,101.151
04/08/14 09:35:01 PM,%RH,102.095
04/08/14 09:55:01 PM,%RH,102.564
04/08/14 10:15:01 PM,%RH,102.564
04/08/14 10:35:01 PM,%RH,104.425
04/08/14 10:55:01 PM,%RH,102.095
04/08/14 11:15:01 PM,%RH,102.564
04/08/14 11:35:01 PM,%RH,103.032
04/08/14 11:55:01 PM,%RH,102.564
05/08/14 12:15:01 AM,%RH,102.095
05/08/14 12:35:01 AM,%RH,102.564
05/08/14 12:55:01 AM,%RH,103.032
05/08/14 01:15:01 AM,%RH,101.624
05/08/14 01:35:01 AM,%RH,102.564
05/08/14 01:55:01 AM,%RH,102.095
05/08/14 02:15:01 AM,%RH,103.032
05/08/14 02:35:01 AM,%RH,103.032
05/08/14 02:55:01 AM,%RH,103.032
05/08/14 03:15:01 AM,%RH,103.032
05/08/14 03:35:01 AM,%RH,102.564
05/08/14 03:55:01 AM,%RH,103.032
05/08/14 04:15:01 AM,%RH,103.032
05/08/14 04:35:01 AM,%RH,103.498
05/08/14 04:55:01 AM,%RH,103.032
05/08/14 05:15:01 AM,%RH,103.498
05/08/14 05:35:01 AM,%RH,103.498
05/08/14 05:55:01 AM,%RH,102.564
05/08/14 06:15:01 AM,%RH,102.095
05/08/14 06:35:01 AM,%RH,103.032
05/08/14 06:55:01 AM,%RH,102.095
05/08/14 07:15:01 AM,%RH,102.095
05/08/14 07:35:01 AM,%RH,101.624
05/08/14 07:55:01 AM,%RH,101.151
05/08/14 08:15:01 AM,%RH,101.151
05/08/14 08:35:01 AM,%RH,99.724
05/08/14 08:55:01 AM,%RH,99.245
05/08/14 09:15:01 AM,%RH,96.337
05/08/14 09:35:01 AM,%RH,90.347
05/08/14 09:55:01 AM,%RH,85.177
05/08/14 10:15:01 AM,%RH,73.797
05/08/14 10:35:01 AM,%RH,72.113
05/08/14 10:55:01 AM,%RH,70.414
05/08/14 11:15:01 AM,%RH,72.676
05/08/14 11:35:01 AM,%RH,69.274
05/08/14 11:55:01 AM,%RH,70.982
05/08/14 12:15:01 PM,%RH,72.113
05/08/14 12:35:01 PM,%RH,72.113
05/08/14 12:55:01 PM,%RH,60.516
05/08/14 01:15:01 PM,%RH,59.321
05/08/14 01:35:01 PM,%RH,74.355
05/08/14 01:55:01 PM,%RH,74.355
05/08/14 02:15:01 PM,%RH,72.113
05/08/14 02:35:01 PM,%RH,67.552
05/08/14 02:55:01 PM,%RH,72.113
05/08/14 03:15:01 PM,%RH,76.019
05/08/14 03:35:01 PM,%RH,77.121
05/08/14 03:55:01 PM,%RH,80.387
05/08/14 04:15:01 PM,%RH,82.532
05/08/14 04:35:01 PM,%RH,87.264
05/08/14 04:55:01 PM,%RH,88.298
05/08/14 05:15:01 PM,%RH,90.347
05/08/14 05:35:01 PM,%RH,92.369
05/08/14 05:55:01 PM,%RH,94.861
05/08/14 06:15:01 PM,%RH,96.825
05/08/14 06:35:01 PM,%RH,97.798
05/08/14 06:55:01 PM,%RH,98.282
05/08/14 07:15:01 PM,%RH,98.282
05/08/14 07:35:01 PM,%RH,96.825
05/08/14 07:55:01 PM,%RH,98.282
05/08/14 08:15:01 PM,%RH,98.764
05/08/14 08:35:01 PM,%RH,98.764
05/08/14 08:55:01 PM,%RH,99.245
05/08/14 09:15:01 PM,%RH,99.724
05/08/14 09:35:01 PM,%RH,98.282
05/08/14 09:55:01 PM,%RH,94.861
05/08/14 10:15:01 PM,%RH,95.846
05/08/14 10:35:01 PM,%RH,96.825
05/08/14 10:55:01 PM,%RH,96.337
05/08/14 11:15:01 PM,%RH,97.313
05/08/14 11:35:01 PM,%RH,97.798
05/08/14 11:55:01 PM,%RH,98.764
06/08/14 12:15:01 AM,%RH,97.798
06/08/14 12:35:01 AM,%RH,99.724
06/08/14 12:55:01 AM,%RH,99.245
06/08/14 01:15:01 AM,%RH,98.764
06/08/14 01:35:01 AM,%RH,99.245
06/08/14 01:55:01 AM,%RH,98.764
06/08/14 02:15:01 AM,%RH,100.677
06/08/14 02:35:01 AM,%RH,100.677
06/08/14 02:55:01 AM,%RH,100.201
06/08/14 03:15:01 AM,%RH,101.624
06/08/14 03:35:01 AM,%RH,102.095
06/08/14 03:55:01 AM,%RH,101.624
06/08/14 04:15:01 AM,%RH,101.624
06/08/14 04:35:01 AM,%RH,100.677
06/08/14 04:55:01 AM,%RH,100.677
06/08/14 05:15:01 AM,%RH,99.724
06/08/14 05:35:01 AM,%RH,100.677
06/08/14 05:55:01 AM,%RH,101.624
06/08/14 06:15:01 AM,%RH,100.201
06/08/14 06:35:01 AM,%RH,99.724
06/08/14 06:55:01 AM,%RH,100.201
06/08/14 07:15:01 AM,%RH,101.151
06/08/14 07:35:01 AM,%RH,100.677
06/08/14 07:55:01 AM,%RH,101.151
06/08/14 08:15:01 AM,%RH,101.624
06/08/14 08:35:01 AM,%RH,99.724
06/08/14 08:55:01 AM,%RH,101.151
06/08/14 09:15:01 AM,%RH,98.764
06/08/14 09:35:01 AM,%RH,96.825
06/08/14 09:55:01 AM,%RH,94.366
06/08/14 10:15:01 AM,%RH,89.837
06/08/14 10:35:01 AM,%RH,91.866
06/08/14 10:55:01 AM,%RH,79.305
06/08/14 11:15:01 AM,%RH,71.548
06/08/14 11:35:01 AM,%RH,57.516
06/08/14 11:55:01 AM,%RH,67.552
06/08/14 12:15:01 PM,%RH,74.911
06/08/14 12:35:01 PM,%RH,80.926
06/08/14 12:55:01 PM,%RH,86.224
06/08/14 01:15:01 PM,%RH,85.702
06/08/14 01:35:01 PM,%RH,75.466
06/08/14 01:55:01 PM,%RH,73.797
06/08/14 02:15:01 PM,%RH,82.532
06/08/14 02:35:01 PM,%RH,74.355
06/08/14 02:55:01 PM,%RH,76.019
06/08/14 03:15:01 PM,%RH,83.065
06/08/14 03:35:01 PM,%RH,81.463
06/08/14 03:55:01 PM,%RH,84.124
06/08/14 04:15:01 PM,%RH,86.224
06/08/14 04:35:01 PM,%RH,89.326
06/08/14 04:55:01 PM,%RH,91.866
06/08/14 05:15:01 PM,%RH,94.366
06/08/14 05:35:01 PM,%RH,94.861
06/08/14 05:55:01 PM,%RH,97.798
06/08/14 06:15:01 PM,%RH,98.764
06/08/14 06:35:01 PM,%RH,100.201
06/08/14 06:55:01 PM,%RH,100.201
06/08/14 07:15:01 PM,%RH,100.201
06/08/14 07:35:01 PM,%RH,102.095
06/08/14 07:55:01 PM,%RH,101.151
06/08/14 08:15:01 PM,%RH,101.151
06/08/14 08:35:01 PM,%RH,101.151
06/08/14 08:55:01 PM,%RH,102.095
06/08/14 09:15:01 PM,%RH,101.151
06/08/14 09:35:01 PM,%RH,100.201
06/08/14 09:55:01 PM,%RH,102.095
06/08/14 10:15:01 PM,%RH,101.151
06/08/14 10:35:01 PM,%RH,101.624
06/08/14 10:55:01 PM,%RH,101.624
06/08/14 11:15:01 PM,%RH,102.095
06/08/14 11:35:01 PM,%RH,102.564
06/08/14 11:55:01 PM,%RH,102.095
07/08/14 12:15:01 AM,%RH,102.564
07/08/14 12:35:01 AM,%RH,102.095
07/08/14 12:55:01 AM,%RH,102.095
07/08/14 01:15:01 AM,%RH,102.095
07/08/14 01:35:01 AM,%RH,101.624
07/08/14 01:55:01 AM,%RH,102.095
07/08/14 02:15:01 AM,%RH,101.624
07/08/14 02:35:01 AM,%RH,102.095
07/08/14 02:55:01 AM,%RH,102.564
07/08/14 03:15:01 AM,%RH,102.564
07/08/14 03:35:01 AM,%RH,103.032
07/08/14 03:55:01 AM,%RH,102.564
07/08/14 04:15:01 AM,%RH,101.624
07/08/14 04:35:01 AM,%RH,103.032
07/08/14 04:55:01 AM,%RH,102.564
07/08/14 05:15:01 AM,%RH,102.564
07/08/14 05:35:01 AM,%RH,103.032
07/08/14 05:55:01 AM,%RH,102.095
07/08/14 06:15:01 AM,%RH,102.095
07/08/14 06:35:01 AM,%RH,103.032
07/08/14 06:55:01 AM,%RH,101.624
07/08/14 07:15:01 AM,%RH,99.724
07/08/14 07:35:01 AM,%RH,97.313
07/08/14 07:55:01 AM,%RH,93.371
07/08/14 08:15:01 AM,%RH,86.745
07/08/14 08:35:01 AM,%RH,80.387
07/08/14 08:55:01 AM,%RH,79.847
07/08/14 09:15:01 AM,%RH,80.926
07/08/14 09:35:01 AM,%RH,77.121
07/08/14 09:55:01 AM,%RH,76.571
07/08/14 10:15:01 AM,%RH,73.237
07/08/14 10:35:01 AM,%RH,70.414
07/08/14 10:55:01 AM,%RH,66.395
07/08/14 11:15:01 AM,%RH,68.702
07/08/14 11:35:01 AM,%RH,53.248
07/08/14 11:55:01 AM,%RH,58.721
07/08/14 12:15:01 PM,%RH,64.063
07/08/14 12:35:01 PM,%RH,61.705
07/08/14 12:55:01 PM,%RH,59.919
07/08/14 01:15:01 PM,%RH,50.774
07/08/14 01:35:01 PM,%RH,56.304
07/08/14 01:55:01 PM,%RH,66.395
07/08/14 02:15:01 PM,%RH,59.919
07/08/14 02:35:01 PM,%RH,58.119
07/08/14 02:55:01 PM,%RH,71.548
07/08/14 03:15:01 PM,%RH,77.669
07/08/14 03:35:01 PM,%RH,78.761
07/08/14 03:55:01 PM,%RH,76.019
07/08/14 04:15:01 PM,%RH,76.571
07/08/14 04:35:01 PM,%RH,79.305
07/08/14 04:55:01 PM,%RH,84.124
07/08/14 05:15:01 PM,%RH,88.298
07/08/14 05:35:01 PM,%RH,91.361
07/08/14 05:55:01 PM,%RH,95.846
07/08/14 06:15:01 PM,%RH,96.337
07/08/14 06:35:01 PM,%RH,100.201
07/08/14 06:55:01 PM,%RH,99.724
07/08/14 07:15:01 PM,%RH,99.245
07/08/14 07:35:01 PM,%RH,99.245
07/08/14 07:55:01 PM,%RH,99.724
07/08/14 08:15:01 PM,%RH,98.282
07/08/14 08:35:01 PM,%RH,98.282
07/08/14 08:55:01 PM,%RH,98.764
07/08/14 09:15:01 PM,%RH,99.245
07/08/14 09:35:01 PM,%RH,98.764
07/08/14 09:55:01 PM,%RH,100.677
07/08/14 10:15:01 PM,%RH,100.201
07/08/14 10:35:01 PM,%RH,100.201
07/08/14 10:55:01 PM,%RH,100.201
07/08/14 11:15:01 PM,%RH,100.677
07/08/14 11:35:01 PM,%RH,100.677
07/08/14 11:55:01 PM,%RH,100.677
08/08/14 12:15:01 AM,%RH,101.151
08/08/14 12:35:01 AM,%RH,101.624
08/08/14 12:55:01 AM,%RH,100.677
08/08/14 01:15:01 AM,%RH,100.201
