1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 98000000337BE941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:48:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:28:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10735
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:28:01 AM,%RH,103.448
04/08/14 04:48:01 AM,%RH,103.448
04/08/14 05:08:01 AM,%RH,103.448
04/08/14 05:28:01 AM,%RH,103.934
04/08/14 05:48:01 AM,%RH,103.934
04/08/14 06:08:01 AM,%RH,102.961
04/08/14 06:28:01 AM,%RH,102.473
04/08/14 06:48:01 AM,%RH,102.961
04/08/14 07:08:01 AM,%RH,102.961
04/08/14 07:28:01 AM,%RH,101.983
04/08/14 07:48:01 AM,%RH,102.473
04/08/14 08:08:01 AM,%RH,101.492
04/08/14 08:28:01 AM,%RH,97.008
04/08/14 08:48:01 AM,%RH,94.978
04/08/14 09:08:01 AM,%RH,91.374
04/08/14 09:28:01 AM,%RH,83.419
04/08/14 09:48:01 AM,%RH,67.149
04/08/14 10:08:01 AM,%RH,61.86
04/08/14 10:28:01 AM,%RH,58.272
04/08/14 10:48:01 AM,%RH,58.874
04/08/14 11:08:01 AM,%RH,63.045
04/08/14 11:28:01 AM,%RH,70.038
04/08/14 11:48:01 AM,%RH,63.636
04/08/14 12:08:01 PM,%RH,65.398
04/08/14 12:28:01 PM,%RH,64.225
04/08/14 12:48:01 PM,%RH,56.459
04/08/14 01:08:01 PM,%RH,60.073
04/08/14 01:28:01 PM,%RH,51.563
04/08/14 01:48:01 PM,%RH,55.244
04/08/14 02:08:01 PM,%RH,58.874
