1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6F000000337D4841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:18:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:18:01 CST 2014
Total Mission Samples:  3871
Total Device Samples:  10734
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:18:01 PM,%RH,100.712
04/08/14 08:38:01 PM,%RH,101.66
04/08/14 08:58:01 PM,%RH,100.712
04/08/14 09:18:01 PM,%RH,100.712
04/08/14 09:38:01 PM,%RH,100.236
04/08/14 09:58:01 PM,%RH,100.712
04/08/14 10:18:01 PM,%RH,101.66
04/08/14 10:38:01 PM,%RH,100.712
04/08/14 10:58:01 PM,%RH,101.187
04/08/14 11:18:01 PM,%RH,101.187
04/08/14 11:38:01 PM,%RH,101.187
04/08/14 11:58:01 PM,%RH,100.712
05/08/14 12:18:01 AM,%RH,101.187
05/08/14 12:38:01 AM,%RH,100.236
05/08/14 12:58:01 AM,%RH,100.712
05/08/14 01:18:01 AM,%RH,101.66
05/08/14 01:38:01 AM,%RH,101.187
05/08/14 01:58:01 AM,%RH,101.66
05/08/14 02:18:01 AM,%RH,101.187
05/08/14 02:38:01 AM,%RH,102.132
05/08/14 02:58:01 AM,%RH,101.66
05/08/14 03:18:01 AM,%RH,100.236
05/08/14 03:38:01 AM,%RH,101.187
05/08/14 03:58:01 AM,%RH,101.66
05/08/14 04:18:01 AM,%RH,101.66
05/08/14 04:38:01 AM,%RH,101.187
05/08/14 04:58:01 AM,%RH,101.187
05/08/14 05:18:01 AM,%RH,101.66
05/08/14 05:38:01 AM,%RH,102.132
05/08/14 05:58:01 AM,%RH,102.132
05/08/14 06:18:01 AM,%RH,99.279
05/08/14 06:38:01 AM,%RH,99.758
05/08/14 06:58:01 AM,%RH,99.279
05/08/14 07:18:01 AM,%RH,98.315
05/08/14 07:38:01 AM,%RH,92.401
05/08/14 07:58:01 AM,%RH,91.898
05/08/14 08:18:01 AM,%RH,82.043
05/08/14 08:38:01 AM,%RH,79.356
05/08/14 08:58:01 AM,%RH,75.527
05/08/14 09:18:01 AM,%RH,74.974
05/08/14 09:38:01 AM,%RH,77.724
05/08/14 09:58:01 AM,%RH,64.75
05/08/14 10:18:01 AM,%RH,66.489
05/08/14 10:38:01 AM,%RH,69.925
05/08/14 10:58:01 AM,%RH,71.623
05/08/14 11:18:01 AM,%RH,72.185
