1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F3000000337D1E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:51:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:11:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10781
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:11:01 PM,%RH,102.367
04/08/14 08:31:01 PM,%RH,101.876
04/08/14 08:51:01 PM,%RH,102.857
04/08/14 09:11:01 PM,%RH,102.367
04/08/14 09:31:01 PM,%RH,102.857
04/08/14 09:51:01 PM,%RH,102.367
04/08/14 10:11:01 PM,%RH,101.384
04/08/14 10:31:01 PM,%RH,102.367
04/08/14 10:51:01 PM,%RH,102.857
04/08/14 11:11:01 PM,%RH,102.367
04/08/14 11:31:01 PM,%RH,101.876
04/08/14 11:51:01 PM,%RH,101.876
05/08/14 12:11:01 AM,%RH,102.367
05/08/14 12:31:01 AM,%RH,102.367
05/08/14 12:51:01 AM,%RH,102.367
05/08/14 01:11:01 AM,%RH,102.367
05/08/14 01:31:01 AM,%RH,102.367
05/08/14 01:51:01 AM,%RH,101.876
05/08/14 02:11:01 AM,%RH,100.396
05/08/14 02:31:01 AM,%RH,99.402
05/08/14 02:51:01 AM,%RH,97.399
05/08/14 03:11:01 AM,%RH,98.403
05/08/14 03:31:01 AM,%RH,97.902
05/08/14 03:51:01 AM,%RH,97.399
05/08/14 04:11:01 AM,%RH,97.902
05/08/14 04:31:01 AM,%RH,96.895
05/08/14 04:51:01 AM,%RH,97.399
05/08/14 05:11:01 AM,%RH,96.389
05/08/14 05:31:01 AM,%RH,96.389
05/08/14 05:51:01 AM,%RH,96.895
05/08/14 06:11:01 AM,%RH,78.396
05/08/14 06:31:01 AM,%RH,71.673
05/08/14 06:51:01 AM,%RH,64.171
05/08/14 07:11:01 AM,%RH,61.817
05/08/14 07:31:01 AM,%RH,58.245
05/08/14 07:51:01 AM,%RH,57.645
05/08/14 08:11:01 AM,%RH,58.245
05/08/14 08:31:01 AM,%RH,52.796
05/08/14 08:51:01 AM,%RH,50.339
05/08/14 09:11:01 AM,%RH,52.796
05/08/14 09:31:01 AM,%RH,61.225
05/08/14 09:51:01 AM,%RH,57.044
05/08/14 10:11:01 AM,%RH,50.339
05/08/14 10:31:01 AM,%RH,58.844
05/08/14 10:51:01 AM,%RH,58.844
05/08/14 11:11:01 AM,%RH,63.585
05/08/14 11:31:01 AM,%RH,61.225
05/08/14 11:51:01 AM,%RH,51.57
05/08/14 12:11:01 PM,%RH,64.171
05/08/14 12:31:01 PM,%RH,71.673
05/08/14 12:51:01 PM,%RH,57.645
05/08/14 01:11:01 PM,%RH,58.844
05/08/14 01:31:01 PM,%RH,75.059
05/08/14 01:51:01 PM,%RH,76.177
05/08/14 02:11:01 PM,%RH,67.662
05/08/14 02:31:01 PM,%RH,69.389
05/08/14 02:51:01 PM,%RH,64.171
05/08/14 03:11:01 PM,%RH,65.34
05/08/14 03:31:01 PM,%RH,69.389
05/08/14 03:51:01 PM,%RH,73.936
05/08/14 04:11:01 PM,%RH,83.311
05/08/14 04:31:01 PM,%RH,85.994
05/08/14 04:51:01 PM,%RH,87.588
05/08/14 05:11:01 PM,%RH,89.694
05/08/14 05:31:01 PM,%RH,92.296
05/08/14 05:51:01 PM,%RH,93.841
05/08/14 06:11:01 PM,%RH,97.399
05/08/14 06:31:01 PM,%RH,97.902
05/08/14 06:51:01 PM,%RH,96.895
05/08/14 07:11:01 PM,%RH,94.864
05/08/14 07:31:01 PM,%RH,93.327
05/08/14 07:51:01 PM,%RH,90.217
05/08/14 08:11:01 PM,%RH,91.259
05/08/14 08:31:01 PM,%RH,87.058
05/08/14 08:51:01 PM,%RH,87.588
05/08/14 09:11:01 PM,%RH,88.116
05/08/14 09:31:01 PM,%RH,90.739
05/08/14 09:51:01 PM,%RH,71.673
05/08/14 10:11:01 PM,%RH,76.177
05/08/14 10:31:01 PM,%RH,73.372
05/08/14 10:51:01 PM,%RH,68.239
05/08/14 11:11:01 PM,%RH,68.815
05/08/14 11:31:01 PM,%RH,71.673
05/08/14 11:51:01 PM,%RH,72.241
06/08/14 12:11:01 AM,%RH,77.844
06/08/14 12:31:01 AM,%RH,78.396
06/08/14 12:51:01 AM,%RH,79.498
06/08/14 01:11:01 AM,%RH,81.685
06/08/14 01:31:01 AM,%RH,82.228
06/08/14 01:51:01 AM,%RH,85.46
06/08/14 02:11:01 AM,%RH,88.643
06/08/14 02:31:01 AM,%RH,90.739
06/08/14 02:51:01 AM,%RH,91.259
06/08/14 03:11:01 AM,%RH,90.217
06/08/14 03:31:01 AM,%RH,89.169
06/08/14 03:51:01 AM,%RH,90.739
06/08/14 04:11:01 AM,%RH,89.694
06/08/14 04:31:01 AM,%RH,89.169
06/08/14 04:51:01 AM,%RH,91.259
06/08/14 05:11:01 AM,%RH,90.739
06/08/14 05:31:01 AM,%RH,91.259
06/08/14 05:51:01 AM,%RH,91.778
06/08/14 06:11:01 AM,%RH,93.841
06/08/14 06:31:01 AM,%RH,96.389
06/08/14 06:51:01 AM,%RH,97.902
06/08/14 07:11:01 AM,%RH,99.402
06/08/14 07:31:01 AM,%RH,100.396
06/08/14 07:51:01 AM,%RH,100.891
06/08/14 08:11:01 AM,%RH,101.384
06/08/14 08:31:01 AM,%RH,100.396
06/08/14 08:51:01 AM,%RH,100.396
06/08/14 09:11:01 AM,%RH,98.904
06/08/14 09:31:01 AM,%RH,96.389
06/08/14 09:51:01 AM,%RH,94.353
06/08/14 10:11:01 AM,%RH,84.388
06/08/14 10:31:01 AM,%RH,64.171
06/08/14 10:51:01 AM,%RH,54.624
06/08/14 11:11:01 AM,%RH,56.441
06/08/14 11:31:01 AM,%RH,48.482
06/08/14 11:51:01 AM,%RH,62.407
06/08/14 12:11:01 PM,%RH,62.997
06/08/14 12:31:01 PM,%RH,68.815
06/08/14 12:51:01 PM,%RH,81.685
06/08/14 01:11:01 PM,%RH,82.228
06/08/14 01:31:01 PM,%RH,74.498
06/08/14 01:51:01 PM,%RH,67.662
06/08/14 02:11:01 PM,%RH,77.289
06/08/14 02:31:01 PM,%RH,78.396
06/08/14 02:51:01 PM,%RH,78.948
06/08/14 03:11:01 PM,%RH,77.844
06/08/14 03:31:01 PM,%RH,78.396
06/08/14 03:51:01 PM,%RH,80.047
06/08/14 04:11:01 PM,%RH,80.047
06/08/14 04:31:01 PM,%RH,88.116
06/08/14 04:51:01 PM,%RH,91.778
06/08/14 05:11:01 PM,%RH,92.812
06/08/14 05:31:01 PM,%RH,94.353
06/08/14 05:51:01 PM,%RH,96.895
06/08/14 06:11:01 PM,%RH,99.402
06/08/14 06:31:01 PM,%RH,99.402
06/08/14 06:51:01 PM,%RH,99.9
06/08/14 07:11:01 PM,%RH,99.402
06/08/14 07:31:01 PM,%RH,100.396
06/08/14 07:51:01 PM,%RH,100.396
06/08/14 08:11:01 PM,%RH,99.9
06/08/14 08:31:01 PM,%RH,97.399
06/08/14 08:51:01 PM,%RH,95.882
06/08/14 09:11:01 PM,%RH,96.895
06/08/14 09:31:01 PM,%RH,96.895
06/08/14 09:51:01 PM,%RH,97.902
06/08/14 10:11:01 PM,%RH,97.399
06/08/14 10:31:01 PM,%RH,98.403
06/08/14 10:51:01 PM,%RH,99.402
06/08/14 11:11:01 PM,%RH,99.402
06/08/14 11:31:01 PM,%RH,96.895
06/08/14 11:51:01 PM,%RH,97.399
07/08/14 12:11:01 AM,%RH,97.902
07/08/14 12:31:01 AM,%RH,96.895
07/08/14 12:51:01 AM,%RH,98.403
07/08/14 01:11:01 AM,%RH,98.403
07/08/14 01:31:01 AM,%RH,98.904
07/08/14 01:51:01 AM,%RH,98.904
07/08/14 02:11:01 AM,%RH,99.402
07/08/14 02:31:01 AM,%RH,96.389
07/08/14 02:51:01 AM,%RH,96.389
07/08/14 03:11:01 AM,%RH,97.399
07/08/14 03:31:01 AM,%RH,97.399
07/08/14 03:51:01 AM,%RH,99.9
07/08/14 04:11:01 AM,%RH,99.9
07/08/14 04:31:01 AM,%RH,95.882
07/08/14 04:51:01 AM,%RH,89.694
07/08/14 05:11:01 AM,%RH,92.812
