1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 44000000337DBB41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:17:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:37:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10745
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:37:01 PM,%RH,102.283
04/08/14 08:57:01 PM,%RH,102.766
04/08/14 09:17:01 PM,%RH,103.248
04/08/14 09:37:01 PM,%RH,102.766
04/08/14 09:57:01 PM,%RH,102.766
04/08/14 10:17:01 PM,%RH,102.766
04/08/14 10:37:01 PM,%RH,103.248
04/08/14 10:57:01 PM,%RH,102.766
04/08/14 11:17:01 PM,%RH,102.283
04/08/14 11:37:01 PM,%RH,103.248
04/08/14 11:57:01 PM,%RH,103.729
05/08/14 12:17:01 AM,%RH,102.766
05/08/14 12:37:01 AM,%RH,103.248
05/08/14 12:57:01 AM,%RH,102.766
05/08/14 01:17:01 AM,%RH,102.283
05/08/14 01:37:01 AM,%RH,102.766
05/08/14 01:57:01 AM,%RH,104.685
05/08/14 02:17:01 AM,%RH,103.248
05/08/14 02:37:01 AM,%RH,103.729
05/08/14 02:57:01 AM,%RH,103.248
05/08/14 03:17:01 AM,%RH,103.248
05/08/14 03:37:01 AM,%RH,102.766
05/08/14 03:57:01 AM,%RH,102.766
05/08/14 04:17:01 AM,%RH,103.729
05/08/14 04:37:01 AM,%RH,103.729
05/08/14 04:57:01 AM,%RH,103.729
05/08/14 05:17:01 AM,%RH,103.729
05/08/14 05:37:01 AM,%RH,103.729
05/08/14 05:57:01 AM,%RH,103.729
05/08/14 06:17:01 AM,%RH,103.248
05/08/14 06:37:01 AM,%RH,101.798
05/08/14 06:57:01 AM,%RH,103.729
05/08/14 07:17:01 AM,%RH,102.283
05/08/14 07:37:01 AM,%RH,102.766
05/08/14 07:57:01 AM,%RH,102.283
05/08/14 08:17:01 AM,%RH,101.798
05/08/14 08:37:01 AM,%RH,101.312
05/08/14 08:57:01 AM,%RH,101.312
05/08/14 09:17:01 AM,%RH,100.336
05/08/14 09:37:01 AM,%RH,96.371
05/08/14 09:57:01 AM,%RH,95.366
05/08/14 10:17:01 AM,%RH,83.925
05/08/14 10:37:01 AM,%RH,81.227
05/08/14 10:57:01 AM,%RH,80.138
05/08/14 11:17:01 AM,%RH,80.138
05/08/14 11:37:01 AM,%RH,74.045
05/08/14 11:57:01 AM,%RH,73.482
05/08/14 12:17:01 PM,%RH,71.785
05/08/14 12:37:01 PM,%RH,65.454
05/08/14 12:57:01 PM,%RH,54.717
05/08/14 01:17:01 PM,%RH,55.933
05/08/14 01:37:01 PM,%RH,75.165
05/08/14 01:57:01 PM,%RH,72.918
05/08/14 02:17:01 PM,%RH,67.198
05/08/14 02:37:01 PM,%RH,63.697
05/08/14 02:57:01 PM,%RH,61.334
05/08/14 03:17:01 PM,%RH,67.776
05/08/14 03:37:01 PM,%RH,73.482
05/08/14 03:57:01 PM,%RH,77.942
05/08/14 04:17:01 PM,%RH,82.85
05/08/14 04:37:01 PM,%RH,85.526
05/08/14 04:57:01 PM,%RH,89.733
05/08/14 05:17:01 PM,%RH,93.847
05/08/14 05:37:01 PM,%RH,95.366
05/08/14 05:57:01 PM,%RH,96.872
05/08/14 06:17:01 PM,%RH,98.86
05/08/14 06:37:01 PM,%RH,99.845
05/08/14 06:57:01 PM,%RH,100.336
05/08/14 07:17:01 PM,%RH,99.845
05/08/14 07:37:01 PM,%RH,97.869
05/08/14 07:57:01 PM,%RH,99.845
05/08/14 08:17:01 PM,%RH,100.825
05/08/14 08:37:01 PM,%RH,100.825
05/08/14 08:57:01 PM,%RH,100.825
05/08/14 09:17:01 PM,%RH,100.825
05/08/14 09:37:01 PM,%RH,100.825
05/08/14 09:57:01 PM,%RH,101.312
05/08/14 10:17:01 PM,%RH,100.825
05/08/14 10:37:01 PM,%RH,101.798
05/08/14 10:57:01 PM,%RH,100.825
05/08/14 11:17:01 PM,%RH,100.336
05/08/14 11:37:01 PM,%RH,101.312
05/08/14 11:57:01 PM,%RH,101.312
06/08/14 12:17:01 AM,%RH,101.798
06/08/14 12:37:01 AM,%RH,102.283
06/08/14 12:57:01 AM,%RH,102.283
06/08/14 01:17:01 AM,%RH,101.798
06/08/14 01:37:01 AM,%RH,102.283
06/08/14 01:57:01 AM,%RH,102.283
06/08/14 02:17:01 AM,%RH,102.283
06/08/14 02:37:01 AM,%RH,102.766
06/08/14 02:57:01 AM,%RH,102.283
06/08/14 03:17:01 AM,%RH,102.766
06/08/14 03:37:01 AM,%RH,102.283
06/08/14 03:57:01 AM,%RH,102.766
06/08/14 04:17:01 AM,%RH,102.766
06/08/14 04:37:01 AM,%RH,102.766
06/08/14 04:57:01 AM,%RH,103.248
06/08/14 05:17:01 AM,%RH,101.312
06/08/14 05:37:01 AM,%RH,102.283
06/08/14 05:57:01 AM,%RH,102.283
06/08/14 06:17:01 AM,%RH,102.283
06/08/14 06:37:01 AM,%RH,101.798
06/08/14 06:57:01 AM,%RH,102.766
06/08/14 07:17:01 AM,%RH,102.766
06/08/14 07:37:01 AM,%RH,102.283
06/08/14 07:57:01 AM,%RH,101.312
06/08/14 08:17:01 AM,%RH,102.283
06/08/14 08:37:01 AM,%RH,102.283
06/08/14 08:57:01 AM,%RH,101.798
06/08/14 09:17:01 AM,%RH,100.336
06/08/14 09:37:01 AM,%RH,98.365
06/08/14 09:57:01 AM,%RH,96.872
06/08/14 10:17:01 AM,%RH,96.371
06/08/14 10:37:01 AM,%RH,95.366
06/08/14 10:57:01 AM,%RH,93.847
06/08/14 11:17:01 AM,%RH,82.311
06/08/14 11:37:01 AM,%RH,74.045
06/08/14 11:57:01 AM,%RH,77.39
06/08/14 12:17:01 PM,%RH,80.683
06/08/14 12:37:01 PM,%RH,85.526
06/08/14 12:57:01 PM,%RH,89.212
06/08/14 01:17:01 PM,%RH,85.526
06/08/14 01:37:01 PM,%RH,71.217
06/08/14 01:57:01 PM,%RH,72.352
06/08/14 02:17:01 PM,%RH,83.388
06/08/14 02:37:01 PM,%RH,73.482
06/08/14 02:57:01 PM,%RH,75.724
06/08/14 03:17:01 PM,%RH,81.77
06/08/14 03:37:01 PM,%RH,81.77
06/08/14 03:57:01 PM,%RH,80.683
06/08/14 04:17:01 PM,%RH,87.114
06/08/14 04:37:01 PM,%RH,90.77
06/08/14 04:57:01 PM,%RH,92.827
06/08/14 05:17:01 PM,%RH,95.869
06/08/14 05:37:01 PM,%RH,97.371
06/08/14 05:57:01 PM,%RH,98.86
06/08/14 06:17:01 PM,%RH,99.845
06/08/14 06:37:01 PM,%RH,100.825
06/08/14 06:57:01 PM,%RH,100.336
06/08/14 07:17:01 PM,%RH,101.312
06/08/14 07:37:01 PM,%RH,100.336
06/08/14 07:57:01 PM,%RH,101.312
06/08/14 08:17:01 PM,%RH,101.798
06/08/14 08:37:01 PM,%RH,101.312
06/08/14 08:57:01 PM,%RH,101.312
06/08/14 09:17:01 PM,%RH,101.312
06/08/14 09:37:01 PM,%RH,101.312
06/08/14 09:57:01 PM,%RH,101.312
06/08/14 10:17:01 PM,%RH,101.798
06/08/14 10:37:01 PM,%RH,101.798
06/08/14 10:57:01 PM,%RH,101.798
06/08/14 11:17:01 PM,%RH,102.283
06/08/14 11:37:01 PM,%RH,102.283
06/08/14 11:57:01 PM,%RH,102.766
07/08/14 12:17:01 AM,%RH,102.283
07/08/14 12:37:01 AM,%RH,102.766
07/08/14 12:57:01 AM,%RH,103.729
07/08/14 01:17:01 AM,%RH,103.248
07/08/14 01:37:01 AM,%RH,102.766
07/08/14 01:57:01 AM,%RH,102.766
07/08/14 02:17:01 AM,%RH,103.248
07/08/14 02:37:01 AM,%RH,102.766
07/08/14 02:57:01 AM,%RH,103.729
07/08/14 03:17:01 AM,%RH,103.729
07/08/14 03:37:01 AM,%RH,102.766
07/08/14 03:57:01 AM,%RH,103.729
07/08/14 04:17:01 AM,%RH,103.248
07/08/14 04:37:01 AM,%RH,103.248
07/08/14 04:57:01 AM,%RH,103.248
07/08/14 05:17:01 AM,%RH,103.729
07/08/14 05:37:01 AM,%RH,103.248
07/08/14 05:57:01 AM,%RH,103.248
07/08/14 06:17:01 AM,%RH,102.766
07/08/14 06:37:01 AM,%RH,103.248
07/08/14 06:57:01 AM,%RH,102.766
07/08/14 07:17:01 AM,%RH,101.798
07/08/14 07:37:01 AM,%RH,101.798
07/08/14 07:57:01 AM,%RH,97.869
07/08/14 08:17:01 AM,%RH,87.641
07/08/14 08:37:01 AM,%RH,80.138
07/08/14 08:57:01 AM,%RH,83.388
07/08/14 09:17:01 AM,%RH,82.311
07/08/14 09:37:01 AM,%RH,82.85
