1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 19000000337EB541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:23:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:23:01 CST 2014
Total Mission Samples:  3823
Total Device Samples:  10810
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:23:01 AM,%RH,102.976
04/08/14 04:43:01 AM,%RH,102.49
04/08/14 05:03:01 AM,%RH,103.943
04/08/14 05:23:01 AM,%RH,102.976
04/08/14 05:43:01 AM,%RH,103.46
04/08/14 06:03:01 AM,%RH,102.976
04/08/14 06:23:01 AM,%RH,101.025
04/08/14 06:43:01 AM,%RH,98.056
04/08/14 07:03:01 AM,%RH,75.312
04/08/14 07:23:01 AM,%RH,67.928
04/08/14 07:43:01 AM,%RH,66.771
04/08/14 08:03:01 AM,%RH,63.267
04/08/14 08:23:01 AM,%RH,61.496
04/08/14 08:43:01 AM,%RH,56.711
04/08/14 09:03:01 AM,%RH,56.711
04/08/14 09:23:01 AM,%RH,52.452
04/08/14 09:43:01 AM,%RH,59.712
04/08/14 10:03:01 AM,%RH,60.902
04/08/14 10:23:01 AM,%RH,61.496
04/08/14 10:43:01 AM,%RH,59.712
04/08/14 11:03:01 AM,%RH,63.854
04/08/14 11:23:01 AM,%RH,67.928
04/08/14 11:43:01 AM,%RH,67.928
04/08/14 12:03:01 PM,%RH,65.608
04/08/14 12:23:01 PM,%RH,70.796
04/08/14 12:43:01 PM,%RH,71.365
04/08/14 01:03:01 PM,%RH,66.771
04/08/14 01:23:01 PM,%RH,66.19
04/08/14 01:43:01 PM,%RH,67.928
04/08/14 02:03:01 PM,%RH,71.365
04/08/14 02:23:01 PM,%RH,68.504
04/08/14 02:43:01 PM,%RH,69.079
04/08/14 03:03:01 PM,%RH,74.192
04/08/14 03:23:01 PM,%RH,83.539
04/08/14 03:43:01 PM,%RH,92.484
04/08/14 04:03:01 PM,%RH,97.557
04/08/14 04:23:01 PM,%RH,99.547
04/08/14 04:43:01 PM,%RH,99.547
04/08/14 05:03:01 PM,%RH,99.547
04/08/14 05:23:01 PM,%RH,100.533
04/08/14 05:43:01 PM,%RH,101.025
04/08/14 06:03:01 PM,%RH,100.533
04/08/14 06:23:01 PM,%RH,101.515
04/08/14 06:43:01 PM,%RH,101.515
04/08/14 07:03:01 PM,%RH,102.003
04/08/14 07:23:01 PM,%RH,102.003
04/08/14 07:43:01 PM,%RH,101.515
04/08/14 08:03:01 PM,%RH,101.515
04/08/14 08:23:01 PM,%RH,102.003
04/08/14 08:43:01 PM,%RH,102.003
04/08/14 09:03:01 PM,%RH,102.49
04/08/14 09:23:01 PM,%RH,102.003
04/08/14 09:43:01 PM,%RH,102.49
04/08/14 10:03:01 PM,%RH,102.003
04/08/14 10:23:01 PM,%RH,102.49
04/08/14 10:43:01 PM,%RH,103.943
04/08/14 11:03:01 PM,%RH,102.49
04/08/14 11:23:01 PM,%RH,102.976
04/08/14 11:43:01 PM,%RH,101.515
05/08/14 12:03:01 AM,%RH,102.49
05/08/14 12:23:01 AM,%RH,102.976
05/08/14 12:43:01 AM,%RH,102.003
05/08/14 01:03:01 AM,%RH,102.49
05/08/14 01:23:01 AM,%RH,102.976
05/08/14 01:43:01 AM,%RH,102.976
05/08/14 02:03:01 AM,%RH,102.49
05/08/14 02:23:01 AM,%RH,102.49
05/08/14 02:43:01 AM,%RH,102.49
05/08/14 03:03:01 AM,%RH,103.46
05/08/14 03:23:01 AM,%RH,103.46
05/08/14 03:43:01 AM,%RH,102.976
05/08/14 04:03:01 AM,%RH,102.49
05/08/14 04:23:01 AM,%RH,103.46
05/08/14 04:43:01 AM,%RH,102.976
05/08/14 05:03:01 AM,%RH,102.976
05/08/14 05:23:01 AM,%RH,102.976
05/08/14 05:43:01 AM,%RH,103.46
05/08/14 06:03:01 AM,%RH,102.003
05/08/14 06:23:01 AM,%RH,101.025
05/08/14 06:43:01 AM,%RH,100.533
05/08/14 07:03:01 AM,%RH,97.056
05/08/14 07:23:01 AM,%RH,76.427
05/08/14 07:43:01 AM,%RH,66.771
05/08/14 08:03:01 AM,%RH,61.496
05/08/14 08:23:01 AM,%RH,65.025
05/08/14 08:43:01 AM,%RH,60.308
05/08/14 09:03:01 AM,%RH,59.712
05/08/14 09:23:01 AM,%RH,63.854
05/08/14 09:43:01 AM,%RH,63.854
05/08/14 10:03:01 AM,%RH,53.676
05/08/14 10:23:01 AM,%RH,60.308
05/08/14 10:43:01 AM,%RH,64.44
05/08/14 11:03:01 AM,%RH,68.504
05/08/14 11:23:01 AM,%RH,68.504
05/08/14 11:43:01 AM,%RH,57.314
05/08/14 12:03:01 PM,%RH,62.087
05/08/14 12:23:01 PM,%RH,75.312
05/08/14 12:43:01 PM,%RH,72.5
05/08/14 01:03:01 PM,%RH,65.608
05/08/14 01:23:01 PM,%RH,70.796
05/08/14 01:43:01 PM,%RH,80.832
05/08/14 02:03:01 PM,%RH,79.191
05/08/14 02:23:01 PM,%RH,76.983
05/08/14 02:43:01 PM,%RH,72.5
05/08/14 03:03:01 PM,%RH,72.5
05/08/14 03:23:01 PM,%RH,72.5
05/08/14 03:43:01 PM,%RH,75.87
05/08/14 04:03:01 PM,%RH,84.613
05/08/14 04:23:01 PM,%RH,87.799
05/08/14 04:43:01 PM,%RH,89.373
05/08/14 05:03:01 PM,%RH,89.895
05/08/14 05:23:01 PM,%RH,94.02
05/08/14 05:43:01 PM,%RH,94.02
05/08/14 06:03:01 PM,%RH,95.544
05/08/14 06:23:01 PM,%RH,97.056
05/08/14 06:43:01 PM,%RH,96.049
05/08/14 07:03:01 PM,%RH,96.553
05/08/14 07:23:01 PM,%RH,94.53
05/08/14 07:43:01 PM,%RH,94.02
05/08/14 08:03:01 PM,%RH,94.53
05/08/14 08:23:01 PM,%RH,94.53
05/08/14 08:43:01 PM,%RH,90.935
05/08/14 09:03:01 PM,%RH,91.452
05/08/14 09:23:01 PM,%RH,92.997
05/08/14 09:43:01 PM,%RH,81.376
05/08/14 10:03:01 PM,%RH,79.191
05/08/14 10:23:01 PM,%RH,81.376
05/08/14 10:43:01 PM,%RH,80.832
05/08/14 11:03:01 PM,%RH,71.933
05/08/14 11:23:01 PM,%RH,75.312
05/08/14 11:43:01 PM,%RH,78.641
06/08/14 12:03:01 AM,%RH,82.461
06/08/14 12:23:01 AM,%RH,84.613
06/08/14 12:43:01 AM,%RH,82.461
06/08/14 01:03:01 AM,%RH,84.613
06/08/14 01:23:01 AM,%RH,89.373
06/08/14 01:43:01 AM,%RH,89.895
06/08/14 02:03:01 AM,%RH,91.452
06/08/14 02:23:01 AM,%RH,95.038
06/08/14 02:43:01 AM,%RH,95.038
06/08/14 03:03:01 AM,%RH,94.53
06/08/14 03:23:01 AM,%RH,91.969
