1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A1000000337EEC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:00:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:40:01 CST 2014
Total Mission Samples:  3870
Total Device Samples:  10873
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:40:01 PM,%RH,100.479
04/08/14 08:00:01 PM,%RH,101.421
04/08/14 08:20:01 PM,%RH,100.479
04/08/14 08:40:01 PM,%RH,100.951
04/08/14 09:00:01 PM,%RH,100.951
04/08/14 09:20:01 PM,%RH,101.421
04/08/14 09:40:01 PM,%RH,100.479
04/08/14 10:00:01 PM,%RH,101.89
04/08/14 10:20:01 PM,%RH,101.421
04/08/14 10:40:01 PM,%RH,101.89
04/08/14 11:00:01 PM,%RH,101.421
04/08/14 11:20:01 PM,%RH,101.89
04/08/14 11:40:01 PM,%RH,101.421
05/08/14 12:00:01 AM,%RH,101.89
05/08/14 12:20:01 AM,%RH,102.357
05/08/14 12:40:01 AM,%RH,102.357
05/08/14 01:00:01 AM,%RH,101.89
05/08/14 01:20:01 AM,%RH,102.357
05/08/14 01:40:01 AM,%RH,101.89
05/08/14 02:00:01 AM,%RH,101.89
05/08/14 02:20:01 AM,%RH,102.357
05/08/14 02:40:01 AM,%RH,102.357
05/08/14 03:00:01 AM,%RH,101.89
05/08/14 03:20:01 AM,%RH,102.357
05/08/14 03:40:01 AM,%RH,102.357
05/08/14 04:00:01 AM,%RH,102.357
05/08/14 04:20:01 AM,%RH,101.89
05/08/14 04:40:01 AM,%RH,102.357
05/08/14 05:00:01 AM,%RH,102.357
05/08/14 05:20:01 AM,%RH,102.357
05/08/14 05:40:01 AM,%RH,101.89
05/08/14 06:00:01 AM,%RH,101.89
05/08/14 06:20:01 AM,%RH,101.89
05/08/14 06:40:01 AM,%RH,100.951
05/08/14 07:00:01 AM,%RH,100.005
05/08/14 07:20:01 AM,%RH,100.005
05/08/14 07:40:01 AM,%RH,99.53
05/08/14 08:00:01 AM,%RH,96.157
05/08/14 08:20:01 AM,%RH,92.202
05/08/14 08:40:01 AM,%RH,88.654
05/08/14 09:00:01 AM,%RH,85.025
05/08/14 09:20:01 AM,%RH,71.4
05/08/14 09:40:01 AM,%RH,67.399
05/08/14 10:00:01 AM,%RH,57.948
05/08/14 10:20:01 AM,%RH,65.076
05/08/14 10:40:01 AM,%RH,65.076
05/08/14 11:00:01 AM,%RH,69.695
05/08/14 11:20:01 AM,%RH,71.964
05/08/14 11:40:01 AM,%RH,66.24
05/08/14 12:00:01 PM,%RH,67.975
05/08/14 12:20:01 PM,%RH,74.764
