1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 29000000337F1D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:20:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:40:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10763
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:40:01 PM,%RH,102.222
04/08/14 09:00:01 PM,%RH,102.704
04/08/14 09:20:01 PM,%RH,102.222
04/08/14 09:40:01 PM,%RH,102.222
04/08/14 10:00:01 PM,%RH,102.222
04/08/14 10:20:01 PM,%RH,102.704
04/08/14 10:40:01 PM,%RH,102.704
04/08/14 11:00:01 PM,%RH,102.222
04/08/14 11:20:01 PM,%RH,102.222
04/08/14 11:40:01 PM,%RH,103.184
05/08/14 12:00:01 AM,%RH,102.222
05/08/14 12:20:01 AM,%RH,102.704
05/08/14 12:40:01 AM,%RH,102.222
05/08/14 01:00:01 AM,%RH,102.704
05/08/14 01:20:01 AM,%RH,102.704
05/08/14 01:40:01 AM,%RH,102.704
05/08/14 02:00:01 AM,%RH,101.739
05/08/14 02:20:01 AM,%RH,102.704
05/08/14 02:40:01 AM,%RH,103.184
05/08/14 03:00:01 AM,%RH,103.184
05/08/14 03:20:01 AM,%RH,102.222
05/08/14 03:40:01 AM,%RH,103.184
05/08/14 04:00:01 AM,%RH,103.184
05/08/14 04:20:01 AM,%RH,102.704
05/08/14 04:40:01 AM,%RH,103.184
05/08/14 05:00:01 AM,%RH,102.704
05/08/14 05:20:01 AM,%RH,103.184
05/08/14 05:40:01 AM,%RH,102.704
05/08/14 06:00:01 AM,%RH,102.704
05/08/14 06:20:01 AM,%RH,101.739
05/08/14 06:40:01 AM,%RH,102.222
05/08/14 07:00:01 AM,%RH,102.222
05/08/14 07:20:01 AM,%RH,100.282
05/08/14 07:40:01 AM,%RH,99.304
05/08/14 08:00:01 AM,%RH,97.33
05/08/14 08:20:01 AM,%RH,96.833
05/08/14 08:40:01 AM,%RH,95.333
05/08/14 09:00:01 AM,%RH,97.33
05/08/14 09:20:01 AM,%RH,88.689
05/08/14 09:40:01 AM,%RH,78.001
05/08/14 10:00:01 AM,%RH,74.685
05/08/14 10:20:01 AM,%RH,70.184
05/08/14 10:40:01 AM,%RH,60.911
05/08/14 11:00:01 AM,%RH,68.472
05/08/14 11:20:01 AM,%RH,67.325
05/08/14 11:40:01 AM,%RH,57.939
05/08/14 12:00:01 PM,%RH,62.09
05/08/14 12:20:01 PM,%RH,67.325
05/08/14 12:40:01 PM,%RH,67.325
05/08/14 01:00:01 PM,%RH,53.11
05/08/14 01:20:01 PM,%RH,65.012
05/08/14 01:40:01 PM,%RH,71.882
05/08/14 02:00:01 PM,%RH,76.901
05/08/14 02:20:01 PM,%RH,74.685
05/08/14 02:40:01 PM,%RH,64.43
05/08/14 03:00:01 PM,%RH,62.677
05/08/14 03:20:01 PM,%RH,55.536
05/08/14 03:40:01 PM,%RH,67.899
05/08/14 04:00:01 PM,%RH,76.349
05/08/14 04:20:01 PM,%RH,83.416
05/08/14 04:40:01 PM,%RH,87.646
05/08/14 05:00:01 PM,%RH,90.243
05/08/14 05:20:01 PM,%RH,93.821
05/08/14 05:40:01 PM,%RH,94.327
05/08/14 06:00:01 PM,%RH,95.333
05/08/14 06:20:01 PM,%RH,97.33
05/08/14 06:40:01 PM,%RH,98.32
05/08/14 07:00:01 PM,%RH,98.32
05/08/14 07:20:01 PM,%RH,97.825
05/08/14 07:40:01 PM,%RH,97.33
05/08/14 08:00:01 PM,%RH,96.334
05/08/14 08:20:01 PM,%RH,97.825
05/08/14 08:40:01 PM,%RH,96.833
05/08/14 09:00:01 PM,%RH,95.835
05/08/14 09:20:01 PM,%RH,96.334
05/08/14 09:40:01 PM,%RH,94.831
05/08/14 10:00:01 PM,%RH,96.833
05/08/14 10:20:01 PM,%RH,97.825
05/08/14 10:40:01 PM,%RH,95.835
05/08/14 11:00:01 PM,%RH,98.32
05/08/14 11:20:01 PM,%RH,98.32
05/08/14 11:40:01 PM,%RH,98.812
06/08/14 12:00:01 AM,%RH,99.304
06/08/14 12:20:01 AM,%RH,99.794
06/08/14 12:40:01 AM,%RH,100.282
06/08/14 01:00:01 AM,%RH,100.769
06/08/14 01:20:01 AM,%RH,100.769
06/08/14 01:40:01 AM,%RH,97.825
06/08/14 02:00:01 AM,%RH,98.812
06/08/14 02:20:01 AM,%RH,100.282
06/08/14 02:40:01 AM,%RH,100.769
06/08/14 03:00:01 AM,%RH,99.794
06/08/14 03:20:01 AM,%RH,99.304
06/08/14 03:40:01 AM,%RH,98.812
06/08/14 04:00:01 AM,%RH,97.825
06/08/14 04:20:01 AM,%RH,96.334
06/08/14 04:40:01 AM,%RH,96.334
06/08/14 05:00:01 AM,%RH,97.33
06/08/14 05:20:01 AM,%RH,97.825
06/08/14 05:40:01 AM,%RH,97.825
06/08/14 06:00:01 AM,%RH,97.825
06/08/14 06:20:01 AM,%RH,98.32
06/08/14 06:40:01 AM,%RH,99.304
06/08/14 07:00:01 AM,%RH,100.769
06/08/14 07:20:01 AM,%RH,100.769
06/08/14 07:40:01 AM,%RH,101.255
06/08/14 08:00:01 AM,%RH,101.255
06/08/14 08:20:01 AM,%RH,101.739
06/08/14 08:40:01 AM,%RH,101.255
06/08/14 09:00:01 AM,%RH,100.769
06/08/14 09:20:01 AM,%RH,98.812
06/08/14 09:40:01 AM,%RH,97.825
06/08/14 10:00:01 AM,%RH,97.825
06/08/14 10:20:01 AM,%RH,96.334
06/08/14 10:40:01 AM,%RH,93.314
06/08/14 11:00:01 AM,%RH,85.012
06/08/14 11:20:01 AM,%RH,82.344
06/08/14 11:40:01 AM,%RH,63.847
06/08/14 12:00:01 PM,%RH,68.472
06/08/14 12:20:01 PM,%RH,70.751
06/08/14 12:40:01 PM,%RH,79.095
06/08/14 01:00:01 PM,%RH,88.689
06/08/14 01:20:01 PM,%RH,85.542
