1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D0000000337F9341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:43:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:23:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10704
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:23:01 AM,%RH,103.534
04/08/14 04:43:01 AM,%RH,103.534
04/08/14 05:03:01 AM,%RH,103.074
04/08/14 05:23:01 AM,%RH,103.534
04/08/14 05:43:01 AM,%RH,103.534
04/08/14 06:03:01 AM,%RH,103.074
04/08/14 06:23:01 AM,%RH,102.613
04/08/14 06:43:01 AM,%RH,101.219
04/08/14 07:03:01 AM,%RH,96.462
04/08/14 07:23:01 AM,%RH,94.511
04/08/14 07:43:01 AM,%RH,95.001
04/08/14 08:03:01 AM,%RH,92.533
04/08/14 08:23:01 AM,%RH,91.032
04/08/14 08:43:01 AM,%RH,90.022
04/08/14 09:03:01 AM,%RH,88.495
04/08/14 09:23:01 AM,%RH,87.468
04/08/14 09:43:01 AM,%RH,90.528
04/08/14 10:03:01 AM,%RH,88.495
04/08/14 10:23:01 AM,%RH,87.983
04/08/14 10:43:01 AM,%RH,86.435
04/08/14 11:03:01 AM,%RH,86.435
04/08/14 11:23:01 AM,%RH,87.468
04/08/14 11:43:01 AM,%RH,91.032
04/08/14 12:03:01 PM,%RH,88.495
04/08/14 12:23:01 PM,%RH,89.515
04/08/14 12:43:01 PM,%RH,86.953
04/08/14 01:03:01 PM,%RH,89.006
04/08/14 01:23:01 PM,%RH,85.916
04/08/14 01:43:01 PM,%RH,82.764
04/08/14 02:03:01 PM,%RH,86.435
