1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FE000000337FC341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:10:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:30:01 CST 2014
Total Mission Samples:  3824
Total Device Samples:  10669
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:30:01 AM,%RH,103.019
04/08/14 04:50:01 AM,%RH,103.019
04/08/14 05:10:01 AM,%RH,103.483
04/08/14 05:30:01 AM,%RH,103.483
04/08/14 05:50:01 AM,%RH,103.483
04/08/14 06:10:01 AM,%RH,102.553
04/08/14 06:30:01 AM,%RH,102.553
04/08/14 06:50:01 AM,%RH,101.616
04/08/14 07:10:01 AM,%RH,102.085
04/08/14 07:30:01 AM,%RH,102.085
04/08/14 07:50:01 AM,%RH,101.145
04/08/14 08:10:01 AM,%RH,100.198
04/08/14 08:30:01 AM,%RH,95.858
04/08/14 08:50:01 AM,%RH,88.334
04/08/14 09:10:01 AM,%RH,79.368
04/08/14 09:30:01 AM,%RH,64.753
04/08/14 09:50:01 AM,%RH,64.753
04/08/14 10:10:01 AM,%RH,60.632
04/08/14 10:30:01 AM,%RH,55.217
04/08/14 10:50:01 AM,%RH,55.825
04/08/14 11:10:01 AM,%RH,58.842
04/08/14 11:30:01 AM,%RH,62.997
04/08/14 11:50:01 AM,%RH,55.217
04/08/14 12:10:01 PM,%RH,56.432
04/08/14 12:30:01 PM,%RH,60.632
04/08/14 12:50:01 PM,%RH,58.842
04/08/14 01:10:01 PM,%RH,52.153
04/08/14 01:30:01 PM,%RH,53.383
04/08/14 01:50:01 PM,%RH,56.432
04/08/14 02:10:01 PM,%RH,61.226
04/08/14 02:30:01 PM,%RH,63.584
04/08/14 02:50:01 PM,%RH,64.753
04/08/14 03:10:01 PM,%RH,67.648
04/08/14 03:30:01 PM,%RH,82.585
04/08/14 03:50:01 PM,%RH,93.887
04/08/14 04:10:01 PM,%RH,98.285
04/08/14 04:30:01 PM,%RH,99.245
04/08/14 04:50:01 PM,%RH,99.722
04/08/14 05:10:01 PM,%RH,100.198
04/08/14 05:30:01 PM,%RH,101.145
04/08/14 05:50:01 PM,%RH,100.198
04/08/14 06:10:01 PM,%RH,100.672
04/08/14 06:30:01 PM,%RH,100.672
04/08/14 06:50:01 PM,%RH,101.616
04/08/14 07:10:01 PM,%RH,100.672
04/08/14 07:30:01 PM,%RH,101.145
04/08/14 07:50:01 PM,%RH,101.616
04/08/14 08:10:01 PM,%RH,101.145
04/08/14 08:30:01 PM,%RH,102.085
04/08/14 08:50:01 PM,%RH,101.145
04/08/14 09:10:01 PM,%RH,102.085
04/08/14 09:30:01 PM,%RH,102.553
04/08/14 09:50:01 PM,%RH,102.085
04/08/14 10:10:01 PM,%RH,102.553
