1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1A00000033800541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:38:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:18:01 CST 2014
Total Mission Samples:  3873
Total Device Samples:  10709
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:18:01 PM,%RH,102.085
04/08/14 08:38:01 PM,%RH,102.085
04/08/14 08:58:01 PM,%RH,102.085
04/08/14 09:18:01 PM,%RH,102.085
04/08/14 09:38:01 PM,%RH,102.085
04/08/14 09:58:01 PM,%RH,102.085
04/08/14 10:18:01 PM,%RH,101.606
04/08/14 10:38:01 PM,%RH,101.126
04/08/14 10:58:01 PM,%RH,102.563
04/08/14 11:18:01 PM,%RH,102.563
04/08/14 11:38:01 PM,%RH,102.085
04/08/14 11:58:01 PM,%RH,102.563
05/08/14 12:18:01 AM,%RH,102.563
05/08/14 12:38:01 AM,%RH,103.039
05/08/14 12:58:01 AM,%RH,102.563
05/08/14 01:18:01 AM,%RH,103.039
05/08/14 01:38:01 AM,%RH,102.085
05/08/14 01:58:01 AM,%RH,102.085
05/08/14 02:18:01 AM,%RH,102.085
05/08/14 02:38:01 AM,%RH,102.085
05/08/14 02:58:01 AM,%RH,102.563
05/08/14 03:18:01 AM,%RH,103.039
05/08/14 03:38:01 AM,%RH,103.039
05/08/14 03:58:01 AM,%RH,103.039
05/08/14 04:18:01 AM,%RH,103.039
05/08/14 04:38:01 AM,%RH,103.039
05/08/14 04:58:01 AM,%RH,101.126
05/08/14 05:18:01 AM,%RH,103.039
05/08/14 05:38:01 AM,%RH,103.039
05/08/14 05:58:01 AM,%RH,103.039
05/08/14 06:18:01 AM,%RH,102.563
05/08/14 06:38:01 AM,%RH,102.085
