1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CA00000033806B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:46:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:06:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10770
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:06:01 PM,%RH,101.694
04/08/14 08:26:01 PM,%RH,101.694
04/08/14 08:46:01 PM,%RH,102.654
04/08/14 09:06:01 PM,%RH,100.729
04/08/14 09:26:01 PM,%RH,102.175
04/08/14 09:46:01 PM,%RH,102.654
04/08/14 10:06:01 PM,%RH,102.654
04/08/14 10:26:01 PM,%RH,102.175
04/08/14 10:46:01 PM,%RH,102.654
04/08/14 11:06:01 PM,%RH,102.175
04/08/14 11:26:01 PM,%RH,101.694
04/08/14 11:46:01 PM,%RH,102.175
05/08/14 12:06:01 AM,%RH,102.175
05/08/14 12:26:01 AM,%RH,102.654
05/08/14 12:46:01 AM,%RH,102.654
05/08/14 01:06:01 AM,%RH,102.654
05/08/14 01:26:01 AM,%RH,102.175
05/08/14 01:46:01 AM,%RH,102.175
05/08/14 02:06:01 AM,%RH,102.654
05/08/14 02:26:01 AM,%RH,102.175
05/08/14 02:46:01 AM,%RH,102.654
05/08/14 03:06:01 AM,%RH,102.654
05/08/14 03:26:01 AM,%RH,103.132
05/08/14 03:46:01 AM,%RH,102.654
05/08/14 04:06:01 AM,%RH,102.654
05/08/14 04:26:01 AM,%RH,102.654
05/08/14 04:46:01 AM,%RH,103.132
05/08/14 05:06:01 AM,%RH,102.654
05/08/14 05:26:01 AM,%RH,103.132
05/08/14 05:46:01 AM,%RH,103.132
05/08/14 06:06:01 AM,%RH,103.132
05/08/14 06:26:01 AM,%RH,101.694
05/08/14 06:46:01 AM,%RH,102.654
05/08/14 07:06:01 AM,%RH,100.244
05/08/14 07:26:01 AM,%RH,97.798
05/08/14 07:46:01 AM,%RH,90.754
05/08/14 08:06:01 AM,%RH,92.287
05/08/14 08:26:01 AM,%RH,78.014
05/08/14 08:46:01 AM,%RH,66.755
05/08/14 09:06:01 AM,%RH,58.527
05/08/14 09:26:01 AM,%RH,65.016
05/08/14 09:46:01 AM,%RH,67.907
05/08/14 10:06:01 AM,%RH,60.315
05/08/14 10:26:01 AM,%RH,65.016
05/08/14 10:46:01 AM,%RH,66.755
05/08/14 11:06:01 AM,%RH,69.625
05/08/14 11:26:01 AM,%RH,66.177
