1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 280000003381BE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:57:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:17:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10788
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:17:01 PM,%RH,101.706
04/08/14 08:37:01 PM,%RH,101.223
04/08/14 08:57:01 PM,%RH,101.223
04/08/14 09:17:01 PM,%RH,102.668
04/08/14 09:37:01 PM,%RH,101.706
04/08/14 09:57:01 PM,%RH,102.668
04/08/14 10:17:01 PM,%RH,102.668
04/08/14 10:37:01 PM,%RH,102.668
04/08/14 10:57:01 PM,%RH,102.668
04/08/14 11:17:01 PM,%RH,103.146
04/08/14 11:37:01 PM,%RH,102.668
04/08/14 11:57:01 PM,%RH,102.188
05/08/14 12:17:01 AM,%RH,102.188
05/08/14 12:37:01 AM,%RH,102.668
05/08/14 12:57:01 AM,%RH,102.668
05/08/14 01:17:01 AM,%RH,103.146
05/08/14 01:37:01 AM,%RH,103.146
05/08/14 01:57:01 AM,%RH,102.668
05/08/14 02:17:01 AM,%RH,103.146
05/08/14 02:37:01 AM,%RH,102.668
05/08/14 02:57:01 AM,%RH,102.668
05/08/14 03:17:01 AM,%RH,102.668
05/08/14 03:37:01 AM,%RH,103.623
05/08/14 03:57:01 AM,%RH,102.668
05/08/14 04:17:01 AM,%RH,102.668
05/08/14 04:37:01 AM,%RH,102.668
05/08/14 04:57:01 AM,%RH,103.146
05/08/14 05:17:01 AM,%RH,102.668
05/08/14 05:37:01 AM,%RH,102.668
05/08/14 05:57:01 AM,%RH,103.146
05/08/14 06:17:01 AM,%RH,102.668
05/08/14 06:37:01 AM,%RH,100.252
05/08/14 06:57:01 AM,%RH,93.285
05/08/14 07:17:01 AM,%RH,84.419
05/08/14 07:37:01 AM,%RH,72.855
05/08/14 07:57:01 AM,%RH,65.943
05/08/14 08:17:01 AM,%RH,65.357
05/08/14 08:37:01 AM,%RH,62.404
05/08/14 08:57:01 AM,%RH,62.998
05/08/14 09:17:01 AM,%RH,62.998
05/08/14 09:37:01 AM,%RH,65.357
05/08/14 09:57:01 AM,%RH,55.16
05/08/14 10:17:01 AM,%RH,54.546
05/08/14 10:37:01 AM,%RH,61.212
05/08/14 10:57:01 AM,%RH,65.943
05/08/14 11:17:01 AM,%RH,65.357
05/08/14 11:37:01 AM,%RH,59.413
05/08/14 11:57:01 AM,%RH,56.992
05/08/14 12:17:01 PM,%RH,71.148
05/08/14 12:37:01 PM,%RH,71.719
05/08/14 12:57:01 PM,%RH,60.014
05/08/14 01:17:01 PM,%RH,65.357
05/08/14 01:37:01 PM,%RH,80.64
05/08/14 01:57:01 PM,%RH,73.421
05/08/14 02:17:01 PM,%RH,72.855
05/08/14 02:37:01 PM,%RH,70.576
05/08/14 02:57:01 PM,%RH,67.692
05/08/14 03:17:01 PM,%RH,70.002
05/08/14 03:37:01 PM,%RH,72.288
05/08/14 03:57:01 PM,%RH,81.728
05/08/14 04:17:01 PM,%RH,87.073
05/08/14 04:37:01 PM,%RH,87.599
05/08/14 04:57:01 PM,%RH,90.723
05/08/14 05:17:01 PM,%RH,92.265
05/08/14 05:37:01 PM,%RH,93.285
05/08/14 05:57:01 PM,%RH,96.806
05/08/14 06:17:01 PM,%RH,96.806
05/08/14 06:37:01 PM,%RH,97.798
05/08/14 06:57:01 PM,%RH,98.785
05/08/14 07:17:01 PM,%RH,96.308
05/08/14 07:37:01 PM,%RH,95.306
05/08/14 07:57:01 PM,%RH,97.303
05/08/14 08:17:01 PM,%RH,96.308
05/08/14 08:37:01 PM,%RH,93.285
05/08/14 08:57:01 PM,%RH,94.299
05/08/14 09:17:01 PM,%RH,96.308
05/08/14 09:37:01 PM,%RH,96.308
05/08/14 09:57:01 PM,%RH,89.168
05/08/14 10:17:01 PM,%RH,87.073
