1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FA0000003381C341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:03:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:43:01 CST 2014
Total Mission Samples:  3870
Total Device Samples:  10810
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:43:01 PM,%RH,101.162
04/08/14 08:03:01 PM,%RH,100.696
04/08/14 08:23:01 PM,%RH,101.162
04/08/14 08:43:01 PM,%RH,101.162
04/08/14 09:03:01 PM,%RH,101.626
04/08/14 09:23:01 PM,%RH,101.626
04/08/14 09:43:01 PM,%RH,101.626
04/08/14 10:03:01 PM,%RH,102.089
04/08/14 10:23:01 PM,%RH,102.089
04/08/14 10:43:01 PM,%RH,102.55
04/08/14 11:03:01 PM,%RH,102.089
04/08/14 11:23:01 PM,%RH,102.089
04/08/14 11:43:01 PM,%RH,102.089
05/08/14 12:03:01 AM,%RH,102.089
05/08/14 12:23:01 AM,%RH,101.626
05/08/14 12:43:01 AM,%RH,102.089
05/08/14 01:03:01 AM,%RH,102.089
05/08/14 01:23:01 AM,%RH,103.01
05/08/14 01:43:01 AM,%RH,101.626
05/08/14 02:03:01 AM,%RH,103.01
05/08/14 02:23:01 AM,%RH,102.55
05/08/14 02:43:01 AM,%RH,102.55
05/08/14 03:03:01 AM,%RH,102.55
05/08/14 03:23:01 AM,%RH,102.55
05/08/14 03:43:01 AM,%RH,102.089
05/08/14 04:03:01 AM,%RH,102.089
05/08/14 04:23:01 AM,%RH,102.089
05/08/14 04:43:01 AM,%RH,102.55
05/08/14 05:03:01 AM,%RH,102.089
05/08/14 05:23:01 AM,%RH,101.626
05/08/14 05:43:01 AM,%RH,101.162
05/08/14 06:03:01 AM,%RH,102.55
05/08/14 06:23:01 AM,%RH,100.696
05/08/14 06:43:01 AM,%RH,101.162
05/08/14 07:03:01 AM,%RH,100.228
05/08/14 07:23:01 AM,%RH,97.386
05/08/14 07:43:01 AM,%RH,89.005
05/08/14 08:03:01 AM,%RH,84.372
05/08/14 08:23:01 AM,%RH,67.95
05/08/14 08:43:01 AM,%RH,64.484
05/08/14 09:03:01 AM,%RH,57.372
05/08/14 09:23:01 AM,%RH,63.315
05/08/14 09:43:01 AM,%RH,62.729
05/08/14 10:03:01 AM,%RH,56.163
05/08/14 10:23:01 AM,%RH,56.163
05/08/14 10:43:01 AM,%RH,63.315
05/08/14 11:03:01 AM,%RH,65.066
05/08/14 11:23:01 AM,%RH,67.376
05/08/14 11:43:01 AM,%RH,63.315
05/08/14 12:03:01 PM,%RH,57.974
05/08/14 12:23:01 PM,%RH,66.801
05/08/14 12:43:01 PM,%RH,66.224
05/08/14 01:03:01 PM,%RH,57.372
05/08/14 01:23:01 PM,%RH,66.801
05/08/14 01:43:01 PM,%RH,76.349
05/08/14 02:03:01 PM,%RH,75.251
05/08/14 02:23:01 PM,%RH,72.476
05/08/14 02:43:01 PM,%RH,76.896
05/08/14 03:03:01 PM,%RH,75.251
05/08/14 03:23:01 PM,%RH,75.801
05/08/14 03:43:01 PM,%RH,75.801
05/08/14 04:03:01 PM,%RH,82.27
05/08/14 04:23:01 PM,%RH,84.372
05/08/14 04:43:01 PM,%RH,86.963
05/08/14 05:03:01 PM,%RH,91.021
05/08/14 05:23:01 PM,%RH,93.009
05/08/14 05:43:01 PM,%RH,95.942
05/08/14 06:03:01 PM,%RH,97.386
05/08/14 06:23:01 PM,%RH,99.287
05/08/14 06:43:01 PM,%RH,99.287
05/08/14 07:03:01 PM,%RH,98.814
05/08/14 07:23:01 PM,%RH,100.696
05/08/14 07:43:01 PM,%RH,99.287
05/08/14 08:03:01 PM,%RH,98.814
05/08/14 08:23:01 PM,%RH,99.758
05/08/14 08:43:01 PM,%RH,98.814
05/08/14 09:03:01 PM,%RH,98.814
05/08/14 09:23:01 PM,%RH,98.814
05/08/14 09:43:01 PM,%RH,93.993
05/08/14 10:03:01 PM,%RH,93.993
05/08/14 10:23:01 PM,%RH,93.993
05/08/14 10:43:01 PM,%RH,93.502
05/08/14 11:03:01 PM,%RH,92.515
05/08/14 11:23:01 PM,%RH,93.502
05/08/14 11:43:01 PM,%RH,95.457
06/08/14 12:03:01 AM,%RH,95.457
06/08/14 12:23:01 AM,%RH,97.386
06/08/14 12:43:01 AM,%RH,95.457
06/08/14 01:03:01 AM,%RH,97.386
06/08/14 01:23:01 AM,%RH,98.34
06/08/14 01:43:01 AM,%RH,98.814
06/08/14 02:03:01 AM,%RH,99.287
06/08/14 02:23:01 AM,%RH,100.228
06/08/14 02:43:01 AM,%RH,100.228
06/08/14 03:03:01 AM,%RH,100.228
06/08/14 03:23:01 AM,%RH,100.696
06/08/14 03:43:01 AM,%RH,99.758
06/08/14 04:03:01 AM,%RH,99.758
06/08/14 04:23:01 AM,%RH,98.814
06/08/14 04:43:01 AM,%RH,99.758
06/08/14 05:03:01 AM,%RH,98.34
06/08/14 05:23:01 AM,%RH,97.864
06/08/14 05:43:01 AM,%RH,97.864
06/08/14 06:03:01 AM,%RH,97.386
06/08/14 06:23:01 AM,%RH,98.34
06/08/14 06:43:01 AM,%RH,98.34
06/08/14 07:03:01 AM,%RH,99.758
06/08/14 07:23:01 AM,%RH,99.758
06/08/14 07:43:01 AM,%RH,99.758
06/08/14 08:03:01 AM,%RH,99.287
06/08/14 08:23:01 AM,%RH,99.287
06/08/14 08:43:01 AM,%RH,98.34
06/08/14 09:03:01 AM,%RH,96.906
06/08/14 09:23:01 AM,%RH,94.483
06/08/14 09:43:01 AM,%RH,82.798
06/08/14 10:03:01 AM,%RH,79.604
06/08/14 10:23:01 AM,%RH,69.66
06/08/14 10:43:01 AM,%RH,60.365
06/08/14 11:03:01 AM,%RH,58.574
06/08/14 11:23:01 AM,%RH,63.315
06/08/14 11:43:01 AM,%RH,56.163
06/08/14 12:03:01 PM,%RH,69.66
06/08/14 12:23:01 PM,%RH,76.349
06/08/14 12:43:01 PM,%RH,80.675
06/08/14 01:03:01 PM,%RH,76.896
06/08/14 01:23:01 PM,%RH,82.27
06/08/14 01:43:01 PM,%RH,75.801
06/08/14 02:03:01 PM,%RH,73.591
06/08/14 02:23:01 PM,%RH,81.208
06/08/14 02:43:01 PM,%RH,77.441
06/08/14 03:03:01 PM,%RH,80.675
06/08/14 03:23:01 PM,%RH,81.208
06/08/14 03:43:01 PM,%RH,82.27
06/08/14 04:03:01 PM,%RH,84.372
06/08/14 04:23:01 PM,%RH,84.894
06/08/14 04:43:01 PM,%RH,89.511
06/08/14 05:03:01 PM,%RH,92.515
06/08/14 05:23:01 PM,%RH,93.502
06/08/14 05:43:01 PM,%RH,96.906
06/08/14 06:03:01 PM,%RH,97.864
06/08/14 06:23:01 PM,%RH,98.34
06/08/14 06:43:01 PM,%RH,99.287
06/08/14 07:03:01 PM,%RH,99.758
06/08/14 07:23:01 PM,%RH,99.758
06/08/14 07:43:01 PM,%RH,98.814
06/08/14 08:03:01 PM,%RH,100.228
06/08/14 08:23:01 PM,%RH,100.696
06/08/14 08:43:01 PM,%RH,101.162
06/08/14 09:03:01 PM,%RH,100.696
06/08/14 09:23:01 PM,%RH,100.696
06/08/14 09:43:01 PM,%RH,100.696
06/08/14 10:03:01 PM,%RH,101.162
06/08/14 10:23:01 PM,%RH,101.162
06/08/14 10:43:01 PM,%RH,101.162
06/08/14 11:03:01 PM,%RH,101.162
06/08/14 11:23:01 PM,%RH,100.696
06/08/14 11:43:01 PM,%RH,101.626
07/08/14 12:03:01 AM,%RH,101.626
07/08/14 12:23:01 AM,%RH,101.626
07/08/14 12:43:01 AM,%RH,101.626
07/08/14 01:03:01 AM,%RH,101.626
07/08/14 01:23:01 AM,%RH,101.162
07/08/14 01:43:01 AM,%RH,101.626
07/08/14 02:03:01 AM,%RH,101.162
07/08/14 02:23:01 AM,%RH,101.626
07/08/14 02:43:01 AM,%RH,102.089
07/08/14 03:03:01 AM,%RH,101.626
07/08/14 03:23:01 AM,%RH,102.089
07/08/14 03:43:01 AM,%RH,101.626
