1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 55000000337F9441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:45:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:05:01 CST 2014
Total Mission Samples:  3824
Total Device Samples:  10797
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:05:01 AM,%RH,103.513
04/08/14 04:25:01 AM,%RH,103.513
04/08/14 04:45:01 AM,%RH,103.039
04/08/14 05:05:01 AM,%RH,103.039
04/08/14 05:25:01 AM,%RH,103.513
04/08/14 05:45:01 AM,%RH,103.039
04/08/14 06:05:01 AM,%RH,103.513
04/08/14 06:25:01 AM,%RH,103.039
04/08/14 06:45:01 AM,%RH,103.039
04/08/14 07:05:01 AM,%RH,102.563
04/08/14 07:25:01 AM,%RH,101.606
04/08/14 07:45:01 AM,%RH,102.563
04/08/14 08:05:01 AM,%RH,102.085
04/08/14 08:25:01 AM,%RH,96.236
04/08/14 08:45:01 AM,%RH,89.129
04/08/14 09:05:01 AM,%RH,83.866
04/08/14 09:25:01 AM,%RH,80.634
04/08/14 09:45:01 AM,%RH,80.09
04/08/14 10:05:01 AM,%RH,68.882
04/08/14 10:25:01 AM,%RH,60.667
04/08/14 10:45:01 AM,%RH,55.836
04/08/14 11:05:01 AM,%RH,59.469
04/08/14 11:25:01 AM,%RH,64.225
04/08/14 11:45:01 AM,%RH,60.069
04/08/14 12:05:01 PM,%RH,61.264
04/08/14 12:25:01 PM,%RH,61.859
04/08/14 12:45:01 PM,%RH,55.226
04/08/14 01:05:01 PM,%RH,51.528
04/08/14 01:25:01 PM,%RH,50.283
04/08/14 01:45:01 PM,%RH,49.658
04/08/14 02:05:01 PM,%RH,58.264
04/08/14 02:25:01 PM,%RH,53.999
04/08/14 02:45:01 PM,%RH,60.069
04/08/14 03:05:01 PM,%RH,65.983
04/08/14 03:25:01 PM,%RH,81.176
04/08/14 03:45:01 PM,%RH,90.677
04/08/14 04:05:01 PM,%RH,96.732
04/08/14 04:25:01 PM,%RH,98.7
04/08/14 04:45:01 PM,%RH,99.188
04/08/14 05:05:01 PM,%RH,99.675
04/08/14 05:25:01 PM,%RH,99.675
04/08/14 05:45:01 PM,%RH,101.126
04/08/14 06:05:01 PM,%RH,100.644
04/08/14 06:25:01 PM,%RH,100.644
04/08/14 06:45:01 PM,%RH,101.126
04/08/14 07:05:01 PM,%RH,100.644
04/08/14 07:25:01 PM,%RH,102.085
04/08/14 07:45:01 PM,%RH,101.606
04/08/14 08:05:01 PM,%RH,100.644
04/08/14 08:25:01 PM,%RH,101.606
04/08/14 08:45:01 PM,%RH,102.085
04/08/14 09:05:01 PM,%RH,101.606
04/08/14 09:25:01 PM,%RH,102.563
04/08/14 09:45:01 PM,%RH,102.563
