1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DC0000003381DF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:10:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:30:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10677
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:30:01 PM,%RH,101.557
04/08/14 08:50:01 PM,%RH,101.065
04/08/14 09:10:01 PM,%RH,101.557
04/08/14 09:30:01 PM,%RH,102.048
04/08/14 09:50:01 PM,%RH,102.048
04/08/14 10:10:01 PM,%RH,102.048
04/08/14 10:30:01 PM,%RH,101.557
04/08/14 10:50:01 PM,%RH,102.537
04/08/14 11:10:01 PM,%RH,101.557
04/08/14 11:30:01 PM,%RH,101.065
04/08/14 11:50:01 PM,%RH,101.557
05/08/14 12:10:01 AM,%RH,101.065
05/08/14 12:30:01 AM,%RH,101.557
05/08/14 12:50:01 AM,%RH,101.065
05/08/14 01:10:01 AM,%RH,101.557
05/08/14 01:30:01 AM,%RH,102.048
05/08/14 01:50:01 AM,%RH,101.557
05/08/14 02:10:01 AM,%RH,101.557
05/08/14 02:30:01 AM,%RH,101.065
05/08/14 02:50:01 AM,%RH,101.557
05/08/14 03:10:01 AM,%RH,101.065
05/08/14 03:30:01 AM,%RH,101.557
05/08/14 03:50:01 AM,%RH,100.572
05/08/14 04:10:01 AM,%RH,101.557
05/08/14 04:30:01 AM,%RH,102.048
05/08/14 04:50:01 AM,%RH,101.065
05/08/14 05:10:01 AM,%RH,100.572
05/08/14 05:30:01 AM,%RH,101.065
05/08/14 05:50:01 AM,%RH,99.581
05/08/14 06:10:01 AM,%RH,92.493
05/08/14 06:30:01 AM,%RH,87.268
05/08/14 06:50:01 AM,%RH,82.992
05/08/14 07:10:01 AM,%RH,71.922
05/08/14 07:30:01 AM,%RH,72.488
05/08/14 07:50:01 AM,%RH,69.07
05/08/14 08:10:01 AM,%RH,69.07
05/08/14 08:30:01 AM,%RH,67.92
05/08/14 08:50:01 AM,%RH,62.088
05/08/14 09:10:01 AM,%RH,62.088
05/08/14 09:30:01 AM,%RH,67.92
05/08/14 09:50:01 AM,%RH,65.021
05/08/14 10:10:01 AM,%RH,54.912
05/08/14 10:30:01 AM,%RH,63.265
05/08/14 10:50:01 AM,%RH,68.496
05/08/14 11:10:01 AM,%RH,72.488
05/08/14 11:30:01 AM,%RH,73.617
05/08/14 11:50:01 AM,%RH,60.312
05/08/14 12:10:01 PM,%RH,65.021
05/08/14 12:30:01 PM,%RH,76.414
05/08/14 12:50:01 PM,%RH,69.07
05/08/14 01:10:01 PM,%RH,64.437
05/08/14 01:30:01 PM,%RH,75.858
05/08/14 01:50:01 PM,%RH,82.992
05/08/14 02:10:01 PM,%RH,78.077
05/08/14 02:30:01 PM,%RH,84.069
05/08/14 02:50:01 PM,%RH,82.451
05/08/14 03:10:01 PM,%RH,85.141
05/08/14 03:30:01 PM,%RH,84.069
05/08/14 03:50:01 PM,%RH,86.738
05/08/14 04:10:01 PM,%RH,93.008
05/08/14 04:30:01 PM,%RH,91.977
05/08/14 04:50:01 PM,%RH,92.493
05/08/14 05:10:01 PM,%RH,95.563
05/08/14 05:30:01 PM,%RH,96.575
05/08/14 05:50:01 PM,%RH,97.08
05/08/14 06:10:01 PM,%RH,97.583
05/08/14 06:30:01 PM,%RH,98.584
05/08/14 06:50:01 PM,%RH,96.07
05/08/14 07:10:01 PM,%RH,97.08
05/08/14 07:30:01 PM,%RH,93.008
05/08/14 07:50:01 PM,%RH,93.522
05/08/14 08:10:01 PM,%RH,92.493
05/08/14 08:30:01 PM,%RH,85.675
05/08/14 08:50:01 PM,%RH,84.069
05/08/14 09:10:01 PM,%RH,90.419
05/08/14 09:30:01 PM,%RH,81.909
05/08/14 09:50:01 PM,%RH,74.74
05/08/14 10:10:01 PM,%RH,69.643
05/08/14 10:30:01 PM,%RH,71.922
05/08/14 10:50:01 PM,%RH,65.021
05/08/14 11:10:01 PM,%RH,71.354
05/08/14 11:30:01 PM,%RH,76.97
05/08/14 11:50:01 PM,%RH,78.077
06/08/14 12:10:01 AM,%RH,76.97
06/08/14 12:30:01 AM,%RH,76.97
06/08/14 12:50:01 AM,%RH,78.628
06/08/14 01:10:01 AM,%RH,84.069
06/08/14 01:30:01 AM,%RH,84.069
