1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 400000003382A241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:49:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:29:01 CST 2014
Total Mission Samples:  3873
Total Device Samples:  10678
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:29:01 PM,%RH,99.722
04/08/14 08:49:01 PM,%RH,100.672
04/08/14 09:09:01 PM,%RH,100.672
04/08/14 09:29:01 PM,%RH,99.722
04/08/14 09:49:01 PM,%RH,101.616
04/08/14 10:09:01 PM,%RH,101.145
04/08/14 10:29:01 PM,%RH,101.145
04/08/14 10:49:01 PM,%RH,101.145
04/08/14 11:09:01 PM,%RH,101.145
04/08/14 11:29:01 PM,%RH,100.672
04/08/14 11:49:01 PM,%RH,101.616
05/08/14 12:09:01 AM,%RH,101.145
05/08/14 12:29:01 AM,%RH,101.145
05/08/14 12:49:01 AM,%RH,101.616
05/08/14 01:09:01 AM,%RH,101.616
05/08/14 01:29:01 AM,%RH,100.672
05/08/14 01:49:01 AM,%RH,101.145
05/08/14 02:09:01 AM,%RH,101.616
05/08/14 02:29:01 AM,%RH,101.145
05/08/14 02:49:01 AM,%RH,102.085
05/08/14 03:09:01 AM,%RH,102.085
05/08/14 03:29:01 AM,%RH,102.085
05/08/14 03:49:01 AM,%RH,101.616
05/08/14 04:09:01 AM,%RH,101.145
05/08/14 04:29:01 AM,%RH,101.616
05/08/14 04:49:01 AM,%RH,102.553
05/08/14 05:09:01 AM,%RH,100.672
05/08/14 05:29:01 AM,%RH,101.145
05/08/14 05:49:01 AM,%RH,102.085
05/08/14 06:09:01 AM,%RH,98.766
05/08/14 06:29:01 AM,%RH,95.367
05/08/14 06:49:01 AM,%RH,92.392
05/08/14 07:09:01 AM,%RH,91.89
05/08/14 07:29:01 AM,%RH,90.376
05/08/14 07:49:01 AM,%RH,82.585
05/08/14 08:09:01 AM,%RH,82.585
05/08/14 08:29:01 AM,%RH,76.092
05/08/14 08:49:01 AM,%RH,74.432
05/08/14 09:09:01 AM,%RH,65.916
05/08/14 09:29:01 AM,%RH,76.642
05/08/14 09:49:01 AM,%RH,64.169
05/08/14 10:09:01 AM,%RH,61.226
05/08/14 10:29:01 AM,%RH,72.197
05/08/14 10:49:01 AM,%RH,67.072
05/08/14 11:09:01 AM,%RH,66.495
05/08/14 11:29:01 AM,%RH,70.503
05/08/14 11:49:01 AM,%RH,64.169
05/08/14 12:09:01 PM,%RH,66.495
05/08/14 12:29:01 PM,%RH,71.634
05/08/14 12:49:01 PM,%RH,55.825
05/08/14 01:09:01 PM,%RH,57.037
05/08/14 01:29:01 PM,%RH,67.648
05/08/14 01:49:01 PM,%RH,74.987
05/08/14 02:09:01 PM,%RH,71.069
05/08/14 02:29:01 PM,%RH,67.648
05/08/14 02:49:01 PM,%RH,56.432
05/08/14 03:09:01 PM,%RH,57.64
05/08/14 03:29:01 PM,%RH,58.842
05/08/14 03:49:01 PM,%RH,62.408
05/08/14 04:09:01 PM,%RH,71.069
05/08/14 04:29:01 PM,%RH,76.642
05/08/14 04:49:01 PM,%RH,81.519
05/08/14 05:09:01 PM,%RH,84.698
05/08/14 05:29:01 PM,%RH,87.303
05/08/14 05:49:01 PM,%RH,90.882
05/08/14 06:09:01 PM,%RH,92.892
05/08/14 06:29:01 PM,%RH,95.367
05/08/14 06:49:01 PM,%RH,95.858
05/08/14 07:09:01 PM,%RH,95.858
05/08/14 07:29:01 PM,%RH,96.833
05/08/14 07:49:01 PM,%RH,96.346
05/08/14 08:09:01 PM,%RH,97.319
05/08/14 08:29:01 PM,%RH,97.319
05/08/14 08:49:01 PM,%RH,98.766
05/08/14 09:09:01 PM,%RH,97.803
05/08/14 09:29:01 PM,%RH,97.803
05/08/14 09:49:01 PM,%RH,97.319
05/08/14 10:09:01 PM,%RH,97.803
05/08/14 10:29:01 PM,%RH,97.803
05/08/14 10:49:01 PM,%RH,96.346
05/08/14 11:09:01 PM,%RH,94.876
05/08/14 11:29:01 PM,%RH,94.382
05/08/14 11:49:01 PM,%RH,95.367
06/08/14 12:09:01 AM,%RH,95.367
06/08/14 12:29:01 AM,%RH,96.346
06/08/14 12:49:01 AM,%RH,96.346
06/08/14 01:09:01 AM,%RH,96.833
06/08/14 01:29:01 AM,%RH,96.833
06/08/14 01:49:01 AM,%RH,97.319
06/08/14 02:09:01 AM,%RH,97.803
06/08/14 02:29:01 AM,%RH,98.285
06/08/14 02:49:01 AM,%RH,98.766
06/08/14 03:09:01 AM,%RH,98.285
06/08/14 03:29:01 AM,%RH,99.245
06/08/14 03:49:01 AM,%RH,100.198
06/08/14 04:09:01 AM,%RH,99.722
06/08/14 04:29:01 AM,%RH,98.766
06/08/14 04:49:01 AM,%RH,99.245
06/08/14 05:09:01 AM,%RH,98.766
06/08/14 05:29:01 AM,%RH,99.245
06/08/14 05:49:01 AM,%RH,98.766
06/08/14 06:09:01 AM,%RH,99.245
06/08/14 06:29:01 AM,%RH,99.245
06/08/14 06:49:01 AM,%RH,99.722
06/08/14 07:09:01 AM,%RH,99.722
06/08/14 07:29:01 AM,%RH,99.722
06/08/14 07:49:01 AM,%RH,99.245
06/08/14 08:09:01 AM,%RH,100.672
06/08/14 08:29:01 AM,%RH,99.245
06/08/14 08:49:01 AM,%RH,100.198
06/08/14 09:09:01 AM,%RH,97.319
06/08/14 09:29:01 AM,%RH,94.876
06/08/14 09:49:01 AM,%RH,95.367
06/08/14 10:09:01 AM,%RH,89.358
06/08/14 10:29:01 AM,%RH,84.698
06/08/14 10:49:01 AM,%RH,73.318
06/08/14 11:09:01 AM,%RH,72.758
06/08/14 11:29:01 AM,%RH,65.335
06/08/14 11:49:01 AM,%RH,77.737
06/08/14 12:09:01 PM,%RH,76.092
06/08/14 12:29:01 PM,%RH,82.053
06/08/14 12:49:01 PM,%RH,85.223
06/08/14 01:09:01 PM,%RH,86.785
06/08/14 01:29:01 PM,%RH,84.173
06/08/14 01:49:01 PM,%RH,73.318
06/08/14 02:09:01 PM,%RH,79.368
06/08/14 02:29:01 PM,%RH,77.19
06/08/14 02:49:01 PM,%RH,68.795
06/08/14 03:09:01 PM,%RH,71.634
06/08/14 03:29:01 PM,%RH,73.318
06/08/14 03:49:01 PM,%RH,72.197
06/08/14 04:09:01 PM,%RH,78.826
06/08/14 04:29:01 PM,%RH,80.984
06/08/14 04:49:01 PM,%RH,85.745
06/08/14 05:09:01 PM,%RH,89.358
06/08/14 05:29:01 PM,%RH,90.882
06/08/14 05:49:01 PM,%RH,93.39
06/08/14 06:09:01 PM,%RH,94.382
06/08/14 06:29:01 PM,%RH,95.367
06/08/14 06:49:01 PM,%RH,96.833
06/08/14 07:09:01 PM,%RH,97.319
06/08/14 07:29:01 PM,%RH,97.803
06/08/14 07:49:01 PM,%RH,97.803
06/08/14 08:09:01 PM,%RH,98.285
06/08/14 08:29:01 PM,%RH,97.803
06/08/14 08:49:01 PM,%RH,98.766
06/08/14 09:09:01 PM,%RH,99.245
06/08/14 09:29:01 PM,%RH,98.766
06/08/14 09:49:01 PM,%RH,100.198
06/08/14 10:09:01 PM,%RH,100.198
06/08/14 10:29:01 PM,%RH,99.722
06/08/14 10:49:01 PM,%RH,100.198
06/08/14 11:09:01 PM,%RH,100.198
06/08/14 11:29:01 PM,%RH,100.198
06/08/14 11:49:01 PM,%RH,100.672
07/08/14 12:09:01 AM,%RH,99.722
07/08/14 12:29:01 AM,%RH,100.198
07/08/14 12:49:01 AM,%RH,100.198
07/08/14 01:09:01 AM,%RH,100.198
07/08/14 01:29:01 AM,%RH,100.198
07/08/14 01:49:01 AM,%RH,98.766
07/08/14 02:09:01 AM,%RH,101.145
07/08/14 02:29:01 AM,%RH,101.145
07/08/14 02:49:01 AM,%RH,100.198
07/08/14 03:09:01 AM,%RH,100.672
07/08/14 03:29:01 AM,%RH,101.145
07/08/14 03:49:01 AM,%RH,100.672
07/08/14 04:09:01 AM,%RH,100.672
07/08/14 04:29:01 AM,%RH,100.672
07/08/14 04:49:01 AM,%RH,101.145
07/08/14 05:09:01 AM,%RH,101.145
07/08/14 05:29:01 AM,%RH,101.145
07/08/14 05:49:01 AM,%RH,100.672
07/08/14 06:09:01 AM,%RH,101.145
07/08/14 06:29:01 AM,%RH,101.145
07/08/14 06:49:01 AM,%RH,99.245
07/08/14 07:09:01 AM,%RH,100.198
07/08/14 07:29:01 AM,%RH,99.245
07/08/14 07:49:01 AM,%RH,96.346
07/08/14 08:09:01 AM,%RH,87.819
07/08/14 08:29:01 AM,%RH,74.432
07/08/14 08:49:01 AM,%RH,62.408
07/08/14 09:09:01 AM,%RH,72.197
07/08/14 09:29:01 AM,%RH,69.935
07/08/14 09:49:01 AM,%RH,64.753
07/08/14 10:09:01 AM,%RH,56.432
07/08/14 10:29:01 AM,%RH,57.64
07/08/14 10:49:01 AM,%RH,59.44
07/08/14 11:09:01 AM,%RH,60.037
07/08/14 11:29:01 AM,%RH,54.608
07/08/14 11:49:01 AM,%RH,49.672
07/08/14 12:09:01 PM,%RH,54.608
07/08/14 12:29:01 PM,%RH,59.44
07/08/14 12:49:01 PM,%RH,60.037
07/08/14 01:09:01 PM,%RH,49.048
07/08/14 01:29:01 PM,%RH,48.422
07/08/14 01:49:01 PM,%RH,63.584
07/08/14 02:09:01 PM,%RH,58.842
07/08/14 02:29:01 PM,%RH,55.217
07/08/14 02:49:01 PM,%RH,58.842
07/08/14 03:09:01 PM,%RH,57.037
07/08/14 03:29:01 PM,%RH,56.432
07/08/14 03:49:01 PM,%RH,54.608
07/08/14 04:09:01 PM,%RH,57.037
07/08/14 04:29:01 PM,%RH,60.632
07/08/14 04:49:01 PM,%RH,76.642
07/08/14 05:09:01 PM,%RH,80.984
07/08/14 05:29:01 PM,%RH,86.785
07/08/14 05:49:01 PM,%RH,90.376
07/08/14 06:09:01 PM,%RH,92.892
07/08/14 06:29:01 PM,%RH,95.367
07/08/14 06:49:01 PM,%RH,96.346
07/08/14 07:09:01 PM,%RH,95.858
07/08/14 07:29:01 PM,%RH,94.876
07/08/14 07:49:01 PM,%RH,97.803
07/08/14 08:09:01 PM,%RH,96.833
07/08/14 08:29:01 PM,%RH,96.833
07/08/14 08:49:01 PM,%RH,96.833
07/08/14 09:09:01 PM,%RH,97.319
07/08/14 09:29:01 PM,%RH,96.833
07/08/14 09:49:01 PM,%RH,97.319
07/08/14 10:09:01 PM,%RH,98.285
07/08/14 10:29:01 PM,%RH,98.285
07/08/14 10:49:01 PM,%RH,98.285
07/08/14 11:09:01 PM,%RH,98.285
07/08/14 11:29:01 PM,%RH,100.198
07/08/14 11:49:01 PM,%RH,99.245
08/08/14 12:09:01 AM,%RH,98.766
08/08/14 12:29:01 AM,%RH,99.722
08/08/14 12:49:01 AM,%RH,99.245
08/08/14 01:09:01 AM,%RH,99.245
08/08/14 01:29:01 AM,%RH,99.245
08/08/14 01:49:01 AM,%RH,100.198
08/08/14 02:09:01 AM,%RH,99.722
08/08/14 02:29:01 AM,%RH,100.198
08/08/14 02:49:01 AM,%RH,100.198
08/08/14 03:09:01 AM,%RH,100.198
08/08/14 03:29:01 AM,%RH,100.672
08/08/14 03:49:01 AM,%RH,100.198
08/08/14 04:09:01 AM,%RH,98.766
08/08/14 04:29:01 AM,%RH,100.198
08/08/14 04:49:01 AM,%RH,100.672
08/08/14 05:09:01 AM,%RH,100.198
08/08/14 05:29:01 AM,%RH,100.198
08/08/14 05:49:01 AM,%RH,100.198
08/08/14 06:09:01 AM,%RH,101.145
08/08/14 06:29:01 AM,%RH,101.616
08/08/14 06:49:01 AM,%RH,100.198
08/08/14 07:09:01 AM,%RH,101.145
08/08/14 07:29:01 AM,%RH,101.145
08/08/14 07:49:01 AM,%RH,100.672
08/08/14 08:09:01 AM,%RH,101.145
08/08/14 08:29:01 AM,%RH,101.145
08/08/14 08:49:01 AM,%RH,100.198
08/08/14 09:09:01 AM,%RH,100.198
08/08/14 09:29:01 AM,%RH,100.198
08/08/14 09:49:01 AM,%RH,99.245
08/08/14 10:09:01 AM,%RH,99.245
08/08/14 10:29:01 AM,%RH,98.766
08/08/14 10:49:01 AM,%RH,98.766
08/08/14 11:09:01 AM,%RH,99.245
08/08/14 11:29:01 AM,%RH,97.803
08/08/14 11:49:01 AM,%RH,96.833
08/08/14 12:09:01 PM,%RH,97.803
08/08/14 12:29:01 PM,%RH,97.803
08/08/14 12:49:01 PM,%RH,97.319
08/08/14 01:09:01 PM,%RH,96.346
08/08/14 01:29:01 PM,%RH,90.376
08/08/14 01:49:01 PM,%RH,91.387
08/08/14 02:09:01 PM,%RH,95.858
08/08/14 02:29:01 PM,%RH,96.833
08/08/14 02:49:01 PM,%RH,95.367
08/08/14 03:09:01 PM,%RH,96.833
08/08/14 03:29:01 PM,%RH,96.833
08/08/14 03:49:01 PM,%RH,98.285
08/08/14 04:09:01 PM,%RH,99.245
08/08/14 04:29:01 PM,%RH,99.245
08/08/14 04:49:01 PM,%RH,99.722
08/08/14 05:09:01 PM,%RH,100.672
08/08/14 05:29:01 PM,%RH,100.198
08/08/14 05:49:01 PM,%RH,99.722
08/08/14 06:09:01 PM,%RH,100.672
08/08/14 06:29:01 PM,%RH,100.672
08/08/14 06:49:01 PM,%RH,100.198
08/08/14 07:09:01 PM,%RH,101.145
08/08/14 07:29:01 PM,%RH,100.198
08/08/14 07:49:01 PM,%RH,100.672
08/08/14 08:09:01 PM,%RH,100.198
08/08/14 08:29:01 PM,%RH,100.672
08/08/14 08:49:01 PM,%RH,100.672
08/08/14 09:09:01 PM,%RH,101.145
08/08/14 09:29:01 PM,%RH,101.145
08/08/14 09:49:01 PM,%RH,101.145
08/08/14 10:09:01 PM,%RH,101.616
08/08/14 10:29:01 PM,%RH,101.616
08/08/14 10:49:01 PM,%RH,101.616
08/08/14 11:09:01 PM,%RH,101.616
08/08/14 11:29:01 PM,%RH,101.616
08/08/14 11:49:01 PM,%RH,101.616
09/08/14 12:09:01 AM,%RH,101.616
09/08/14 12:29:01 AM,%RH,101.616
09/08/14 12:49:01 AM,%RH,102.085
09/08/14 01:09:01 AM,%RH,101.616
09/08/14 01:29:01 AM,%RH,102.085
09/08/14 01:49:01 AM,%RH,101.616
09/08/14 02:09:01 AM,%RH,102.085
09/08/14 02:29:01 AM,%RH,102.085
09/08/14 02:49:01 AM,%RH,101.616
09/08/14 03:09:01 AM,%RH,101.616
09/08/14 03:29:01 AM,%RH,101.616
09/08/14 03:49:01 AM,%RH,102.553
09/08/14 04:09:01 AM,%RH,102.085
09/08/14 04:29:01 AM,%RH,101.616
09/08/14 04:49:01 AM,%RH,102.085
09/08/14 05:09:01 AM,%RH,101.145
09/08/14 05:29:01 AM,%RH,102.553
09/08/14 05:49:01 AM,%RH,101.616
09/08/14 06:09:01 AM,%RH,101.145
09/08/14 06:29:01 AM,%RH,99.722
09/08/14 06:49:01 AM,%RH,97.803
09/08/14 07:09:01 AM,%RH,96.833
09/08/14 07:29:01 AM,%RH,93.887
09/08/14 07:49:01 AM,%RH,91.387
09/08/14 08:09:01 AM,%RH,87.303
09/08/14 08:29:01 AM,%RH,78.826
09/08/14 08:49:01 AM,%RH,76.092
09/08/14 09:09:01 AM,%RH,69.935
09/08/14 09:29:01 AM,%RH,65.335
09/08/14 09:49:01 AM,%RH,61.817
09/08/14 10:09:01 AM,%RH,65.335
09/08/14 10:29:01 AM,%RH,59.44
09/08/14 10:49:01 AM,%RH,53.996
09/08/14 11:09:01 AM,%RH,55.217
09/08/14 11:29:01 AM,%RH,45.268
09/08/14 11:49:01 AM,%RH,49.048
09/08/14 12:09:01 PM,%RH,47.165
09/08/14 12:29:01 PM,%RH,49.672
09/08/14 12:49:01 PM,%RH,48.422
09/08/14 01:09:01 PM,%RH,59.44
09/08/14 01:29:01 PM,%RH,59.44
09/08/14 01:49:01 PM,%RH,67.648
09/08/14 02:09:01 PM,%RH,68.222
09/08/14 02:29:01 PM,%RH,74.432
09/08/14 02:49:01 PM,%RH,77.737
09/08/14 03:09:01 PM,%RH,83.645
09/08/14 03:29:01 PM,%RH,84.698
09/08/14 03:49:01 PM,%RH,83.116
09/08/14 04:09:01 PM,%RH,85.745
09/08/14 04:29:01 PM,%RH,88.334
09/08/14 04:49:01 PM,%RH,90.376
09/08/14 05:09:01 PM,%RH,91.89
09/08/14 05:29:01 PM,%RH,93.39
09/08/14 05:49:01 PM,%RH,94.382
09/08/14 06:09:01 PM,%RH,96.346
09/08/14 06:29:01 PM,%RH,97.319
09/08/14 06:49:01 PM,%RH,96.346
09/08/14 07:09:01 PM,%RH,98.285
09/08/14 07:29:01 PM,%RH,97.319
09/08/14 07:49:01 PM,%RH,98.285
09/08/14 08:09:01 PM,%RH,97.803
09/08/14 08:29:01 PM,%RH,97.803
09/08/14 08:49:01 PM,%RH,97.803
09/08/14 09:09:01 PM,%RH,98.285
09/08/14 09:29:01 PM,%RH,98.285
09/08/14 09:49:01 PM,%RH,98.285
09/08/14 10:09:01 PM,%RH,98.285
09/08/14 10:29:01 PM,%RH,99.245
09/08/14 10:49:01 PM,%RH,97.319
09/08/14 11:09:01 PM,%RH,98.766
09/08/14 11:29:01 PM,%RH,98.285
09/08/14 11:49:01 PM,%RH,99.245
10/08/14 12:09:01 AM,%RH,99.245
10/08/14 12:29:01 AM,%RH,99.245
10/08/14 12:49:01 AM,%RH,99.245
10/08/14 01:09:01 AM,%RH,100.672
10/08/14 01:29:01 AM,%RH,100.198
10/08/14 01:49:01 AM,%RH,100.672
10/08/14 02:09:01 AM,%RH,100.198
10/08/14 02:29:01 AM,%RH,100.198
10/08/14 02:49:01 AM,%RH,100.198
10/08/14 03:09:01 AM,%RH,100.672
10/08/14 03:29:01 AM,%RH,100.198
10/08/14 03:49:01 AM,%RH,100.198
10/08/14 04:09:01 AM,%RH,99.722
10/08/14 04:29:01 AM,%RH,99.722
10/08/14 04:49:01 AM,%RH,101.145
10/08/14 05:09:01 AM,%RH,99.722
10/08/14 05:29:01 AM,%RH,101.145
10/08/14 05:49:01 AM,%RH,101.145
10/08/14 06:09:01 AM,%RH,99.245
10/08/14 06:29:01 AM,%RH,100.198
10/08/14 06:49:01 AM,%RH,99.245
10/08/14 07:09:01 AM,%RH,94.382
10/08/14 07:29:01 AM,%RH,90.376
10/08/14 07:49:01 AM,%RH,88.847
10/08/14 08:09:01 AM,%RH,69.935
10/08/14 08:29:01 AM,%RH,74.432
10/08/14 08:49:01 AM,%RH,75.54
10/08/14 09:09:01 AM,%RH,82.053
10/08/14 09:29:01 AM,%RH,84.173
10/08/14 09:49:01 AM,%RH,80.447
10/08/14 10:09:01 AM,%RH,71.634
10/08/14 10:29:01 AM,%RH,69.366
